Date,Open,High,Low,Close,Adj Close,Volume
1999-11-18,32.55,35.77,28.61,31.47,27.07,62546380
1999-11-19,30.71,30.76,28.48,28.88,24.84,15234146
1999-11-22,29.55,31.47,28.66,31.47,27.07,6577870
1999-11-23,30.40,31.21,28.61,28.61,24.61,5975611
1999-11-24,28.70,30.00,28.61,29.37,25.26,4843231
1999-11-26,29.24,29.69,29.15,29.46,25.34,1729466
1999-11-29,29.33,30.36,29.01,30.13,25.91,4074751
1999-11-30,30.04,30.71,29.28,30.18,25.95,4310034
1999-12-01,30.18,31.07,29.95,30.71,26.41,2957329
1999-12-02,31.29,32.19,30.89,31.56,27.14,3069868
1999-12-03,32.14,32.68,31.70,31.83,27.37,3041629
1999-12-06,32.37,33.22,32.32,32.73,28.14,2250780
1999-12-07,32.73,32.90,31.70,32.37,27.84,2215970
1999-12-08,32.37,32.64,32.05,32.32,27.80,1887859
1999-12-09,32.37,32.86,32.37,32.77,28.18,2029057
1999-12-10,32.68,32.86,32.01,32.01,27.53,1664738
1999-12-13,32.55,33.08,31.74,32.55,27.99,4020508
1999-12-14,32.46,32.46,30.09,30.76,26.45,2328928
1999-12-15,30.04,30.27,29.33,29.82,25.64,2917766
1999-12-16,30.04,33.80,30.04,33.80,29.07,2583923
1999-12-17,33.17,33.71,32.50,32.86,28.26,3708055
1999-12-20,33.08,33.57,32.99,33.53,28.84,1196828
1999-12-21,33.40,33.40,32.90,33.35,28.68,2259448
1999-12-22,33.35,34.02,33.13,34.02,29.26,1905754
1999-12-23,33.98,35.77,33.93,35.59,30.60,2159491
1999-12-27,35.72,38.05,35.45,37.78,32.49,2029616
1999-12-28,38.81,43.99,38.58,43.99,37.83,3560007
1999-12-29,45.06,56.55,45.02,51.50,44.29,10518552
1999-12-30,54.36,57.22,53.11,56.69,48.75,6671116
1999-12-31,56.87,57.18,54.54,55.30,47.56,1931197
2000-01-03,56.33,56.46,48.19,51.50,44.29,4674353
2000-01-04,48.73,49.27,46.32,47.57,40.91,4765083
2000-01-05,47.39,47.57,43.14,44.62,38.37,5758642
2000-01-06,44.08,44.35,41.58,42.92,36.91,2534434
2000-01-07,42.25,47.17,42.20,46.49,39.98,2819626
2000-01-10,49.36,49.80,48.33,49.31,42.41,2148446
