Date,Open,High,Low,Close,Adj Close,Volume
1987-07-29,0.00,5.50,5.44,5.50,5.50,201200
1987-07-30,5.50,5.56,5.44,5.56,5.56,107000
1987-07-31,5.56,5.56,5.50,5.56,5.56,35400
1987-08-03,5.56,5.56,5.50,5.56,5.56,23800
1987-08-04,5.56,5.56,5.50,5.56,5.56,35800
1987-08-05,5.56,5.56,5.50,5.50,5.50,23800
1987-08-06,5.50,5.56,5.50,5.50,5.50,34000
1987-08-07,5.50,5.56,5.50,5.56,5.56,11400
1987-08-10,5.50,5.56,5.50,5.56,5.56,0
1987-08-11,5.56,5.69,5.56,5.62,5.62,58200
1987-08-12,5.62,6.00,5.50,5.94,5.94,30800
1987-08-13,6.00,6.25,6.00,6.12,6.12,34000
1987-08-14,6.12,6.25,6.06,6.19,6.19,20400
1987-08-17,6.19,6.19,6.00,6.06,6.06,22400
1987-08-18,6.06,6.12,5.88,5.88,5.88,28400
1987-08-19,5.88,6.00,5.88,5.88,5.88,15200
1987-08-20,6.00,6.31,6.00,6.25,6.25,72600
1987-08-21,6.38,7.62,6.38,6.94,6.94,48400
1987-08-24,6.94,7.06,6.75,6.75,6.75,36800
1987-08-25,6.75,7.12,6.75,6.94,6.94,34000
1987-08-26,6.88,6.88,6.56,6.56,6.56,22400
1987-08-27,6.56,6.62,6.31,6.31,6.31,21000
1987-08-28,6.38,6.56,6.38,6.44,6.44,4000
1987-08-31,6.44,6.50,6.38,6.38,6.38,4200
1987-09-01,6.38,6.44,6.38,6.38,6.38,5600
1987-09-02,6.38,6.38,6.25,6.38,6.38,2200
1987-09-03,6.25,6.25,6.12,6.25,6.25,6000
1987-09-04,6.25,6.25,5.88,5.88,5.88,16600
1987-09-08,5.88,5.88,5.44,5.44,5.44,15200
1987-09-09,5.44,5.50,5.38,5.44,5.44,5800
1987-09-10,5.44,5.50,5.44,5.44,5.44,3000
1987-09-11,5.56,5.94,5.56,5.81,5.81,13800
1987-09-14,5.88,5.94,5.88,5.94,5.94,2800
1987-09-15,5.88,5.88,5.81,5.88,5.88,3000
1987-09-16,5.81,5.81,5.62,5.62,5.62,6000
1987-09-17,5.56,5.56,5.50,5.50,5.50,2400
1987-09-18,5.50,5.50,5.50,5.50,5.50,1000
1987-09-21,5.50,5.50,5.50,5.50,5.50,4200
1987-09-22,5.50,5.62,5.50,5.62,5.62,8200
1987-09-23,5.62,5.62,5.56,5.62,5.62,5200
1987-09-24,5.62,5.62,5.56,5.62,5.62,0
1987-09-25,5.62,5.69,5.62,5.62,5.62,400
1987-09-28,5.69,5.75,5.69,5.69,5.69,2800
1987-09-29,5.62,5.62,5.38,5.38,5.38,5600
1987-09-30,5.38,5.38,5.38,5.38,5.38,1600
1987-10-01,5.38,5.88,5.38,5.88,5.88,14000
1987-10-02,5.94,6.06,5.94,6.00,6.00,10600
1987-10-05,6.00,6.06,5.88,5.94,5.94,13600
1987-10-06,5.94,5.94,5.88,5.88,5.88,2600
1987-10-07,5.88,5.88,5.75,5.75,5.75,3000
1987-10-08,5.75,5.94,5.75,5.75,5.75,6800
1987-10-09,5.69,5.69,5.69,5.69,5.69,1000
1987-10-12,5.62,5.62,5.50,5.50,5.50,8600
1987-10-13,5.50,5.50,5.38,5.38,5.38,5200
1987-10-14,5.38,5.50,5.06,5.06,5.06,10600
1987-10-15,5.06,5.19,4.75,4.81,4.81,16600
1987-10-16,4.81,4.94,4.50,4.50,4.50,24800
1987-10-19,4.31,4.31,2.88,3.25,3.25,67400
1987-10-20,3.25,3.50,3.06,3.38,3.38,34600
1987-10-21,3.56,4.12,3.56,4.00,4.00,30200
1987-10-22,4.00,4.00,3.38,3.38,3.38,19600
1987-10-23,3.44,3.62,3.44,3.62,3.62,5000
1987-10-26,3.56,3.56,3.38,3.38,3.38,5000
1987-10-27,3.38,3.50,3.31,3.44,3.44,4400
1987-10-28,3.44,3.44,3.25,3.44,3.44,8600
1987-10-29,3.31,3.31,3.06,3.19,3.19,8800
1987-10-30,3.31,3.69,3.31,3.69,3.69,5200
1987-11-02,3.81,3.94,3.81,3.88,3.88,4000
1987-11-03,3.88,3.88,3.81,3.81,3.81,2000
1987-11-04,3.81,3.88,3.81,3.88,3.88,4800
1987-11-05,3.81,3.81,3.81,3.81,3.81,600
1987-11-06,3.81,3.94,3.81,3.81,3.81,3200
1987-11-09,3.75,3.75,3.38,3.44,3.44,6600
1987-11-10,3.38,3.38,3.38,3.38,3.38,600
1987-11-11,3.38,3.50,3.38,3.50,3.50,5400
1987-11-12,3.56,3.69,3.56,3.62,3.62,1800
1987-11-13,3.62,3.69,3.56,3.62,3.62,0
1987-11-16,3.62,3.62,3.56,3.56,3.56,2200
1987-11-17,3.56,3.69,3.50,3.56,3.56,16600
1987-11-18,3.56,3.69,3.56,3.69,3.69,4200
1987-11-19,3.69,3.75,3.62,3.69,3.69,5600
1987-11-20,3.62,3.62,3.50,3.50,3.50,7000
1987-11-23,3.50,3.62,3.50,3.50,3.50,8800
1987-11-24,3.50,3.56,3.44,3.50,3.50,2600
1987-11-25,3.50,3.56,3.50,3.50,3.50,6800
1987-11-27,3.50,3.56,3.38,3.38,3.38,1200
1987-11-30,3.31,3.31,3.19,3.19,3.19,2800
1987-12-01,3.12,3.12,3.06,3.06,3.06,4000
1987-12-02,3.06,3.19,3.06,3.06,3.06,25400
1987-12-03,3.00,3.00,3.00,3.00,3.00,2000
1987-12-04,3.00,3.06,2.88,2.88,2.88,8800
1987-12-07,2.81,2.81,2.75,2.75,2.75,5400
1987-12-08,2.69,2.69,2.56,2.56,2.56,5600
1987-12-09,2.56,2.69,2.50,2.69,2.69,27800
1987-12-10,2.69,2.94,2.69,2.75,2.75,8000
1987-12-11,2.75,2.94,2.69,2.69,2.69,13600
1987-12-14,2.69,2.75,2.62,2.69,2.69,9600
1987-12-15,2.69,2.75,2.69,2.75,2.75,16400
1987-12-16,2.75,2.75,2.69,2.69,2.69,9400
1987-12-17,2.69,2.75,2.56,2.62,2.62,16600
1987-12-18,2.62,2.69,2.50,2.62,2.62,35800
1987-12-21,2.62,2.69,2.38,2.38,2.38,30400
1987-12-22,2.38,2.69,2.38,2.69,2.69,20200
1987-12-23,2.69,2.75,2.62,2.69,2.69,23800
1987-12-24,2.69,2.69,2.62,2.62,2.62,11000
1987-12-28,2.62,2.69,2.56,2.69,2.69,26800
1987-12-29,2.62,2.62,2.50,2.56,2.56,29200
1987-12-30,2.56,2.62,2.44,2.62,2.62,23000
1987-12-31,2.62,3.44,2.44,3.38,3.38,87400
1988-01-04,3.38,3.94,3.31,3.94,3.94,48000
1988-01-05,3.94,4.19,3.88,4.06,4.06,47800
1988-01-06,4.06,4.75,4.06,4.75,4.75,14000
1988-01-07,4.75,4.75,4.69,4.69,4.69,22600
1988-01-08,4.69,4.69,4.56,4.56,4.56,17600
1988-01-11,4.38,4.38,4.19,4.31,4.31,10200
1988-01-12,4.25,4.25,3.94,4.00,4.00,13200
1988-01-13,4.00,4.06,3.94,4.06,4.06,4000
1988-01-14,4.12,4.19,4.12,4.19,4.19,1400
1988-01-15,4.31,4.38,4.31,4.31,4.31,8800
1988-01-18,4.31,4.38,4.31,4.31,4.31,0
1988-01-19,4.31,4.44,4.31,4.38,4.38,16000
1988-01-20,4.31,4.31,4.06,4.06,4.06,6000
1988-01-21,4.00,4.00,3.94,3.94,3.94,2000
1988-01-22,4.00,4.06,4.00,4.06,4.06,5000
1988-01-25,4.06,4.12,4.06,4.06,4.06,7800
1988-01-26,4.19,4.19,4.19,4.19,4.19,400
1988-01-27,4.19,4.31,4.06,4.06,4.06,6000
1988-01-28,4.06,4.12,4.06,4.12,4.12,8600
1988-01-29,4.06,4.06,4.00,4.00,4.00,3600
1988-02-01,4.19,4.38,4.19,4.38,4.38,8000
1988-02-02,4.31,4.31,4.25,4.25,4.25,3000
1988-02-03,4.38,4.38,4.38,4.38,4.38,1000
1988-02-04,4.31,4.31,4.25,4.25,4.25,3400
1988-02-05,4.25,4.38,4.25,4.25,4.25,3200
1988-02-08,4.25,4.31,4.12,4.25,4.25,4800
1988-02-09,4.25,4.31,4.12,4.25,4.25,0
1988-02-10,4.19,4.19,4.12,4.12,4.12,3000
1988-02-11,4.00,4.00,3.94,4.00,4.00,3200
1988-02-12,4.06,4.06,4.06,4.06,4.06,3000
1988-02-16,4.19,4.25,4.19,4.19,4.19,6200
1988-02-17,4.19,4.19,4.19,4.19,4.19,200
1988-02-18,4.19,4.19,4.00,4.19,4.19,17000
1988-02-19,4.12,4.12,4.06,4.06,4.06,3800
1988-02-22,4.06,4.06,4.00,4.06,4.06,3200
1988-02-23,4.06,4.06,4.06,4.06,4.06,1800
1988-02-24,4.06,4.06,4.00,4.00,4.00,2400
1988-02-25,4.00,4.06,4.00,4.00,4.00,3400
1988-02-26,4.00,4.00,4.00,4.00,4.00,200
1988-02-29,4.00,4.06,4.00,4.06,4.06,34600
1988-03-01,4.00,4.06,4.00,4.06,4.06,0
1988-03-02,4.06,4.06,3.94,4.06,4.06,6200
1988-03-03,4.06,4.06,4.00,4.00,4.00,2800
1988-03-04,4.00,4.06,4.00,4.00,4.00,2400
1988-03-07,4.06,4.31,4.06,4.19,4.19,30600
1988-03-08,4.19,4.25,4.12,4.19,4.19,13400
1988-03-09,4.19,4.31,4.19,4.25,4.25,10600
