Date,Open,High,Low,Close,Adj Close,Volume
2004-08-16,17.54,17.54,17.50,17.50,8.21,684700
2004-08-17,17.35,17.40,17.15,17.34,8.13,295900
2004-08-18,17.25,17.29,17.00,17.11,8.02,121300
2004-08-19,17.10,17.40,17.09,17.09,8.02,64700
2004-08-20,17.09,17.50,17.09,17.40,8.16,131700
2004-08-23,17.45,17.50,17.25,17.42,8.17,30700
2004-08-24,17.49,17.80,17.49,17.62,8.26,99800
2004-08-25,17.62,17.62,17.50,17.55,8.23,13500
2004-08-26,17.60,17.72,17.50,17.51,8.21,75700
2004-08-27,17.30,17.59,17.30,17.59,8.25,38100
2004-08-30,17.65,17.70,17.48,17.54,8.23,73100
2004-08-31,17.45,17.80,17.42,17.70,8.30,77500
2004-09-01,17.85,17.90,17.63,17.85,8.37,94500
2004-09-02,17.80,18.09,17.80,17.92,8.40,98600
2004-09-03,17.96,18.10,17.90,18.00,8.44,29900
2004-09-07,18.00,18.20,17.90,18.06,8.47,106300
2004-09-08,18.15,18.15,17.95,18.07,8.47,135100
2004-09-09,18.06,18.10,17.82,18.08,8.48,410300
2004-09-10,18.02,18.34,17.95,18.25,8.56,71100
2004-09-13,17.71,18.35,17.71,18.29,8.58,151400
2004-09-14,18.05,18.40,18.05,18.30,8.58,61900
2004-09-15,18.11,18.25,17.90,18.24,8.55,58200
2004-09-16,18.25,18.44,18.02,18.35,8.61,82700
2004-09-17,18.40,18.42,18.32,18.39,8.63,42400
2004-09-20,18.43,18.78,18.25,18.70,8.77,100500
2004-09-21,18.75,18.80,18.50,18.80,8.82,136800
2004-09-22,18.50,18.82,18.50,18.77,8.80,51500
2004-09-23,18.65,19.05,18.60,18.75,8.79,90000
2004-09-24,18.75,18.94,18.60,18.73,8.78,106700
2004-09-27,18.60,18.70,18.40,18.45,8.65,384300
2004-09-28,18.45,18.60,18.44,18.60,8.72,159900
2004-09-29,18.70,18.75,18.33,18.45,8.65,354700
2004-09-30,18.50,18.65,18.05,18.56,8.70,473100
2004-10-01,18.62,18.90,18.50,18.90,8.86,78800
2004-10-04,18.90,19.07,18.90,19.00,8.91,136200
2004-10-05,19.02,19.03,18.89,19.03,8.93,81700
2004-10-06,19.03,19.33,19.03,19.30,9.05,53100
2004-10-07,19.45,19.55,18.95,19.22,9.01,81100
2004-10-08,19.20,19.60,19.20,19.47,9.13,81200
2004-10-11,19.47,19.47,19.10,19.40,9.10,61200
2004-10-12,19.40,19.72,19.27,19.72,9.25,63600
2004-10-13,19.72,19.75,19.53,19.62,9.20,95000
2004-10-14,19.55,19.62,19.50,19.57,9.18,94600
2004-10-15,19.57,19.70,19.55,19.60,9.19,79900
2004-10-18,19.70,19.79,19.60,19.60,9.19,23300
2004-10-19,19.68,19.70,19.59,19.68,9.23,26200
2004-10-20,19.68,19.90,19.50,19.90,9.33,36800
2004-10-21,19.98,19.98,19.57,19.70,9.24,28400
2004-10-22,19.70,19.80,19.55,19.64,9.21,66800
2004-10-25,19.60,19.60,19.11,19.28,9.04,29800
2004-10-26,19.25,19.48,19.15,19.28,9.04,50300
2004-10-27,19.18,19.35,18.90,19.01,8.92,70200
2004-10-28,19.01,19.10,18.94,18.95,8.89,168200
2004-10-29,18.95,18.95,18.58,18.90,8.86,46300
2004-11-01,18.90,18.90,18.50,18.75,8.79,36600
2004-11-02,18.80,19.05,18.75,19.00,8.91,20000
2004-11-03,19.00,19.25,18.90,19.00,8.91,60300
2004-11-04,19.00,19.05,18.99,19.04,8.93,22800
2004-11-05,19.05,19.25,18.95,19.09,8.95,10800
2004-11-08,19.09,19.10,18.95,19.05,8.93,20800
2004-11-09,19.05,19.10,18.70,18.96,8.89,27500
2004-11-10,18.95,19.10,18.95,19.09,8.95,50900
2004-11-11,19.09,19.10,18.90,19.00,8.91,12100
2004-11-12,19.00,19.20,18.85,19.20,9.00,69600
2004-11-15,19.20,19.35,19.15,19.30,9.05,112100
2004-11-16,19.30,19.90,19.30,19.80,9.29,96600
2004-11-17,19.95,20.45,19.95,20.40,9.57,118900
2004-11-18,20.20,20.41,20.10,20.40,9.65,38300
2004-11-19,20.42,20.50,20.26,20.30,9.60,55800
2004-11-22,20.30,20.68,20.30,20.68,9.78,117500
2004-11-23,20.75,20.80,20.41,20.60,9.74,103000
2004-11-24,20.65,20.80,20.58,20.65,9.76,26800
2004-11-26,20.75,20.75,20.52,20.70,9.79,19000
2004-11-29,20.85,21.25,20.85,21.02,9.94,47100
2004-11-30,21.02,21.02,20.75,20.90,9.88,44100
2004-12-01,21.00,21.87,20.91,21.84,10.33,55900
2004-12-02,21.84,22.19,21.61,21.72,10.27,53300
2004-12-03,21.75,21.85,21.46,21.56,10.19,21100
2004-12-06,21.52,21.79,21.45,21.67,10.25,56900
2004-12-07,21.70,21.75,20.83,20.83,9.85,47000
2004-12-08,20.84,21.19,20.55,21.15,10.00,58100
2004-12-09,21.15,21.25,21.12,21.17,10.01,34700
2004-12-10,21.02,21.65,21.00,21.65,10.24,58000
2004-12-13,21.65,22.00,21.40,21.99,10.40,41500
2004-12-14,22.00,22.00,21.90,21.99,10.40,67400
2004-12-15,22.00,22.00,21.30,21.50,10.17,33200
2004-12-16,21.35,21.38,21.22,21.31,10.08,66500
2004-12-17,21.40,21.98,21.33,21.93,10.37,77500
2004-12-20,21.93,21.95,21.50,21.75,10.28,33200
2004-12-21,21.80,22.30,21.80,22.20,10.50,50300
2004-12-22,22.10,22.34,22.02,22.30,10.54,109500
2004-12-23,22.30,22.37,22.25,22.37,10.58,10800
2004-12-27,22.37,22.47,22.12,22.12,10.46,12500
2004-12-28,22.22,23.06,22.22,22.48,10.63,9500
2004-12-29,22.48,22.49,22.33,22.45,10.62,10300
2004-12-30,22.30,22.52,22.28,22.45,10.62,11400
2004-12-31,22.30,22.54,22.30,22.49,10.63,24500
2005-01-03,22.60,22.75,22.41,22.55,10.66,205000
2005-01-04,22.65,22.65,21.60,22.05,10.43,61800
2005-01-05,21.95,21.95,21.09,21.20,10.02,109800
2005-01-06,21.21,21.21,20.75,21.02,9.94,63000
2005-01-07,21.02,21.20,20.90,21.15,10.00,43100
2005-01-10,21.15,21.69,21.15,21.69,10.26,31800
2005-01-11,21.64,21.64,21.45,21.50,10.17,10700
2005-01-12,21.50,21.60,20.85,21.56,10.19,37100
2005-01-13,21.56,21.72,21.10,21.15,10.00,567400
2005-01-14,21.25,21.60,21.15,21.50,10.17,92900
2005-01-18,21.50,21.90,21.40,21.90,10.36,53100
2005-01-19,21.90,22.00,21.62,21.99,10.40,37900
2005-01-20,21.90,21.90,21.40,21.42,10.13,58400
2005-01-21,21.60,21.87,21.45,21.85,10.33,107000
2005-01-24,21.90,21.90,21.55,21.55,10.19,18400
2005-01-25,21.56,21.76,20.95,21.01,9.93,102100
