Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,39.01,40.62,36.21,40.30,40.30,11245600
2019-06-28,42.10,48.83,41.25,48.30,48.30,5403800
2019-07-01,51.00,51.00,39.58,40.10,40.10,4300600
2019-07-02,40.00,40.40,37.95,38.89,38.89,1877700
2019-07-03,39.55,39.55,38.60,39.16,39.16,1010600
2019-07-05,39.30,40.60,37.75,40.51,40.51,919100
2019-07-08,40.15,40.35,37.40,37.51,37.51,934300
2019-07-09,37.50,37.82,36.50,37.00,37.00,751200
2019-07-10,37.25,38.95,36.87,37.70,37.70,619100
2019-07-11,37.80,38.68,37.51,37.64,37.64,195900
2019-07-12,37.47,39.20,36.95,39.00,39.00,248600
2019-07-15,39.04,39.06,37.63,38.14,38.14,239600
2019-07-16,38.04,39.21,37.92,38.65,38.65,230900
2019-07-17,38.65,39.13,37.82,38.09,38.09,192000
2019-07-18,38.00,38.80,36.89,38.01,38.01,162800
2019-07-19,38.00,38.82,37.19,38.53,38.53,172700
2019-07-22,38.69,40.97,38.15,39.27,39.27,798400
2019-07-23,39.90,40.92,39.59,40.38,40.38,321800
2019-07-24,40.30,40.80,38.88,40.38,40.38,274500
2019-07-25,40.45,40.90,39.71,40.21,40.21,188000
2019-07-26,40.26,40.85,39.28,39.67,39.67,113300
2019-07-29,39.91,39.91,37.26,37.76,37.76,443200
2019-07-30,37.52,38.06,36.77,36.90,36.90,479700
2019-07-31,37.34,39.63,37.34,38.55,38.55,224500
2019-08-01,38.55,39.98,38.25,38.63,38.63,274900
2019-08-02,38.61,38.80,37.20,37.33,37.33,276100
2019-08-05,36.63,36.71,34.11,35.12,35.12,689100
2019-08-06,35.17,36.39,34.52,36.38,36.38,190100
2019-08-07,36.05,40.25,35.76,38.99,38.99,353700
2019-08-08,39.19,39.97,38.58,39.70,39.70,220600
2019-08-09,39.70,41.88,39.69,41.63,41.63,444300
2019-08-12,41.50,43.06,40.54,42.01,42.01,435500
2019-08-13,42.00,43.39,41.00,43.08,43.08,444700
2019-08-14,39.17,44.42,37.00,43.49,43.49,973400
2019-08-15,43.99,48.50,42.17,47.81,47.81,1010500
2019-08-16,47.58,48.06,45.53,46.10,46.10,607800
2019-08-19,46.25,46.99,44.50,46.08,46.08,292100
2019-08-20,45.91,46.55,44.80,45.04,45.04,216600
2019-08-21,45.19,47.46,44.33,46.93,46.93,227600
2019-08-22,46.84,48.00,45.51,45.87,45.87,192400
2019-08-23,45.31,47.66,42.61,43.11,43.11,248600
2019-08-26,43.75,44.90,42.51,44.19,44.19,168600
2019-08-27,44.50,45.26,41.88,44.49,44.49,285300
2019-08-28,44.27,47.78,43.13,47.42,47.42,246900
2019-08-29,47.55,50.56,46.90,50.11,50.11,406400
2019-08-30,50.65,52.42,49.57,50.85,50.85,333100
2019-09-03,50.98,51.86,46.39,51.33,51.33,443900
2019-09-04,51.05,54.23,51.05,53.51,53.51,377100
2019-09-05,53.70,55.12,43.60,44.60,44.60,1080300
2019-09-06,45.27,46.22,43.53,43.83,43.83,266500
2019-09-09,44.02,44.79,39.00,39.48,39.48,480000
2019-09-10,39.95,41.42,38.21,41.27,41.27,423300
2019-09-11,40.87,43.50,39.74,41.76,41.76,477600
2019-09-12,42.10,42.64,39.00,39.76,39.76,384600
2019-09-13,39.84,44.01,38.75,43.20,43.20,722900
2019-09-16,43.10,44.80,41.17,41.53,41.53,317300
2019-09-17,41.99,43.00,39.84,40.35,40.35,598900
2019-09-18,39.86,41.50,39.12,39.59,39.59,506400
2019-09-19,39.74,40.27,38.80,39.02,39.02,506900
2019-09-20,39.47,40.68,38.53,40.20,40.20,1910900
2019-09-23,39.95,41.20,39.56,40.53,40.53,409600
2019-09-24,40.33,40.40,37.00,37.38,37.38,645300
2019-09-25,37.75,38.30,33.01,34.96,34.96,1080800
2019-09-26,35.24,35.49,31.78,32.19,32.19,538800
2019-09-27,32.17,32.90,30.10,30.31,30.31,735600
2019-09-30,30.92,31.48,29.77,30.90,30.90,682200
2019-10-01,31.09,32.31,29.08,30.12,30.12,601800
2019-10-02,29.57,30.68,28.01,29.95,29.95,982500
2019-10-03,29.89,31.20,28.64,30.91,30.91,673600
2019-10-04,31.08,34.78,31.08,31.64,31.64,791200
2019-10-07,31.48,32.82,31.05,32.80,32.80,236000
2019-10-08,32.38,33.49,29.29,29.60,29.60,587600
2019-10-09,30.07,30.69,28.72,28.90,28.90,392300
2019-10-10,28.99,29.96,28.10,28.70,28.70,410900
2019-10-11,29.03,29.12,27.39,27.54,27.54,456600
2019-10-14,27.35,28.25,26.63,27.13,27.13,374000
2019-10-15,27.45,30.48,26.67,29.89,29.89,880800
2019-10-16,29.78,31.24,29.16,30.13,30.13,475700
2019-10-17,30.28,31.15,29.32,31.02,31.02,336900
2019-10-18,30.99,31.29,28.51,29.27,29.27,382400
2019-10-21,28.39,29.41,25.70,26.38,26.38,745900
2019-10-22,26.82,26.85,25.00,25.51,25.51,548200
2019-10-23,25.65,26.59,24.11,24.56,24.56,682800
2019-10-24,24.72,27.25,24.05,26.00,26.00,801100
2019-10-25,26.10,26.47,25.07,25.62,25.62,379000
2019-10-28,25.87,27.23,25.32,26.09,26.09,326400
2019-10-29,26.06,26.74,25.25,26.20,26.20,336800
2019-10-30,26.14,26.48,25.38,26.08,26.08,247100
2019-10-31,26.10,26.19,25.07,26.07,26.07,297200
2019-11-01,26.17,28.82,25.96,28.10,28.10,554700
2019-11-04,28.59,30.58,28.05,30.46,30.46,422600
2019-11-05,30.59,30.85,27.05,28.00,28.00,724400
2019-11-06,27.87,28.75,26.01,26.78,26.78,687200
2019-11-07,26.93,28.15,26.52,26.63,26.63,330600
2019-11-08,26.70,28.18,26.37,27.59,27.59,351700
2019-11-11,27.64,28.79,27.33,28.32,28.32,273200
2019-11-12,28.32,29.46,27.62,28.35,28.35,374900
2019-11-13,29.74,30.62,26.26,27.27,27.27,1063200
2019-11-14,27.45,27.50,26.12,27.29,27.29,548300
2019-11-15,27.25,29.11,27.00,28.51,28.51,628700
2019-11-18,28.50,31.16,28.12,30.14,30.14,819300
2019-11-19,30.39,30.99,28.41,28.85,28.85,534800
2019-11-20,28.77,29.68,28.50,28.75,28.75,546700
2019-11-21,28.48,28.86,27.36,27.86,27.86,472000
2019-11-22,28.06,28.84,27.52,28.64,28.64,282900
2019-11-25,28.70,30.11,28.21,29.72,29.72,470000
2019-11-26,29.65,29.65,27.95,28.15,28.15,582000
2019-11-27,28.15,28.49,27.66,27.83,27.83,286600
2019-11-29,28.18,28.19,26.64,27.19,27.19,209100
2019-12-02,27.23,27.80,26.50,27.50,27.50,311700
2019-12-03,27.11,27.67,26.84,26.97,26.97,396200
2019-12-04,27.00,27.22,26.41,27.17,27.17,592300
2019-12-05,27.21,30.45,27.05,29.35,29.35,766600
