Date,Open,High,Low,Close,Adj Close,Volume
2018-01-19,12.65,12.97,12.00,12.39,10.62,68187400
2018-01-22,12.12,12.18,11.12,11.45,9.82,26132900
2018-01-23,11.47,12.12,11.45,11.91,10.21,8272100
2018-01-24,11.91,12.14,11.30,11.91,10.21,10369000
2018-01-25,11.91,11.94,11.60,11.90,10.20,9448600
2018-01-26,11.81,11.92,11.75,11.90,10.20,7910600
2018-01-29,11.89,12.23,11.85,12.08,10.36,9508400
2018-01-30,12.00,12.40,11.91,12.40,10.63,5638800
2018-01-31,12.46,12.57,12.40,12.48,10.70,6624700
2018-02-01,12.48,12.81,12.45,12.75,10.93,6075100
2018-02-02,12.64,12.95,12.60,12.86,11.02,6012400
2018-02-05,12.80,12.85,12.46,12.64,10.84,4006400
2018-02-06,12.20,12.50,12.14,12.30,10.54,4608500
2018-02-07,12.22,12.54,12.20,12.51,10.72,2671200
2018-02-08,12.57,12.57,12.27,12.37,10.60,4065800
2018-02-09,12.39,12.68,12.15,12.64,10.84,4091500
2018-02-12,12.64,12.77,12.47,12.68,10.87,2783100
2018-02-13,13.00,13.02,12.09,12.15,10.42,6081700
2018-02-14,12.18,12.19,11.77,11.94,10.24,5808100
2018-02-15,11.94,11.98,11.18,11.69,10.02,5526000
2018-02-16,11.76,11.90,11.56,11.58,9.93,1617300
2018-02-20,11.53,11.69,11.42,11.59,9.94,1824400
2018-02-21,11.67,11.73,11.55,11.65,9.99,2562200
2018-02-22,11.66,12.00,11.59,11.91,10.21,2007200
2018-02-23,11.90,12.09,11.71,11.98,10.27,3210000
2018-02-26,12.03,12.19,11.87,12.15,10.42,1639700
2018-02-27,12.14,12.38,11.47,11.60,9.94,1849200
2018-02-28,11.38,11.38,10.55,10.56,9.05,6566400
2018-03-01,10.69,10.83,10.57,10.68,9.16,2502000
2018-03-02,10.69,11.16,10.58,11.07,9.49,3135000
2018-03-05,10.98,11.25,10.72,10.72,9.19,2845500
2018-03-06,10.81,10.81,10.27,10.35,8.87,4146200
2018-03-07,10.30,10.55,10.23,10.40,8.92,1714600
2018-03-08,10.54,10.77,10.46,10.52,9.02,4982700
2018-03-09,10.65,10.66,10.45,10.53,9.03,1995000
2018-03-12,10.61,10.77,10.53,10.71,9.18,2337500
2018-03-13,10.65,10.80,10.53,10.54,9.04,3052700
2018-03-14,10.67,10.68,10.21,10.21,8.75,5656700
2018-03-15,10.75,10.75,8.90,8.93,7.66,10293500
2018-03-16,9.03,9.44,8.70,8.73,7.48,17341300
2018-03-19,8.72,9.20,8.56,9.14,7.84,6452500
2018-03-20,9.24,9.24,8.89,8.96,7.68,3126400
2018-03-21,9.00,9.19,8.91,8.97,7.69,3754700
2018-03-22,8.90,8.94,8.62,8.67,7.43,2408100
2018-03-23,8.74,8.76,8.02,8.10,6.97,4169000
2018-03-26,8.22,8.25,7.89,7.95,6.84,4396900
2018-03-27,7.95,7.99,7.51,7.56,6.51,3582900
2018-03-28,7.63,7.94,7.53,7.60,6.54,3590900
2018-03-29,7.59,7.95,7.59,7.93,6.83,2952700
2018-04-02,7.97,8.05,7.67,7.83,6.74,2443700
2018-04-03,7.94,7.94,7.36,7.55,6.50,3926500
2018-04-04,7.46,7.92,7.45,7.85,6.76,4205600
2018-04-05,8.17,8.89,8.07,8.81,7.58,10407600
2018-04-06,8.68,8.90,8.50,8.75,7.53,3687600
2018-04-09,8.76,9.36,8.76,9.12,7.85,4643200
2018-04-10,9.13,9.28,8.86,9.05,7.79,4052700
2018-04-11,8.96,9.15,8.88,9.02,7.76,1979700
2018-04-12,9.07,9.25,8.95,9.10,7.83,2704300
2018-04-13,9.10,9.33,8.85,8.99,7.74,2198600
2018-04-16,9.05,9.07,8.89,8.99,7.74,1314100
2018-04-17,9.08,9.27,8.97,9.25,7.96,2045800
2018-04-18,9.24,9.63,9.20,9.56,8.23,2788800
2018-04-19,9.50,9.66,9.22,9.38,8.07,3010800
2018-04-20,9.37,9.44,9.18,9.30,8.01,1070900
2018-04-23,9.25,9.33,8.83,8.95,7.70,2354200
2018-04-24,9.02,9.21,8.98,8.99,7.74,1616800
2018-04-25,8.92,9.20,8.84,9.12,7.85,1251100
2018-04-26,9.12,9.17,8.74,9.08,7.82,3967900
2018-04-27,9.07,9.22,9.04,9.11,7.84,1356600
2018-04-30,9.19,9.22,8.82,8.91,7.67,2558300
2018-05-01,8.92,8.99,8.66,8.68,7.47,1698000
2018-05-02,8.70,8.76,8.64,8.70,7.49,1727700
2018-05-03,8.71,8.75,8.25,8.28,7.13,3358800
2018-05-04,8.25,8.45,8.01,8.08,6.95,4964300
2018-05-07,8.15,8.47,8.15,8.44,7.26,2578200
2018-05-08,8.43,8.75,8.34,8.57,7.38,4159200
2018-05-09,8.99,9.12,7.64,7.82,6.73,11564900
2018-05-10,7.84,8.09,7.84,7.92,6.82,4317400
2018-05-11,7.94,7.97,7.32,7.40,6.37,6672800
2018-05-14,7.45,7.57,7.27,7.30,6.28,6584800
2018-05-15,7.25,7.27,6.93,7.13,6.14,7754600
2018-05-16,7.15,7.21,6.99,7.00,6.03,3923900
2018-05-17,7.02,7.41,7.02,7.17,6.17,5713200
2018-05-18,7.20,7.51,7.20,7.27,6.26,3752500
2018-05-21,7.35,7.80,7.32,7.75,6.67,4144800
2018-05-22,7.80,7.95,7.62,7.64,6.58,3737200
2018-05-23,7.57,7.72,7.51,7.67,6.60,1666300
2018-05-24,7.68,7.75,7.58,7.70,6.63,1736000
2018-05-25,7.71,7.72,7.46,7.47,6.43,2114100
2018-05-29,7.42,7.59,7.35,7.46,6.42,3414100
2018-05-30,7.52,7.69,7.47,7.67,6.60,2222400
2018-05-31,7.70,7.72,7.44,7.52,6.47,3670600
2018-06-01,7.56,7.69,7.45,7.64,6.58,3240500
2018-06-04,7.63,7.82,7.62,7.80,6.71,1267400
2018-06-05,7.84,7.99,7.75,7.96,6.85,1447800
2018-06-06,7.99,8.17,7.87,7.96,6.85,2587300
2018-06-07,8.01,8.07,7.84,8.00,6.89,1368600
2018-06-08,8.00,8.26,7.92,8.22,7.08,2004700
2018-06-11,8.22,8.29,7.86,7.97,6.86,3721400
2018-06-12,7.97,8.31,7.89,8.29,7.14,3254700
2018-06-13,8.27,8.34,7.98,8.05,6.93,3093300
2018-06-14,8.08,8.18,7.93,8.09,6.96,2884200
2018-06-15,8.07,8.10,7.93,7.98,6.87,2760000
2018-06-18,8.00,8.31,7.90,8.29,7.14,3408700
2018-06-19,8.20,8.34,8.18,8.26,7.11,2222700
2018-06-20,8.27,8.82,8.24,8.70,7.49,4370000
2018-06-21,8.74,8.94,8.53,8.67,7.46,3147700
2018-06-22,8.72,8.80,8.52,8.73,7.54,2749600
2018-06-25,8.73,8.80,8.53,8.69,7.51,4656800
2018-06-26,8.70,8.84,8.70,8.77,7.58,1710300
2018-06-27,8.80,9.03,8.77,8.87,7.67,2056600
2018-06-28,8.88,8.90,8.39,8.42,7.28,3688800
2018-06-29,8.51,8.92,8.42,8.65,7.48,3132200
2018-07-02,8.55,8.65,8.03,8.15,7.04,2936300
2018-07-03,8.18,8.29,8.04,8.05,6.96,1478900
2018-07-05,8.14,8.14,7.80,8.08,6.98,1888800
2018-07-06,8.04,8.24,8.01,8.18,7.07,794100
2018-07-09,8.23,8.62,8.22,8.54,7.38,1872200
2018-07-10,8.59,8.67,8.34,8.62,7.45,2203100
2018-07-11,8.56,8.77,8.44,8.58,7.42,1597900
2018-07-12,8.67,9.04,8.51,8.92,7.71,2570900
2018-07-13,8.91,9.21,8.83,8.96,7.74,2935800
2018-07-16,9.02,9.19,9.00,9.18,7.93,1453200
2018-07-17,9.18,9.43,9.15,9.39,8.12,2589200
2018-07-18,9.41,9.60,9.37,9.45,8.17,2028600
2018-07-19,9.45,9.47,9.22,9.36,8.09,2050900
2018-07-20,9.38,9.50,9.31,9.35,8.08,1512500
2018-07-23,9.40,9.47,9.23,9.36,8.09,1682300
2018-07-24,9.41,9.53,9.22,9.25,7.99,1752400
2018-07-25,9.26,9.34,8.98,9.23,7.98,1345300
2018-07-26,9.20,9.32,9.00,9.10,7.86,1383900
2018-07-27,9.18,9.19,8.87,9.01,7.79,2238200
2018-07-30,9.00,9.04,8.77,8.78,7.59,1711600
2018-07-31,8.80,9.18,8.78,9.01,7.79,3398800
2018-08-01,9.03,9.15,8.86,8.95,7.74,1071500
2018-08-02,8.88,8.91,8.56,8.62,7.45,2390200
2018-08-03,8.64,8.94,8.64,8.91,7.70,1804500
2018-08-06,8.92,9.04,8.85,8.98,7.76,1465100
2018-08-07,9.08,9.25,9.03,9.15,7.91,2852400
2018-08-08,9.21,9.52,9.14,9.48,8.19,5827800
2018-08-09,8.93,9.33,8.41,8.47,7.32,6842000
2018-08-10,8.71,9.15,8.55,8.90,7.69,4924900
2018-08-13,8.89,9.23,8.89,9.15,7.91,2992800
2018-08-14,9.20,9.21,8.86,8.90,7.69,3111200
2018-08-15,8.87,8.90,8.71,8.73,7.54,1996600
2018-08-16,8.79,8.85,8.55,8.72,7.54,2375900
2018-08-17,8.73,8.77,8.60,8.71,7.53,1376800
2018-08-20,8.75,8.82,8.63,8.69,7.51,1857700
2018-08-21,8.76,9.22,8.71,9.14,7.90,3548900
2018-08-22,9.14,9.15,8.81,9.08,7.85,2491300
2018-08-23,9.08,9.13,8.90,8.99,7.77,3268300
2018-08-24,9.02,9.13,8.95,9.01,7.79,1129200
2018-08-27,9.05,9.06,8.95,9.04,7.81,1856100
2018-08-28,9.05,9.60,9.00,9.21,7.96,4667900
2018-08-29,9.27,9.34,8.97,9.25,7.99,3115000
2018-08-30,9.25,9.32,8.84,8.93,7.72,3088100
2018-08-31,8.96,9.04,8.86,8.95,7.74,999500
2018-09-04,8.96,9.25,8.83,9.19,7.94,1721700
2018-09-05,8.83,8.92,8.30,8.77,7.58,8316100
2018-09-06,8.78,9.11,8.66,8.96,7.74,3998700
2018-09-07,8.93,9.01,8.76,8.80,7.61,1034300
2018-09-10,8.85,8.89,8.59,8.64,7.47,2081500
2018-09-11,8.58,8.69,8.48,8.52,7.36,2682500
2018-09-12,8.55,8.64,8.44,8.61,7.44,1540900
2018-09-13,8.62,8.70,8.56,8.59,7.42,1068000
2018-09-14,8.55,8.65,8.54,8.56,7.40,1301900
2018-09-17,8.52,8.60,8.37,8.40,7.29,1658100
