Date,Open,High,Low,Close,Adj Close,Volume
1991-06-26,3.11,3.36,3.11,3.28,2.23,16683528
1991-06-27,3.36,3.44,3.26,3.32,2.26,6160224
1991-06-28,3.32,3.40,3.24,3.30,2.25,2384862
1991-07-01,3.36,3.36,3.28,3.32,2.26,1782930
1991-07-02,3.36,3.36,3.32,3.36,2.29,1271226
1991-07-03,3.32,3.36,3.24,3.32,2.26,1214988
1991-07-05,3.32,3.32,3.20,3.20,2.18,230514
1991-07-08,3.20,3.32,3.20,3.20,2.18,550020
1991-07-09,3.26,3.48,3.20,3.44,2.34,3100506
1991-07-10,3.48,3.72,3.48,3.72,2.54,1238472
1991-07-11,3.72,3.88,3.64,3.78,2.58,2259408
1991-07-12,3.84,3.84,3.68,3.72,2.54,733566
1991-07-15,3.76,3.76,3.68,3.72,2.54,404172
1991-07-16,3.72,3.92,3.68,3.92,2.67,1534494
1991-07-17,3.84,4.21,3.84,4.13,2.81,3741990
1991-07-18,4.13,4.25,4.05,4.13,2.81,3756204
1991-07-19,4.17,4.17,3.92,3.92,2.67,1457244
1991-07-22,4.00,4.05,3.92,3.92,2.67,499344
1991-07-23,3.92,3.96,3.70,3.74,2.55,783006
1991-07-24,3.72,3.84,3.64,3.64,2.48,524064
1991-07-25,3.72,3.72,3.60,3.60,2.54,211356
1991-07-26,3.58,3.64,3.56,3.64,2.57,494400
1991-07-29,3.68,3.68,3.56,3.68,2.60,77868
1991-07-30,3.68,3.98,3.60,3.96,2.80,630360
1991-07-31,3.96,4.09,3.92,4.05,2.86,1389882
1991-08-01,4.09,4.09,4.00,4.09,2.89,320742
1991-08-02,4.05,4.13,4.05,4.05,2.86,728004
1991-08-05,4.00,4.13,3.96,3.96,2.80,746544
1991-08-06,3.92,4.00,3.88,4.00,2.83,140904
1991-08-07,4.00,4.00,3.96,4.00,2.83,210738
1991-08-08,4.00,4.00,3.96,4.00,2.83,448668
1991-08-09,4.00,4.00,3.92,3.94,2.79,353496
1991-08-12,3.88,3.92,3.84,3.92,2.77,132870
1991-08-13,3.84,3.92,3.84,3.92,2.77,131634
1991-08-14,3.92,3.96,3.84,3.96,2.80,122982
1991-08-15,3.96,3.96,3.88,3.96,2.80,162534
1991-08-16,3.88,4.00,3.88,3.92,2.77,93318
1991-08-19,3.68,3.80,3.60,3.74,2.64,414678
1991-08-20,3.80,3.88,3.76,3.88,2.74,267594
1991-08-21,3.92,3.96,3.84,3.88,2.74,412206
1991-08-22,3.96,3.96,3.88,3.96,2.80,53148
1991-08-23,3.96,4.05,3.88,4.00,2.83,117420
1991-08-26,3.96,4.05,3.96,4.05,2.86,19776
1991-08-27,4.05,4.21,3.96,4.21,2.97,554964
1991-08-28,4.25,4.41,4.17,4.33,3.06,654462
1991-08-29,4.33,4.33,4.25,4.27,3.01,268212
1991-08-30,4.33,4.33,4.25,4.29,3.03,162534
1991-09-03,4.29,4.29,4.25,4.29,3.03,237930
1991-09-04,4.25,4.31,4.25,4.25,3.00,449286
1991-09-05,4.25,4.29,4.25,4.25,3.00,148320
1991-09-06,4.29,4.29,4.25,4.25,3.00,687834
1991-09-09,4.25,4.29,4.25,4.29,3.03,109386
1991-09-10,4.25,4.29,4.25,4.25,3.00,275010
1991-09-11,4.29,4.37,4.25,4.33,3.06,436926
