Date,Open,High,Low,Close,Adj Close,Volume
1992-04-16,4.67,4.75,4.67,4.67,4.13,3240000
1992-04-20,4.67,4.75,4.67,4.75,4.20,291000
1992-04-21,4.67,4.75,4.67,4.67,4.13,154800
1992-04-22,4.67,4.75,4.67,4.75,4.20,103800
1992-04-23,4.75,4.75,4.67,4.67,4.13,16800
1992-04-24,4.71,4.92,4.67,4.83,4.28,177300
1992-04-27,4.92,4.92,4.75,4.75,4.20,9000
1992-04-28,4.75,4.79,4.75,4.79,4.24,30300
1992-04-29,4.79,4.83,4.75,4.75,4.20,81000
1992-04-30,4.92,5.17,4.83,5.00,4.42,58500
1992-05-01,5.00,5.17,4.92,4.92,4.35,4200
1992-05-04,4.92,5.17,4.92,5.17,4.57,8100
1992-05-05,4.92,5.17,4.92,5.00,4.42,4200
1992-05-06,5.00,5.04,4.96,4.96,4.39,265500
1992-05-07,5.17,5.17,4.92,5.17,4.57,33900
1992-05-08,4.92,5.17,4.92,5.17,4.57,1500
1992-05-11,5.17,5.17,4.92,5.00,4.42,7800
1992-05-12,4.92,5.00,4.92,4.96,4.39,20400
1992-05-13,4.92,5.08,4.92,5.08,4.50,3300
1992-05-14,4.92,5.00,4.83,4.83,4.28,258000
1992-05-15,4.75,4.83,4.67,4.67,4.13,27600
1992-05-18,4.67,4.75,4.67,4.67,4.13,48000
1992-05-19,4.67,4.67,4.58,4.58,4.05,77100
1992-05-20,4.75,4.83,4.58,4.58,4.05,34800
1992-05-21,4.67,4.71,4.58,4.58,4.05,13800
1992-05-22,4.83,4.83,4.71,4.75,4.20,111000
1992-05-26,4.67,4.75,4.67,4.75,4.20,284700
1992-05-27,4.71,4.71,4.71,4.71,4.17,12000
1992-05-28,4.67,4.67,4.67,4.67,4.13,15000
1992-05-29,4.58,4.67,4.58,4.67,4.13,7500
1992-06-01,4.67,4.67,4.58,4.67,4.13,83700
1992-06-02,4.58,4.83,4.58,4.83,4.28,13800
1992-06-03,4.58,4.83,4.58,4.83,4.28,2700
1992-06-04,4.71,4.83,4.58,4.83,4.28,14100
1992-06-05,4.71,4.83,4.71,4.83,4.28,2400
1992-06-08,4.58,4.58,4.58,4.58,4.05,6000
1992-06-09,4.58,4.58,4.58,4.58,4.05,0
1992-06-10,4.58,4.58,4.58,4.58,4.05,0
1992-06-11,4.67,4.67,4.50,4.58,4.05,81300
1992-06-12,4.50,4.50,4.17,4.17,3.69,114000
1992-06-15,4.17,4.17,4.17,4.17,3.69,35400
1992-06-16,4.08,4.17,3.92,3.92,3.46,33000
1992-06-17,2.79,2.83,2.17,2.42,2.14,1768200
1992-06-18,2.42,2.42,2.25,2.42,2.14,719700
1992-06-19,2.42,2.42,1.92,2.00,1.77,1639500
1992-06-22,2.08,2.08,1.92,2.08,1.84,57300
1992-06-23,2.17,2.17,2.00,2.08,1.84,102600
1992-06-24,2.08,2.17,2.08,2.08,1.84,27600
1992-06-25,2.08,2.17,2.00,2.00,1.77,103200
1992-06-26,2.25,2.25,2.00,2.17,1.92,92100
1992-06-29,2.08,2.17,2.00,2.00,1.77,23700
1992-06-30,2.00,2.17,2.00,2.17,1.92,78300
1992-07-01,2.00,2.17,2.00,2.08,1.84,261000
1992-07-02,2.17,2.17,2.17,2.17,1.92,10800
1992-07-06,2.08,2.17,2.00,2.17,1.92,111600
1992-07-07,2.00,2.17,2.00,2.17,1.92,7800
1992-07-08,2.17,2.25,2.12,2.17,1.92,117000
1992-07-09,2.33,2.33,2.33,2.33,2.06,2100
1992-07-10,2.17,2.42,2.17,2.42,2.14,39600
1992-07-13,2.42,2.42,2.33,2.33,2.06,5700
1992-07-14,2.50,2.58,2.33,2.58,2.29,90000
1992-07-15,2.58,2.92,2.58,2.67,2.36,37800
1992-07-16,2.75,2.75,2.58,2.75,2.43,4200
1992-07-17,2.75,2.75,2.50,2.58,2.29,83700
1992-07-20,2.58,2.58,2.50,2.58,2.29,12900
1992-07-21,2.58,2.58,2.50,2.58,2.29,34200
1992-07-22,2.58,2.58,2.42,2.42,2.14,5700
1992-07-23,2.33,2.33,2.33,2.33,2.06,30900
1992-07-24,2.33,2.42,2.33,2.42,2.14,66000
1992-07-27,2.33,2.50,2.33,2.50,2.21,15600
1992-07-28,2.33,2.42,2.17,2.25,1.99,30600
1992-07-29,2.33,2.33,2.17,2.25,1.99,42000
1992-07-30,2.17,2.33,2.17,2.33,2.06,2100
1992-07-31,2.25,2.25,2.25,2.25,1.99,1200
1992-08-03,2.33,2.33,2.17,2.25,1.99,4200
1992-08-04,2.33,2.33,2.17,2.33,2.06,5700
1992-08-05,2.33,2.33,2.33,2.33,2.06,0
1992-08-06,2.42,2.50,2.33,2.50,2.21,18600
1992-08-07,2.33,2.50,2.33,2.42,2.14,12300
1992-08-10,2.50,2.50,2.42,2.42,2.14,6300
1992-08-11,2.33,2.50,2.33,2.42,2.14,983400
1992-08-12,2.42,2.50,2.42,2.50,2.21,6000
1992-08-13,2.42,2.42,2.42,2.42,2.14,10500
1992-08-14,2.42,2.42,2.42,2.42,2.14,10500
1992-08-17,2.42,2.58,2.42,2.42,2.14,93600
1992-08-18,2.42,2.42,2.17,2.17,1.92,1785000
1992-08-19,2.25,2.33,2.17,2.33,2.06,1050600
1992-08-20,2.25,2.42,2.21,2.21,1.95,32400
1992-08-21,2.29,2.29,2.29,2.29,2.03,21000
1992-08-24,2.17,2.33,2.17,2.25,1.99,6000
1992-08-25,2.33,2.33,2.17,2.33,2.06,18300
1992-08-26,2.29,2.29,2.29,2.29,2.03,2700
1992-08-27,2.42,2.42,2.42,2.42,2.14,300
1992-08-28,2.17,2.42,2.17,2.42,2.14,19800
1992-08-31,2.42,2.42,2.42,2.42,2.14,300
1992-09-01,2.17,2.21,2.17,2.21,1.95,105000
1992-09-02,2.21,2.21,2.21,2.21,1.95,0
1992-09-03,2.42,2.42,2.42,2.42,2.14,1500
1992-09-04,2.29,2.29,2.29,2.29,2.03,6300
1992-09-08,2.17,2.33,1.92,1.96,1.73,68100
1992-09-09,2.04,2.04,1.88,1.88,1.66,1513800
1992-09-10,2.00,2.08,1.88,1.92,1.70,51300
1992-09-11,2.08,2.08,1.83,1.83,1.62,4500
1992-09-14,1.92,1.92,1.92,1.92,1.70,3000
1992-09-15,1.92,2.00,1.83,1.88,1.66,1522200
1992-09-16,2.08,2.08,1.83,1.88,1.66,104100
1992-09-17,1.92,2.17,1.92,2.04,1.81,92700
1992-09-18,2.04,2.04,2.04,2.04,1.81,900
1992-09-21,2.08,2.08,2.04,2.04,1.81,12000
1992-09-22,2.00,2.00,2.00,2.00,1.77,6000
1992-09-23,2.00,2.00,2.00,2.00,1.77,5700
1992-09-24,2.12,2.25,2.12,2.25,1.99,4800
1992-09-25,2.00,2.25,2.00,2.25,1.99,3900
1992-09-28,2.25,2.25,2.25,2.25,1.99,0
1992-09-29,2.00,2.25,2.00,2.17,1.92,13800
1992-09-30,2.17,2.17,2.17,2.17,1.92,600
1992-10-01,1.92,1.92,1.92,1.92,1.70,600
1992-10-02,2.17,2.17,1.92,1.92,1.70,18600
1992-10-05,2.17,2.17,1.83,1.92,1.70,97500
1992-10-06,1.83,2.08,1.83,1.83,1.62,84600
1992-10-07,2.08,2.08,1.75,1.75,1.55,71400
1992-10-08,1.79,1.92,1.67,1.67,1.47,638700
1992-10-09,1.83,1.83,1.67,1.67,1.47,77400
1992-10-12,1.75,1.92,1.67,1.92,1.70,794100
1992-10-13,1.67,1.92,1.67,1.67,1.47,43200
1992-10-14,1.75,1.92,1.75,1.92,1.70,4200
1992-10-15,1.92,1.92,1.79,1.83,1.62,5400
1992-10-16,1.79,1.92,1.71,1.79,1.58,20100
1992-10-19,1.75,1.92,1.75,1.79,1.58,152400
1992-10-20,1.83,1.88,1.67,1.75,1.55,126600
1992-10-21,1.71,1.79,1.67,1.67,1.47,208800
1992-10-22,1.83,1.92,1.75,1.83,1.62,24600
1992-10-23,1.83,1.83,1.71,1.75,1.55,71400
1992-10-26,1.75,1.75,1.67,1.75,1.55,8100
1992-10-27,1.67,1.75,1.67,1.75,1.55,3300
1992-10-28,1.67,1.67,1.67,1.67,1.47,61200
1992-10-29,1.83,2.08,1.75,1.96,1.73,335400
1992-10-30,2.08,2.25,2.00,2.17,1.92,132000
1992-11-02,2.25,2.25,2.17,2.17,1.92,19500
1992-11-03,2.04,2.17,2.04,2.17,1.92,7800
1992-11-04,2.25,2.25,2.25,2.25,1.99,1200
1992-11-05,2.08,2.25,2.08,2.08,1.84,79800
1992-11-06,2.25,2.33,2.08,2.33,2.06,6900
1992-11-09,2.33,2.58,2.25,2.58,2.29,95400
1992-11-10,2.50,2.58,2.25,2.25,1.99,113700
1992-11-11,2.42,2.42,2.33,2.33,2.06,97200
1992-11-12,2.42,2.42,2.25,2.42,2.14,78900
1992-11-13,2.33,2.42,2.33,2.42,2.14,154500
1992-11-16,2.33,2.42,2.33,2.42,2.14,9300
1992-11-17,2.33,2.42,2.25,2.42,2.14,149100
1992-11-18,2.42,2.42,2.38,2.38,2.10,16500
1992-11-19,2.42,2.42,2.42,2.42,2.14,1800
1992-11-20,2.42,2.42,2.33,2.42,2.14,123900
1992-11-23,2.42,2.58,2.25,2.58,2.29,24300
1992-11-24,2.58,2.75,2.38,2.58,2.29,68700
1992-11-25,2.75,2.75,2.58,2.71,2.40,212100
1992-11-27,2.58,3.00,2.58,3.00,2.66,85500
1992-11-30,3.50,3.67,3.17,3.42,3.03,332100
1992-12-01,3.42,3.42,3.25,3.33,2.95,84600
1992-12-02,3.25,3.42,3.25,3.29,2.92,30000
1992-12-03,3.33,3.50,3.00,3.00,2.66,116700
1992-12-04,3.17,3.17,2.92,2.92,2.58,30000
1992-12-07,3.12,3.17,2.92,3.17,2.81,54900
1992-12-08,2.92,3.17,2.92,3.17,2.81,125100
1992-12-09,3.08,3.12,2.92,2.92,2.58,140100
1992-12-10,2.92,3.00,2.83,3.00,2.66,39300
1992-12-11,3.00,3.08,3.00,3.08,2.73,2400
1992-12-14,3.08,3.08,3.08,3.08,2.73,12000
1992-12-15,2.83,3.00,2.83,2.92,2.58,100200
1992-12-16,2.92,2.92,2.83,2.83,2.51,21000
1992-12-17,2.92,3.00,2.79,3.00,2.66,249000
1992-12-18,3.00,3.00,2.75,2.83,2.51,13500
1992-12-21,3.00,3.00,2.75,2.79,2.47,40200
1992-12-22,3.08,3.08,3.08,3.08,2.73,23100
1992-12-23,3.08,3.25,3.00,3.08,2.73,42000
1992-12-24,3.33,3.50,3.33,3.42,3.03,50400
1992-12-28,3.50,3.50,3.33,3.50,3.10,68100
1992-12-29,3.50,3.50,3.33,3.50,3.10,64800
1992-12-30,3.50,3.50,3.50,3.50,3.10,0
1992-12-31,3.38,3.58,3.33,3.50,3.10,85500
1993-01-04,3.42,3.67,3.42,3.42,3.03,288600
1993-01-05,3.58,3.58,3.33,3.50,3.10,154800
1993-01-06,3.42,3.50,3.42,3.50,3.10,84900
1993-01-07,3.50,3.50,3.42,3.42,3.03,12300
1993-01-08,3.67,3.67,3.42,3.58,3.17,15000
