Date,Open,High,Low,Close,Adj Close,Volume
2004-04-23,18.22,18.40,18.00,18.00,13.80,20895900
2004-04-26,18.00,18.04,17.60,17.80,13.65,5904000
2004-04-27,17.79,18.09,17.75,18.00,13.80,1306100
2004-04-28,18.00,18.03,17.80,17.85,13.69,799400
2004-04-29,17.80,17.80,17.60,17.62,13.51,584900
2004-04-30,17.60,17.78,17.60,17.70,13.57,328800
2004-05-03,17.85,17.93,17.75,17.85,13.69,592300
2004-05-04,17.85,17.87,17.50,17.80,13.65,1292200
2004-05-05,17.75,17.81,17.75,17.76,13.62,286000
2004-05-06,17.72,17.74,17.59,17.70,13.57,447500
2004-05-07,17.65,17.65,17.50,17.52,13.44,347000
2004-05-10,17.50,17.50,17.25,17.26,13.24,687000
2004-05-11,17.28,17.55,17.27,17.31,13.28,488800
2004-05-12,17.27,17.32,17.15,17.17,13.17,406900
2004-05-13,17.15,17.22,17.05,17.05,13.08,141400
2004-05-14,17.05,17.11,16.80,16.81,12.89,996600
2004-05-17,16.80,16.81,16.50,16.52,12.67,386100
2004-05-18,16.40,16.53,16.15,16.40,12.58,525900
2004-05-19,16.35,16.75,16.35,16.50,12.65,210000
2004-05-20,16.50,16.66,16.50,16.62,12.75,156400
2004-05-21,16.50,16.68,16.30,16.57,12.71,272800
2004-05-24,16.40,16.70,16.36,16.53,12.68,203100
2004-05-25,16.45,16.85,16.40,16.85,12.92,313600
2004-05-26,16.75,17.00,16.55,16.74,12.84,169800
2004-05-27,16.75,17.05,16.75,17.00,13.04,403900
2004-05-28,17.00,17.05,16.85,17.00,13.04,392400
2004-06-01,17.00,17.00,16.85,16.92,12.98,267000
2004-06-02,17.00,17.35,16.83,17.00,13.04,326000
2004-06-03,17.05,17.24,16.88,17.18,13.18,273200
2004-06-04,17.30,17.45,17.20,17.40,13.34,269400
2004-06-07,17.30,17.69,17.25,17.54,13.45,213300
2004-06-08,17.40,17.67,17.40,17.65,13.54,314600
2004-06-09,17.65,17.74,17.60,17.60,13.50,74900
2004-06-10,17.50,17.62,17.50,17.51,13.43,69700
2004-06-14,17.55,17.64,17.39,17.47,13.40,140900
2004-06-15,17.50,17.59,17.20,17.31,13.28,252200
2004-06-16,17.25,17.41,17.19,17.39,13.34,131200
2004-06-17,17.37,17.40,17.20,17.25,13.23,458900
2004-06-18,17.22,17.33,17.10,17.25,13.23,132700
2004-06-21,17.32,17.35,17.10,17.13,13.14,110800
2004-06-22,17.10,17.10,16.95,17.00,13.04,374400
2004-06-23,16.95,16.95,16.60,16.60,12.73,186700
2004-06-24,16.75,17.00,16.70,16.96,13.01,132700
2004-06-25,16.86,16.99,16.50,16.84,12.92,312100
2004-06-28,16.95,16.95,16.60,16.65,12.77,180400
2004-06-29,16.68,16.84,16.57,16.79,12.88,202500
2004-06-30,16.77,17.05,16.77,16.95,13.00,696000
2004-07-01,16.95,16.99,16.75,16.75,12.85,483800
2004-07-02,16.80,17.06,16.80,17.05,13.08,568200
2004-07-06,17.05,17.10,16.95,17.00,13.04,875600
2004-07-07,17.00,17.00,16.97,17.00,13.04,393000
2004-07-08,17.00,17.20,16.90,17.13,13.14,1257400
2004-07-09,17.14,17.35,17.14,17.25,13.23,60300
2004-07-12,17.35,17.44,17.25,17.28,13.25,57100
2004-07-13,17.28,17.50,17.22,17.26,13.24,202000
2004-07-14,17.20,17.45,17.20,17.40,13.34,149100
2004-07-15,17.40,17.47,17.30,17.46,13.39,131000
2004-07-16,17.45,17.45,17.24,17.24,13.22,475200
2004-07-19,17.25,17.30,17.16,17.25,13.23,74700
