Date,Open,High,Low,Close,Adj Close,Volume
2012-03-15,23.00,23.50,22.70,23.40,19.81,13911300
2012-03-16,23.65,24.93,23.55,24.55,20.79,2063000
2012-03-19,24.50,25.00,24.06,24.85,21.04,974300
2012-03-20,24.71,25.20,24.25,24.80,21.00,444400
2012-03-21,24.65,25.18,24.13,24.25,20.53,782300
2012-03-22,24.15,24.16,22.92,23.47,19.87,765800
2012-03-23,23.50,23.66,23.25,23.52,19.92,400600
2012-03-26,23.95,24.15,23.30,24.00,20.32,299900
2012-03-27,23.81,24.15,23.81,24.00,20.32,283000
2012-03-28,24.00,24.08,23.60,24.00,20.32,329500
2012-03-29,23.75,24.04,23.40,23.93,20.26,156000
2012-03-30,23.80,24.01,23.62,23.88,20.22,309400
2012-04-02,23.63,24.80,23.63,24.59,20.82,478700
2012-04-03,24.72,25.22,24.61,25.02,21.19,383500
2012-04-04,24.62,25.14,24.06,24.11,20.42,305800
2012-04-05,24.00,24.51,24.00,24.22,20.51,88100
2012-04-09,23.92,24.06,23.25,23.34,19.76,242400
2012-04-10,23.34,23.40,22.45,22.50,19.05,495000
2012-04-11,22.65,22.90,21.62,21.85,18.50,794300
2012-04-12,21.85,22.35,21.75,22.11,18.72,331900
2012-04-13,21.80,22.61,21.65,22.35,18.93,252600
2012-04-16,23.00,23.26,22.51,22.78,19.29,287100
2012-04-17,22.98,23.19,22.37,22.83,19.33,379400
2012-04-18,22.65,23.12,22.53,22.87,19.37,274800
2012-04-19,22.88,23.04,21.90,22.03,18.65,124800
2012-04-20,21.64,22.12,21.16,21.21,17.96,432900
2012-04-23,21.00,22.00,20.79,21.90,18.54,657600
2012-04-24,22.00,22.00,20.24,20.91,17.71,2441500
2012-04-25,21.21,21.65,20.66,20.84,17.65,1070500
2012-04-26,20.78,20.87,20.41,20.50,17.36,895200
2012-04-27,20.42,21.78,20.30,21.39,18.11,569100
2012-04-30,21.56,21.56,20.76,20.90,17.70,203000
2012-05-01,21.03,21.40,20.91,21.10,17.87,234100
2012-05-02,20.90,20.99,20.54,20.88,17.68,108000
2012-05-03,20.84,20.84,19.91,20.04,16.97,462000
2012-05-04,19.99,19.99,19.40,19.50,16.51,246000
2012-05-07,19.62,20.12,19.11,19.43,16.45,466000
2012-05-08,19.35,19.51,19.20,19.39,16.42,490900
2012-05-09,19.20,19.72,19.14,19.49,16.50,427000
2012-05-10,19.62,20.09,19.62,19.98,16.92,426100
2012-05-11,19.87,20.30,19.80,20.00,16.94,364400
2012-05-14,19.77,19.77,19.15,19.26,16.31,259600
2012-05-15,19.22,20.11,19.05,19.20,16.26,565500
2012-05-16,19.20,19.20,18.70,18.87,16.03,81800
2012-05-17,18.85,18.85,17.95,18.17,15.43,513600
2012-05-18,18.18,18.52,18.09,18.25,15.50,355600
2012-05-21,18.16,18.71,17.86,18.50,15.71,360500
2012-05-22,18.50,18.95,18.48,18.77,15.94,255900
2012-05-23,18.58,18.93,18.47,18.80,15.97,461000
2012-05-24,18.80,18.80,17.93,18.29,15.54,285300
2012-05-25,18.21,18.21,17.66,17.75,15.08,139900
2012-05-29,17.79,19.55,17.25,18.73,15.91,584900
2012-05-30,18.52,18.81,18.17,18.65,15.84,174900
2012-05-31,18.64,19.40,18.35,18.47,15.69,390400
2012-06-01,18.08,18.48,17.91,18.25,15.50,471500
2012-06-04,18.30,18.92,17.95,18.57,15.77,475400
2012-06-05,18.50,18.83,18.30,18.68,15.87,519900
2012-06-06,18.70,19.38,18.70,19.37,16.45,639900
2012-06-07,19.56,19.77,18.57,19.35,16.44,822500
2012-06-08,19.27,19.41,18.88,19.00,16.14,529200
2012-06-11,19.42,19.42,18.03,18.23,15.48,598100
2012-06-12,18.36,18.52,17.78,18.11,15.38,446600
2012-06-13,17.99,18.54,17.81,18.39,15.62,288900
2012-06-14,18.58,18.81,18.25,18.49,15.71,322400
2012-06-15,18.49,18.95,18.32,18.82,15.99,484400
2012-06-18,18.47,18.51,17.86,18.41,15.64,305400
2012-06-19,18.46,19.50,18.18,19.19,16.30,389000
2012-06-20,19.18,19.28,18.42,18.66,15.85,430100
2012-06-21,18.68,18.88,17.92,18.25,15.50,336800
2012-06-22,18.53,18.56,17.43,17.48,14.85,2053400
2012-06-25,17.08,17.20,15.92,16.49,14.01,1111700
2012-06-26,16.52,16.87,16.45,16.60,14.10,566100
2012-06-27,16.62,17.06,16.60,16.89,14.35,356100
2012-06-28,16.75,17.14,16.75,17.00,14.44,158000
2012-06-29,17.28,17.58,16.89,17.56,14.92,236400
2012-07-02,17.75,17.78,17.36,17.58,14.93,373200
2012-07-03,17.62,18.67,17.58,18.55,15.76,127800
2012-07-05,18.54,18.83,18.49,18.68,15.87,252300
2012-07-06,18.51,18.55,18.01,18.39,15.62,278100
2012-07-09,18.31,18.85,18.20,18.40,15.63,484400
2012-07-10,18.60,18.92,17.59,17.63,14.98,722100
2012-07-11,16.84,17.83,16.84,17.15,14.57,692800
2012-07-12,17.07,17.31,16.10,16.21,13.77,595600
2012-07-13,16.30,16.39,16.01,16.35,13.89,253000
2012-07-16,16.41,16.69,15.82,16.40,13.93,183700
2012-07-17,16.54,16.86,16.41,16.75,14.23,582500
2012-07-18,16.62,17.05,16.52,16.90,14.36,378000
2012-07-19,16.99,17.12,16.55,16.88,14.34,237200
2012-07-20,16.78,17.36,16.68,17.35,14.74,344800
2012-07-23,17.00,17.74,16.62,17.71,15.04,135700
2012-07-24,17.69,17.82,16.74,16.88,14.34,314400
2012-07-25,16.87,17.00,16.70,16.95,14.40,216100
2012-07-26,17.27,18.04,17.05,17.85,15.16,166600
2012-07-27,17.90,18.35,17.62,18.09,15.37,347200
2012-07-30,18.15,18.68,18.08,18.39,15.62,441600
2012-07-31,18.42,19.00,17.90,18.81,15.98,861700
2012-08-01,18.80,18.81,17.78,17.83,15.15,341200
2012-08-02,17.75,18.17,16.92,17.45,14.82,348100
2012-08-03,17.73,17.99,17.32,17.70,15.03,879100
2012-08-06,17.92,17.92,17.18,17.38,14.76,295600
2012-08-07,17.50,18.34,17.36,17.88,15.19,337000
2012-08-08,18.08,18.82,17.80,18.51,15.72,306700
2012-08-09,18.47,18.98,18.33,18.74,15.92,340800
2012-08-10,18.79,19.33,18.51,19.02,16.16,215100
2012-08-13,18.97,19.31,18.80,19.06,16.24,174300
2012-08-14,19.21,19.57,18.75,19.31,16.45,294500
2012-08-15,19.32,19.45,18.75,19.06,16.24,313700
2012-08-16,19.08,19.54,18.81,19.20,16.36,223100
2012-08-17,19.15,19.39,18.99,19.29,16.44,282900
2012-08-20,19.26,19.47,18.63,19.13,16.30,188400
2012-08-21,19.16,19.40,19.00,19.11,16.28,275800
2012-08-22,18.91,19.47,18.82,19.41,16.54,177600
2012-08-23,19.41,19.45,19.12,19.34,16.48,168100
2012-08-24,19.38,19.45,18.91,19.16,16.33,392900
2012-08-27,19.50,19.50,19.16,19.22,16.38,221700
2012-08-28,19.31,19.31,18.87,18.95,16.15,195300
2012-08-29,18.95,19.05,18.78,18.87,16.08,222600
2012-08-30,18.95,18.96,18.08,18.12,15.44,165700
2012-08-31,18.29,18.29,17.66,17.77,15.14,378100
2012-09-04,17.90,17.97,17.36,17.51,14.92,192200
2012-09-05,18.24,18.94,17.43,17.52,14.93,570600
2012-09-06,17.53,18.17,17.50,18.01,15.35,474900
2012-09-07,18.02,19.28,18.02,19.02,16.21,367600
2012-09-10,19.10,19.50,19.05,19.40,16.53,438100
2012-09-11,19.37,19.66,18.62,18.88,16.09,1140200
2012-09-12,19.04,19.48,18.83,19.42,16.55,456900
2012-09-13,19.50,19.94,19.09,19.66,16.75,764900
2012-09-14,19.75,20.51,19.75,20.40,17.38,424300
