Date,Open,High,Low,Close,Adj Close,Volume
1984-07-19,1.80,1.81,1.78,1.80,0.97,70200
1984-07-20,1.79,1.81,1.78,1.78,0.96,52650
1984-07-23,1.77,1.78,1.73,1.73,0.93,113400
1984-07-24,1.74,1.75,1.72,1.73,0.93,55350
1984-07-25,1.70,1.73,1.69,1.73,0.93,116100
1984-07-26,1.75,1.75,1.74,1.75,0.94,66150
1984-07-27,1.75,1.76,1.73,1.75,0.94,144450
1984-07-30,1.77,1.77,1.74,1.74,0.94,135000
1984-07-31,1.74,1.78,1.73,1.78,0.96,82350
1984-08-01,1.78,1.92,1.78,1.89,1.02,697950
1984-08-02,1.90,1.90,1.86,1.87,1.01,2164050
1984-08-03,1.88,1.96,1.88,1.95,1.05,783000
1984-08-06,2.00,2.03,1.90,1.95,1.05,909900
1984-08-07,1.95,2.06,1.94,2.05,1.10,523800
1984-08-08,2.07,2.13,2.06,2.06,1.11,1217700
1984-08-09,2.06,2.10,2.04,2.10,1.13,402300
1984-08-10,2.11,2.11,2.06,2.06,1.11,662850
1984-08-13,2.06,2.06,2.01,2.02,1.09,184950
1984-08-14,2.04,2.04,1.94,1.94,1.05,224100
1984-08-15,1.96,2.01,1.93,1.94,1.05,218700
1984-08-16,1.93,1.95,1.93,1.95,1.05,66150
1984-08-17,1.94,1.94,1.92,1.94,1.05,86400
1984-08-20,1.93,1.94,1.93,1.94,1.05,67500
1984-08-21,1.95,1.95,1.89,1.89,1.02,398250
1984-08-22,1.91,1.94,1.91,1.91,1.03,535950
1984-08-23,1.93,1.94,1.91,1.94,1.04,70200
1984-08-24,1.95,2.00,1.94,1.98,1.07,203850
1984-08-27,1.98,1.98,1.94,1.95,1.05,386100
1984-08-28,1.97,1.98,1.96,1.96,1.06,110700
1984-08-29,1.98,2.05,1.98,1.99,1.07,499500
1984-08-30,2.00,2.00,1.96,1.96,1.06,129600
1984-08-31,1.97,1.97,1.94,1.96,1.06,49950
1984-09-04,1.94,1.95,1.93,1.94,1.04,64800
1984-09-05,1.94,1.94,1.90,1.93,1.04,537300
1984-09-06,1.94,1.95,1.93,1.94,1.04,164700
1984-09-07,1.94,1.96,1.94,1.96,1.06,143100
1984-09-10,1.94,1.94,1.92,1.94,1.05,199800
1984-09-11,1.93,1.98,1.93,1.97,1.07,83700
1984-09-12,1.97,1.97,1.92,1.92,1.04,263250
1984-09-13,1.94,1.95,1.94,1.95,1.06,89100
1984-09-14,1.95,2.00,1.95,1.96,1.06,329400
1984-09-17,1.95,1.97,1.95,1.96,1.06,54000
1984-09-18,1.96,1.99,1.96,1.97,1.07,330750
1984-09-19,1.99,2.00,1.96,1.97,1.07,228150
1984-09-20,1.97,1.99,1.97,1.98,1.07,125550
1984-09-21,1.97,2.04,1.97,2.00,1.08,305100
1984-09-24,2.00,2.02,1.99,1.99,1.08,122850
1984-09-25,2.01,2.02,1.99,2.02,1.09,39150
1984-09-26,2.02,2.03,1.99,1.99,1.08,102600
1984-09-27,2.02,2.02,2.00,2.00,1.08,90450
1984-09-28,1.99,2.00,1.98,1.98,1.07,102600
1984-10-01,2.00,2.00,1.96,1.97,1.07,238950
1984-10-02,1.97,1.99,1.97,1.97,1.07,214650
1984-10-03,1.96,1.97,1.93,1.93,1.04,176850
1984-10-04,1.91,1.91,1.87,1.90,1.03,191700
1984-10-05,1.88,1.92,1.88,1.91,1.03,85050
1984-10-08,1.90,1.91,1.88,1.89,1.02,206550
1984-10-09,1.89,1.89,1.86,1.86,1.01,76950
1984-10-10,1.86,1.86,1.84,1.84,1.00,90450
1984-10-11,1.82,1.83,1.81,1.81,0.98,144450
1984-10-12,1.81,1.84,1.81,1.81,0.98,102600
1984-10-15,1.81,1.87,1.80,1.87,1.01,83700
1984-10-16,1.85,1.91,1.81,1.81,0.98,259200
1984-10-17,1.82,1.83,1.79,1.81,0.98,139050
1984-10-18,1.81,1.85,1.80,1.85,1.00,263250
1984-10-19,1.87,1.88,1.81,1.83,0.99,1487700
1984-10-22,1.84,1.85,1.75,1.75,0.95,510300
1984-10-23,1.75,1.82,1.75,1.76,0.95,683100
1984-10-24,1.78,1.79,1.76,1.79,0.97,741150
1984-10-25,1.80,1.81,1.79,1.81,0.98,182250
1984-10-26,1.78,1.79,1.75,1.76,0.95,256500
1984-10-29,1.76,1.76,1.70,1.71,0.93,328050
1984-10-30,1.70,1.77,1.69,1.77,0.96,506250
1984-10-31,1.74,1.75,1.70,1.72,0.93,174150
