Date,Open,High,Low,Close,Adj Close,Volume
1994-08-17,5.25,5.25,5.25,5.25,5.25,1333
1994-08-18,5.25,5.25,5.25,5.25,5.25,0
1994-08-19,5.25,5.25,5.25,5.25,5.25,0
1994-08-22,5.25,5.25,5.25,5.25,5.25,0
1994-08-23,5.25,5.25,5.25,5.25,5.25,0
1994-08-24,5.25,5.25,5.25,5.25,5.25,0
1994-08-25,5.25,5.25,5.25,5.25,5.25,0
1994-08-26,5.25,5.25,5.25,5.25,5.25,0
1994-08-29,5.25,5.25,5.25,5.25,5.25,0
1994-08-30,5.25,5.25,5.25,5.25,5.25,0
1994-08-31,5.25,5.25,5.25,5.25,5.25,0
1994-09-01,5.25,5.25,5.25,5.25,5.25,0
1994-09-02,5.44,5.44,5.44,5.44,5.44,667
1994-09-06,5.44,5.44,5.44,5.44,5.44,0
1994-09-07,5.44,5.44,5.44,5.44,5.44,0
1994-09-08,5.06,5.06,5.06,5.06,5.06,800
1994-09-09,5.06,5.06,5.06,5.06,5.06,0
1994-09-12,5.06,5.06,5.06,5.06,5.06,0
1994-09-13,5.06,5.06,5.06,5.06,5.06,0
1994-09-14,5.06,5.06,5.06,5.06,5.06,0
1994-09-15,5.06,5.06,5.06,5.06,5.06,267
1994-09-16,5.44,5.44,5.44,5.44,5.44,133
1994-09-19,5.26,5.26,5.26,5.26,5.26,2267
1994-09-20,5.26,5.26,5.26,5.26,5.26,0
1994-09-21,5.26,5.26,5.26,5.26,5.26,0
1994-09-22,5.26,5.26,5.26,5.26,5.26,0
1994-09-23,5.26,5.26,5.26,5.26,5.26,0
1994-09-26,5.26,5.26,5.26,5.26,5.26,0
1994-09-27,5.26,5.26,5.26,5.26,5.26,0
1994-09-28,5.06,5.06,5.06,5.06,5.06,2667
1994-09-29,5.06,5.06,5.06,5.06,5.06,0
1994-09-30,5.44,5.44,5.25,5.25,5.25,533
1994-10-03,5.25,5.25,5.25,5.25,5.25,0
1994-10-04,5.25,5.25,5.25,5.25,5.25,0
1994-10-05,5.25,5.25,5.25,5.25,5.25,0
1994-10-06,5.25,5.25,5.25,5.25,5.25,0
1994-10-07,5.25,5.25,5.25,5.25,5.25,0
1994-10-10,5.06,5.06,5.06,5.06,5.06,133
1994-10-11,5.06,5.06,5.06,5.06,5.06,0
1994-10-12,5.06,5.06,5.06,5.06,5.06,667
1994-10-13,5.34,5.34,5.34,5.34,5.34,4000
1994-10-14,5.34,5.34,5.34,5.34,5.34,0
1994-10-17,5.44,5.44,5.44,5.44,5.44,800
1994-10-18,5.06,5.06,5.06,5.06,5.06,3733
1994-10-19,5.06,5.34,5.06,5.34,5.34,19200
1994-10-20,5.34,5.34,5.34,5.34,5.34,0
1994-10-21,5.34,5.34,5.34,5.34,5.34,0
1994-10-24,5.06,5.44,5.06,5.44,5.44,5333
1994-10-25,5.44,5.44,5.44,5.44,5.44,0
1994-10-26,5.44,5.44,5.44,5.44,5.44,0
1994-10-27,5.44,5.44,5.44,5.44,5.44,0
1994-10-28,5.06,5.06,5.06,5.06,5.06,1333
1994-10-31,5.06,5.44,5.06,5.44,5.44,2667
1994-11-01,5.44,5.44,5.44,5.44,5.44,0
1994-11-02,5.44,5.44,5.44,5.44,5.44,0
1994-11-03,5.44,5.44,5.44,5.44,5.44,0
1994-11-04,5.06,5.06,5.06,5.06,5.06,1333
1994-11-07,5.44,5.44,5.44,5.44,5.44,1333
1994-11-08,5.44,5.44,5.44,5.44,5.44,0
