Date,Open,High,Low,Close,Adj Close,Volume
2001-10-30,20.25,20.45,20.17,20.45,17.28,45441800
2001-10-31,20.55,21.25,20.50,20.94,17.69,11104400
2001-11-01,21.12,21.30,20.90,21.08,17.81,3901800
2001-11-02,21.02,21.55,21.01,21.45,18.12,4075000
2001-11-05,21.75,21.75,21.38,21.44,18.12,2763800
2001-11-06,21.48,22.15,21.08,22.02,18.61,3248200
2001-11-07,21.88,21.88,21.25,21.62,18.27,2675200
2001-11-08,21.50,21.55,21.00,21.35,18.04,3404000
2001-11-09,21.25,21.25,20.50,21.00,17.74,3291600
2001-11-12,21.00,21.42,20.85,21.42,18.10,973600
2001-11-13,21.70,21.70,21.26,21.38,18.06,1721800
2001-11-14,22.00,23.00,21.77,22.98,19.41,4213000
2001-11-15,22.85,23.38,22.73,23.38,19.75,2310400
2001-11-16,23.45,23.60,23.15,23.40,19.77,2176200
2001-11-19,23.38,23.78,23.20,23.75,20.07,2007200
2001-11-20,23.65,24.62,23.62,24.40,20.62,2803000
2001-11-21,24.35,24.85,24.20,24.50,20.70,2684000
2001-11-23,24.48,24.67,24.48,24.59,20.78,287800
2001-11-26,24.85,25.12,24.15,24.27,20.51,1917400
2001-11-27,24.40,24.92,24.14,24.30,20.53,1148000
2001-11-28,24.27,24.60,23.75,24.48,20.68,625200
2001-11-29,24.75,25.05,24.54,25.00,21.13,1136800
2001-11-30,25.05,25.50,24.90,25.42,21.48,2960200
2001-12-03,25.40,25.65,25.05,25.65,21.67,1270800
2001-12-04,25.67,25.75,25.25,25.75,21.76,794000
2001-12-05,25.90,25.95,24.35,24.43,20.64,1356200
2001-12-06,24.45,24.50,23.67,24.25,20.48,902600
2001-12-07,24.25,24.35,23.80,24.30,20.53,649600
2001-12-10,24.30,24.43,24.08,24.12,20.38,308000
2001-12-11,24.12,24.34,23.85,24.10,20.36,892800
2001-12-12,24.12,24.12,23.92,23.93,20.22,478800
2001-12-13,23.81,24.05,23.45,24.05,20.32,960600
2001-12-14,24.00,24.05,23.67,24.00,20.28,813600
2001-12-17,24.05,24.65,23.96,24.62,20.81,421200
2001-12-18,24.75,24.80,24.61,24.65,20.83,809200
2001-12-19,24.65,24.67,23.88,24.00,20.28,1473200
2001-12-20,23.88,24.00,23.40,23.45,19.81,1312000
2001-12-21,23.40,23.40,22.62,22.88,19.33,4283800
2001-12-24,22.88,22.98,22.80,22.80,19.26,900200
2001-12-26,22.92,23.24,22.92,23.12,19.54,1191600
2001-12-27,23.17,23.65,23.17,23.45,19.81,1925400
2001-12-28,23.48,24.25,23.48,24.25,20.49,1714800
2001-12-31,24.35,25.12,24.35,24.75,20.91,1792800
2002-01-02,24.84,24.84,24.35,24.40,20.62,1933000
2002-01-03,24.40,24.64,24.23,24.23,20.47,625600
2002-01-04,24.25,24.40,23.45,23.93,20.22,2318600
2002-01-07,23.93,23.97,23.50,23.51,19.86,1916400
2002-01-08,23.42,23.92,23.20,23.70,20.02,932000
2002-01-09,23.77,24.12,23.75,23.80,20.11,855000
2002-01-10,23.80,25.37,23.78,25.05,21.16,2550400
2002-01-11,25.05,25.90,24.95,25.75,21.76,1111800
2002-01-14,25.80,26.20,25.42,25.95,21.92,1364600
2002-01-15,25.85,25.85,24.70,25.35,21.42,1426800
2002-01-16,25.23,25.85,24.80,25.50,21.54,1721200
2002-01-17,25.50,25.52,25.00,25.15,21.25,912000
2002-01-18,25.02,25.50,24.91,25.49,21.54,1406000
2002-01-22,25.36,25.94,25.02,25.88,21.86,1613000
2002-01-23,25.70,26.43,25.70,26.13,22.08,1625400
2002-01-24,26.02,26.55,26.02,26.40,22.30,1846800
2002-01-25,26.50,27.05,26.42,26.94,22.76,1670400
2002-01-28,26.70,27.25,26.60,26.88,22.71,1404200
2002-01-29,26.52,26.88,26.48,26.60,22.47,1353400
2002-01-30,26.25,26.65,25.98,26.26,22.19,1301400
