Date,Open,High,Low,Close,Adj Close,Volume
1980-06-02,0.00,2.70,2.69,2.69,1.11,118800
1980-06-03,0.00,2.72,2.69,2.72,1.13,141750
1980-06-04,0.00,2.72,2.70,2.72,1.13,102600
1980-06-05,0.00,2.74,2.70,2.74,1.14,575100
1980-06-06,0.00,2.76,2.70,2.70,1.12,88425
1980-06-09,0.00,2.74,2.70,2.72,1.13,151875
1980-06-10,0.00,2.80,2.70,2.80,1.16,238275
1980-06-11,0.00,2.91,2.78,2.91,1.20,154575
1980-06-12,0.00,3.00,2.91,2.96,1.23,213300
1980-06-13,0.00,3.06,2.98,3.00,1.24,369225
1980-06-16,0.00,3.02,2.96,3.02,1.25,509625
1980-06-17,0.00,3.07,2.94,3.00,1.24,168750
1980-06-18,0.00,3.00,2.94,2.98,1.24,293625
1980-06-19,0.00,2.98,2.93,2.94,1.22,53325
1980-06-20,0.00,3.00,2.93,2.96,1.23,71550
1980-06-23,0.00,3.02,2.94,2.98,1.24,24975
1980-06-24,0.00,2.98,2.93,2.98,1.24,147825
1980-06-25,0.00,3.00,2.94,2.94,1.22,123525
1980-06-26,0.00,2.93,2.85,2.87,1.19,114750
1980-06-27,0.00,2.91,2.85,2.87,1.19,109350
1980-06-30,0.00,2.87,2.80,2.83,1.17,108000
1980-07-01,0.00,2.94,2.83,2.93,1.21,150525
1980-07-02,0.00,2.91,2.87,2.91,1.20,43875
1980-07-03,0.00,3.00,2.91,3.00,1.24,56700
1980-07-07,0.00,3.06,2.98,3.02,1.25,111375
1980-07-08,0.00,2.98,2.94,2.96,1.23,110700
1980-07-09,0.00,3.04,2.96,3.00,1.24,33075
1980-07-10,0.00,2.94,2.91,2.91,1.20,70200
1980-07-11,0.00,2.89,2.81,2.87,1.19,1334475
1980-07-14,0.00,2.96,2.81,2.94,1.22,256500
1980-07-15,0.00,2.96,2.89,2.91,1.20,366525
1980-07-16,0.00,2.96,2.89,2.96,1.23,264600
1980-07-17,0.00,2.96,2.93,2.94,1.22,91125
1980-07-18,0.00,2.98,2.93,2.98,1.24,193725
1980-07-21,0.00,2.98,2.94,2.96,1.23,44550
1980-07-22,0.00,2.98,2.93,2.94,1.22,284850
1980-07-23,0.00,2.93,2.87,2.93,1.21,141750
1980-07-24,0.00,2.94,2.89,2.91,1.20,168750
1980-07-25,0.00,2.96,2.91,2.93,1.21,58725
1980-07-28,0.00,2.93,2.89,2.91,1.20,58050
1980-07-29,0.00,2.93,2.91,2.93,1.21,39825
1980-07-30,0.00,2.96,2.93,2.94,1.22,452925
1980-07-31,0.00,2.94,2.89,2.91,1.20,117450
1980-08-01,0.00,2.91,2.85,2.87,1.19,112725
1980-08-04,0.00,2.93,2.87,2.93,1.21,80325
1980-08-05,0.00,2.94,2.91,2.91,1.20,74925
1980-08-06,0.00,2.89,2.85,2.89,1.20,104625
1980-08-07,0.00,2.89,2.83,2.89,1.20,139725
1980-08-08,0.00,2.96,2.93,2.94,1.22,342900
1980-08-11,0.00,2.96,2.93,2.93,1.21,56025
1980-08-12,0.00,2.94,2.91,2.93,1.21,97200
1980-08-13,0.00,2.98,2.91,2.96,1.23,340200
1980-08-14,0.00,2.94,2.93,2.94,1.22,72225
1980-08-15,0.00,3.00,2.94,3.00,1.24,178875
1980-08-18,0.00,3.00,2.94,2.98,1.24,71550
1980-08-19,0.00,2.98,2.93,2.98,1.24,68175
1980-08-20,0.00,3.00,2.94,2.94,1.22,56700
1980-08-21,0.00,2.98,2.94,2.96,1.23,238950
1980-08-22,0.00,2.98,2.93,2.96,1.23,122175
1980-08-25,0.00,2.96,2.93,2.94,1.22,37800
1980-08-26,0.00,2.98,2.93,2.93,1.21,89100
1980-08-27,0.00,2.96,2.93,2.94,1.22,87750
1980-08-28,0.00,2.94,2.91,2.91,1.20,87750
