Date,Open,High,Low,Close,Adj Close,Volume
1979-05-15,3.56,3.61,3.51,3.56,1.98,22349
1979-05-16,3.58,3.82,3.58,3.80,2.12,66008
1979-05-17,3.80,3.85,3.80,3.85,2.14,57692
1979-05-18,3.85,3.99,3.85,3.97,2.21,119023
1979-05-21,3.97,4.06,3.92,4.04,2.25,106549
1979-05-22,4.04,4.14,4.04,4.09,2.28,127339
1979-05-23,4.09,4.09,3.97,3.97,2.21,85759
1979-05-24,3.97,3.99,3.87,3.92,2.18,80561
1979-05-25,3.92,3.99,3.87,3.97,2.21,63410
1979-05-29,3.97,4.18,3.97,4.11,2.29,123181
1979-05-30,4.18,4.38,4.18,4.35,2.42,113825
1979-05-31,4.33,4.33,4.26,4.33,2.41,80561
1979-06-01,4.33,4.38,4.33,4.33,2.41,103430
1979-06-04,4.33,4.45,4.33,4.43,2.46,71206
1979-06-05,4.45,4.64,4.45,4.57,2.54,136175
1979-06-06,4.62,4.76,4.62,4.67,2.60,148129
1979-06-07,4.67,4.74,4.64,4.64,2.58,141892
1979-06-08,4.64,4.71,4.52,4.59,2.56,53534
1979-06-11,4.59,4.64,4.52,4.62,2.57,48857
1979-06-12,4.62,4.64,4.57,4.59,2.56,48337
1979-06-13,4.59,4.62,4.43,4.47,2.49,75884
1979-06-14,4.47,4.55,4.38,4.47,2.49,58732
1979-06-15,4.52,4.69,4.52,4.62,2.57,107069
1979-06-18,4.62,4.62,4.52,4.57,2.54,34823
1979-06-19,4.57,4.62,4.52,4.62,2.57,113825
1979-06-20,4.62,4.69,4.62,4.64,2.58,152287
1979-06-21,4.64,4.64,4.55,4.59,2.56,389293
1979-06-22,4.59,4.59,4.50,4.57,2.54,70166
1979-06-25,4.57,4.57,4.28,4.38,2.44,73805
1979-06-26,4.38,4.47,4.35,4.40,2.45,77443
1979-06-27,4.40,4.52,4.40,4.45,2.48,124220
1979-06-28,4.45,4.50,4.35,4.40,2.45,63410
1979-06-29,4.40,4.52,4.40,4.52,2.52,135655
1979-07-02,4.52,4.55,4.43,4.43,2.46,40541
1979-07-03,4.43,4.50,4.43,4.50,2.50,45218
