Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,4.03,3.95,3.99,1.67,271547
1980-03-18,0.00,4.00,3.95,3.97,1.66,376188
1980-03-19,0.00,4.10,4.02,4.05,1.69,858746
1980-03-20,0.00,4.05,4.02,4.03,1.69,144422
1980-03-21,0.00,4.03,3.99,4.03,1.69,106370
1980-03-24,0.00,4.00,3.89,3.89,1.63,744593
1980-03-25,0.00,3.90,3.83,3.84,1.61,112424
1980-03-26,0.00,3.90,3.83,3.86,1.61,94263
1980-03-27,0.00,3.84,3.82,3.83,1.60,133179
1980-03-28,0.00,4.05,3.86,4.00,1.67,152205
1980-03-31,0.00,4.03,3.99,4.02,1.68,181608
1980-04-01,0.00,4.02,3.93,3.96,1.66,336407
1980-04-02,0.00,3.93,3.82,3.90,1.63,1004898
1980-04-03,0.00,3.82,3.73,3.77,1.58,418563
1980-04-07,0.00,3.80,3.74,3.79,1.58,635628
1980-04-08,0.00,3.84,3.73,3.82,1.60,486882
1980-04-09,0.00,3.96,3.87,3.95,1.65,211876
1980-04-10,0.00,4.05,3.99,4.05,1.69,40646
1980-04-11,0.00,4.24,4.10,4.24,1.77,82156
1980-04-14,0.00,4.24,4.19,4.19,1.75,133179
1980-04-15,0.00,4.19,4.13,4.16,1.74,142692
1980-04-16,0.00,4.13,4.06,4.08,1.70,457479
1980-04-17,0.00,4.08,3.93,3.93,1.64,449696
1980-04-18,0.00,3.96,3.82,3.84,1.61,270682
1980-04-21,0.00,3.82,3.77,3.79,1.58,140098
1980-04-22,0.00,4.08,3.82,4.08,1.70,378782
1980-04-23,0.00,4.16,4.03,4.09,1.71,315652
1980-04-24,0.00,4.22,4.08,4.19,1.75,84750
1980-04-25,0.00,4.31,4.18,4.26,1.78,35457
1980-04-28,0.00,4.29,4.24,4.28,1.79,110694
1980-04-29,0.00,4.35,4.25,4.32,1.81,255981
1980-04-30,0.00,4.39,4.29,4.39,1.84,267223
1980-05-01,0.00,4.48,4.38,4.38,1.83,677138
1980-05-02,0.00,4.37,4.32,4.34,1.81,364081
1980-05-05,0.00,4.39,4.37,4.37,1.82,681462
1980-05-06,0.00,4.41,4.32,4.38,1.83,608819
1980-05-07,0.00,4.38,4.28,4.28,1.79,327759
1980-05-08,0.00,4.28,4.16,4.16,1.74,134044
1980-05-09,0.00,4.16,4.02,4.05,1.69,79562
1980-05-12,0.00,4.02,3.87,3.93,1.64,614008
1980-05-13,0.00,3.95,3.87,3.95,1.65,604495
1980-05-14,0.00,4.02,3.93,4.00,1.67,443642
1980-05-15,0.00,4.00,3.95,3.95,1.65,678003
1980-05-16,0.00,3.97,3.92,3.96,1.66,126261
1980-05-19,0.00,3.99,3.95,3.96,1.66,402997
1980-05-20,0.00,3.99,3.93,3.99,1.67,83886
1980-05-21,0.00,3.99,3.92,3.97,1.66,269818
1980-05-22,0.00,4.38,3.96,4.19,1.75,1090513
1980-05-23,0.00,4.34,4.25,4.34,1.81,1250501
1980-05-27,0.00,4.38,4.34,4.37,1.82,104641
1980-05-28,0.00,4.37,4.31,4.35,1.82,63130
1980-05-29,0.00,4.35,4.24,4.28,1.79,704812
1980-05-30,0.00,4.34,4.19,4.34,1.81,71778
1980-06-02,0.00,4.34,4.28,4.29,1.79,31998
1980-06-03,0.00,4.34,4.24,4.34,1.81,316517
1980-06-04,0.00,4.45,4.32,4.45,1.86,223983
1980-06-05,0.00,4.60,4.44,4.45,1.86,204093
1980-06-06,0.00,4.45,4.37,4.38,1.83,180743
1980-06-09,0.00,4.38,4.28,4.28,1.79,113289
1980-06-10,0.00,4.38,4.28,4.35,1.82,154799
1980-06-11,0.00,4.38,4.34,4.37,1.82,411645
1980-06-12,0.00,4.39,4.34,4.39,1.84,173825
1980-06-13,0.00,4.54,4.41,4.51,1.89,61401
1980-06-16,0.00,4.64,4.50,4.61,1.93,236955
1980-06-17,0.00,4.63,4.55,4.58,1.92,119342
1980-06-18,0.00,4.60,4.51,4.54,1.90,50158
1980-06-19,0.00,4.58,4.51,4.52,1.89,46699
1980-06-20,0.00,4.50,4.44,4.45,1.86,94263
1980-06-23,0.00,4.55,4.47,4.47,1.87,318246
1980-06-24,0.00,4.48,4.38,4.45,1.86,535311
1980-06-25,0.00,4.61,4.44,4.57,1.91,326894
1980-06-26,0.00,4.61,4.51,4.58,1.92,259440
1980-06-27,0.00,4.71,4.58,4.65,1.95,201498
1980-06-30,0.00,4.60,4.48,4.48,1.87,671950
1980-07-01,0.00,4.50,4.45,4.48,1.87,236955
1980-07-02,0.00,4.57,4.47,4.57,1.91,195445
1980-07-03,0.00,4.83,4.63,4.80,2.01,223983
1980-07-07,0.00,4.91,4.80,4.91,2.05,522339
1980-07-08,0.00,4.94,4.91,4.94,2.07,170366
1980-07-09,0.00,4.94,4.90,4.90,2.05,291438
1980-07-10,0.00,4.91,4.78,4.81,2.01,130585
1980-07-11,0.00,4.90,4.83,4.86,2.03,274142
1980-07-14,0.00,4.91,4.81,4.91,2.05,212741
1980-07-15,0.00,5.15,5.00,5.13,2.14,525798
1980-07-16,0.00,5.16,5.09,5.12,2.14,205822
1980-07-17,0.00,5.07,5.06,5.07,2.12,283654
1980-07-18,0.00,5.10,4.94,5.02,2.10,311328
1980-07-21,0.00,5.04,4.97,5.03,2.10,166906
1980-07-22,0.00,5.09,5.00,5.02,2.10,307004
1980-07-23,0.00,5.04,4.96,5.00,2.09,153070
1980-07-24,0.00,5.02,4.74,4.74,1.98,236090
1980-07-25,0.00,4.71,4.63,4.67,1.95,513691
1980-07-28,0.00,4.77,4.60,4.77,1.99,586334
1980-07-29,0.00,5.00,4.93,5.00,2.09,370999
1980-07-30,0.00,5.12,4.99,5.00,2.09,764483
1980-07-31,0.00,5.20,4.96,5.20,2.18,302680
