Date,Open,High,Low,Close,Adj Close,Volume
2013-12-12,20.25,23.42,20.10,22.70,20.64,6560000
2013-12-13,23.00,24.58,22.94,23.83,21.67,322400
2013-12-16,24.00,24.00,22.77,23.70,21.55,91400
2013-12-17,23.29,23.72,23.06,23.46,21.33,218200
2013-12-18,23.44,24.02,23.11,24.00,21.82,831900
2013-12-19,23.81,24.00,23.51,23.70,21.55,382900
2013-12-20,23.55,23.94,23.50,23.92,21.75,913000
2013-12-23,24.00,24.65,23.98,24.17,21.97,525300
2013-12-24,24.08,24.90,24.08,24.39,22.18,81900
2013-12-26,24.66,25.62,24.49,25.50,23.18,433500
2013-12-27,25.75,26.47,25.54,25.98,23.62,338900
2013-12-30,26.72,26.72,25.61,25.81,23.47,601900
2013-12-31,26.08,26.24,25.64,26.22,23.84,416800
2014-01-02,25.99,26.00,25.10,25.37,23.07,213000
2014-01-03,25.81,25.90,25.35,25.55,23.23,231200
2014-01-06,25.35,25.59,24.35,24.39,22.18,569100
2014-01-07,24.50,24.79,24.26,24.35,22.14,530700
2014-01-08,24.35,24.58,24.11,24.35,22.14,419700
2014-01-09,24.39,24.85,24.33,24.66,22.42,338700
2014-01-10,24.84,25.25,24.67,24.78,22.53,298600
2014-01-13,24.65,25.33,24.58,24.98,22.71,233700
2014-01-14,24.98,24.98,24.70,24.89,22.63,64400
2014-01-15,24.82,25.10,24.70,24.83,22.58,176200
2014-01-16,24.98,25.00,24.53,24.82,22.57,270600
2014-01-17,24.88,24.95,24.40,24.51,22.28,207800
2014-01-21,25.12,26.32,24.74,24.88,22.62,626600
2014-01-22,24.60,25.28,24.50,24.91,22.65,548200
2014-01-23,25.25,25.25,24.55,24.98,22.71,159100
2014-01-24,24.65,25.24,23.71,23.94,21.77,379800
2014-01-27,23.88,23.92,23.40,23.64,21.49,245700
2014-01-28,24.02,24.48,23.54,24.45,22.23,335300
2014-01-29,23.71,24.42,23.50,24.20,22.00,363500
2014-01-30,24.12,24.89,23.91,24.71,22.47,361400
2014-01-31,24.60,24.78,24.17,24.71,22.47,257900
2014-02-03,24.84,24.95,23.61,24.81,22.56,241000
2014-02-04,24.81,25.29,24.57,24.99,22.72,446400
2014-02-05,23.04,29.71,23.04,26.10,23.73,2551600
2014-02-06,27.00,27.00,25.63,25.85,23.50,560800
2014-02-07,26.02,26.02,25.28,25.61,23.28,247400
2014-02-10,25.74,26.56,25.00,26.45,24.05,269500
2014-02-11,26.29,26.79,26.04,26.72,24.29,249900
