Date,Open,High,Low,Close,Adj Close,Volume
1983-12-28,5.58,5.75,5.58,5.58,0.98,19200
1983-12-29,5.54,5.75,5.54,5.54,0.97,93900
1983-12-30,5.54,5.75,5.54,5.54,0.97,79800
1984-01-03,5.54,5.67,5.50,5.50,0.96,33000
1984-01-04,5.50,5.54,5.42,5.42,0.95,51600
1984-01-05,5.42,5.54,5.42,5.42,0.95,35100
1984-01-06,5.50,5.67,5.50,5.50,0.96,60600
1984-01-09,5.54,5.75,5.54,5.54,0.97,40200
1984-01-10,5.54,5.67,5.54,5.54,0.97,44400
1984-01-11,5.54,5.67,5.50,5.50,0.96,60000
1984-01-12,5.50,5.67,5.50,5.50,0.96,27900
1984-01-13,5.50,5.67,5.50,5.50,0.96,32700
1984-01-16,5.54,5.67,5.54,5.54,0.97,31800
1984-01-17,5.54,5.67,5.50,5.50,0.96,75600
1984-01-18,5.50,5.54,5.50,5.50,0.96,54600
1984-01-19,5.50,5.67,5.50,5.50,0.96,65700
1984-01-20,5.50,5.54,5.50,5.50,0.96,46500
1984-01-23,5.50,5.67,5.50,5.50,0.96,84900
1984-01-24,5.50,5.67,5.50,5.50,0.96,27600
1984-01-25,5.50,5.67,5.50,5.50,0.96,28200
1984-01-26,5.50,5.67,5.50,5.50,0.96,16500
1984-01-27,5.67,5.92,5.67,5.67,0.99,21900
1984-01-30,5.67,5.79,5.67,5.67,0.99,47400
1984-01-31,5.67,5.79,5.54,5.54,0.97,28800
1984-02-01,5.67,5.79,5.67,5.67,0.99,20700
1984-02-02,5.75,5.92,5.75,5.75,1.01,28500
1984-02-03,5.92,6.04,5.92,5.92,1.04,14100
1984-02-06,5.92,6.00,5.79,5.79,1.02,39900
1984-02-07,5.79,6.00,5.79,5.79,1.02,23100
1984-02-08,6.00,6.17,6.00,6.00,1.05,33300
1984-02-09,6.00,6.17,6.00,6.00,1.05,14100
1984-02-10,6.04,6.17,6.04,6.04,1.06,43500
1984-02-13,6.00,6.00,5.79,5.79,1.02,31800
1984-02-14,5.79,6.00,5.79,5.79,1.02,14400
1984-02-15,5.79,6.00,5.79,5.79,1.02,8400
1984-02-16,5.79,5.92,5.79,5.79,1.02,11100
1984-02-17,5.92,6.04,5.92,5.92,1.04,25200
1984-02-21,5.92,6.00,5.79,5.79,1.02,23100
1984-02-22,5.79,5.92,5.75,5.75,1.01,6600
1984-02-23,5.75,5.79,5.75,5.75,1.01,51900
1984-02-24,5.75,5.92,5.75,5.75,1.01,18600
1984-02-27,5.75,5.79,5.67,5.67,0.99,15600
1984-02-28,5.67,5.79,5.67,5.67,0.99,21600
1984-02-29,5.67,5.79,5.67,5.67,0.99,12000
1984-03-01,5.67,5.79,5.67,5.67,0.99,3300
