Date,Open,High,Low,Close,Adj Close,Volume
1993-04-23,4.75,4.94,4.75,4.88,3.43,64400
1993-04-26,4.81,4.88,4.75,4.78,3.36,25200
1993-04-27,4.72,4.72,4.69,4.69,3.30,7200
1993-04-28,4.75,4.75,4.69,4.75,3.34,17600
1993-04-29,4.78,4.78,4.69,4.69,3.30,15200
1993-04-30,4.75,4.75,4.50,4.50,3.16,35200
1993-05-03,4.47,4.47,4.38,4.38,3.08,12800
1993-05-04,4.31,4.31,4.16,4.19,2.95,19200
1993-05-05,4.19,4.22,4.16,4.19,2.95,12400
1993-05-06,4.25,4.31,4.25,4.28,3.01,25600
1993-05-07,4.28,4.34,4.28,4.28,3.01,16800
1993-05-10,4.31,4.31,4.22,4.22,2.97,14400
1993-05-11,4.22,4.22,4.09,4.12,2.90,29600
1993-05-12,4.06,4.16,4.00,4.16,2.92,67200
1993-05-13,4.19,4.56,4.19,4.47,3.14,83600
1993-05-14,4.66,4.69,4.62,4.62,3.25,38400
1993-05-17,4.59,4.59,4.44,4.47,3.14,26800
1993-05-18,4.44,4.47,4.34,4.34,3.05,50400
1993-05-19,4.34,4.50,4.34,4.50,3.16,17600
1993-05-20,4.47,4.59,4.47,4.59,3.23,21600
1993-05-21,4.53,4.56,4.50,4.53,3.19,19600
1993-05-24,4.47,4.50,4.41,4.41,3.10,39600
1993-05-25,4.41,4.44,4.25,4.28,3.01,78400
1993-05-26,4.28,4.28,4.25,4.25,2.99,49600
1993-05-27,4.22,4.25,4.22,4.25,2.99,20000
1993-05-28,4.28,4.31,4.28,4.31,3.03,88000
1993-06-01,4.34,4.50,4.34,4.44,3.12,12400
1993-06-02,4.41,4.47,4.41,4.44,3.12,33200
1993-06-03,4.41,4.44,4.41,4.41,3.10,15600
1993-06-04,4.41,4.47,4.41,4.47,3.14,6800
1993-06-07,4.44,4.44,4.41,4.41,3.10,2400
1993-06-08,4.41,4.47,4.41,4.47,3.14,94400
1993-06-09,4.50,4.53,4.47,4.47,3.14,46400
1993-06-10,4.44,4.47,4.44,4.44,3.12,18400
1993-06-11,4.44,4.44,4.44,4.44,3.12,2400
1993-06-14,4.44,4.47,4.44,4.47,3.14,26800
1993-06-15,4.47,4.47,4.47,4.47,3.14,113600
1993-06-16,4.50,4.53,4.50,4.50,3.16,84800
