Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,3.69,3.69,3.69,3.69,1.29,0
1972-06-02,3.68,3.68,3.68,3.68,1.28,0
1972-06-05,3.60,3.60,3.60,3.60,1.26,0
1972-06-06,3.41,3.41,3.41,3.41,1.19,0
1972-06-07,3.37,3.37,3.37,3.37,1.17,0
1972-06-08,3.45,3.45,3.45,3.45,1.20,0
1972-06-09,3.43,3.43,3.43,3.43,1.19,0
1972-06-12,3.48,3.48,3.48,3.48,1.21,0
1972-06-13,3.48,3.48,3.48,3.48,1.21,0
1972-06-14,3.44,3.44,3.44,3.44,1.20,0
1972-06-15,3.40,3.40,3.40,3.40,1.19,0
1972-06-16,3.40,3.40,3.40,3.40,1.18,0
1972-06-19,3.36,3.36,3.36,3.36,1.17,0
1972-06-20,3.37,3.37,3.37,3.37,1.17,0
1972-06-21,3.44,3.44,3.44,3.44,1.20,0
1972-06-22,3.51,3.51,3.51,3.51,1.22,0
1972-06-23,3.33,3.33,3.33,3.33,1.16,0
1972-06-26,3.23,3.23,3.23,3.23,1.13,0
1972-06-27,3.37,3.37,3.37,3.37,1.17,0
1972-06-28,3.40,3.40,3.40,3.40,1.19,0
1972-06-29,3.48,3.48,3.48,3.48,1.21,0
1972-06-30,3.59,3.59,3.59,3.59,1.25,0
1972-07-03,3.73,3.73,3.73,3.73,1.30,0
1972-07-05,3.86,3.86,3.86,3.86,1.35,0
1972-07-06,3.86,3.86,3.86,3.86,1.35,0
1972-07-07,3.80,3.80,3.80,3.80,1.32,0
1972-07-10,3.77,3.77,3.77,3.77,1.31,0
1972-07-11,3.77,3.77,3.77,3.77,1.31,0
1972-07-12,3.77,3.77,3.77,3.77,1.31,0
1972-07-13,3.61,3.61,3.61,3.61,1.26,0
1972-07-14,3.64,3.64,3.64,3.64,1.27,0
1972-07-17,3.60,3.60,3.60,3.60,1.26,0
1972-07-18,3.64,3.64,3.64,3.64,1.27,0
1972-07-19,3.64,3.64,3.64,3.64,1.27,0
1972-07-20,3.45,3.45,3.45,3.45,1.20,0
1972-07-21,3.52,3.52,3.52,3.52,1.23,0
1972-07-24,3.59,3.59,3.59,3.59,1.25,0
1972-07-25,3.56,3.56,3.56,3.56,1.24,0
1972-07-26,3.56,3.56,3.56,3.56,1.24,0
1972-07-27,3.55,3.55,3.55,3.55,1.24,0
1972-07-28,3.56,3.56,3.56,3.56,1.24,0
1972-07-31,3.56,3.56,3.56,3.56,1.24,0
1972-08-01,3.65,3.65,3.65,3.65,1.27,0
1972-08-02,3.88,3.88,3.88,3.88,1.35,0
1972-08-03,3.94,3.94,3.94,3.94,1.37,0
1972-08-04,3.95,3.95,3.95,3.95,1.38,0
1972-08-07,3.94,3.94,3.94,3.94,1.37,0
1972-08-08,3.89,3.89,3.89,3.89,1.35,0
1972-08-09,3.89,3.89,3.89,3.89,1.35,0
1972-08-10,4.00,4.00,4.00,4.00,1.39,0
1972-08-11,4.04,4.04,4.04,4.04,1.41,0
1972-08-14,4.01,4.01,4.01,4.01,1.40,0
1972-08-15,3.97,3.97,3.97,3.97,1.38,0
1972-08-16,3.94,3.94,3.94,3.94,1.37,0
1972-08-17,3.86,3.86,3.86,3.86,1.35,0
1972-08-18,3.88,3.88,3.88,3.88,1.35,0
1972-08-21,3.86,3.86,3.86,3.86,1.35,0
1972-08-22,3.81,3.81,3.81,3.81,1.33,0
1972-08-23,3.73,3.73,3.73,3.73,1.30,0
1972-08-24,3.71,3.71,3.71,3.71,1.29,0
1972-08-25,3.71,3.71,3.71,3.71,1.29,0
1972-08-28,3.71,3.71,3.71,3.71,1.29,0
1972-08-29,3.77,3.77,3.77,3.77,1.31,0
1972-08-30,3.86,3.86,3.86,3.86,1.35,0
1972-08-31,3.85,3.85,3.85,3.85,1.34,0
1972-09-01,3.99,3.99,3.99,3.99,1.39,0
1972-09-05,3.92,3.92,3.92,3.92,1.37,0
1972-09-06,3.79,3.79,3.79,3.79,1.32,0
1972-09-07,3.80,3.80,3.80,3.80,1.32,0
1972-09-08,3.72,3.72,3.72,3.72,1.30,0
1972-09-11,3.61,3.61,3.61,3.61,1.26,0
1972-09-12,3.52,3.52,3.52,3.52,1.23,0
1972-09-13,3.60,3.60,3.60,3.60,1.26,0
1972-09-14,3.64,3.64,3.64,3.64,1.27,0
1972-09-15,3.65,3.65,3.65,3.65,1.27,0
1972-09-18,3.69,3.69,3.69,3.69,1.29,0
1972-09-19,3.73,3.73,3.73,3.73,1.30,0
1972-09-20,3.85,3.85,3.85,3.85,1.34,0
1972-09-21,3.77,3.77,3.77,3.77,1.31,0
1972-09-22,3.77,3.77,3.77,3.77,1.31,0
1972-09-25,3.73,3.73,3.73,3.73,1.30,0
1972-09-26,3.77,3.77,3.77,3.77,1.31,0
1972-09-27,4.00,4.00,4.00,4.00,1.39,0
1972-09-28,4.01,4.01,4.01,4.01,1.40,0
1972-09-29,3.97,3.97,3.97,3.97,1.38,0
1972-10-02,3.99,3.99,3.99,3.99,1.39,0
1972-10-03,4.01,4.01,4.01,4.01,1.40,0
1972-10-04,3.97,3.97,3.97,3.97,1.38,0
1972-10-05,3.77,3.77,3.77,3.77,1.31,0
1972-10-06,3.83,3.83,3.83,3.83,1.33,0
1972-10-09,3.90,3.90,3.90,3.90,1.36,0
1972-10-10,3.85,3.85,3.85,3.85,1.34,0
1972-10-11,3.72,3.72,3.72,3.72,1.30,0
1972-10-12,3.71,3.71,3.71,3.71,1.29,0
1972-10-13,3.67,3.67,3.67,3.67,1.28,0
1972-10-16,3.64,3.64,3.64,3.64,1.27,0
1972-10-17,3.73,3.73,3.73,3.73,1.30,0
1972-10-18,3.88,3.88,3.88,3.88,1.35,0
1972-10-19,3.85,3.85,3.85,3.85,1.34,0
1972-10-20,3.99,3.99,3.99,3.99,1.39,0
1972-10-23,3.93,3.93,3.93,3.93,1.37,0
1972-10-24,3.96,3.96,3.96,3.96,1.38,0
1972-10-25,3.96,3.96,3.96,3.96,1.38,0
1972-10-26,3.96,3.96,3.96,3.96,1.38,0
1972-10-27,3.95,3.95,3.95,3.95,1.38,0
1972-10-30,3.97,3.97,3.97,3.97,1.38,0
1972-10-31,3.96,3.96,3.96,3.96,1.38,0
