Date,Open,High,Low,Close,Adj Close,Volume
2014-11-12,20.94,20.94,20.11,20.75,20.75,24860700
2014-11-13,20.75,21.99,20.75,21.50,21.50,2276000
2014-11-14,21.50,22.37,21.46,21.98,21.98,2089200
2014-11-17,22.06,22.84,21.50,22.33,22.33,1628400
2014-11-18,22.13,22.40,21.75,21.88,21.88,437900
2014-11-19,21.91,23.09,21.80,22.24,22.24,1387100
2014-11-20,22.21,22.69,22.10,22.29,22.29,1433300
2014-11-21,22.68,22.76,22.29,22.56,22.56,835500
2014-11-24,22.64,22.70,22.13,22.41,22.41,758000
2014-11-25,22.48,23.65,22.28,22.99,22.99,1223900
2014-11-26,23.34,23.34,22.64,22.98,22.98,646200
2014-11-28,23.06,23.80,23.00,23.80,23.80,327500
2014-12-01,23.90,24.25,23.51,23.73,23.73,1150500
2014-12-02,23.55,24.51,23.35,24.41,24.41,1059200
2014-12-03,24.85,25.43,24.31,25.16,25.16,949900
2014-12-04,25.60,25.94,24.92,25.03,25.03,932200
2014-12-05,25.00,25.47,24.73,25.03,25.03,1068500
2014-12-08,24.50,25.48,24.21,24.72,24.72,637800
2014-12-09,24.75,25.11,24.56,25.01,25.01,597400
2014-12-10,24.81,24.96,24.50,24.70,24.70,1072800
2014-12-11,24.64,26.51,24.64,26.38,26.38,1784600
2014-12-12,26.30,26.33,25.58,26.03,26.03,1496600
2014-12-15,26.11,26.53,25.98,26.07,26.07,1394900
2014-12-16,26.32,27.09,26.00,26.27,26.27,1013700
2014-12-17,26.29,26.77,26.00,26.66,26.66,1088100
2014-12-18,26.99,27.00,26.00,26.75,26.75,1557100
2014-12-19,26.80,27.33,26.12,26.94,26.94,3883700
2014-12-22,27.17,27.49,26.85,27.45,27.45,657200
2014-12-23,26.95,27.50,26.68,27.01,27.01,704700
2014-12-24,27.00,27.07,26.64,26.74,26.74,189100
2014-12-26,26.66,26.84,26.14,26.63,26.63,350500
2014-12-29,26.74,27.00,26.42,26.75,26.75,480600
2014-12-30,26.61,26.80,26.06,26.18,26.18,422000
2014-12-31,26.12,26.41,25.84,26.02,26.02,702600
2015-01-02,26.18,26.68,25.70,26.24,26.24,937200
2015-01-05,26.39,27.00,26.06,26.68,26.68,1286800
2015-01-06,26.77,28.00,26.37,27.71,27.71,963100
2015-01-07,27.95,27.99,26.61,26.86,26.86,1104000
2015-01-08,26.90,28.00,26.66,27.44,27.44,945300
2015-01-09,27.44,27.64,26.89,26.92,26.92,438500
2015-01-12,26.91,27.15,26.51,26.99,26.99,663300
2015-01-13,27.43,27.99,26.87,27.66,27.66,993600
2015-01-14,27.60,27.72,27.05,27.10,27.10,858500
2015-01-15,27.17,27.17,26.39,26.43,26.43,205600
2015-01-16,26.41,27.18,26.41,26.89,26.89,2187000
2015-01-20,27.00,27.14,26.54,26.65,26.65,687400
2015-01-21,26.62,27.25,26.51,26.94,26.94,1820900
2015-01-22,26.87,27.52,26.77,27.13,27.13,1172200
2015-01-23,27.15,27.38,26.84,26.92,26.92,603000
2015-01-26,26.99,26.99,25.97,26.35,26.35,923100
2015-01-27,26.00,26.04,25.36,25.82,25.82,866700
