Date,Open,High,Low,Close,Adj Close,Volume
2001-12-03,13.60,13.84,13.50,13.80,8.98,847400
2001-12-04,13.70,13.84,13.60,13.75,8.94,780700
2001-12-05,13.75,14.20,13.75,14.06,9.15,906200
2001-12-06,13.95,14.20,13.70,13.98,9.09,291300
2001-12-07,13.88,13.88,13.40,13.48,8.77,399500
2001-12-10,13.10,13.10,11.20,11.20,7.29,348800
2001-12-11,11.30,12.58,11.30,12.58,8.18,595400
2001-12-12,12.48,12.85,11.95,12.00,7.81,226700
2001-12-13,12.10,12.40,11.75,12.00,7.81,248600
2001-12-14,11.90,12.08,11.76,11.98,7.79,146000
2001-12-17,11.65,12.10,10.80,11.00,7.16,523600
2001-12-18,10.90,11.50,10.70,11.50,7.48,685500
2001-12-19,11.16,12.10,11.05,11.95,7.77,290400
2001-12-20,12.00,12.00,11.35,11.51,7.49,535400
2001-12-21,11.20,11.95,11.15,11.90,7.74,367700
2001-12-24,12.35,12.95,12.10,12.89,8.39,112300
2001-12-26,13.09,13.20,11.96,12.51,8.14,255900
2001-12-27,12.70,12.95,12.70,12.90,8.39,374500
2001-12-28,12.91,12.91,11.90,12.00,7.81,324500
2001-12-31,12.00,12.40,12.00,12.10,7.87,451000
2002-01-02,12.05,14.00,12.01,14.00,9.11,164700
2002-01-03,13.75,14.75,13.75,14.75,9.60,260000
2002-01-04,14.75,14.89,14.11,14.81,9.63,155700
2002-01-07,14.71,14.71,14.02,14.26,9.28,131100
2002-01-08,14.20,14.20,13.81,14.20,9.24,67500
2002-01-09,14.15,14.35,13.80,13.80,8.98,52200
2002-01-10,13.70,14.05,13.20,13.57,8.83,74500
2002-01-11,13.62,13.74,13.50,13.50,8.78,56100
2002-01-14,13.28,14.65,13.20,14.61,9.50,177500
2002-01-15,14.40,14.52,13.88,13.96,9.18,208500
2002-01-16,13.99,14.00,12.80,12.80,8.41,144600
2002-01-17,12.70,13.74,12.70,13.74,9.03,618900
2002-01-18,13.54,13.65,13.10,13.45,8.84,123300
2002-01-22,13.45,14.04,13.35,13.82,9.08,86000
2002-01-23,13.82,13.92,13.30,13.92,9.15,70300
2002-01-24,13.82,13.82,13.50,13.50,8.87,63000
2002-01-25,13.40,13.61,12.90,13.61,8.95,300500
2002-01-28,13.70,13.92,13.66,13.75,9.04,135600
2002-01-29,13.75,13.75,13.02,13.20,8.68,214400
2002-01-30,13.15,13.18,12.82,13.08,8.60,31600
2002-01-31,13.00,13.05,12.50,13.05,8.58,144700
2002-02-01,13.05,13.05,12.74,13.03,8.56,114100
2002-02-04,12.80,13.99,12.69,13.39,8.80,83400
2002-02-05,13.29,13.29,12.53,13.24,8.70,112700
2002-02-06,13.24,13.45,13.10,13.27,8.72,207500
2002-02-07,13.17,13.25,13.10,13.19,8.67,76500
2002-02-08,13.29,13.47,13.26,13.40,8.81,98900
2002-02-11,13.30,13.35,13.00,13.20,8.68,104900
2002-02-12,13.20,13.30,13.15,13.27,8.72,138700
2002-02-13,13.26,13.30,13.25,13.30,8.74,65400
2002-02-14,13.30,13.35,13.25,13.35,8.77,173400
2002-02-15,13.30,13.57,13.30,13.44,8.83,90300
2002-02-19,13.54,13.58,13.30,13.46,8.85,242600
2002-02-20,13.45,13.62,13.45,13.55,8.91,101100
2002-02-21,13.55,13.69,13.50,13.57,8.92,74100
2002-02-22,13.65,14.65,13.65,14.52,9.54,92600
2002-02-25,14.42,14.75,14.25,14.52,9.54,67300
2002-02-26,14.52,14.52,13.88,13.96,9.18,54500
2002-02-27,13.90,14.30,13.50,14.10,9.27,61000
2002-02-28,14.50,14.61,13.90,14.20,9.33,148300
2002-03-01,14.15,15.50,14.06,15.30,10.06,188500
2002-03-04,15.20,15.85,15.20,15.60,10.25,320000
2002-03-05,15.50,15.75,15.23,15.40,10.12,158400
2002-03-06,15.30,15.40,15.00,15.35,10.09,121500
2002-03-07,15.29,15.30,14.75,14.85,9.76,119300
2002-03-08,14.80,14.92,14.35,14.50,9.53,58600
2002-03-11,14.10,14.80,14.00,14.71,9.67,210400
2002-03-12,14.81,15.20,14.75,15.20,9.99,83300
2002-03-13,15.30,15.30,15.10,15.23,10.01,19800
2002-03-14,15.20,15.52,15.15,15.50,10.19,33200
2002-03-15,15.15,15.40,15.02,15.10,9.92,109100
2002-03-18,15.25,15.25,15.07,15.14,9.95,47400
2002-03-19,15.11,16.00,15.03,16.00,10.52,57400
2002-03-20,15.75,16.00,15.25,15.26,10.03,48600
2002-03-21,15.26,15.61,14.75,15.58,10.24,107200
2002-03-22,15.60,15.85,15.31,15.51,10.19,69500
2002-03-25,15.30,15.75,15.20,15.31,10.06,129900
2002-03-26,15.31,16.01,15.20,15.90,10.45,99400
2002-03-27,15.90,17.70,15.90,16.50,10.84,265200
2002-03-28,16.60,17.15,16.08,16.53,10.86,146700
2002-04-01,16.53,17.10,16.15,17.00,11.17,167700
2002-04-02,16.95,17.06,16.86,17.05,11.21,102200
2002-04-03,17.00,17.03,16.70,16.75,11.01,76800
2002-04-04,16.50,17.05,16.50,17.05,11.21,89000
2002-04-05,17.05,17.30,16.80,17.18,11.29,103300
2002-04-08,17.00,17.85,17.00,17.60,11.57,63900
2002-04-09,17.60,17.80,17.15,17.60,11.57,116300
2002-04-10,17.60,17.91,17.40,17.86,11.74,99300
2002-04-11,17.71,17.78,17.41,17.47,11.58,59700
2002-04-12,17.37,17.90,17.37,17.90,11.86,131000
2002-04-15,17.75,18.20,17.65,18.03,11.95,122900
2002-04-16,18.45,19.05,18.45,18.90,12.53,83500
2002-04-17,18.90,18.90,18.63,18.65,12.36,58400
2002-04-18,18.55,18.95,18.29,18.29,12.12,142500
2002-04-19,18.30,18.40,18.00,18.04,11.96,129000
2002-04-22,18.06,18.40,18.00,18.40,12.20,45900
2002-04-23,18.30,18.96,18.30,18.96,12.57,112400
2002-04-24,18.96,19.00,18.80,18.93,12.55,71200
2002-04-25,18.90,19.40,18.90,19.40,12.86,104300
2002-04-26,19.40,19.40,19.11,19.13,12.68,93800
2002-04-29,19.13,19.13,18.75,18.80,12.46,260800
2002-04-30,18.80,18.90,18.45,18.55,12.30,289700
2002-05-01,18.60,18.75,17.80,18.48,12.25,107700
2002-05-02,18.50,18.69,18.30,18.46,12.24,90200
2002-05-03,18.47,18.52,18.15,18.28,12.12,124900
2002-05-06,18.25,18.35,17.70,18.00,11.93,90400
2002-05-07,17.90,17.90,16.92,17.00,11.27,167100
2002-05-08,17.00,17.15,16.33,17.03,11.29,96300
2002-05-09,16.93,16.93,16.04,16.14,10.70,105500
2002-05-10,16.15,16.22,15.50,15.83,10.49,97100
2002-05-13,15.70,16.50,15.55,16.41,10.88,150000
2002-05-14,16.41,17.58,16.20,17.45,11.57,121400
2002-05-15,17.45,17.54,17.30,17.40,11.53,77900
2002-05-16,17.30,17.60,16.67,16.85,11.17,78500
2002-05-17,16.95,17.15,16.71,16.90,11.20,39800
2002-05-20,16.80,16.90,16.55,16.71,11.08,79300
2002-05-21,16.61,16.96,16.47,16.96,11.24,75600
2002-05-22,16.86,16.95,16.40,16.78,11.12,48600
2002-05-23,16.70,17.71,16.35,17.71,11.74,43500
2002-05-24,17.55,17.60,16.85,17.00,11.27,64200
2002-05-28,16.95,16.95,16.50,16.93,11.22,35700
2002-05-29,16.93,16.93,15.30,16.44,10.90,118500
2002-05-30,16.50,17.22,16.50,16.88,11.19,30100
2002-05-31,16.88,17.30,16.71,16.90,11.20,44600
2002-06-03,16.80,16.88,15.75,16.43,10.89,79700
2002-06-04,16.18,16.68,16.00,16.68,11.06,51900
2002-06-05,16.55,16.55,16.00,16.10,10.67,56700
2002-06-06,16.10,16.30,15.65,15.80,10.47,65600
2002-06-07,15.70,16.82,15.01,16.60,11.00,58000
2002-06-10,16.35,16.35,15.25,15.45,10.24,62900
2002-06-11,15.35,15.88,15.25,15.27,10.12,49800
2002-06-12,15.27,15.50,14.80,15.35,10.17,63600
2002-06-13,15.27,15.42,15.01,15.25,10.11,156300
2002-06-14,15.15,15.15,14.50,14.95,9.91,83500
2002-06-17,15.05,15.38,14.99,15.00,9.94,63400
2002-06-18,14.80,14.94,14.50,14.60,9.68,25300
2002-06-19,14.53,14.99,14.42,14.69,9.74,267900
2002-06-20,14.79,16.25,14.75,15.80,10.47,86800
2002-06-21,16.25,16.75,15.93,16.75,11.10,115700
2002-06-24,16.60,17.30,16.50,17.05,11.30,80100
2002-06-25,16.99,17.02,15.75,16.08,10.66,63500
2002-06-26,15.85,16.20,15.48,16.17,10.72,160600
2002-06-27,16.00,17.50,15.82,17.45,11.57,112700
2002-06-28,17.35,18.48,17.35,18.20,12.06,217300
2002-07-01,18.00,18.30,17.75,17.95,11.90,194500
2002-07-02,17.85,18.36,17.44,17.89,11.86,115200
2002-07-03,17.75,17.75,16.55,17.29,11.46,135500
2002-07-05,17.54,18.60,17.48,18.30,12.13,41800
2002-07-08,18.20,18.48,16.95,17.15,11.37,124900
2002-07-09,17.00,17.90,16.95,17.10,11.33,32600
2002-07-10,17.10,17.22,16.45,16.45,10.90,39700
2002-07-11,16.43,16.43,14.86,15.12,10.02,44500
2002-07-12,15.05,15.72,14.60,14.64,9.70,75600
2002-07-15,14.39,15.00,13.90,14.97,10.03,71100
2002-07-16,14.94,14.94,14.40,14.68,9.83,42300
2002-07-17,14.58,15.10,14.25,15.04,10.07,44900
2002-07-18,14.94,15.29,14.10,14.25,9.54,50200
2002-07-19,14.25,14.70,13.80,13.80,9.24,67200
2002-07-22,13.70,14.11,13.51,13.80,9.24,48300
2002-07-23,13.70,13.70,11.82,11.95,8.00,85000
2002-07-24,11.60,13.88,11.35,13.79,9.24,124500
2002-07-25,13.76,14.55,13.45,14.30,9.58,103300
2002-07-26,14.30,14.30,13.00,13.17,8.82,56600
2002-07-29,13.27,15.30,13.27,15.30,10.25,47200
2002-07-30,15.10,15.55,14.40,14.88,9.97,51800
2002-07-31,14.78,14.78,12.92,13.15,8.81,46300
2002-08-01,13.14,14.48,13.14,14.45,9.68,34600
2002-08-02,14.45,14.55,13.89,13.95,9.34,46000
2002-08-05,13.90,13.96,12.95,13.20,8.84,30000
2002-08-06,13.30,14.05,13.25,13.65,9.14,39500
2002-08-07,13.75,14.05,13.60,13.60,9.11,70200
2002-08-08,13.50,14.23,13.15,14.15,9.48,57400
2002-08-09,14.16,14.62,14.16,14.55,9.74,20300
2002-08-12,14.45,14.45,13.74,14.25,9.54,22700
2002-08-13,14.15,14.25,13.50,13.57,9.09,55100
2002-08-14,13.58,15.50,13.55,15.49,10.37,66700
2002-08-15,15.49,15.49,14.61,14.65,9.81,51000
2002-08-16,14.55,15.60,14.55,15.16,10.15,67400
2002-08-19,15.06,15.55,15.06,15.28,10.23,36800
2002-08-20,15.28,15.28,14.70,14.87,9.96,40400
2002-08-21,14.85,15.28,14.44,15.28,10.23,35500
2002-08-22,15.21,15.21,14.90,15.00,10.05,22700
2002-08-23,14.90,15.41,14.35,14.95,10.01,49800
2002-08-26,14.85,15.55,14.67,15.55,10.41,55300
2002-08-27,15.55,15.55,14.60,14.75,9.88,45600
2002-08-28,14.65,14.65,13.44,13.95,9.34,78600
2002-08-29,14.00,14.00,13.55,13.70,9.17,47000
2002-08-30,13.60,14.30,13.60,14.00,9.38,39900
2002-09-03,14.00,14.20,13.70,13.70,9.17,50900
2002-09-04,13.65,14.95,13.30,14.91,9.99,52300
2002-09-05,14.88,14.88,13.70,13.73,9.19,37000
2002-09-06,13.70,13.94,13.50,13.93,9.33,82100
2002-09-09,14.00,14.85,13.80,14.83,9.93,40800
2002-09-10,14.73,15.28,14.72,14.86,9.95,78500
2002-09-11,14.96,15.24,14.45,14.48,9.70,10000
2002-09-12,14.58,14.60,14.29,14.39,9.64,50000
2002-09-13,14.45,15.60,14.43,15.30,10.25,28600
2002-09-16,15.20,15.40,15.20,15.28,10.23,38000
2002-09-17,15.40,15.45,15.00,15.20,10.18,19900
2002-09-18,15.05,15.50,15.02,15.29,10.24,143300
2002-09-19,15.25,15.25,15.00,15.05,10.08,127300
2002-09-20,15.25,15.40,15.15,15.35,10.28,102300
2002-09-23,15.30,15.30,13.55,13.60,9.11,56500
2002-09-24,13.50,13.65,13.20,13.53,9.06,81000
2002-09-25,13.45,13.57,13.30,13.50,9.04,59400
2002-09-26,13.50,13.59,12.90,13.12,8.79,75700
2002-09-27,13.12,13.12,11.95,12.15,8.14,77000
2002-09-30,12.05,12.48,11.70,12.26,8.21,105600
2002-10-01,12.16,13.60,12.06,13.60,9.11,56600
2002-10-02,13.40,13.80,13.08,13.67,9.15,82500
2002-10-03,14.15,14.90,13.39,13.50,9.04,167900
2002-10-04,13.40,13.86,13.05,13.11,8.78,95600
2002-10-07,13.16,13.25,11.90,11.95,8.00,56900
2002-10-08,11.75,13.22,11.75,13.00,8.71,58400
2002-10-09,12.90,13.17,12.55,12.65,8.47,112500
