Date,Open,High,Low,Close,Adj Close,Volume
1994-10-26,8.25,8.25,7.88,7.94,7.94,5289000
1994-10-27,8.12,8.25,7.94,8.25,8.25,733200
1994-10-28,8.25,9.06,8.06,8.81,8.81,1111200
1994-10-31,8.69,8.88,8.44,8.50,8.50,389000
1994-11-01,8.44,8.62,7.94,8.19,8.19,402000
1994-11-02,8.19,8.50,8.19,8.31,8.31,228400
1994-11-03,8.44,8.56,8.38,8.38,8.38,165600
1994-11-04,8.56,8.56,8.31,8.50,8.50,139400
1994-11-07,8.31,8.44,8.19,8.25,8.25,180800
1994-11-08,8.44,8.44,8.06,8.19,8.19,270400
1994-11-09,8.25,8.38,8.25,8.25,8.25,456800
1994-11-10,8.25,8.50,8.25,8.31,8.31,78800
1994-11-11,8.31,8.50,8.31,8.50,8.50,27600
1994-11-14,8.50,8.50,8.31,8.31,8.31,37800
1994-11-15,8.31,8.38,8.06,8.06,8.06,222000
1994-11-16,8.12,8.44,8.12,8.31,8.31,52200
1994-11-17,8.25,8.50,8.25,8.34,8.34,240800
1994-11-18,8.50,9.06,8.31,9.06,9.06,323600
1994-11-21,8.81,9.19,8.75,8.81,8.81,106200
1994-11-22,8.69,8.88,7.94,8.06,8.06,293800
1994-11-23,7.88,8.25,7.88,8.12,8.12,48400
1994-11-25,8.00,8.19,7.94,8.06,8.06,98200
1994-11-28,8.06,8.19,8.00,8.19,8.19,266200
1994-11-29,8.19,8.38,8.12,8.38,8.38,75000
1994-11-30,8.25,8.50,8.12,8.44,8.44,149000
1994-12-01,8.56,8.56,8.38,8.50,8.50,24400
1994-12-02,8.38,8.62,8.38,8.56,8.56,118800
1994-12-05,8.62,8.94,8.50,8.94,8.94,209800
1994-12-06,8.94,9.69,8.81,9.31,9.31,586600
1994-12-07,9.25,9.38,9.25,9.25,9.25,135800
1994-12-08,9.38,9.38,8.62,8.69,8.69,318600
1994-12-09,8.62,8.62,8.44,8.44,8.44,255200
1994-12-12,8.44,8.62,8.38,8.56,8.56,54000
1994-12-13,8.69,8.75,8.56,8.75,8.75,47800
1994-12-14,8.75,8.81,8.56,8.81,8.81,107600
1994-12-15,8.81,8.94,8.62,8.88,8.88,81200
1994-12-16,8.88,9.00,8.81,8.94,8.94,64600
1994-12-19,9.00,9.06,8.81,9.00,9.00,94400
1994-12-20,8.94,9.06,8.88,9.06,9.06,107800
1994-12-21,9.06,9.19,9.00,9.00,9.00,54200
1994-12-22,9.00,9.25,9.00,9.12,9.12,24600
1994-12-23,9.31,9.31,9.12,9.25,9.25,11000
