Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00,2.38,2.31,2.32,1.23,737600
1973-02-22,0.00,2.40,2.33,2.34,1.25,176000
1973-02-23,0.00,2.39,2.35,2.37,1.26,182400
1973-02-26,0.00,2.41,2.37,2.40,1.28,273600
1973-02-27,0.00,2.41,2.30,2.30,1.23,478400
1973-02-28,0.00,2.37,2.29,2.35,1.26,296000
1973-03-01,0.00,2.37,2.32,2.32,1.25,160000
1973-03-02,0.00,2.38,2.27,2.38,1.28,350400
1973-03-05,0.00,2.40,2.38,2.38,1.28,60800
1973-03-06,0.00,2.42,2.39,2.41,1.29,185600
1973-03-07,0.00,2.44,2.40,2.42,1.30,366400
1973-03-08,0.00,2.49,2.45,2.45,1.32,539200
1973-03-09,0.00,2.45,2.42,2.44,1.31,96000
1973-03-12,0.00,2.44,2.41,2.43,1.30,64000
1973-03-13,0.00,2.44,2.41,2.44,1.31,278400
1973-03-14,0.00,2.47,2.44,2.45,1.31,123200
1973-03-15,0.00,2.48,2.45,2.45,1.32,100800
1973-03-16,0.00,2.45,2.37,2.38,1.28,344000
1973-03-19,0.00,2.40,2.33,2.34,1.25,104000
1973-03-20,0.00,2.36,2.34,2.34,1.25,89600
1973-03-21,0.00,2.38,2.31,2.31,1.24,144000
1973-03-22,0.00,2.28,2.25,2.26,1.21,220800
1973-03-23,0.00,2.28,2.25,2.27,1.22,132800
1973-03-26,0.00,2.30,2.25,2.28,1.22,190400
1973-03-27,0.00,2.34,2.30,2.32,1.25,83200
1973-03-28,0.00,2.35,2.31,2.33,1.25,91200
1973-03-29,0.00,2.34,2.30,2.33,1.25,155200
1973-03-30,0.00,2.34,2.32,2.32,1.25,57600
1973-04-02,0.00,2.33,2.29,2.29,1.23,112000
1973-04-03,0.00,2.32,2.27,2.28,1.22,160000
1973-04-04,0.00,2.32,2.29,2.29,1.23,81600
1973-04-05,0.00,2.30,2.27,2.27,1.22,132800
1973-04-06,0.00,2.31,2.26,2.28,1.22,268800
1973-04-09,0.00,2.31,2.24,2.31,1.24,144000
1973-04-10,0.00,2.35,2.31,2.35,1.26,440000
1973-04-11,0.00,2.39,2.34,2.36,1.27,246400
1973-04-12,0.00,2.42,2.38,2.40,1.29,232000
1973-04-13,0.00,2.43,2.39,2.41,1.29,235200
1973-04-16,0.00,2.40,2.38,2.38,1.28,46400
1973-04-17,0.00,2.41,2.38,2.41,1.29,121600
1973-04-18,0.00,2.41,2.38,2.40,1.29,76800
1973-04-19,0.00,2.43,2.39,2.43,1.30,275200
1973-04-23,0.00,2.45,2.41,2.44,1.31,107200
1973-04-24,0.00,2.45,2.28,2.30,1.24,369600
1973-04-25,0.00,2.30,2.22,2.22,1.19,208000
1973-04-26,0.00,2.30,2.23,2.30,1.24,257600
1973-04-27,0.00,2.31,2.24,2.26,1.21,164800
1973-04-30,0.00,2.28,2.21,2.28,1.22,156800
1973-05-01,0.00,2.30,2.23,2.28,1.22,139200
1973-05-02,0.00,2.38,2.32,2.34,1.26,233600
1973-05-03,0.00,2.33,2.29,2.31,1.24,342400
1973-05-04,0.00,2.38,2.31,2.38,1.28,448000
1973-05-07,0.00,2.41,2.38,2.41,1.29,190400
1973-05-08,0.00,2.44,2.39,2.44,1.31,126400
1973-05-09,0.00,2.45,2.41,2.45,1.31,139200
1973-05-10,0.00,2.46,2.40,2.42,1.30,288000
1973-05-11,0.00,2.41,2.36,2.36,1.27,236800
1973-05-14,0.00,2.36,2.25,2.25,1.21,204800
1973-05-15,0.00,2.29,2.21,2.28,1.22,302400
1973-05-16,0.00,2.29,2.26,2.29,1.23,104000
1973-05-17,0.00,2.30,2.27,2.28,1.22,84800
1973-05-18,0.00,2.29,2.24,2.25,1.21,148800
1973-05-21,0.00,2.23,2.21,2.23,1.20,270400
1973-05-22,0.00,2.30,2.22,2.22,1.19,155200
1973-05-23,0.00,2.32,2.27,2.31,1.24,108800
1973-05-24,0.00,2.44,2.30,2.44,1.31,171200
1973-05-25,0.00,2.48,2.41,2.47,1.33,267200
1973-05-29,0.00,2.46,2.40,2.40,1.29,102400
1973-05-30,0.00,2.38,2.30,2.32,1.25,177600
1973-05-31,0.00,2.32,2.29,2.29,1.23,556800
1973-06-01,0.00,2.29,2.24,2.25,1.21,569600
1973-06-04,0.00,2.24,2.20,2.20,1.18,297600
1973-06-05,0.00,2.21,2.17,2.19,1.17,236800
1973-06-06,0.00,2.24,2.16,2.16,1.16,134400
1973-06-07,0.00,2.19,2.12,2.12,1.14,152000
1973-06-08,0.00,2.19,2.15,2.18,1.17,108800
1973-06-11,0.00,2.25,2.18,2.23,1.20,233600
1973-06-12,0.00,2.29,2.25,2.27,1.22,60800
1973-06-13,0.00,2.33,2.27,2.30,1.24,238400
1973-06-14,0.00,2.30,2.28,2.28,1.22,46400
1973-06-15,0.00,2.28,2.25,2.25,1.21,65600
1973-06-18,0.00,2.26,2.24,2.24,1.20,118400
1973-06-19,0.00,2.24,2.12,2.12,1.14,280000
1973-06-20,0.00,2.16,2.14,2.16,1.16,108800
1973-06-21,0.00,2.16,2.08,2.10,1.13,150400
1973-06-22,0.00,2.18,2.09,2.09,1.12,190400
1973-06-25,0.00,2.10,2.07,2.07,1.11,241600
1973-06-26,0.00,2.10,2.07,2.10,1.13,84800
1973-06-27,0.00,2.12,2.10,2.10,1.13,56000
1973-06-28,0.00,2.16,2.12,2.12,1.14,108800
1973-06-29,0.00,2.15,2.11,2.13,1.15,99200
1973-07-02,0.00,2.12,2.06,2.06,1.11,70400
1973-07-03,0.00,2.06,2.05,2.06,1.11,83200
1973-07-05,0.00,2.09,2.07,2.08,1.12,38400
1973-07-06,0.00,2.06,2.02,2.05,1.10,104000
1973-07-09,0.00,2.09,2.02,2.06,1.11,136000
1973-07-10,0.00,2.13,2.09,2.12,1.14,124800
1973-07-11,0.00,2.23,2.16,2.23,1.20,142400
1973-07-12,0.00,2.28,2.22,2.26,1.21,172800
1973-07-13,0.00,2.26,2.23,2.24,1.20,148800
1973-07-16,0.00,2.34,2.23,2.34,1.26,88000
1973-07-17,0.00,2.49,2.38,2.42,1.30,328000
1973-07-18,0.00,2.41,2.38,2.41,1.30,310400
1973-07-19,0.00,2.46,2.35,2.41,1.29,161600
1973-07-20,0.00,2.46,2.41,2.42,1.30,267200
1973-07-23,0.00,2.41,2.38,2.40,1.29,192000
1973-07-24,0.00,2.41,2.36,2.38,1.28,512000
1973-07-25,0.00,2.45,2.40,2.45,1.31,331200
1973-07-26,0.00,2.55,2.44,2.51,1.35,752000
1973-07-27,0.00,2.54,2.48,2.53,1.36,320000
1973-07-30,0.00,2.53,2.50,2.51,1.35,296000
1973-07-31,0.00,2.48,2.45,2.45,1.31,46400
1973-08-01,0.00,2.43,2.37,2.39,1.28,155200
1973-08-02,0.00,2.39,2.37,2.38,1.28,49600
1973-08-03,0.00,2.39,2.31,2.33,1.25,278400
1973-08-06,0.00,2.39,2.34,2.39,1.28,142400
1973-08-07,0.00,2.45,2.38,2.45,1.32,310400
1973-08-08,0.00,2.44,2.39,2.44,1.31,70400
1973-08-09,0.00,2.45,2.41,2.42,1.30,121600
1973-08-10,0.00,2.45,2.40,2.41,1.29,166400
1973-08-13,0.00,2.42,2.38,2.39,1.28,116800
1973-08-14,0.00,2.39,2.36,2.36,1.27,97600
1973-08-15,0.00,2.34,2.32,2.32,1.25,121600
1973-08-16,0.00,2.36,2.26,2.27,1.22,156800
1973-08-17,0.00,2.27,2.26,2.26,1.21,36800
1973-08-20,0.00,2.27,2.23,2.25,1.21,65600
1973-08-21,0.00,2.24,2.20,2.22,1.19,73600
1973-08-22,0.00,2.20,2.14,2.14,1.15,88000
1973-08-23,0.00,2.20,2.14,2.18,1.17,616000
