Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,28.67,30.00,28.43,28.56,27.38,25350
2020-07-27,27.67,28.67,27.59,28.39,27.21,134400
2020-07-28,28.99,28.99,26.89,27.79,26.64,1073250
2020-07-29,28.18,29.65,27.87,29.19,27.98,550350
2020-07-30,29.93,30.15,27.15,27.15,26.02,8435250
2020-07-31,27.67,30.15,27.57,29.96,28.72,3094350
2020-08-03,30.17,31.97,30.10,31.33,30.03,5355150
2020-08-04,31.00,31.36,30.08,30.11,28.87,2120550
2020-08-05,30.95,32.16,30.30,31.16,29.87,1235850
2020-08-06,30.80,31.15,30.53,31.03,29.74,786900
2020-08-07,30.71,32.32,30.64,32.01,30.69,1095900
2020-08-10,32.45,32.45,31.65,32.15,30.81,655200
2020-08-11,32.52,32.59,31.31,31.43,30.13,602250
2020-08-12,31.56,32.19,31.45,31.55,30.24,901950
2020-08-13,31.35,31.57,30.99,31.19,29.89,561150
2020-08-14,31.13,31.41,30.98,31.40,30.10,733950
2020-08-17,31.60,31.66,31.05,31.25,29.95,931350
2020-08-18,31.33,31.61,30.89,31.04,29.75,357150
2020-08-19,31.32,32.61,31.03,32.55,31.20,1303950
2020-08-20,32.37,33.73,32.19,33.70,32.30,776850
2020-08-21,33.87,34.20,33.40,34.07,32.65,1009650
2020-08-24,34.48,35.55,34.27,35.51,34.04,1483050
2020-08-25,35.78,36.46,35.38,35.70,34.22,1142100
2020-08-26,35.65,36.11,35.13,36.03,34.54,454950
2020-08-27,36.29,36.33,35.92,36.11,34.61,613650
2020-08-28,35.95,36.00,34.99,35.15,33.96,381000
2020-08-31,35.11,35.21,33.91,33.95,32.80,517950
2020-09-01,33.63,33.92,32.30,33.44,32.31,709050
2020-09-02,33.47,34.67,33.37,34.65,33.48,531000
2020-09-03,34.51,34.51,33.45,34.11,32.96,566250
2020-09-04,34.33,34.47,33.42,33.93,32.78,517200
2020-09-08,33.46,33.87,33.08,33.58,32.45,987600
2020-09-09,33.50,34.45,33.50,34.11,32.96,636150
2020-09-10,34.17,34.37,33.67,33.68,32.55,429750
2020-09-11,33.59,34.01,33.50,33.72,32.58,482700
2020-09-14,34.03,34.03,32.79,33.44,32.31,610650
2020-09-15,33.75,34.86,33.62,34.40,33.24,709200
2020-09-16,34.67,35.29,34.44,35.13,33.95,564600
2020-09-17,34.79,35.20,34.55,35.10,33.92,532200
2020-09-18,35.37,35.54,34.10,34.67,33.50,1366350
2020-09-21,34.26,34.60,33.68,34.46,33.30,441600
2020-09-22,34.47,34.47,33.52,34.11,32.96,448050
2020-09-23,33.94,34.74,33.88,33.94,32.80,426300
2020-09-24,33.92,34.15,33.49,34.11,32.96,392550
2020-09-25,34.01,35.88,34.01,35.82,34.61,401400
2020-09-28,36.07,37.25,35.96,37.00,35.75,730950
2020-09-29,37.18,37.88,36.80,37.79,36.52,311850
2020-09-30,37.79,39.17,37.79,39.07,37.75,755250
2020-10-01,39.45,39.99,39.09,39.81,38.47,938850
2020-10-02,39.09,39.93,38.93,39.76,38.42,645750
2020-10-05,40.23,42.74,40.13,42.71,41.27,677400
2020-10-06,40.98,41.65,40.65,40.96,39.58,1261200
2020-10-07,41.33,43.46,41.15,43.32,41.86,1185900
2020-10-08,43.31,43.53,42.00,42.29,40.86,697350
2020-10-09,42.45,42.94,41.87,42.49,41.06,373950
2020-10-12,42.91,44.65,42.80,44.41,42.92,681750
2020-10-13,43.67,43.94,42.99,43.30,41.84,980550
2020-10-14,43.52,43.82,42.95,43.63,42.16,754050
2020-10-15,42.98,43.84,42.49,43.75,42.28,362100
2020-10-16,43.60,44.51,43.52,44.35,42.86,549000
2020-10-19,44.65,45.55,44.41,45.19,43.66,446400
2020-10-20,45.47,46.00,45.03,45.71,44.17,610650
2020-10-21,46.00,46.47,45.21,45.39,43.86,503400
2020-10-22,45.27,45.55,44.17,44.53,43.03,536700
2020-10-23,44.51,44.53,42.53,43.02,41.57,927600
2020-10-26,43.11,43.29,41.78,42.50,41.07,624600
2020-10-27,42.50,44.13,42.47,43.89,42.41,683100
2020-10-28,42.88,43.86,42.78,43.11,41.66,733500
2020-10-29,43.14,44.74,42.69,44.55,43.05,508200
2020-10-30,44.66,44.93,43.77,44.51,43.01,770550
2020-11-02,44.67,46.54,44.39,46.49,44.93,720450
2020-11-03,47.13,47.97,46.07,46.37,44.80,785250
2020-11-04,45.88,46.65,44.88,46.28,44.72,595200
2020-11-05,46.67,48.89,46.67,48.58,46.94,689850
2020-11-06,48.89,49.66,48.09,49.16,47.50,434550
2020-11-09,51.54,52.45,48.39,48.55,46.92,1038450
2020-11-10,49.03,49.04,46.85,47.13,45.54,1202700
2020-11-11,47.91,50.05,47.75,49.36,47.70,710400
2020-11-12,49.68,49.97,48.23,49.09,47.44,1062900
2020-11-13,49.29,49.42,48.37,48.94,47.29,711900
2020-11-16,49.24,49.63,47.43,47.57,45.97,723750
2020-11-17,47.63,48.40,47.29,48.23,46.61,588600
2020-11-18,48.48,48.83,47.81,47.84,46.23,640950
2020-11-19,48.06,48.37,47.27,47.65,46.05,774300
2020-11-20,47.85,48.80,47.63,48.27,46.65,596850
2020-11-23,48.73,49.95,48.67,49.26,47.60,763200
