Date,Open,High,Low,Close,Adj Close,Volume
1973-05-03,1.48,1.49,1.48,1.49,0.57,76981
1973-05-04,1.49,1.49,1.48,1.49,0.57,56604
1973-05-07,1.49,1.49,1.47,1.49,0.57,61132
1973-05-08,1.48,1.48,1.48,1.48,0.56,22642
1973-05-09,1.48,1.50,1.47,1.50,0.57,378115
1973-05-10,1.50,1.50,1.50,1.50,0.57,20377
1973-05-11,1.50,1.50,1.49,1.50,0.57,15849
1973-05-14,1.49,1.49,1.48,1.49,0.57,15849
1973-05-15,1.49,1.49,1.47,1.48,0.56,72453
1973-05-16,1.48,1.50,1.48,1.48,0.56,54340
1973-05-17,1.48,1.49,1.48,1.49,0.57,13585
1973-05-18,1.49,1.49,1.47,1.49,0.57,40755
1973-05-21,1.49,1.49,1.47,1.47,0.56,86038
1973-05-22,1.47,1.49,1.47,1.48,0.56,124529
1973-05-23,1.48,1.49,1.48,1.49,0.57,33962
1973-05-24,1.49,1.50,1.48,1.50,0.57,22642
1973-05-25,1.50,1.51,1.50,1.51,0.58,81510
1973-05-29,1.51,1.51,1.50,1.50,0.57,67925
1973-05-30,1.50,1.51,1.50,1.50,0.57,11321
1973-05-31,1.51,1.51,1.51,1.51,0.58,11321
1973-06-01,1.50,1.50,1.49,1.49,0.57,27170
1973-06-04,1.49,1.49,1.47,1.48,0.56,92831
1973-06-05,1.48,1.49,1.48,1.48,0.56,36227
1973-06-06,1.48,1.49,1.48,1.48,0.56,58868
1973-06-07,1.49,1.49,1.49,1.49,0.57,79246
1973-06-08,1.49,1.49,1.48,1.49,0.57,6792
1973-06-11,1.50,1.51,1.50,1.51,0.58,90566
1973-06-12,1.51,1.51,1.51,1.51,0.58,4528
1973-06-13,1.51,1.51,1.50,1.50,0.57,15849
1973-06-14,1.50,1.50,1.50,1.50,0.57,22642
1973-06-15,1.50,1.50,1.50,1.50,0.57,6792
1973-06-18,1.50,1.50,1.49,1.49,0.57,29434
1973-06-19,1.49,1.50,1.49,1.50,0.57,67925
1973-06-20,1.50,1.51,1.50,1.51,0.58,15849
1973-06-21,1.51,1.51,1.50,1.50,0.57,6792
1973-06-22,1.50,1.50,1.50,1.50,0.57,4528
1973-06-25,1.50,1.50,1.50,1.50,0.57,6792
1973-06-26,1.50,1.50,1.50,1.50,0.57,43019
1973-06-27,1.50,1.50,1.50,1.50,0.57,13585
1973-06-28,1.50,1.50,1.50,1.50,0.57,27170
1973-06-29,1.50,1.51,1.50,1.50,0.57,92831
1973-07-02,1.50,1.51,1.50,1.51,0.58,18113
1973-07-03,1.51,1.51,1.50,1.51,0.58,72453
1973-07-05,1.51,1.51,1.51,1.51,0.58,18113
1973-07-06,1.51,1.51,1.51,1.51,0.58,61132
1973-07-09,1.51,1.52,1.51,1.52,0.58,49812
1973-07-10,1.52,1.53,1.52,1.52,0.58,95095
1973-07-11,1.52,1.53,1.52,1.52,0.58,27170
