Date,Open,High,Low,Close,Adj Close,Volume
1999-07-26,13.31,13.50,13.00,13.00,13.00,313100
1999-07-27,13.38,14.69,13.25,14.12,14.12,130000
1999-07-28,14.38,14.50,13.50,13.50,13.50,72500
1999-07-29,13.94,13.94,13.00,13.12,13.12,128400
1999-07-30,13.06,13.09,11.00,12.00,12.00,123500
1999-08-02,12.06,12.38,11.50,11.62,11.62,114400
1999-08-03,12.50,12.50,11.88,12.00,12.00,24300
1999-08-04,12.44,13.12,12.38,13.00,13.00,106200
1999-08-05,13.38,13.88,13.36,13.62,13.62,118000
1999-08-06,13.75,14.12,13.50,14.00,14.00,122800
1999-08-09,14.25,15.12,14.06,15.12,15.12,132500
1999-08-10,15.12,15.12,14.25,14.44,14.44,84100
1999-08-11,14.31,15.06,14.31,14.81,14.81,122600
1999-08-12,14.62,14.62,14.00,14.12,14.12,9700
1999-08-13,14.16,14.38,14.00,14.25,14.25,28900
1999-08-16,14.31,14.31,14.06,14.06,14.06,900
1999-08-17,14.00,14.19,14.00,14.00,14.00,2900
1999-08-18,14.31,14.31,14.00,14.00,14.00,1700
1999-08-19,14.31,15.12,14.25,15.12,15.12,53200
1999-08-20,16.00,16.50,15.62,15.75,15.75,70300
1999-08-23,16.06,16.25,15.25,15.50,15.50,49500
1999-08-24,15.50,15.62,15.25,15.25,15.25,52200
1999-08-25,15.97,16.12,15.75,16.00,16.00,43700
1999-08-26,16.00,16.00,15.50,15.50,15.50,5100
1999-08-27,15.81,16.00,15.81,15.81,15.81,32000
1999-08-30,16.00,16.00,15.75,15.88,15.88,6000
1999-08-31,15.81,15.88,15.50,15.50,15.50,5800
1999-09-01,15.38,15.75,15.38,15.75,15.75,300
1999-09-02,15.75,15.75,15.25,15.25,15.25,6200
1999-09-03,15.62,15.62,15.12,15.62,15.62,900
1999-09-07,15.19,15.19,14.69,15.00,15.00,36900
1999-09-08,15.69,15.69,15.12,15.12,15.12,24900
1999-09-09,15.12,15.56,15.12,15.38,15.38,3700
1999-09-10,15.38,15.56,15.25,15.38,15.38,11300
1999-09-13,15.31,15.38,15.00,15.00,15.00,8100
1999-09-14,15.50,15.50,15.06,15.50,15.50,27600
1999-09-15,15.25,15.50,15.00,15.25,15.25,2700
1999-09-16,15.62,15.62,15.25,15.56,15.56,3200
1999-09-17,15.56,16.12,15.31,16.00,16.00,18300
1999-09-20,16.12,16.12,15.75,15.75,15.75,1400
1999-09-21,15.75,16.56,15.75,16.44,16.44,61100
1999-09-22,16.50,17.00,16.38,17.00,17.00,54800
1999-09-23,17.31,18.25,17.00,17.69,17.69,183000
1999-09-24,17.62,17.75,17.38,17.50,17.50,180000
1999-09-27,18.00,19.25,18.00,18.75,18.75,54200
