Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.00,1.88,1.86,1.87,0.34,3146956
1972-06-02,1.87,1.89,1.87,1.88,0.34,1136401
1972-06-05,1.88,1.90,1.88,1.89,0.34,480785
1972-06-06,1.89,1.90,1.88,1.88,0.34,1338129
1972-06-07,1.88,1.88,1.87,1.87,0.34,894327
1972-06-08,1.87,1.88,1.86,1.88,0.34,369835
1972-06-09,1.87,1.87,1.86,1.86,0.34,527855
1972-06-12,1.86,1.88,1.86,1.87,0.34,376559
1972-06-13,1.87,1.88,1.86,1.87,0.34,231987
1972-06-14,1.87,1.87,1.83,1.84,0.34,353024
1972-06-15,1.84,1.86,1.84,1.86,0.34,443801
1972-06-16,1.86,1.86,1.84,1.84,0.34,363110
1972-06-19,1.84,1.85,1.83,1.85,0.34,504320
1972-06-20,1.85,1.86,1.85,1.86,0.34,316040
1972-06-21,1.86,1.87,1.85,1.86,0.34,595097
1972-06-22,1.86,1.86,1.84,1.84,0.34,484147
1972-06-23,1.84,1.86,1.82,1.82,0.33,541303
1972-06-26,1.82,1.84,1.81,1.84,0.33,238711
1972-06-27,1.84,1.84,1.83,1.83,0.33,292505
1972-06-28,1.83,1.84,1.83,1.84,0.33,3573946
1972-06-29,1.84,1.85,1.83,1.85,0.34,369835
1972-06-30,1.85,1.87,1.85,1.86,0.34,648891
1972-07-03,1.86,1.86,1.85,1.85,0.34,302592
1972-07-05,1.85,1.86,1.85,1.86,0.34,2841002
1972-07-06,1.86,1.88,1.86,1.86,0.34,2067711
1972-07-07,1.86,1.86,1.85,1.86,0.34,527855
1972-07-10,1.86,1.88,1.86,1.86,0.34,282419
1972-07-11,1.86,1.86,1.85,1.85,0.34,699323
1972-07-12,1.85,1.86,1.85,1.85,0.34,480785
1972-07-13,1.85,1.86,1.84,1.86,0.34,242074
1972-07-14,1.86,1.86,1.84,1.86,0.34,228625
1972-07-17,1.85,1.85,1.84,1.84,0.33,706048
1972-07-18,1.84,1.85,1.82,1.84,0.33,1045623
1972-07-19,1.84,1.87,1.82,1.85,0.34,2111419
1972-07-20,1.86,1.88,1.86,1.87,0.34,847257
1972-07-21,1.87,1.88,1.86,1.88,0.34,1435630
1972-07-24,1.88,1.90,1.87,1.88,0.34,1603737
1972-07-25,1.88,1.92,1.88,1.90,0.35,2272801
1972-07-26,1.90,1.91,1.90,1.90,0.35,1667618
1972-07-27,1.90,1.92,1.90,1.91,0.35,1879432
1972-07-28,1.91,1.92,1.91,1.91,0.35,830447
1972-07-31,1.91,1.93,1.91,1.91,0.35,433715
1972-08-01,1.92,1.93,1.92,1.93,0.35,1852535
1972-08-02,1.95,2.02,1.95,2.01,0.37,4263183
1972-08-03,2.01,2.07,2.00,2.05,0.37,3698345
1972-08-04,2.05,2.07,2.04,2.07,0.38,1344853
1972-08-07,2.07,2.07,2.05,2.05,0.37,860706
1972-08-08,2.05,2.06,2.04,2.06,0.38,1045623
1972-08-09,2.06,2.09,2.06,2.08,0.38,2938503
1972-08-10,2.08,2.18,2.08,2.15,0.39,2736776
1972-08-11,2.15,2.15,2.12,2.14,0.39,864068
1972-08-14,2.13,2.13,2.08,2.09,0.38,793463
1972-08-15,2.09,2.09,2.05,2.08,0.38,1744947
1972-08-16,2.07,2.07,2.04,2.06,0.38,769928
1972-08-17,2.05,2.05,2.03,2.04,0.37,658978
1972-08-18,2.04,2.05,2.02,2.04,0.37,632081
1972-08-21,2.04,2.05,2.03,2.03,0.37,201728
1972-08-22,2.03,2.08,2.02,2.06,0.38,527855
1972-08-23,2.06,2.08,2.02,2.02,0.37,413542
1972-08-24,2.02,2.02,1.98,2.00,0.37,743031
1972-08-25,2.00,2.00,1.98,2.00,0.36,342937
1972-08-28,1.99,1.99,1.97,1.99,0.36,689237
1972-08-29,1.99,2.00,1.98,2.00,0.37,544665
1972-08-30,2.00,2.00,1.99,1.99,0.36,252160
1972-08-31,1.99,2.04,1.99,2.04,0.37,268971
1972-09-01,2.04,2.05,2.04,2.04,0.37,353024
1972-09-05,2.04,2.05,2.02,2.02,0.37,188279
1972-09-06,2.02,2.02,2.00,2.00,0.37,625357
1972-09-07,2.00,2.02,1.99,2.00,0.37,258884
1972-09-08,2.00,2.00,1.99,2.00,0.37,480785
1972-09-11,2.00,2.00,1.99,1.99,0.36,215176
1972-09-12,1.99,2.00,1.96,1.97,0.36,941397
1972-09-13,1.96,1.96,1.95,1.96,0.36,958208
1972-09-14,1.96,1.97,1.96,1.97,0.36,497596
1972-09-15,1.97,1.97,1.95,1.97,0.36,457250
1972-09-18,1.97,1.97,1.96,1.97,0.36,215176
1972-09-19,1.97,1.99,1.95,1.98,0.36,1677704
1972-09-20,1.98,1.99,1.97,1.98,0.36,248798
1972-09-21,1.97,1.97,1.96,1.96,0.36,211814
1972-09-22,1.96,1.97,1.95,1.96,0.36,285781
1972-09-25,1.96,1.97,1.92,1.92,0.35,316040
1972-09-26,1.92,1.94,1.91,1.91,0.35,282419
1972-09-27,1.91,1.96,1.91,1.96,0.36,1385198
1972-09-28,1.96,1.96,1.94,1.94,0.36,137847
1972-09-29,1.94,1.95,1.92,1.93,0.35,524493
1972-10-02,1.92,1.92,1.90,1.90,0.35,524493
1972-10-03,1.90,1.90,1.85,1.88,0.34,1301145
1972-10-04,1.88,1.91,1.87,1.88,0.34,585011
1972-10-05,1.88,1.88,1.84,1.85,0.34,793463
1972-10-06,1.85,1.89,1.83,1.87,0.34,1677704
1972-10-09,1.88,1.90,1.88,1.90,0.35,127761
1972-10-10,1.90,1.90,1.88,1.90,0.35,285781
1972-10-11,1.90,1.92,1.89,1.89,0.35,568200
1972-10-12,1.89,1.90,1.88,1.88,0.34,605184
1972-10-13,1.88,1.91,1.88,1.90,0.35,225263
1972-10-16,1.89,1.89,1.88,1.88,0.34,504320
1972-10-17,1.88,1.97,1.87,1.97,0.36,1711325
1972-10-18,1.97,1.99,1.97,1.98,0.36,1243989
1972-10-19,1.98,1.99,1.95,1.96,0.36,699323
1972-10-20,1.96,1.97,1.93,1.94,0.35,833809
1972-10-23,1.97,1.99,1.97,1.99,0.36,790101
1972-10-24,1.99,2.01,1.95,2.01,0.37,780015
1972-10-25,2.01,2.04,2.01,2.03,0.37,500958
1972-10-26,2.04,2.08,2.04,2.05,0.37,1082607
1972-10-27,2.05,2.07,2.03,2.04,0.37,719496
1972-10-30,2.04,2.05,2.03,2.04,0.37,255522
1972-10-31,2.04,2.04,2.02,2.02,0.37,353024
1972-11-01,2.02,2.05,2.02,2.05,0.38,689237
1972-11-02,2.05,2.06,2.02,2.03,0.37,847257
1972-11-03,2.03,2.04,2.02,2.02,0.37,975018
1972-11-06,2.02,2.03,2.01,2.02,0.37,1133039
1972-11-08,2.02,2.06,2.01,2.02,0.37,1233902
1972-11-09,2.02,2.02,1.99,2.00,0.37,504320
1972-11-10,2.00,2.01,1.97,1.97,0.36,548028
1972-11-13,1.97,1.99,1.95,1.96,0.36,474061
1972-11-14,1.96,1.96,1.93,1.93,0.35,924586
1972-11-15,1.93,1.95,1.92,1.92,0.35,695961
1972-11-16,1.92,1.93,1.89,1.90,0.35,3624378
1972-11-17,1.90,1.91,1.90,1.91,0.35,1153211
1972-11-20,1.91,1.91,1.90,1.91,0.35,1096055
1972-11-21,1.91,1.91,1.90,1.90,0.35,739669
1972-11-22,1.90,1.91,1.90,1.91,0.35,1539856
1972-11-24,1.92,1.94,1.92,1.93,0.35,709410
1972-11-27,1.93,1.94,1.91,1.93,0.35,618632
1972-11-28,1.93,1.93,1.90,1.90,0.35,692599
1972-11-29,1.90,1.92,1.90,1.91,0.35,1065796
1972-11-30,1.91,1.93,1.91,1.93,0.35,1173384
1972-12-01,1.93,1.94,1.92,1.94,0.36,853982
1972-12-04,1.95,1.97,1.95,1.96,0.36,1170022
1972-12-05,1.97,1.99,1.97,1.97,0.36,763204
1972-12-06,1.98,1.99,1.98,1.99,0.36,790101
1972-12-07,1.99,2.02,1.98,2.02,0.37,1744947
1972-12-08,2.03,2.05,2.03,2.04,0.37,665702
1972-12-11,2.04,2.05,2.03,2.04,0.37,585011
1972-12-12,2.04,2.07,2.04,2.04,0.38,571562
1972-12-13,2.04,2.05,2.04,2.04,0.37,433715
1972-12-14,2.04,2.04,2.01,2.01,0.37,484147
1972-12-15,2.01,2.02,2.00,2.00,0.37,295868
1972-12-18,2.00,2.01,1.96,2.00,0.37,662340
1972-12-19,2.00,2.02,2.00,2.00,0.37,406818
1972-12-20,2.00,2.00,1.99,1.99,0.37,944759
1972-12-21,1.99,2.00,1.96,1.96,0.36,373197
1972-12-22,1.96,1.99,1.95,1.99,0.37,514406
1972-12-26,1.99,2.00,1.99,1.99,0.37,379921
1972-12-27,1.99,2.00,1.99,1.99,0.37,615270
1972-12-29,2.00,2.06,2.00,2.05,0.38,874154
1973-01-02,2.05,2.05,2.03,2.04,0.37,658978
1973-01-03,2.04,2.05,2.03,2.05,0.38,706048
1973-01-04,2.06,2.11,2.06,2.10,0.38,2985573
1973-01-05,2.10,2.13,2.10,2.11,0.39,1496149
1973-01-08,2.10,2.10,2.08,2.09,0.38,1835724
1973-01-09,2.09,2.12,2.09,2.12,0.39,1180108
1973-01-10,2.12,2.13,2.10,2.11,0.39,1428906
1973-01-11,2.11,2.13,2.09,2.11,0.39,1391923
1973-01-12,2.11,2.13,2.05,2.05,0.38,1600375
1973-01-15,2.05,2.07,2.02,2.02,0.37,1385198
1973-01-16,2.02,2.06,2.02,2.05,0.38,595097
1973-01-17,2.05,2.07,2.05,2.07,0.38,497596
1973-01-18,2.07,2.09,2.07,2.08,0.38,1543219
1973-01-19,2.08,2.08,2.04,2.04,0.38,1186833
