Date,Open,High,Low,Close,Adj Close,Volume
1991-09-05,11.07,17.72,11.07,11.07,7.62,931
1991-09-06,13.29,17.72,13.29,13.29,9.14,452
1991-09-09,13.29,17.72,13.29,13.29,9.14,56
1991-09-10,13.29,17.72,13.29,13.29,9.14,147
1991-09-11,13.29,15.50,13.29,13.29,9.14,373
1991-09-12,13.29,15.50,13.29,13.29,9.14,423
1991-09-13,13.29,17.72,13.29,13.29,9.14,2311
1991-09-16,13.29,17.72,13.29,13.29,9.14,186
1991-09-17,13.29,13.29,13.29,13.29,9.14,0
1991-09-18,13.29,17.72,13.29,13.29,9.14,40
1991-09-19,13.29,17.72,13.29,13.29,9.14,31
1991-09-20,13.29,17.72,13.29,13.29,9.14,99
1991-09-23,13.29,17.72,13.29,13.29,9.14,82
1991-09-24,13.29,17.72,13.29,13.29,9.14,37
1991-09-25,13.29,15.50,13.29,13.29,9.14,90
1991-09-26,13.29,15.50,13.29,13.29,9.14,214
1991-09-27,13.29,13.29,13.29,13.29,9.14,0
1991-09-30,13.29,13.29,8.86,8.86,6.10,1326
1991-10-01,11.07,13.29,11.07,11.07,7.62,11
1991-10-02,11.07,13.29,11.07,11.07,7.62,82
1991-10-03,11.07,13.29,11.07,11.07,7.62,282
1991-10-04,11.07,13.29,11.07,11.07,7.62,138
1991-10-07,11.07,15.50,11.07,11.07,7.62,71
1991-10-08,11.07,15.50,11.07,11.07,7.62,556
1991-10-09,11.07,15.50,11.07,11.07,7.62,2007
1991-10-10,11.07,15.50,11.07,11.07,7.62,25
1991-10-11,11.07,15.50,11.07,11.07,7.62,25
1991-10-14,11.07,11.07,11.07,11.07,7.62,0
1991-10-15,11.07,15.50,11.07,11.07,7.62,40
1991-10-16,15.50,19.93,15.50,15.50,10.67,1216
1991-10-17,15.50,22.15,15.50,15.50,10.67,155
1991-10-18,15.50,22.15,15.50,15.50,10.67,56
1991-10-21,15.50,22.15,15.50,15.50,10.67,175
1991-10-22,15.50,19.93,15.50,15.50,10.67,418
1991-10-23,15.50,19.93,15.50,15.50,10.67,90
1991-10-24,15.50,19.93,15.50,15.50,10.67,246
1991-10-25,15.50,17.72,13.29,13.29,9.14,268
1991-10-28,13.29,17.72,13.29,13.29,9.14,308
1991-10-29,7.75,7.75,3.32,3.32,2.29,903
1991-10-30,6.64,11.07,6.64,6.64,4.57,2596
1991-10-31,6.64,8.86,6.64,6.64,4.57,4403
1991-11-01,6.64,8.86,6.64,6.64,4.57,576
1991-11-04,6.64,8.86,6.64,6.64,4.57,669
1991-11-05,6.64,8.86,5.54,5.54,3.81,466
1991-11-06,5.54,7.75,4.43,4.43,3.05,917
1991-11-07,4.43,7.75,4.43,4.43,3.05,1578
1991-11-08,4.43,6.64,4.43,4.43,3.05,214
1991-11-11,4.43,6.64,4.43,4.43,3.05,141
1991-11-12,4.43,6.64,2.21,2.21,1.52,1592
1991-11-13,3.32,6.64,3.32,3.32,2.29,1041
1991-11-14,4.43,7.75,4.43,4.43,3.05,150
1991-11-15,4.43,7.75,4.43,4.43,3.05,42
1991-11-18,4.43,7.75,4.43,4.43,3.05,130
1991-11-19,4.43,7.75,4.43,4.43,3.05,141
1991-11-20,4.43,4.43,4.43,4.43,3.05,0
1991-11-21,4.43,7.75,4.43,4.43,3.05,183
1991-11-22,4.43,7.75,4.43,4.43,3.05,54
1991-11-25,4.43,7.75,4.43,4.43,3.05,141
1991-11-26,4.43,7.75,4.43,4.43,3.05,82
1991-11-27,4.43,7.75,4.43,4.43,3.05,3
1991-11-29,4.43,7.75,4.43,4.43,3.05,71
1991-12-02,4.43,7.75,4.43,4.43,3.05,71
1991-12-03,4.43,7.75,4.43,4.43,3.05,23
1991-12-04,4.43,7.75,4.43,4.43,3.05,90
1991-12-05,4.43,7.75,4.43,4.43,3.05,531
1991-12-06,4.43,7.75,4.43,4.43,3.05,308
1991-12-09,4.43,7.75,4.43,4.43,3.05,25
1991-12-10,4.43,7.75,4.43,4.43,3.05,11
1991-12-11,4.43,7.75,4.43,4.43,3.05,76
1991-12-12,4.43,6.64,4.43,4.43,3.05,99
1991-12-13,4.43,6.64,3.32,3.32,2.29,745
1991-12-16,3.32,3.32,3.32,3.32,2.29,0
1991-12-17,3.13,3.13,3.13,3.13,2.16,0
1991-12-18,3.13,3.13,3.13,3.13,2.16,0
1991-12-19,2.59,2.59,2.59,2.59,1.78,3104
1991-12-20,2.75,2.75,2.75,2.75,1.89,6209
1991-12-23,2.83,2.83,2.83,2.83,1.95,8184
1991-12-24,3.01,3.01,3.01,3.01,2.07,14958
