Date,Open,High,Low,Close,Adj Close,Volume
2007-03-22,18.00,20.25,18.00,20.10,14.82,2908400
2007-03-23,20.10,22.90,20.05,20.33,14.99,3550900
2007-03-26,20.33,20.75,20.15,20.67,15.24,859900
2007-03-27,20.75,20.83,20.30,20.35,15.00,470400
2007-03-28,20.30,20.30,19.70,19.90,14.67,324100
2007-03-29,19.90,20.13,19.50,19.70,14.52,1799300
2007-03-30,19.80,19.95,19.64,19.70,14.52,12230800
2007-04-02,19.70,19.70,18.82,19.51,14.38,9470300
2007-04-03,19.48,19.50,18.49,19.07,14.06,7892900
2007-04-04,19.02,19.16,18.80,18.91,13.94,4738000
2007-04-05,18.75,19.81,18.70,19.38,14.29,4602900
2007-04-09,19.57,19.57,18.90,19.06,14.05,3600900
2007-04-10,18.68,19.44,18.60,19.22,14.17,3130800
2007-04-11,19.25,20.06,18.95,19.11,14.09,3356100
2007-04-12,19.06,19.27,18.89,19.20,14.15,2666300
2007-04-13,20.05,20.05,19.10,19.58,14.43,2980900
2007-04-16,19.62,19.90,19.62,19.86,14.64,1455800
2007-04-17,19.45,20.58,19.30,20.42,15.05,1567200
2007-04-18,20.23,20.72,19.96,20.68,15.25,1958200
2007-04-19,20.20,21.46,20.18,21.14,15.58,1890100
2007-04-20,21.37,21.77,21.00,21.08,15.54,2671300
2007-04-23,20.88,21.10,20.53,20.70,15.26,1531800
2007-04-24,20.70,20.70,20.50,20.61,15.19,1752700
2007-04-25,20.61,20.67,20.22,20.26,14.94,1029600
2007-04-26,19.78,20.14,19.70,20.06,14.79,1193200
2007-04-27,20.00,20.27,19.81,20.22,14.91,734500
2007-04-30,20.20,20.20,19.96,20.04,14.77,1581800
2007-05-01,19.96,20.11,19.86,20.04,14.77,1468800
2007-05-02,19.97,20.11,19.85,20.02,14.76,1460100
2007-05-03,20.05,20.44,20.01,20.30,14.97,1243100
2007-05-04,20.20,21.00,20.13,20.78,15.32,1242300
2007-05-07,20.76,21.04,20.52,21.01,15.49,1482300
2007-05-08,20.60,21.32,20.54,21.27,15.68,1294300
2007-05-09,21.12,21.85,21.08,21.40,15.78,2454100
2007-05-10,21.20,21.55,20.94,21.12,15.57,1278800
2007-05-11,21.13,21.45,21.10,21.43,15.80,468300
2007-05-14,21.33,21.36,21.12,21.31,15.71,661100
2007-05-15,21.31,21.41,20.84,20.84,15.36,1811800
2007-05-16,20.70,20.70,20.42,20.50,15.11,1595900
2007-05-17,20.12,20.73,20.10,20.65,15.22,893700
2007-05-18,20.60,20.75,20.30,20.46,15.08,1201800
2007-05-21,20.44,20.54,20.38,20.50,15.11,3019200
2007-05-22,20.62,20.62,20.35,20.39,15.03,1490500
2007-05-23,20.38,20.50,20.04,20.35,15.00,1014700
2007-05-24,20.01,20.33,20.00,20.02,14.76,1404600
2007-05-25,20.02,20.15,19.95,20.00,14.74,624200
2007-05-29,19.55,20.05,19.55,20.00,14.74,639000
2007-05-30,19.82,20.04,19.75,19.97,14.72,1165000
2007-05-31,19.99,20.25,19.90,20.24,14.92,953500
2007-06-01,20.31,20.42,19.75,19.93,14.69,886100
2007-06-04,19.68,20.00,19.66,19.85,14.63,967300
2007-06-05,19.75,20.08,19.65,19.93,14.69,847000
2007-06-06,19.78,19.81,19.28,19.45,14.34,1072800
2007-06-07,19.28,19.46,18.91,18.97,13.99,1127400
2007-06-08,18.99,19.18,18.91,19.14,14.11,627600
2007-06-11,19.06,19.31,19.00,19.27,14.21,2175300
2007-06-12,19.16,19.49,19.15,19.33,14.25,994400
2007-06-13,19.46,19.59,19.28,19.35,14.31,829700
2007-06-14,19.30,19.42,19.16,19.28,14.26,629800
2007-06-15,19.38,19.59,19.35,19.49,14.41,732300
2007-06-18,19.57,19.57,19.28,19.43,14.37,810700
2007-06-19,19.27,19.54,19.08,19.09,14.12,1422600
2007-06-20,19.02,19.14,18.99,19.11,14.13,1922200
2007-06-21,19.02,19.47,19.00,19.44,14.38,1592800
2007-06-22,19.43,20.00,19.43,19.90,14.72,1826000
2007-06-25,19.81,20.12,19.72,20.12,14.88,2052100
2007-06-26,20.25,20.25,19.76,19.90,14.72,1435300
2007-06-27,19.81,20.00,19.59,19.80,14.64,1720900
2007-06-28,19.81,19.83,19.22,19.41,14.35,1430600
2007-06-29,19.38,19.60,19.10,19.12,14.14,1323100
2007-07-02,19.23,19.38,19.09,19.34,14.30,848600
2007-07-03,19.31,19.85,19.25,19.72,14.58,322700
2007-07-05,19.81,19.84,19.51,19.60,14.49,669000
2007-07-06,19.53,19.92,19.53,19.76,14.61,492000
2007-07-09,19.76,20.46,19.46,20.34,15.04,1492100
2007-07-10,20.19,20.31,19.76,19.80,14.64,925900
2007-07-11,19.71,19.75,19.45,19.58,14.48,606100
2007-07-12,19.70,20.04,19.70,20.02,14.81,1520600
2007-07-13,20.07,20.29,19.80,19.89,14.71,475600
2007-07-16,19.83,20.24,19.80,20.19,14.93,566900
2007-07-17,20.10,20.50,20.02,20.14,14.89,873900
2007-07-18,20.02,20.21,19.85,20.04,14.82,1002700
2007-07-19,19.70,20.45,19.70,20.27,14.99,828100
2007-07-20,19.40,20.28,19.40,20.05,14.83,525000
2007-07-23,20.11,20.24,20.00,20.01,14.80,317800
2007-07-24,19.80,19.81,19.23,19.31,14.28,1680000
2007-07-25,19.49,19.50,18.83,19.14,14.15,1083600
2007-07-26,18.00,18.93,18.00,18.61,13.76,2240500
2007-07-27,18.57,18.67,17.97,17.97,13.29,920800
2007-07-30,18.00,18.11,17.79,17.87,13.22,1338300
2007-07-31,17.88,18.07,17.51,17.59,13.01,1855100
2007-08-01,16.73,18.12,16.16,17.06,12.62,2217500
2007-08-02,17.00,17.33,17.00,17.18,12.70,2218700
2007-08-03,17.25,17.30,16.73,17.05,12.61,1868000
2007-08-06,17.12,17.69,17.12,17.57,12.99,2274600
2007-08-07,17.43,17.75,17.40,17.55,12.98,1512100
2007-08-08,16.68,18.34,16.68,18.18,13.44,1097000
2007-08-09,16.43,18.96,15.82,17.99,13.30,1585400
2007-08-10,16.28,18.47,16.21,18.33,13.56,1597400
2007-08-13,18.30,18.71,17.69,17.79,13.16,945000
2007-08-14,17.75,18.38,17.50,18.11,13.39,714500
2007-08-15,18.11,18.11,17.49,17.61,13.02,979500
2007-08-16,17.25,17.81,16.70,17.45,12.90,2624500
2007-08-17,17.82,17.82,16.98,17.50,12.94,504900
2007-08-20,17.50,17.57,17.06,17.33,12.82,527500
2007-08-21,17.34,18.00,16.90,17.84,13.19,700600
2007-08-22,17.85,18.05,16.86,16.92,12.51,2301800
2007-08-23,16.20,16.40,15.27,16.29,12.05,2232600
2007-08-24,16.17,17.98,16.15,17.90,13.24,1597000
2007-08-27,17.77,17.90,17.63,17.78,13.15,608600
2007-08-28,17.60,17.81,17.54,17.60,13.02,851100
2007-08-29,17.72,17.87,17.61,17.87,13.22,815900
2007-08-30,17.82,18.24,17.77,18.13,13.41,819800
2007-08-31,18.25,18.40,18.11,18.17,13.44,615700
2007-09-04,18.05,18.54,17.96,18.51,13.69,1005800
2007-09-05,18.35,18.35,17.26,17.41,12.87,1004400
2007-09-06,17.43,17.43,16.92,17.13,12.67,598700
2007-09-07,16.89,16.89,16.52,16.71,12.36,762900
2007-09-10,16.73,17.52,16.73,17.46,12.91,816400
