Date,Open,High,Low,Close,Adj Close,Volume
1992-06-05,2.33,2.79,2.33,2.71,2.71,4575000
1992-06-08,2.75,2.88,2.71,2.71,2.71,1802400
1992-06-09,2.67,2.79,2.62,2.69,2.69,1360200
1992-06-10,2.62,2.71,2.62,2.62,2.62,203400
1992-06-11,2.71,2.83,2.67,2.71,2.71,751800
1992-06-12,2.83,2.83,2.71,2.83,2.83,579000
1992-06-15,2.75,2.83,2.75,2.75,2.75,238800
1992-06-16,2.81,2.83,2.75,2.79,2.79,815400
1992-06-17,2.75,2.83,2.62,2.62,2.62,1240800
1992-06-18,2.62,2.75,2.62,2.67,2.67,666000
1992-06-19,2.62,2.67,2.62,2.67,2.67,30600
1992-06-22,2.62,2.67,2.62,2.67,2.67,252000
1992-06-23,2.71,2.71,2.62,2.62,2.62,123600
1992-06-24,2.67,2.79,2.67,2.67,2.67,12600
1992-06-25,2.79,2.88,2.67,2.83,2.83,573600
1992-06-26,2.88,2.88,2.71,2.88,2.88,50400
1992-06-29,2.88,3.08,2.83,2.96,2.96,237000
1992-06-30,2.96,3.08,2.96,2.96,2.96,23400
1992-07-01,3.08,3.08,2.96,3.04,3.04,19800
1992-07-02,3.00,3.08,2.96,3.00,3.00,180600
1992-07-06,3.00,3.04,3.00,3.04,3.04,169800
1992-07-07,3.08,3.08,3.00,3.06,3.06,97800
1992-07-08,3.00,3.04,3.00,3.00,3.00,43800
1992-07-09,3.00,3.08,3.00,3.08,3.08,150600
1992-07-10,3.08,3.25,3.04,3.25,3.25,93600
1992-07-13,3.33,3.42,3.21,3.21,3.21,351600
1992-07-14,3.27,3.33,3.21,3.33,3.33,718800
1992-07-15,3.33,3.33,3.12,3.12,3.12,274200
1992-07-16,3.12,3.25,3.12,3.25,3.25,21000
1992-07-17,3.25,3.25,3.19,3.19,3.19,5400
1992-07-20,3.12,3.12,3.12,3.12,3.12,2400
1992-07-21,3.12,3.21,3.12,3.21,3.21,41400
1992-07-22,3.25,3.25,3.12,3.12,3.12,3000
1992-07-23,3.12,3.19,3.12,3.12,3.12,15000
1992-07-24,3.12,3.12,3.12,3.12,3.12,6000
1992-07-27,3.25,3.25,3.21,3.21,3.21,18000
1992-07-28,3.29,3.46,3.29,3.40,3.40,300000
1992-07-29,3.50,3.71,3.46,3.62,3.62,336000
1992-07-30,3.62,3.75,3.62,3.62,3.62,259800
1992-07-31,3.62,3.71,3.62,3.71,3.71,51600
1992-08-03,3.62,3.71,3.62,3.67,3.67,13200
1992-08-04,3.62,3.71,3.62,3.62,3.62,27600
1992-08-05,3.62,3.62,3.62,3.62,3.62,2400
1992-08-06,3.62,3.67,3.62,3.67,3.67,39000
1992-08-07,3.62,3.71,3.62,3.71,3.71,74400
1992-08-10,3.67,3.75,3.62,3.67,3.67,361200
1992-08-11,3.62,3.71,3.62,3.71,3.71,12600
1992-08-12,3.62,3.62,3.62,3.62,3.62,16800
1992-08-13,3.62,3.71,3.62,3.62,3.62,34200
1992-08-14,3.62,3.71,3.62,3.71,3.71,43200
1992-08-17,3.62,3.71,3.62,3.67,3.67,487200
1992-08-18,3.71,3.71,3.62,3.71,3.71,121800
1992-08-19,3.62,3.71,3.62,3.71,3.71,211200
1992-08-20,3.62,3.62,3.62,3.62,3.62,30000
1992-08-21,3.79,3.92,3.71,3.92,3.92,120000
1992-08-24,3.88,4.00,3.79,3.85,3.85,244200
1992-08-25,3.75,3.88,3.62,3.69,3.69,162600
1992-08-26,3.62,3.79,3.62,3.71,3.71,37800
1992-08-27,3.79,3.79,3.79,3.79,3.79,3600
1992-08-28,3.79,3.83,3.67,3.75,3.75,450600
1992-08-31,3.83,3.83,3.83,3.83,3.83,10200
1992-09-01,3.83,3.88,3.75,3.88,3.88,92400
1992-09-02,3.88,3.88,3.75,3.79,3.79,130200
1992-09-03,3.79,3.98,3.79,3.88,3.88,58800
1992-09-04,3.88,4.17,3.88,4.17,4.17,370800
1992-09-08,4.17,4.17,4.04,4.17,4.17,49200
1992-09-09,4.17,4.17,4.08,4.15,4.15,136800
1992-09-10,4.17,4.17,4.04,4.17,4.17,63600
1992-09-11,4.04,4.17,4.04,4.17,4.17,102000
1992-09-14,4.04,4.17,4.04,4.08,4.08,39600
1992-09-15,4.17,4.17,4.17,4.17,4.17,23400
1992-09-16,4.04,4.10,4.00,4.00,4.00,719400
1992-09-17,4.02,4.08,4.00,4.00,4.00,27000
1992-09-18,4.04,4.08,4.00,4.04,4.04,24000
1992-09-21,4.08,4.08,4.00,4.08,4.08,644400
1992-09-22,4.00,4.08,4.00,4.08,4.08,216600
1992-09-23,3.96,4.00,3.96,4.00,4.00,90000
1992-09-24,3.98,4.04,3.88,4.00,4.00,175800
1992-09-25,3.88,4.04,3.88,4.04,4.04,451800
1992-09-28,3.88,4.12,3.88,4.10,4.10,93600
1992-09-29,4.12,4.12,4.00,4.00,4.00,13200
1992-09-30,4.00,4.04,3.94,4.04,4.04,697800
1992-10-01,3.96,4.04,3.96,4.04,4.04,12000
1992-10-02,4.04,4.04,3.96,3.96,3.96,148800
1992-10-05,3.96,4.04,3.96,4.00,4.00,646200
1992-10-06,4.04,4.04,4.04,4.04,4.04,13200
1992-10-07,4.08,4.15,4.00,4.04,4.04,268200
