Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.49,0.49,0.49,0.17,10409.00
1980-03-18,0.00,0.49,0.48,0.48,0.16,52043.00
1980-03-19,0.00,0.48,0.48,0.48,0.16,27756.00
1980-03-20,0.00,0.48,0.48,0.48,0.16,20817.00
1980-03-21,0.00,0.48,0.46,0.46,0.16,170006.00
1980-03-24,0.00,0.47,0.46,0.46,0.16,135311.00
1980-03-25,0.00,0.46,0.46,0.46,0.16,183884.00
1980-03-26,0.00,0.46,0.45,0.45,0.15,62451.00
1980-03-27,0.00,0.45,0.44,0.44,0.15,156128.00
1980-03-28,0.00,0.46,0.45,0.45,0.15,149189.00
1980-03-31,0.00,0.46,0.45,0.45,0.15,90207.00
1980-04-01,0.00,0.45,0.44,0.44,0.15,38165.00
1980-04-02,0.00,0.45,0.44,0.45,0.15,83268.00
1980-04-03,0.00,0.45,0.44,0.44,0.15,83268.00
1980-04-07,0.00,0.44,0.44,0.44,0.15,86738.00
1980-04-08,0.00,0.44,0.44,0.44,0.15,104085.00
1980-04-09,0.00,0.45,0.45,0.45,0.15,20817.00
1980-04-10,0.00,0.46,0.46,0.46,0.16,48573.00
1980-04-11,0.00,0.47,0.46,0.47,0.16,34695.00
1980-04-14,0.00,0.46,0.46,0.46,0.16,27756.00
1980-04-15,0.00,0.46,0.46,0.46,0.16,31226.00
1980-04-16,0.00,0.46,0.46,0.46,0.16,142250.00
1980-04-17,0.00,0.46,0.46,0.46,0.16,79799.00
1980-04-18,0.00,0.47,0.46,0.46,0.16,10409.00
1980-04-21,0.00,0.45,0.45,0.45,0.15,17348.00
1980-04-22,0.00,0.46,0.46,0.46,0.16,34695.00
1980-04-23,0.00,0.46,0.46,0.46,0.16,156128.00
1980-04-24,0.00,0.47,0.46,0.46,0.16,20817.00
1980-04-25,0.00,0.47,0.46,0.46,0.16,13878.00
1980-04-28,0.00,0.46,0.44,0.44,0.15,135311.00
1980-04-29,0.00,0.45,0.45,0.45,0.15,48573.00
1980-04-30,0.00,0.44,0.44,0.44,0.15,38165.00
1980-05-01,0.00,0.46,0.45,0.46,0.16,114494.00
1980-05-02,0.00,0.46,0.45,0.46,0.16,104085.00
1980-05-05,0.00,0.47,0.46,0.46,0.16,48573.00
1980-05-06,0.00,0.47,0.47,0.47,0.16,100616.00
1980-05-07,0.00,0.47,0.46,0.47,0.16,31226.00
1980-05-08,0.00,0.48,0.47,0.48,0.16,45104.00
1980-05-09,0.00,0.48,0.48,0.48,0.16,45104.00
1980-05-12,0.00,0.48,0.48,0.48,0.16,10409.00
1980-05-13,0.00,0.48,0.46,0.46,0.16,79799.00
1980-05-14,0.00,0.47,0.46,0.47,0.16,10409.00
1980-05-15,0.00,0.47,0.46,0.47,0.16,62451.00
1980-05-16,0.00,0.48,0.48,0.48,0.16,6939.00
1980-05-19,0.00,0.48,0.46,0.48,0.16,62451.00
1980-05-20,0.00,0.48,0.48,0.48,0.16,13878.00
1980-05-21,0.00,0.49,0.47,0.47,0.16,41634.00
1980-05-22,0.00,0.49,0.48,0.48,0.16,34695.00
1980-05-23,0.00,0.50,0.49,0.50,0.17,135311.00
1980-05-27,0.00,0.50,0.49,0.49,0.17,62451.00
1980-05-28,0.00,0.51,0.49,0.51,0.17,48573.00
1980-05-29,0.00,0.52,0.50,0.50,0.17,97146.00
1980-05-30,0.00,0.50,0.50,0.50,0.17,13878.00
1980-06-02,0.00,0.52,0.51,0.52,0.18,38165.00
1980-06-03,0.00,0.55,0.52,0.55,0.19,100616.00
1980-06-04,0.00,0.54,0.54,0.54,0.18,52043.00
1980-06-05,0.00,0.55,0.55,0.55,0.19,183884.00
1980-06-06,0.00,0.55,0.55,0.55,0.19,86738.00
1980-06-09,0.00,0.55,0.55,0.55,0.19,72860.00
1980-06-10,0.00,0.55,0.55,0.55,0.19,34695.00
1980-06-11,0.00,0.55,0.55,0.55,0.19,58982.00
1980-06-12,0.00,0.58,0.55,0.58,0.20,298377.00
1980-06-13,0.00,0.58,0.57,0.57,0.20,149189.00
1980-06-16,0.00,0.58,0.58,0.58,0.20,170006.00
1980-06-17,0.00,0.58,0.58,0.58,0.20,513486.00
1980-06-18,0.00,0.60,0.58,0.59,0.20,86738.00
1980-06-19,0.00,0.59,0.58,0.58,0.20,41634.00
1980-06-20,0.00,0.59,0.58,0.58,0.20,454505.00
1980-06-23,0.00,0.59,0.58,0.59,0.20,246335.00
1980-06-24,0.00,0.59,0.58,0.58,0.20,409401.00
1980-06-25,0.00,0.59,0.58,0.59,0.20,301847.00
1980-06-26,0.00,0.60,0.59,0.59,0.20,204701.00
1980-06-27,0.00,0.59,0.58,0.58,0.20,83268.00
1980-06-30,0.00,0.58,0.57,0.58,0.20,124902.00
1980-07-01,0.00,0.58,0.58,0.58,0.20,121433.00
1980-07-02,0.00,0.60,0.59,0.60,0.20,385115.00
1980-07-03,0.00,0.61,0.60,0.61,0.21,291438.00
1980-07-07,0.00,0.61,0.61,0.61,0.21,253274.00
1980-07-08,0.00,0.64,0.62,0.63,0.22,988808.00
1980-07-09,0.00,0.66,0.64,0.66,0.23,999216.00
1980-07-10,0.00,0.68,0.65,0.68,0.23,1356575.00
1980-07-11,0.00,0.69,0.68,0.69,0.24,374706.00
1980-07-14,0.00,0.69,0.68,0.69,0.23,176945.00
1980-07-15,0.00,0.70,0.68,0.69,0.24,961052.00
1980-07-16,0.00,0.69,0.68,0.68,0.23,62451.00
1980-07-17,0.00,0.68,0.68,0.68,0.23,166536.00
1980-07-18,0.00,0.70,0.68,0.70,0.24,388584.00
1980-07-21,0.00,0.70,0.69,0.70,0.24,104085.00
1980-07-22,0.00,0.72,0.69,0.71,0.24,180414.00
1980-07-23,0.00,0.72,0.71,0.71,0.24,239396.00
1980-07-24,0.00,0.72,0.71,0.71,0.24,86738.00
1980-07-25,0.00,0.71,0.71,0.71,0.24,235926.00
1980-07-28,0.00,0.71,0.70,0.70,0.24,76329.00
1980-07-29,0.00,0.71,0.70,0.70,0.24,69390.00
1980-07-30,0.00,0.72,0.71,0.71,0.24,69390.00
1980-07-31,0.00,0.71,0.71,0.71,0.24,83268.00
1980-08-01,0.00,0.71,0.71,0.71,0.24,45104.00
1980-08-04,0.00,0.73,0.71,0.72,0.25,246335.00
1980-08-05,0.00,0.75,0.72,0.74,0.25,176945.00
1980-08-06,0.00,0.75,0.73,0.75,0.26,149189.00
1980-08-07,0.00,0.79,0.75,0.78,0.26,666144.00
1980-08-08,0.00,0.80,0.77,0.80,0.27,333072.00
1980-08-11,0.00,0.80,0.79,0.79,0.27,121433.00
1980-08-12,0.00,0.81,0.78,0.79,0.27,277560.00
1980-08-13,0.00,0.80,0.80,0.80,0.27,93677.00
1980-08-14,0.00,0.81,0.79,0.80,0.27,190823.00
1980-08-15,0.00,0.84,0.82,0.83,0.28,381645.00
1980-08-18,0.00,0.83,0.81,0.82,0.28,409401.00
1980-08-19,0.00,0.82,0.81,0.82,0.28,225518.00
