Date,Open,High,Low,Close,Adj Close,Volume
2020-03-19,12.00,12.00,12.00,12.00,11.77,100
2020-03-20,13.00,13.00,12.00,12.75,12.50,2300
2020-03-23,12.75,12.75,11.50,11.54,11.32,18700
2020-03-24,12.90,12.90,11.50,11.70,11.47,96100
2020-03-25,11.80,13.45,11.80,13.45,13.19,19200
2020-03-26,14.00,15.45,14.00,15.45,15.15,76400
2020-03-27,15.00,16.00,14.55,14.55,14.27,486500
2020-03-30,15.25,16.50,15.25,15.90,15.59,210000
2020-03-31,16.39,17.25,14.56,17.25,16.91,461500
2020-04-01,16.00,16.00,14.56,15.05,14.76,2998900
2020-04-02,15.66,15.90,12.12,13.28,13.02,15966300
2020-04-03,13.75,17.00,13.38,16.92,16.59,66934300
2020-04-06,17.06,17.15,14.85,15.44,15.14,37138000
2020-04-07,15.20,15.80,14.55,15.25,14.95,23486000
2020-04-08,14.50,15.25,13.73,14.26,13.98,49372700
2020-04-09,14.00,15.50,13.90,14.78,14.49,34992600
2020-04-13,14.50,14.50,13.98,13.99,13.72,21497400
2020-04-14,14.00,14.20,13.78,13.87,13.60,22350000
2020-04-15,13.53,13.65,12.94,13.36,13.10,14990700
2020-04-16,13.15,13.25,12.26,12.89,12.64,21745200
2020-04-17,13.30,13.83,12.93,13.74,13.47,21336500
2020-04-20,13.50,14.74,13.48,14.45,14.17,20032200
2020-04-21,14.22,15.25,14.18,14.69,14.40,16235900
2020-04-22,14.95,15.16,14.22,14.79,14.50,12539500
2020-04-23,14.70,15.92,14.61,15.72,15.41,12226000
2020-04-24,15.60,16.67,15.29,16.25,15.93,17390000
2020-04-27,16.17,16.81,15.98,16.80,16.47,12186100
2020-04-28,16.88,17.75,16.61,17.00,16.67,12983800
2020-04-29,17.46,18.08,17.17,17.64,17.30,12523200
2020-04-30,17.22,17.84,16.99,17.71,17.37,19094100
2020-05-01,17.33,17.35,16.62,16.77,16.44,10727200
2020-05-04,16.15,16.52,15.69,16.40,16.08,9700300
2020-05-05,16.68,16.76,15.84,15.97,15.66,16298000
2020-05-06,16.00,16.37,15.43,16.29,15.97,10647200
2020-05-07,16.21,17.04,15.88,16.41,16.09,12454100
2020-05-08,17.04,18.40,16.93,18.36,18.00,17693300
2020-05-11,18.43,18.75,18.02,18.35,17.99,9574600
2020-05-12,18.39,18.40,17.69,17.80,17.45,7743200
2020-05-13,17.21,17.44,16.10,16.44,16.12,10676300
2020-05-14,16.02,16.72,15.72,16.55,16.23,7797200
2020-05-15,16.30,16.97,16.00,16.71,16.38,7353800
2020-05-18,17.30,17.72,17.29,17.55,17.21,6135000
2020-05-19,17.44,17.92,17.15,17.77,17.42,8338100
2020-05-20,18.16,19.05,18.04,18.73,18.37,11910000
2020-05-21,18.54,19.52,18.50,19.45,19.07,9711500
2020-05-22,19.47,19.86,18.95,19.05,18.68,5937100
2020-05-26,19.61,20.60,19.34,19.51,19.13,7305400
2020-05-27,19.57,20.13,19.43,19.99,19.60,8969700
2020-05-28,20.08,20.46,19.50,19.60,19.22,8509200
2020-05-29,18.96,20.98,18.88,20.47,20.07,32990600
2020-06-01,20.55,21.95,20.55,21.82,21.40,7695700
2020-06-02,21.69,21.83,20.91,21.36,20.94,8295600
2020-06-03,21.47,22.58,21.38,22.22,21.79,9636300
2020-06-04,22.03,23.12,22.03,22.68,22.24,6651900
2020-06-05,23.54,24.40,23.38,23.56,23.10,7843600
2020-06-08,23.63,24.38,23.31,24.37,23.90,8570400
2020-06-09,23.74,23.96,23.21,23.21,22.76,6850000
2020-06-10,22.31,23.15,22.04,22.20,21.77,10262100
2020-06-11,20.16,21.80,20.00,21.06,20.65,6834800
2020-06-12,22.00,22.31,21.02,21.54,21.12,5212800
2020-06-15,20.72,22.54,20.63,21.97,21.54,7735600
2020-06-16,22.96,22.98,21.92,22.07,21.64,7287800
2020-06-17,22.17,22.34,21.08,21.26,20.85,5737700
2020-06-18,21.00,21.89,21.00,21.25,20.84,3618900
2020-06-19,21.76,21.85,21.00,21.45,21.03,14451100
2020-06-22,21.52,22.83,21.31,22.74,22.30,5995500
2020-06-23,23.12,23.24,22.32,22.39,21.95,5961200
2020-06-24,22.10,22.66,21.45,21.82,21.40,6825600
2020-06-25,21.62,21.87,21.03,21.52,21.18,6141000
2020-06-26,21.52,21.74,20.59,20.97,20.64,21346900
2020-06-29,21.08,22.47,21.00,22.12,21.77,8086000
2020-06-30,21.81,22.41,21.41,22.22,21.87,7082500
2020-07-01,22.32,23.01,21.87,22.61,22.25,9181500
2020-07-02,22.99,23.22,22.57,22.91,22.55,5667400
2020-07-06,23.13,24.29,23.13,24.21,23.83,7145200
2020-07-07,23.76,24.18,23.72,24.01,23.63,4671900
2020-07-08,23.88,24.09,23.46,23.99,23.61,4692100
2020-07-09,24.00,24.22,23.76,23.91,23.53,5470300
2020-07-10,23.84,26.06,23.72,24.89,24.50,12262400
2020-07-13,25.14,25.21,23.26,24.28,23.89,8562400
2020-07-14,24.30,25.16,24.23,25.15,24.75,7218300
2020-07-15,25.58,26.57,25.54,26.45,26.03,5798700
2020-07-16,26.12,26.99,25.92,26.61,26.19,4863400
2020-07-17,26.89,26.90,26.33,26.48,26.06,3187100
2020-07-20,26.22,26.54,26.07,26.41,25.99,2442800
2020-07-21,26.29,26.80,26.16,26.57,26.15,4952700
2020-07-22,26.34,27.06,26.32,26.60,26.18,3503900
2020-07-23,26.66,27.63,26.52,27.35,26.92,6245400
2020-07-24,27.25,27.26,26.54,26.58,26.16,8293000
2020-07-27,26.50,26.78,26.08,26.25,25.83,5734900
2020-07-28,26.07,26.40,25.85,26.07,25.66,9895100
2020-07-29,26.11,27.72,26.11,27.18,26.75,12657500
2020-07-30,25.85,27.50,25.60,26.90,26.47,6742900
2020-07-31,26.85,27.35,26.63,27.24,26.81,9261300
2020-08-03,27.24,27.89,27.01,27.62,27.18,4115900
2020-08-04,27.40,27.87,27.16,27.77,27.33,4382200
2020-08-05,27.66,28.17,27.66,28.11,27.66,4177300
2020-08-06,28.02,28.54,27.94,28.27,27.82,3648700
2020-08-07,28.72,29.03,28.44,28.97,28.51,3477900
2020-08-10,29.02,29.57,28.91,29.46,28.99,3516900
2020-08-11,30.16,30.32,29.44,29.49,29.02,5113800
2020-08-12,29.87,30.19,29.62,29.79,29.32,3523800
2020-08-13,29.90,30.28,29.37,29.54,29.07,3643800
2020-08-14,29.71,30.05,29.28,29.52,29.05,5008300
2020-08-17,29.50,30.18,29.14,29.84,29.37,4588200
2020-08-18,29.72,30.05,29.37,29.46,28.99,3412900
2020-08-19,29.54,29.69,29.12,29.25,28.79,3864000
2020-08-20,29.02,29.41,28.75,29.01,28.55,3166800
2020-08-21,29.16,29.82,29.08,29.52,29.05,3112600
2020-08-24,29.76,30.44,29.74,30.38,29.90,3117300
2020-08-25,30.50,30.81,30.41,30.47,29.99,3233600
2020-08-26,30.51,31.24,30.41,31.03,30.54,3316600
2020-08-27,31.07,31.24,30.16,30.28,29.80,4144700
2020-08-28,30.38,30.48,29.95,30.30,29.82,3689900
2020-08-31,30.19,30.46,29.83,29.85,29.38,3572700
2020-09-01,29.66,30.36,29.17,30.30,29.82,2778500
2020-09-02,30.22,30.95,29.84,30.78,30.29,3445400
2020-09-03,30.50,30.69,28.96,29.33,28.86,5049400
2020-09-04,29.43,30.09,28.83,30.00,29.52,4277400
2020-09-08,29.35,30.25,29.20,29.57,29.10,4733300
2020-09-09,29.93,30.34,29.55,30.13,29.65,4782000
2020-09-10,29.90,30.01,28.58,29.14,28.68,9090300
2020-09-11,29.17,29.65,29.01,29.24,28.78,4547300
2020-09-14,29.40,29.44,28.83,29.15,28.69,4299400
2020-09-15,29.48,30.04,29.30,29.69,29.22,4052100
2020-09-16,30.16,30.53,29.52,30.25,29.77,4884300
2020-09-17,29.77,30.69,29.37,30.66,30.17,4735100
2020-09-18,30.50,31.20,30.50,30.79,30.30,8061000
2020-09-21,30.29,30.77,29.22,29.51,29.04,4516900
2020-09-22,29.51,30.33,29.49,30.26,29.78,4719700
2020-09-23,30.40,30.42,29.10,29.11,28.65,3348800
2020-09-24,29.12,29.97,28.79,29.88,29.41,4269300
2020-09-25,29.40,30.50,29.35,30.49,30.01,2845700
2020-09-28,30.75,31.56,30.43,30.74,30.25,7027600
2020-09-29,30.51,30.69,30.08,30.50,30.02,6851300
2020-09-30,30.61,31.24,30.35,30.54,30.06,5066600
2020-10-01,30.72,31.06,30.55,30.77,30.28,3730300
2020-10-02,30.34,31.52,30.26,31.23,30.73,2483100
2020-10-05,31.64,32.47,31.64,32.08,31.57,5088600
2020-10-06,32.34,32.39,31.45,31.51,31.01,2439400
2020-10-07,31.93,32.29,31.89,32.12,31.61,2209700
2020-10-08,32.31,32.47,31.63,31.95,31.44,2276400
2020-10-09,31.91,32.55,31.71,32.23,31.72,2700800
2020-10-12,32.59,33.16,32.20,33.00,32.48,3302600
2020-10-13,33.30,33.47,32.04,32.49,31.97,3534500
2020-10-14,32.68,33.05,32.43,32.51,31.99,3443600
2020-10-15,32.09,32.66,32.01,32.60,32.08,2691600
2020-10-16,32.92,33.27,32.42,32.76,32.24,3723000
2020-10-19,32.80,33.00,32.07,32.32,31.81,5529300
2020-10-20,32.45,33.80,32.35,33.23,32.70,3944800
2020-10-21,33.06,33.44,32.90,33.35,32.82,2909800
2020-10-22,33.15,34.13,33.15,33.89,33.35,3987700
2020-10-23,33.90,34.96,33.86,34.93,34.38,5072400
2020-10-26,34.45,34.45,33.27,33.71,33.18,5196800
2020-10-27,33.83,33.94,33.11,33.60,33.07,4032300
2020-10-28,32.93,33.76,32.76,33.30,32.77,6485900
2020-10-29,33.79,34.78,32.93,34.07,33.61,11949600
2020-10-30,33.97,34.88,33.00,33.39,32.94,6741100
2020-11-02,34.00,35.13,33.87,35.10,34.63,6313000
2020-11-03,35.45,37.01,35.43,36.95,36.45,6733100
2020-11-04,35.63,37.40,35.50,36.78,36.28,9039400
2020-11-05,37.51,38.30,37.38,38.20,37.68,5778100
2020-11-06,38.53,39.03,38.15,38.95,38.42,3443000
2020-11-09,40.74,41.30,38.68,38.80,38.28,7186400
2020-11-10,39.03,39.35,37.58,37.81,37.30,5588400
