Date,Open,High,Low,Close,Adj Close,Volume
1983-10-20,1.25,1.27,1.25,1.25,0.95,2712000
1983-10-21,1.21,1.21,1.17,1.17,0.89,1675200
1983-10-24,1.15,1.15,1.12,1.12,0.85,238800
1983-10-25,1.12,1.15,1.12,1.12,0.85,43200
1983-10-26,1.12,1.15,1.12,1.12,0.85,265200
1983-10-27,1.12,1.15,1.12,1.12,0.85,52800
1983-10-28,1.12,1.15,1.12,1.12,0.85,78000
1983-10-31,1.12,1.17,1.12,1.12,0.85,63600
1983-11-01,1.12,1.17,1.12,1.12,0.85,57600
1983-11-02,1.12,1.17,1.12,1.12,0.85,120000
1983-11-03,1.12,1.17,1.12,1.12,0.85,26400
1983-11-04,1.12,1.12,1.12,1.12,0.85,0
1983-11-07,1.12,1.17,1.12,1.12,0.85,32400
1983-11-08,1.12,1.17,1.12,1.12,0.85,72000
1983-11-09,1.12,1.17,1.12,1.12,0.85,45600
1983-11-10,1.12,1.17,1.12,1.12,0.85,20400
1983-11-11,1.12,1.17,1.12,1.12,0.85,360000
1983-11-14,1.12,1.17,1.12,1.12,0.85,26400
1983-11-15,1.12,1.17,1.12,1.12,0.85,19200
1983-11-16,1.12,1.17,1.12,1.12,0.85,18000
1983-11-17,1.12,1.17,1.12,1.12,0.85,8400
1983-11-18,1.12,1.17,1.12,1.12,0.85,49200
1983-11-21,1.12,1.12,1.09,1.09,0.83,49200
1983-11-22,1.09,1.11,1.06,1.06,0.81,56400
1983-11-23,1.05,1.05,1.00,1.00,0.76,60000
1983-11-25,1.00,1.05,1.00,1.00,0.76,49200
1983-11-28,1.00,1.05,1.00,1.00,0.76,9600
1983-11-29,1.00,1.05,1.00,1.00,0.76,9600
1983-11-30,1.00,1.05,1.00,1.00,0.76,34800
1983-12-01,1.00,1.05,1.00,1.00,0.76,4800
1983-12-02,1.00,1.05,1.00,1.00,0.76,24000
1983-12-05,1.00,1.02,0.98,0.98,0.74,34800
1983-12-06,0.96,0.96,0.92,0.92,0.70,67200
1983-12-07,0.92,0.96,0.90,0.90,0.68,22800
1983-12-08,0.90,0.96,0.90,0.90,0.68,39600
1983-12-09,0.92,0.98,0.92,0.92,0.70,229200
1983-12-12,0.92,0.96,0.92,0.92,0.70,20400
1983-12-13,0.92,0.96,0.92,0.92,0.70,9600
1983-12-14,0.92,0.96,0.92,0.92,0.70,16800
1983-12-15,0.92,0.96,0.90,0.90,0.68,28800
1983-12-16,0.90,0.96,0.90,0.90,0.68,45600
1983-12-19,0.90,0.96,0.90,0.90,0.68,22800
1983-12-20,0.90,0.92,0.88,0.88,0.66,124800
