Date,Open,High,Low,Close,Adj Close,Volume
1993-03-25,9.67,9.71,9.46,9.54,5.37,20047500
1993-03-26,9.54,9.71,9.50,9.58,5.39,5826000
1993-03-29,9.50,9.58,9.42,9.46,5.32,2249400
1993-03-30,9.42,9.46,9.33,9.46,5.32,2520900
1993-03-31,9.42,9.71,9.42,9.67,5.44,2130900
1993-04-01,9.62,9.67,9.54,9.54,5.37,1686300
1993-04-02,9.54,9.54,9.50,9.50,5.35,1596000
1993-04-05,9.46,9.46,9.38,9.38,5.28,1044300
1993-04-06,9.42,9.50,9.42,9.50,5.35,458100
1993-04-07,9.50,9.88,9.50,9.71,5.46,632100
1993-04-08,9.67,9.75,9.62,9.62,5.42,1555500
1993-04-12,9.62,9.67,9.50,9.54,5.37,980100
1993-04-13,9.50,9.58,9.50,9.58,5.39,4521000
1993-04-14,9.58,9.62,9.54,9.54,5.37,385200
1993-04-15,9.58,9.71,9.54,9.67,5.44,479100
1993-04-16,9.67,9.75,9.67,9.71,5.46,317400
1993-04-19,9.62,9.71,9.58,9.67,5.44,189900
1993-04-20,9.67,9.67,9.42,9.42,5.30,1680000
1993-04-21,9.42,9.46,9.42,9.46,5.32,440400
1993-04-22,9.42,9.46,9.38,9.42,5.30,390900
1993-04-23,9.46,9.46,9.33,9.46,5.32,700800
1993-04-26,9.42,9.42,9.17,9.17,5.16,1038300
1993-04-27,9.17,9.21,9.17,9.21,5.18,604200
1993-04-28,9.21,9.21,9.17,9.17,5.16,815700
1993-04-29,9.21,9.25,9.17,9.17,5.16,477600
1993-04-30,9.21,9.54,9.21,9.54,5.37,1086600
1993-05-03,9.50,9.67,9.50,9.67,5.44,654600
1993-05-04,9.92,10.00,9.88,9.92,5.58,1054200
1993-05-05,10.25,10.58,10.21,10.58,5.96,1123500
1993-05-06,10.67,10.67,10.33,10.38,5.84,699600
1993-05-07,10.29,10.42,10.29,10.33,5.82,197400
1993-05-10,10.33,10.38,10.17,10.33,5.82,288900
1993-05-11,10.29,10.38,10.29,10.38,5.84,396000
1993-05-12,10.33,10.38,10.29,10.38,5.84,428400
1993-05-13,10.33,10.33,10.04,10.04,5.65,135300
1993-05-14,10.00,10.08,10.00,10.04,5.65,402600
1993-05-17,10.04,10.04,9.88,9.96,5.60,121800
1993-05-18,9.96,9.96,9.92,9.96,5.60,91200
1993-05-19,9.88,10.21,9.88,10.17,5.72,201600
1993-05-20,10.21,10.21,10.00,10.08,5.67,138900
1993-05-21,10.12,10.12,10.04,10.04,5.65,244500
1993-05-24,10.04,10.08,10.00,10.04,5.65,162600
1993-05-25,9.92,10.00,9.88,9.88,5.56,30300
1993-05-26,9.92,9.92,9.58,9.67,5.44,139500
1993-05-27,9.75,9.83,9.62,9.62,5.42,398400
1993-05-28,9.67,9.67,9.50,9.54,5.37,262800
1993-06-01,9.54,9.62,9.46,9.50,5.35,204000
1993-06-02,9.50,9.58,9.42,9.42,5.30,305700
1993-06-03,9.42,9.42,9.33,9.33,5.25,487800
1993-06-04,9.33,9.42,9.25,9.25,5.21,240300
1993-06-07,9.17,9.25,9.00,9.00,5.07,318600
1993-06-08,8.92,8.92,8.79,8.79,4.95,428700
1993-06-09,8.79,8.88,8.71,8.83,4.97,1035300
1993-06-10,8.79,8.83,8.71,8.79,4.95,211200
1993-06-11,8.67,8.75,8.62,8.67,4.88,1272600
1993-06-14,8.67,8.75,8.67,8.71,4.90,33300
1993-06-15,8.75,8.83,8.50,8.62,4.85,552600
1993-06-16,8.62,8.67,8.58,8.58,4.83,379500
1993-06-17,8.62,8.67,8.58,8.58,4.83,489900
1993-06-18,8.67,8.75,8.62,8.67,4.88,551700
1993-06-21,8.71,8.92,8.58,8.92,5.02,480300
1993-06-22,9.12,9.25,9.08,9.12,5.14,938700
1993-06-23,9.08,9.25,9.08,9.17,5.16,346200
1993-06-24,9.17,9.25,9.12,9.25,5.22,459300
1993-06-25,9.33,9.58,9.33,9.54,5.39,234900
1993-06-28,9.58,9.67,9.58,9.58,5.41,41400
1993-06-29,9.67,9.67,9.58,9.67,5.46,312000
1993-06-30,9.67,9.92,9.67,9.92,5.60,32700
1993-07-01,9.92,10.00,9.83,9.83,5.55,377700
1993-07-02,9.83,9.83,9.75,9.83,5.55,45000
1993-07-06,9.75,9.75,9.71,9.71,5.48,157800
1993-07-07,9.67,9.67,9.50,9.50,5.37,438000
1993-07-08,9.54,9.54,9.50,9.54,5.39,189900
1993-07-09,9.54,9.67,9.54,9.67,5.46,200400
1993-07-12,9.67,9.83,9.67,9.83,5.55,108000
1993-07-13,9.79,9.88,9.79,9.88,5.58,166500
1993-07-14,9.83,9.83,9.75,9.75,5.51,1323300
1993-07-15,9.75,9.83,9.75,9.83,5.55,41100
1993-07-16,9.79,9.83,9.75,9.75,5.51,75300
1993-07-19,9.83,9.83,9.75,9.75,5.51,64200
1993-07-20,9.75,9.79,9.71,9.75,5.51,89700
1993-07-21,9.62,9.67,9.58,9.58,5.41,61800
1993-07-22,9.58,9.62,9.46,9.46,5.34,27600
1993-07-23,9.42,9.50,9.42,9.42,5.32,48600
1993-07-26,9.42,9.50,9.33,9.50,5.37,60600
1993-07-27,9.42,9.58,9.38,9.38,5.30,52800
1993-07-28,9.29,9.42,9.29,9.42,5.32,75300
1993-07-29,9.50,9.50,9.38,9.46,5.34,48900
1993-07-30,9.42,9.42,9.38,9.38,5.30,3300
1993-08-02,9.38,9.46,9.33,9.33,5.27,113400
1993-08-03,9.38,9.54,9.38,9.50,5.37,67500
1993-08-04,9.50,9.62,9.46,9.62,5.44,123300
1993-08-05,9.67,9.75,9.67,9.75,5.51,21600
1993-08-06,9.83,10.21,9.83,10.17,5.74,221100
1993-08-09,10.33,10.88,10.29,10.88,6.14,508200
1993-08-10,10.88,11.00,10.75,10.75,6.07,232800
1993-08-11,10.79,10.79,10.71,10.79,6.10,213600
1993-08-12,10.83,10.88,10.75,10.79,6.10,153600
1993-08-13,10.75,10.79,10.75,10.79,6.10,279000
1993-08-16,10.79,10.96,10.79,10.83,6.12,370500
1993-08-17,10.88,10.92,10.83,10.88,6.14,689700
1993-08-18,10.79,11.17,10.79,11.17,6.31,408300
1993-08-19,11.25,11.79,11.25,11.79,6.66,197100
1993-08-20,11.75,12.00,11.71,12.00,6.78,353700
1993-08-23,12.00,12.00,11.67,11.67,6.59,379200
1993-08-24,11.58,11.58,11.21,11.33,6.40,1358400
1993-08-25,11.38,11.50,11.33,11.46,6.47,549600
1993-08-26,11.42,11.50,11.42,11.46,6.47,600300
1993-08-27,11.46,11.46,11.38,11.38,6.43,103200
1993-08-30,11.38,11.54,11.38,11.54,6.52,188700
1993-08-31,11.54,11.62,11.54,11.58,6.54,68400
1993-09-01,11.58,11.62,11.50,11.62,6.57,149400
1993-09-02,11.62,11.67,11.54,11.58,6.59,280800
1993-09-03,11.50,11.58,11.50,11.54,6.56,120900
1993-09-07,11.54,11.54,11.50,11.54,6.56,172500
1993-09-08,11.46,11.58,11.46,11.46,6.52,20400
1993-09-09,11.38,11.42,11.33,11.38,6.47,540600
1993-09-10,11.33,11.33,11.29,11.29,6.42,19800
1993-09-13,11.33,11.33,11.17,11.25,6.40,53700
1993-09-14,11.21,11.25,11.17,11.17,6.35,54300
1993-09-15,11.17,11.29,11.17,11.25,6.40,247200
1993-09-16,11.29,11.29,11.21,11.21,6.37,218700
1993-09-17,11.17,11.25,11.17,11.17,6.35,216000
1993-09-20,11.25,11.25,11.17,11.17,6.35,792900
1993-09-21,11.12,11.12,10.83,10.92,6.21,1635300
1993-09-22,11.00,11.08,10.92,10.96,6.23,1178100
1993-09-23,10.92,11.12,10.92,11.08,6.30,1326000
1993-09-24,11.00,11.04,10.79,10.92,6.23,283800
1993-09-27,10.92,11.04,10.92,11.04,6.30,161400
1993-09-28,11.04,11.04,11.00,11.00,6.27,1001400
1993-09-29,11.00,11.04,11.00,11.00,6.27,89700
1993-09-30,10.96,11.04,10.96,11.04,6.30,20700
1993-10-01,11.04,11.04,10.96,11.04,6.30,600900
1993-10-04,11.08,11.25,11.08,11.25,6.42,161700
1993-10-05,11.25,11.25,11.12,11.17,6.37,104100
1993-10-06,11.17,11.17,11.12,11.12,6.34,537900
1993-10-07,11.12,11.12,10.96,11.00,6.27,170100
1993-10-08,11.00,11.08,11.00,11.08,6.32,277200
1993-10-11,11.04,11.08,11.04,11.04,6.30,25500
1993-10-12,11.08,11.12,11.04,11.08,6.32,72000
1993-10-13,11.08,11.08,11.00,11.00,6.27,224700
1993-10-14,11.08,11.08,11.04,11.04,6.30,107400
1993-10-15,11.08,11.17,11.04,11.08,6.32,798600
1993-10-18,11.17,11.29,11.17,11.29,6.44,172200
1993-10-19,11.33,11.67,11.33,11.50,6.56,274800
1993-10-20,11.54,11.58,11.42,11.46,6.53,283500
1993-10-21,11.46,11.46,11.29,11.38,6.49,36000
1993-10-22,11.29,11.33,11.25,11.25,6.42,21000
1993-10-25,11.29,11.29,11.17,11.17,6.37,69900
1993-10-26,11.17,11.17,10.88,10.92,6.23,223800
1993-10-27,10.96,10.96,10.88,10.96,6.25,94800
1993-10-28,10.92,11.00,10.92,10.92,6.23,105600
1993-10-29,10.83,10.83,10.83,10.83,6.18,445200
1993-11-01,10.83,10.88,10.75,10.88,6.20,474000
1993-11-02,10.92,10.92,10.67,10.71,6.11,351600
1993-11-03,10.71,10.71,10.50,10.54,6.01,524700
1993-11-04,10.50,10.50,10.25,10.33,5.89,137100
1993-11-05,10.25,10.25,9.75,10.04,5.73,255900
1993-11-08,10.08,10.12,10.08,10.12,5.77,37800
1993-11-09,10.17,10.21,10.04,10.04,5.73,189000
1993-11-10,10.08,10.17,10.04,10.12,5.77,118800
1993-11-11,10.12,10.50,10.12,10.50,5.99,146400
1993-11-12,10.50,10.54,10.50,10.54,6.01,155400
1993-11-15,10.50,10.50,10.38,10.42,5.94,174300
1993-11-16,10.25,10.29,10.08,10.21,5.82,1303200
1993-11-17,10.04,10.12,10.00,10.08,5.75,614700
1993-11-18,10.08,10.08,10.00,10.00,5.70,554700
1993-11-19,10.00,10.00,9.92,10.00,5.70,150300
1993-11-22,10.00,10.00,9.88,9.88,5.63,73800
1993-11-23,9.88,9.92,9.79,9.92,5.66,317100
1993-11-24,9.83,9.83,9.71,9.75,5.56,193200
1993-11-26,9.79,9.79,9.71,9.71,5.54,16800
1993-11-29,9.75,9.88,9.75,9.75,5.56,71700
1993-11-30,9.67,9.71,9.67,9.71,5.54,243000
1993-12-01,9.71,9.79,9.71,9.79,5.58,222600
1993-12-02,9.79,10.00,9.79,9.88,5.63,234300
1993-12-03,9.88,9.92,9.83,9.92,5.66,176400
1993-12-06,9.92,9.92,9.83,9.88,5.63,44100
1993-12-07,9.88,9.96,9.83,9.92,5.66,126000
1993-12-08,9.92,10.08,9.92,10.08,5.75,119100
1993-12-09,10.08,10.08,9.92,9.96,5.68,384000
1993-12-10,9.96,9.96,9.79,9.83,5.61,75900
1993-12-13,9.75,9.83,9.75,9.83,5.61,130200
1993-12-14,9.83,9.88,9.75,9.75,5.56,63000
1993-12-15,9.75,9.75,9.62,9.67,5.51,319200
1993-12-16,9.67,9.67,9.46,9.46,5.39,326400
1993-12-17,9.54,9.58,9.42,9.54,5.44,564600
1993-12-20,9.54,9.54,9.42,9.42,5.37,176100
1993-12-21,9.50,9.50,9.38,9.42,5.37,173400
1993-12-22,9.38,9.58,9.38,9.50,5.42,33600
1993-12-23,9.50,9.62,9.46,9.58,5.47,123000
1993-12-27,9.54,9.83,9.54,9.79,5.60,70500
1993-12-28,9.79,10.04,9.75,10.04,5.75,44100
1993-12-29,10.04,10.04,9.83,10.00,5.72,544800
1993-12-30,10.00,10.25,9.96,10.17,5.82,102600
1993-12-31,10.25,10.42,10.25,10.38,5.94,64200
1994-01-03,10.33,10.33,10.17,10.33,5.91,217200
1994-01-04,10.25,10.25,10.12,10.12,5.79,86700
1994-01-05,10.12,10.25,10.08,10.25,5.87,390000
1994-01-06,10.29,10.33,10.04,10.08,5.77,219900
1994-01-07,10.17,10.21,9.92,9.92,5.68,149400
1994-01-10,9.96,9.96,9.67,9.83,5.63,87300
1994-01-11,9.92,9.92,9.79,9.88,5.65,246000
1994-01-12,9.83,9.88,9.79,9.88,5.65,115200
1994-01-13,9.88,9.88,9.79,9.79,5.60,36600
1994-01-14,9.83,10.00,9.79,10.00,5.72,50700
1994-01-17,9.92,9.96,9.79,9.79,5.60,335700
1994-01-18,9.71,9.79,9.71,9.71,5.56,75600
1994-01-19,9.75,9.79,9.75,9.79,5.60,356400
1994-01-20,9.75,9.75,9.62,9.62,5.51,230700
1994-01-21,9.62,9.62,9.58,9.58,5.48,141600
1994-01-24,9.62,9.62,9.50,9.58,5.48,144300
1994-01-25,9.62,9.67,9.58,9.62,5.51,64500
1994-01-26,9.62,9.67,9.46,9.46,5.41,111300
1994-01-27,9.42,9.50,9.25,9.46,5.41,9475200
1994-01-28,9.46,9.54,9.42,9.50,5.44,1242900
1994-01-31,9.50,9.58,9.42,9.50,5.44,600600
1994-02-01,9.54,9.58,9.46,9.46,5.41,810600
1994-02-02,9.46,9.54,9.42,9.50,5.44,656100
1994-02-03,9.50,9.50,9.42,9.46,5.41,178200
1994-02-04,9.46,9.50,9.25,9.25,5.29,148800
1994-02-07,9.21,9.29,9.12,9.25,5.29,160500
1994-02-08,9.25,9.33,9.08,9.12,5.22,918900
1994-02-09,9.21,9.29,9.21,9.29,5.32,360900
1994-02-10,9.33,9.38,9.29,9.38,5.37,333300
1994-02-11,9.38,9.42,9.33,9.42,5.39,316200
1994-02-14,9.42,9.58,9.42,9.50,5.44,573300
1994-02-15,9.58,9.58,9.38,9.54,5.46,665100
1994-02-16,9.50,9.54,9.46,9.50,5.44,179400
1994-02-17,9.54,9.54,9.46,9.46,5.41,241500
1994-02-18,9.46,9.46,9.38,9.42,5.39,257100
1994-02-22,9.33,9.42,9.25,9.25,5.29,192000
1994-02-23,9.33,9.33,9.17,9.25,5.29,469200
1994-02-24,9.21,9.29,9.21,9.25,5.29,114600
1994-02-25,9.25,9.29,9.08,9.08,5.20,1286100
1994-02-28,9.08,9.21,9.08,9.21,5.27,390900
1994-03-01,9.25,9.25,8.96,9.00,5.15,508800
1994-03-02,8.96,8.96,8.83,8.83,5.06,165000
1994-03-03,8.88,8.92,8.79,8.92,5.10,555000
1994-03-04,8.88,8.92,8.83,8.88,5.08,399600
1994-03-07,8.92,8.96,8.79,8.88,5.08,926700
1994-03-08,8.83,8.88,8.67,8.67,4.96,669000
1994-03-09,8.58,8.71,8.58,8.71,4.98,418200
1994-03-10,8.71,8.88,8.71,8.83,5.06,123900
1994-03-11,8.79,8.83,8.67,8.71,4.98,70800
1994-03-14,8.75,8.79,8.67,8.79,5.03,82500
1994-03-15,8.75,8.96,8.67,8.96,5.13,165900
1994-03-16,8.88,8.88,8.79,8.83,5.06,173400
1994-03-17,8.92,8.92,8.83,8.92,5.10,100800
1994-03-18,8.83,9.00,8.83,9.00,5.15,158700
1994-03-21,9.00,9.04,8.92,8.92,5.10,94500
1994-03-22,9.00,9.00,8.92,9.00,5.15,139200
1994-03-23,9.04,9.04,8.92,8.92,5.10,233400
1994-03-24,9.00,9.00,8.92,8.92,5.10,139500
1994-03-25,8.83,8.88,8.79,8.88,5.10,118200
1994-03-28,8.96,8.96,8.88,8.88,5.10,91200
1994-03-29,8.83,9.00,8.83,8.92,5.12,429600
1994-03-30,8.92,9.00,8.92,8.92,5.12,401700
1994-03-31,8.92,8.92,8.17,8.58,4.93,484500
1994-04-04,8.50,8.58,8.42,8.46,4.86,302100
1994-04-05,8.54,9.00,8.54,8.92,5.12,584100
1994-04-06,8.92,8.92,8.79,8.92,5.12,224100
1994-04-07,8.96,9.33,8.96,9.33,5.36,86100
1994-04-08,9.33,9.46,9.33,9.42,5.41,80400
1994-04-11,9.33,9.50,9.29,9.50,5.46,242400
1994-04-12,9.50,9.50,9.42,9.42,5.41,97200
1994-04-13,9.46,9.58,9.46,9.46,5.43,75900
1994-04-14,9.42,9.42,9.33,9.33,5.36,87000
1994-04-15,9.25,9.25,9.08,9.25,5.31,292500
1994-04-18,9.29,9.38,9.25,9.38,5.39,221400
1994-04-19,9.42,9.42,9.38,9.38,5.39,4500
1994-04-20,9.38,9.42,9.33,9.38,5.39,64500
1994-04-21,9.42,9.42,9.25,9.33,5.36,328200
1994-04-22,9.25,9.29,9.17,9.25,5.31,73800
1994-04-25,9.25,9.58,9.25,9.50,5.46,162600
1994-04-26,9.42,9.58,9.42,9.58,5.51,23400
1994-04-28,9.50,9.50,9.33,9.42,5.41,21600
1994-04-29,9.38,9.54,9.38,9.50,5.46,200700
1994-05-02,9.54,9.62,9.46,9.54,5.48,50700
1994-05-03,9.50,9.54,9.50,9.54,5.48,25800
1994-05-04,9.50,9.58,9.46,9.58,5.51,189900
1994-05-05,9.50,9.58,9.46,9.50,5.46,45300
1994-05-06,9.42,9.42,9.29,9.29,5.34,203700
1994-05-09,9.25,9.42,9.25,9.33,5.36,80700
1994-05-10,9.33,9.42,9.25,9.33,5.36,190200
1994-05-11,9.25,9.25,9.21,9.21,5.29,168300
1994-05-12,9.21,9.33,9.21,9.33,5.36,11100
1994-05-13,9.33,9.33,9.21,9.21,5.29,151200
1994-05-16,9.17,9.25,9.17,9.25,5.31,90000
1994-05-17,9.25,9.33,9.17,9.33,5.36,102300
1994-05-18,9.42,9.58,9.42,9.54,5.48,292200
1994-05-19,9.50,9.50,9.46,9.46,5.43,113700
1994-05-20,9.46,9.50,9.42,9.50,5.46,55500
