Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.79,0.75,0.75,0.35,77728
1980-03-18,0.00,0.79,0.75,0.75,0.35,2507
1980-03-19,0.75,0.75,0.75,0.75,0.35,0
1980-03-20,0.00,0.79,0.75,0.75,0.35,42625
1980-03-21,0.75,0.75,0.75,0.75,0.35,0
1980-03-24,0.00,0.79,0.75,0.75,0.35,32596
1980-03-25,0.75,0.75,0.75,0.75,0.35,0
1980-03-26,0.00,0.79,0.75,0.75,0.35,10029
1980-03-27,0.00,0.77,0.73,0.73,0.34,22566
1980-03-28,0.00,0.80,0.76,0.76,0.36,75221
1980-03-31,0.00,0.80,0.76,0.76,0.36,10029
1980-04-01,0.00,0.81,0.77,0.77,0.36,40118
1980-04-02,0.00,0.81,0.77,0.77,0.36,5015
1980-04-03,0.77,0.77,0.77,0.77,0.36,0
1980-04-07,0.77,0.77,0.77,0.77,0.36,0
1980-04-08,0.00,0.81,0.77,0.77,0.36,576694
1980-04-09,0.00,0.81,0.77,0.77,0.36,15044
1980-04-10,0.00,0.80,0.76,0.76,0.36,15044
1980-04-11,0.00,0.80,0.76,0.76,0.36,7522
1980-04-14,0.00,0.79,0.75,0.75,0.35,5015
1980-04-15,0.00,0.79,0.75,0.75,0.35,7522
1980-04-16,0.00,0.80,0.76,0.76,0.36,32596
1980-04-17,0.00,0.81,0.77,0.77,0.36,27581
1980-04-18,0.00,0.82,0.78,0.78,0.37,27581
1980-04-21,0.78,0.78,0.78,0.78,0.37,0
1980-04-22,0.00,0.82,0.78,0.78,0.37,20059
1980-04-23,0.00,0.82,0.78,0.78,0.37,17552
1980-04-24,0.78,0.78,0.78,0.78,0.37,0
1980-04-25,0.00,0.83,0.79,0.79,0.37,12537
1980-04-28,0.00,0.84,0.80,0.80,0.38,130383
1980-04-29,0.00,0.84,0.80,0.80,0.38,25074
1980-04-30,0.00,0.86,0.82,0.82,0.39,37610
1980-05-01,0.00,0.88,0.84,0.84,0.40,47640
1980-05-02,0.84,0.84,0.84,0.84,0.40,0
1980-05-05,0.00,0.88,0.84,0.84,0.40,55162
1980-05-06,0.00,0.96,0.92,0.92,0.43,77728
1980-05-07,0.00,0.97,0.93,0.93,0.44,12537
1980-05-08,0.00,0.96,0.92,0.92,0.43,75221
1980-05-09,0.00,0.95,0.91,0.91,0.43,7522
1980-05-12,0.00,0.95,0.91,0.91,0.43,2507
1980-05-13,0.00,0.95,0.91,0.91,0.43,75221
1980-05-14,0.00,0.95,0.91,0.91,0.43,35103
1980-05-15,0.00,0.94,0.90,0.90,0.42,2507
1980-05-16,0.00,0.94,0.90,0.90,0.42,2507
1980-05-19,0.00,0.94,0.90,0.90,0.42,17552
1980-05-20,0.00,0.94,0.90,0.90,0.42,5015
1980-05-21,0.00,0.94,0.90,0.90,0.42,100295
1980-05-22,0.00,0.94,0.90,0.90,0.42,27581
1980-05-23,0.00,0.94,0.90,0.90,0.42,35103
1980-05-27,0.00,0.94,0.90,0.90,0.42,10029
1980-05-28,0.90,0.90,0.90,0.90,0.42,0
1980-05-29,0.00,0.96,0.92,0.92,0.43,35103
1980-05-30,0.00,0.95,0.91,0.91,0.43,30088
1980-06-02,0.91,0.91,0.91,0.91,0.43,0
1980-06-03,0.00,0.95,0.91,0.91,0.43,5015
1980-06-04,0.00,0.95,0.91,0.91,0.43,22566
1980-06-05,0.00,0.95,0.91,0.91,0.43,2507
1980-06-06,0.00,0.95,0.91,0.91,0.43,25074
1980-06-09,0.91,0.91,0.91,0.91,0.43,0
1980-06-10,0.00,0.94,0.90,0.90,0.42,37610
1980-06-11,0.00,0.94,0.90,0.90,0.42,105309
1980-06-12,0.00,0.93,0.89,0.89,0.42,27581
1980-06-13,0.89,0.89,0.89,0.89,0.42,0
1980-06-16,0.00,0.92,0.88,0.88,0.41,27581
1980-06-17,0.00,0.92,0.88,0.88,0.41,5015
1980-06-18,0.00,0.92,0.88,0.88,0.41,20059
1980-06-19,0.00,0.92,0.88,0.88,0.41,2507
1980-06-20,0.00,0.91,0.87,0.87,0.41,27581
1980-06-23,0.87,0.87,0.87,0.87,0.41,0
1980-06-24,0.00,0.91,0.87,0.87,0.41,2507
1980-06-25,0.00,0.91,0.87,0.87,0.41,87758
1980-06-26,0.87,0.87,0.87,0.87,0.41,0
1980-06-27,0.00,0.92,0.88,0.88,0.41,15044
1980-06-30,0.00,0.91,0.87,0.87,0.41,10029
1980-07-01,0.00,0.90,0.86,0.86,0.40,7522
1980-07-02,0.00,0.90,0.86,0.86,0.40,12537
1980-07-03,0.00,0.90,0.86,0.86,0.40,10029
