Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,2.76,2.72,2.72,2.28,250200
1980-03-18,0.00,2.79,2.71,2.78,2.32,67500
1980-03-19,0.00,2.81,2.75,2.75,2.30,41400
1980-03-20,0.00,2.78,2.72,2.72,2.28,126900
1980-03-21,0.00,2.74,2.71,2.71,2.26,20700
1980-03-24,0.00,2.76,2.69,2.71,2.26,210600
1980-03-25,0.00,2.69,2.64,2.67,2.23,339300
1980-03-26,0.00,2.67,2.62,2.62,2.19,92700
1980-03-27,0.00,2.61,2.58,2.58,2.16,82800
1980-03-28,0.00,2.64,2.58,2.64,2.21,72000
1980-03-31,0.00,2.62,2.58,2.61,2.18,71100
1980-04-01,0.00,2.61,2.58,2.61,2.18,36000
1980-04-02,0.00,2.62,2.58,2.61,2.18,142200
1980-04-03,0.00,2.61,2.58,2.58,2.16,36000
1980-04-07,0.00,2.58,2.56,2.56,2.14,67500
1980-04-08,0.00,2.58,2.54,2.57,2.15,50400
1980-04-09,0.00,2.61,2.58,2.61,2.18,38700
1980-04-10,0.00,2.64,2.60,2.61,2.18,184500
1980-04-11,0.00,2.64,2.60,2.61,2.18,109800
1980-04-14,0.00,2.61,2.58,2.61,2.18,81000
1980-04-15,0.00,2.61,2.58,2.58,2.16,153000
1980-04-16,0.00,2.61,2.56,2.56,2.14,175500
1980-04-17,0.00,2.58,2.56,2.56,2.14,57600
1980-04-18,0.00,2.60,2.56,2.60,2.17,14400
1980-04-21,0.00,2.62,2.60,2.60,2.17,18000
1980-04-22,0.00,2.60,2.57,2.58,2.16,30600
1980-04-23,0.00,2.74,2.60,2.74,2.29,108000
1980-04-24,0.00,2.74,2.71,2.72,2.28,63000
1980-04-25,0.00,2.72,2.69,2.69,2.25,68400
1980-04-28,0.00,2.72,2.69,2.71,2.26,35100
1980-04-29,0.00,2.74,2.71,2.72,2.28,50400
1980-04-30,0.00,2.74,2.69,2.69,2.25,342900
1980-05-01,0.00,2.75,2.68,2.72,2.28,675900
1980-05-02,0.00,2.72,2.69,2.71,2.26,152100
1980-05-05,0.00,2.71,2.65,2.65,2.22,122400
1980-05-06,0.00,2.71,2.67,2.71,2.26,28800
1980-05-07,0.00,2.76,2.68,2.76,2.31,68400
1980-05-08,0.00,2.83,2.76,2.83,2.37,101700
1980-05-09,0.00,2.82,2.81,2.81,2.35,78300
1980-05-12,0.00,2.85,2.82,2.82,2.36,18900
1980-05-13,0.00,2.83,2.81,2.81,2.35,64800
1980-05-14,0.00,2.82,2.81,2.81,2.35,44100
1980-05-15,0.00,2.83,2.81,2.82,2.36,165600
1980-05-16,0.00,2.82,2.79,2.82,2.36,149400
1980-05-19,0.00,2.83,2.79,2.79,2.33,216000
1980-05-20,0.00,2.79,2.79,2.79,2.33,109800
1980-05-21,0.00,2.79,2.78,2.79,2.33,270900
1980-05-22,0.00,2.82,2.79,2.82,2.36,137700
1980-05-23,0.00,2.89,2.83,2.89,2.42,243900
1980-05-27,0.00,2.97,2.90,2.97,2.48,75600
1980-05-28,0.00,3.00,2.97,3.00,2.51,159300
1980-05-29,0.00,3.03,2.99,3.00,2.51,105300
1980-05-30,0.00,3.00,2.94,3.00,2.51,114300
1980-06-02,0.00,3.00,2.94,2.94,2.46,35100
1980-06-03,0.00,2.99,2.96,2.96,2.47,146700
1980-06-04,0.00,3.03,2.96,3.03,2.53,237600
1980-06-05,0.00,3.07,3.03,3.06,2.55,54000
1980-06-06,0.00,3.08,3.06,3.07,2.57,13500
1980-06-09,0.00,3.17,3.08,3.17,2.65,684000
1980-06-10,0.00,3.17,3.12,3.14,2.62,162900
1980-06-11,0.00,3.22,3.11,3.22,2.69,207900
1980-06-12,0.00,3.22,3.15,3.19,2.67,84600
1980-06-13,0.00,3.22,3.11,3.12,2.61,213300
1980-06-16,0.00,3.17,3.11,3.12,2.61,66600
1980-06-17,0.00,3.17,3.12,3.14,2.62,89100
1980-06-18,0.00,3.17,3.11,3.11,2.60,384300
1980-06-19,0.00,3.11,3.11,3.11,2.60,54000
1980-06-20,0.00,3.14,3.11,3.11,2.60,101700
1980-06-23,0.00,3.12,3.08,3.10,2.59,72900
1980-06-24,0.00,3.08,3.06,3.06,2.55,35100
1980-06-25,0.00,3.08,3.07,3.07,2.57,36000
1980-06-26,0.00,3.08,3.06,3.07,2.57,72000
