Date,Open,High,Low,Close,Adj Close,Volume
1987-06-10,0.00,2.11,1.94,2.00,2.00,10395450
1987-06-11,0.00,2.03,1.89,1.89,1.89,2233350
1987-06-12,0.00,1.94,1.89,1.89,1.89,1120950
1987-06-15,0.00,1.94,1.89,1.89,1.89,1815300
1987-06-16,0.00,1.92,1.83,1.83,1.83,686700
1987-06-17,0.00,1.89,1.81,1.89,1.89,891450
1987-06-18,0.00,1.89,1.83,1.83,1.83,126900
1987-06-19,0.00,1.86,1.83,1.86,1.86,638100
1987-06-22,0.00,1.86,1.83,1.83,1.83,276750
1987-06-23,0.00,1.86,1.78,1.81,1.81,554850
1987-06-24,0.00,1.81,1.78,1.81,1.81,337050
1987-06-25,0.00,1.78,1.78,1.78,1.78,15300
1987-06-26,0.00,1.81,1.78,1.78,1.78,248850
1987-06-29,0.00,1.81,1.61,1.61,1.61,355500
1987-06-30,0.00,1.67,1.47,1.47,1.47,80550
1987-07-01,0.00,1.67,1.47,1.67,1.67,290700
1987-07-02,0.00,1.72,1.58,1.72,1.72,252450
1987-07-06,0.00,1.78,1.67,1.67,1.67,95850
1987-07-07,0.00,1.89,1.67,1.81,1.81,470700
1987-07-08,0.00,1.86,1.78,1.78,1.78,274050
1987-07-09,0.00,1.86,1.72,1.72,1.72,124650
1987-07-10,0.00,1.83,1.72,1.72,1.72,12150
1987-07-13,0.00,1.78,1.61,1.61,1.61,89100
1987-07-14,0.00,1.69,1.61,1.67,1.67,115200
1987-07-15,0.00,1.69,1.61,1.61,1.61,96750
1987-07-16,0.00,1.72,1.67,1.69,1.69,28800
1987-07-17,0.00,1.72,1.72,1.72,1.72,5850
1987-07-20,0.00,1.72,1.61,1.61,1.61,11700
1987-07-21,0.00,1.72,1.67,1.72,1.72,12150
1987-07-22,0.00,1.72,1.61,1.64,1.64,191700
1987-07-23,0.00,1.69,1.64,1.64,1.64,72450
1987-07-24,0.00,1.69,1.64,1.64,1.64,6750
1987-07-27,0.00,1.67,1.64,1.64,1.64,100350
1987-07-28,0.00,1.67,1.64,1.64,1.64,151200
1987-07-29,0.00,1.64,1.64,1.64,1.64,2700
1987-07-30,0.00,1.67,1.64,1.64,1.64,158400
1987-07-31,0.00,1.72,1.64,1.64,1.64,40950
1987-08-03,0.00,1.72,1.69,1.72,1.72,153900
1987-08-04,0.00,1.86,1.75,1.75,1.75,53550
1987-08-05,0.00,1.86,1.75,1.86,1.86,2700
1987-08-06,0.00,1.83,1.78,1.83,1.83,7200
1987-08-07,0.00,1.83,1.78,1.78,1.78,17100
1987-08-10,0.00,1.81,1.72,1.72,1.72,1800
1987-08-11,0.00,1.81,1.72,1.75,1.75,73800
1987-08-12,0.00,1.81,1.75,1.75,1.75,11250
1987-08-13,0.00,1.81,1.75,1.75,1.75,50850
1987-08-14,0.00,1.75,1.75,1.75,1.75,3600
1987-08-17,1.75,1.75,1.75,1.75,1.75,0
1987-08-18,0.00,1.81,1.75,1.75,1.75,7200
1987-08-19,0.00,1.75,1.75,1.75,1.75,13500
1987-08-20,0.00,1.78,1.72,1.72,1.72,67050
1987-08-21,0.00,1.81,1.72,1.75,1.75,282150
1987-08-24,0.00,1.75,1.72,1.72,1.72,71100
1987-08-25,0.00,1.83,1.72,1.78,1.78,146700
1987-08-26,0.00,1.83,1.72,1.83,1.83,153450
1987-08-27,0.00,1.83,1.75,1.83,1.83,81450
1987-08-28,0.00,1.89,1.81,1.89,1.89,44100
1987-08-31,0.00,1.92,1.81,1.92,1.92,133200
1987-09-01,0.00,2.00,1.83,1.92,1.92,337500
1987-09-02,0.00,2.00,1.92,1.92,1.92,97650
1987-09-03,0.00,1.92,1.92,1.92,1.92,5400
1987-09-04,0.00,2.00,1.92,1.97,1.97,91350
1987-09-08,0.00,1.97,1.94,1.94,1.94,58050
1987-09-09,0.00,2.00,1.92,1.92,1.92,13500
1987-09-10,0.00,2.03,1.92,1.97,1.97,31050
1987-09-11,0.00,2.03,1.97,2.03,2.03,175500
1987-09-14,0.00,2.17,2.00,2.08,2.08,294300
1987-09-15,0.00,2.08,2.03,2.08,2.08,131850
1987-09-16,0.00,2.08,2.06,2.06,2.06,250200
1987-09-17,0.00,2.11,2.06,2.11,2.11,99000
1987-09-18,0.00,2.06,2.06,2.06,2.06,2250
1987-09-21,0.00,2.11,1.97,1.97,1.97,54900
1987-09-22,0.00,2.00,1.89,2.00,2.00,116550
1987-09-23,0.00,2.03,1.94,2.03,2.03,90000
1987-09-24,0.00,2.03,1.94,2.03,2.03,49500
1987-09-25,0.00,2.03,2.03,2.03,2.03,22500
1987-09-28,0.00,2.03,2.03,2.03,2.03,6750
1987-09-29,0.00,2.06,1.97,2.06,2.06,391050
1987-09-30,0.00,2.06,2.00,2.06,2.06,16650
1987-10-01,0.00,2.39,2.06,2.39,2.39,555750
1987-10-02,0.00,2.44,2.28,2.28,2.28,328050
1987-10-05,0.00,2.39,2.25,2.39,2.39,241650
1987-10-06,0.00,2.50,2.33,2.50,2.50,335250
1987-10-07,0.00,2.56,2.44,2.56,2.56,220050
1987-10-08,0.00,2.56,2.42,2.42,2.42,201150
1987-10-09,0.00,2.50,2.42,2.50,2.50,89100
1987-10-12,0.00,2.44,2.28,2.28,2.28,45900
1987-10-13,0.00,2.36,2.28,2.36,2.36,52200
1987-10-14,0.00,2.33,2.22,2.22,2.22,33750
1987-10-15,0.00,2.22,2.17,2.22,2.22,29250
1987-10-16,0.00,2.14,2.06,2.06,2.06,44100
1987-10-19,0.00,1.89,1.72,1.75,1.75,489600
1987-10-20,0.00,1.75,1.56,1.56,1.56,40500
1987-10-21,0.00,1.75,1.56,1.72,1.72,81000
1987-10-22,0.00,1.67,1.61,1.64,1.64,95850
1987-10-23,0.00,1.58,1.50,1.53,1.53,73800
1987-10-26,0.00,1.47,1.22,1.28,1.28,96300
1987-10-27,0.00,1.39,1.31,1.33,1.33,76050
1987-10-28,0.00,1.28,1.17,1.28,1.28,58050
1987-10-29,0.00,1.42,1.17,1.39,1.39,198000
1987-10-30,0.00,1.44,1.36,1.42,1.42,717300
1987-11-02,0.00,1.44,1.36,1.44,1.44,117900
1987-11-03,0.00,1.44,1.36,1.42,1.42,110700
1987-11-04,0.00,1.39,1.33,1.39,1.39,326700
1987-11-05,0.00,1.42,1.36,1.42,1.42,45900
1987-11-06,0.00,1.44,1.39,1.39,1.39,6300
1987-11-09,0.00,1.42,1.33,1.33,1.33,11700
1987-11-10,0.00,1.31,1.31,1.31,1.31,15300
1987-11-11,0.00,1.39,1.33,1.33,1.33,42750
1987-11-12,0.00,1.42,1.36,1.36,1.36,43650
1987-11-13,0.00,1.39,1.33,1.39,1.39,21600
1987-11-16,0.00,1.33,1.33,1.33,1.33,103500
1987-11-17,0.00,1.39,1.22,1.28,1.28,103050
1987-11-18,0.00,1.25,1.22,1.25,1.25,20250
1987-11-19,1.25,1.25,1.25,1.25,1.25,0
1987-11-20,0.00,1.25,1.11,1.17,1.17,132300
1987-11-23,0.00,1.17,1.00,1.08,1.08,45450
1987-11-24,0.00,1.06,0.92,0.94,0.94,73800
1987-11-25,0.00,1.06,0.92,1.06,1.06,294750
1987-11-27,0.00,1.08,1.03,1.03,1.03,47250
1987-11-30,0.00,1.03,0.97,1.00,1.00,100350
1987-12-01,0.00,1.00,0.97,0.97,0.97,197550
1987-12-02,0.00,1.00,0.97,1.00,1.00,16650
1987-12-03,0.00,1.00,0.92,0.92,0.92,5400
1987-12-04,0.00,0.94,0.89,0.92,0.92,59850
1987-12-07,0.00,0.92,0.86,0.86,0.86,15300
1987-12-08,0.00,0.92,0.92,0.92,0.92,6750
1987-12-09,0.00,0.94,0.86,0.94,0.94,73350
1987-12-10,0.00,1.03,0.92,1.03,1.03,47250
1987-12-11,0.00,1.11,0.97,1.08,1.08,257400
1987-12-14,0.00,1.19,1.11,1.14,1.14,109800
1987-12-15,0.00,1.19,1.14,1.17,1.17,67950
1987-12-16,0.00,1.17,1.06,1.08,1.08,733050
1987-12-17,0.00,1.17,1.06,1.11,1.11,298800
1987-12-18,0.00,1.31,1.17,1.22,1.22,110700
1987-12-21,0.00,1.31,1.22,1.22,1.22,166050
1987-12-22,0.00,1.22,1.11,1.11,1.11,109800
1987-12-23,0.00,1.31,1.14,1.31,1.31,660150
1987-12-24,0.00,1.33,1.25,1.33,1.33,143550
1987-12-28,0.00,1.33,1.25,1.25,1.25,184950
1987-12-29,0.00,1.25,1.19,1.22,1.22,359550
1987-12-30,0.00,1.31,1.22,1.31,1.31,632700
1987-12-31,0.00,1.36,1.25,1.33,1.33,281250
1988-01-04,0.00,1.50,1.33,1.47,1.47,245250
1988-01-05,0.00,1.61,1.50,1.53,1.53,767250
1988-01-06,0.00,1.58,1.53,1.53,1.53,311400
1988-01-07,0.00,1.53,1.47,1.53,1.53,33750
1988-01-08,0.00,1.58,1.53,1.53,1.53,256050
1988-01-11,0.00,1.42,1.36,1.39,1.39,114750
1988-01-12,0.00,1.39,1.36,1.36,1.36,25200
1988-01-13,0.00,1.33,1.28,1.28,1.28,45900
1988-01-14,0.00,1.28,1.25,1.25,1.25,79650
1988-01-15,0.00,1.33,1.28,1.33,1.33,418950
1988-01-18,0.00,1.33,1.28,1.33,1.33,174150
1988-01-19,0.00,1.33,1.28,1.33,1.33,198450
1988-01-20,0.00,1.33,1.28,1.28,1.28,297000
1988-01-21,0.00,1.31,1.28,1.28,1.28,95400
1988-01-22,0.00,1.36,1.31,1.33,1.33,222750
1988-01-25,1.33,1.33,1.33,1.33,1.33,0
1988-01-26,0.00,1.36,1.36,1.36,1.36,5400
1988-01-27,0.00,1.36,1.31,1.31,1.31,40500
1988-01-28,0.00,1.39,1.33,1.39,1.39,201150
1988-01-29,0.00,1.44,1.36,1.39,1.39,437400
1988-02-01,0.00,1.44,1.39,1.42,1.42,108450
1988-02-02,0.00,1.44,1.39,1.39,1.39,134100
1988-02-03,0.00,1.44,1.42,1.44,1.44,24750
1988-02-04,0.00,1.44,1.39,1.42,1.42,112050
1988-02-05,0.00,1.44,1.39,1.42,1.42,172800
1988-02-08,0.00,1.44,1.39,1.39,1.39,129150
1988-02-09,0.00,1.44,1.39,1.44,1.44,76950
1988-02-10,0.00,1.44,1.39,1.39,1.39,177300
1988-02-11,0.00,1.50,1.42,1.44,1.44,452250
1988-02-12,0.00,1.47,1.39,1.42,1.42,283950
1988-02-16,0.00,1.44,1.42,1.42,1.42,119250
1988-02-17,0.00,1.44,1.44,1.44,1.44,50850
1988-02-18,0.00,1.44,1.42,1.42,1.42,13500
1988-02-19,0.00,1.47,1.42,1.46,1.46,191700
1988-02-22,0.00,1.56,1.42,1.56,1.56,364500
1988-02-23,0.00,1.78,1.56,1.75,1.75,411750
1988-02-24,0.00,1.78,1.69,1.72,1.72,130050
1988-02-25,0.00,1.75,1.64,1.67,1.67,223200
1988-02-26,0.00,1.81,1.67,1.69,1.69,782550
1988-02-29,0.00,1.72,1.61,1.64,1.64,342900
1988-03-01,0.00,1.72,1.67,1.69,1.69,162450
1988-03-02,0.00,1.71,1.64,1.71,1.71,691650
1988-03-03,0.00,1.78,1.69,1.78,1.78,466200
1988-03-04,0.00,1.86,1.78,1.81,1.81,1521900
1988-03-07,0.00,1.94,1.81,1.94,1.94,327150
1988-03-08,0.00,1.94,1.81,1.89,1.89,328950
1988-03-09,0.00,1.92,1.86,1.92,1.92,364050
1988-03-10,0.00,1.97,1.86,1.89,1.89,184500
1988-03-11,0.00,1.94,1.89,1.94,1.94,92700
1988-03-14,0.00,1.94,1.89,1.92,1.92,89550
1988-03-15,0.00,1.94,1.92,1.92,1.92,695250
1988-03-16,0.00,1.97,1.92,1.94,1.94,145350
1988-03-17,0.00,2.03,1.97,2.00,2.00,704250
1988-03-18,0.00,2.08,2.00,2.00,2.00,290250
1988-03-21,0.00,2.03,1.92,1.94,1.94,427950
1988-03-22,0.00,1.97,1.94,1.97,1.97,199350
1988-03-23,0.00,1.97,1.94,1.97,1.97,137700
1988-03-24,0.00,1.94,1.86,1.92,1.92,144450
1988-03-25,0.00,1.94,1.89,1.89,1.89,31050
1988-03-28,0.00,1.86,1.78,1.78,1.78,55800
1988-03-29,0.00,1.83,1.75,1.75,1.75,248400
1988-03-30,0.00,1.78,1.67,1.67,1.67,163350
1988-03-31,0.00,1.67,1.56,1.67,1.67,79200
1988-04-04,0.00,1.64,1.56,1.64,1.64,17100
1988-04-05,0.00,1.72,1.61,1.69,1.69,152100
1988-04-06,0.00,1.83,1.72,1.75,1.75,267750
1988-04-07,0.00,2.00,1.81,2.00,2.00,870750
1988-04-08,0.00,2.00,1.94,1.97,1.97,102600
1988-04-11,0.00,2.00,1.92,1.94,1.94,345600
1988-04-12,0.00,2.00,1.92,1.94,1.94,143100
1988-04-13,0.00,2.00,1.92,2.00,2.00,160200
1988-04-14,0.00,1.97,1.89,1.94,1.94,259650
1988-04-15,0.00,1.92,1.86,1.89,1.89,203850
1988-04-18,0.00,1.94,1.89,1.92,1.92,48600
1988-04-19,0.00,1.97,1.97,1.97,1.97,8550
1988-04-20,0.00,1.97,1.92,1.92,1.92,36450
1988-04-21,0.00,1.97,1.89,1.92,1.92,225000
1988-04-22,0.00,1.94,1.89,1.94,1.94,31500
1988-04-25,0.00,1.94,1.89,1.94,1.94,144900
1988-04-26,0.00,2.08,1.94,2.08,2.08,398700
1988-04-27,0.00,2.11,2.03,2.06,2.06,629100
1988-04-28,0.00,2.08,1.97,2.03,2.03,152100
1988-04-29,0.00,2.06,2.00,2.06,2.06,152100
1988-05-02,0.00,2.11,2.00,2.08,2.08,230850
1988-05-03,0.00,2.17,2.08,2.11,2.11,691650
1988-05-04,0.00,2.14,2.08,2.11,2.11,1098000
1988-05-05,0.00,2.11,2.03,2.06,2.06,215550
1988-05-06,0.00,2.11,2.03,2.06,2.06,69750
1988-05-09,0.00,2.11,1.97,1.97,1.97,572400
1988-05-10,0.00,2.03,1.86,1.86,1.86,267750
1988-05-11,0.00,1.89,1.75,1.83,1.83,192150
1988-05-12,0.00,1.83,1.78,1.83,1.83,213750
1988-05-13,0.00,1.89,1.83,1.89,1.89,145800
1988-05-16,0.00,1.92,1.86,1.89,1.89,36450
1988-05-17,0.00,1.92,1.89,1.89,1.89,45450
1988-05-18,0.00,1.92,1.78,1.83,1.83,399150
1988-05-19,0.00,1.81,1.72,1.72,1.72,220500
1988-05-20,0.00,1.78,1.69,1.69,1.69,263700
1988-05-23,0.00,1.69,1.58,1.58,1.58,124200
1988-05-24,0.00,1.61,1.56,1.61,1.61,248850
1988-05-25,0.00,1.86,1.61,1.78,1.78,304650
1988-05-26,0.00,1.81,1.71,1.75,1.75,224550
1988-05-27,0.00,1.75,1.67,1.67,1.67,416700
1988-05-31,0.00,1.75,1.67,1.75,1.75,137250
1988-06-01,0.00,1.75,1.67,1.75,1.75,1350
1988-06-02,0.00,1.78,1.72,1.72,1.72,443250
1988-06-03,0.00,1.78,1.69,1.69,1.69,74700
1988-06-06,0.00,1.75,1.69,1.75,1.75,151200
1988-06-07,0.00,1.81,1.72,1.81,1.81,918900
1988-06-08,0.00,1.86,1.78,1.83,1.83,692100
1988-06-09,0.00,1.89,1.86,1.89,1.89,297900
1988-06-10,0.00,1.92,1.86,1.86,1.86,8100
1988-06-13,0.00,1.92,1.86,1.86,1.86,277200
1988-06-14,0.00,1.89,1.83,1.86,1.86,290250
