Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,29.90,39.50,29.70,38.08,38.08,20151200
2020-12-14,35.01,36.27,33.40,33.59,33.59,3075700
2020-12-15,33.71,35.45,33.20,35.01,35.01,976900
2020-12-16,34.95,39.30,34.14,38.78,38.78,2060200
2020-12-17,39.00,40.05,37.51,39.25,39.25,3556700
2020-12-18,37.98,39.50,35.18,35.55,35.55,829300
2020-12-21,35.71,37.80,34.13,36.81,36.81,849900
2020-12-22,36.86,39.54,36.65,37.55,37.55,952400
2020-12-23,37.50,41.79,36.13,40.18,40.18,673600
2020-12-24,40.20,40.48,37.00,37.82,37.82,238700
2020-12-28,38.20,39.86,37.54,37.54,37.54,658600
2020-12-29,37.67,37.80,33.90,33.90,33.90,829100
2020-12-30,34.11,35.49,34.00,34.96,34.96,840400
2020-12-31,34.90,35.14,33.67,33.72,33.72,531400
2021-01-04,33.72,34.47,31.80,33.00,33.00,1014900
2021-01-05,32.50,33.31,31.87,32.37,32.37,622000
2021-01-06,32.25,33.19,31.40,32.62,32.62,548600
2021-01-07,32.97,33.50,32.13,32.67,32.67,553700
2021-01-08,32.67,35.23,32.50,35.13,35.13,771900
2021-01-11,34.93,36.80,34.61,35.04,35.04,469800
2021-01-12,34.95,35.91,34.13,34.60,34.60,436600
2021-01-13,34.60,34.73,32.42,33.32,33.32,790500
2021-01-14,33.50,35.27,33.50,34.33,34.33,323800
2021-01-15,34.88,36.45,34.00,36.34,36.34,342600
2021-01-19,36.67,38.59,36.67,37.20,37.20,529200
2021-01-20,37.63,37.90,36.37,36.60,36.60,219500
2021-01-21,36.60,37.50,35.66,37.23,37.23,554800
2021-01-22,37.26,38.31,36.34,37.33,37.33,364300
2021-01-25,37.21,37.98,35.85,36.80,36.80,255400
2021-01-26,36.93,37.18,36.00,36.31,36.31,239400
2021-01-27,35.52,36.00,33.10,33.13,33.13,468600
2021-01-28,33.50,35.00,33.40,34.54,34.54,259700
2021-01-29,34.54,34.65,33.36,34.42,34.42,300900
2021-02-01,34.89,35.35,34.18,34.99,34.99,271600
2021-02-02,35.49,35.49,34.73,35.04,35.04,133800
2021-02-03,35.06,36.00,34.61,35.72,35.72,235600
2021-02-04,35.79,36.78,35.44,35.98,35.98,202400
2021-02-05,36.13,37.50,34.96,35.73,35.73,311000
2021-02-08,35.69,37.61,35.55,37.61,37.61,219500
2021-02-09,37.86,40.50,37.86,38.95,38.95,421200
2021-02-10,39.26,39.89,37.27,38.20,38.20,431500
2021-02-11,38.28,39.34,37.80,39.00,39.00,438500
2021-02-12,39.18,39.28,37.98,38.87,38.87,270400
2021-02-16,39.30,39.37,38.60,38.95,38.95,247600
2021-02-17,38.09,39.00,37.80,38.66,38.66,285900
2021-02-18,37.91,38.20,37.13,37.20,37.20,372600
2021-02-19,37.21,37.77,35.57,35.84,35.84,673500
2021-02-22,35.67,36.47,35.16,36.36,36.36,319500
2021-02-23,35.74,36.66,33.83,36.26,36.26,352500
2021-02-24,36.00,36.92,35.61,36.06,36.06,128600
2021-02-25,35.64,36.08,32.61,32.97,32.97,344300
2021-02-26,33.76,35.16,32.31,34.65,34.65,477800
2021-03-01,35.20,36.71,35.15,35.97,35.97,383900
2021-03-02,36.42,36.94,34.85,35.49,35.49,1479200
2021-03-03,35.32,36.03,33.87,33.91,33.91,287000
2021-03-04,33.64,33.80,29.25,30.52,30.52,720200
2021-03-05,30.60,31.45,25.50,26.37,26.37,2668900
2021-03-08,26.55,28.13,25.17,25.72,25.72,910700
2021-03-09,26.47,27.28,24.90,25.95,25.95,929100
2021-03-10,26.48,27.47,26.43,26.69,26.69,367100
2021-03-11,27.41,27.92,26.80,27.00,27.00,914600
2021-03-12,27.00,27.74,26.60,27.44,27.44,1131700
2021-03-15,27.60,30.58,27.60,30.41,30.41,512400
2021-03-16,30.93,31.60,30.36,31.01,31.01,572400
2021-03-17,30.51,31.75,29.48,31.51,31.51,591800
2021-03-18,30.92,31.00,29.81,30.44,30.44,424000
2021-03-19,30.29,31.11,29.30,30.94,30.94,3893900
2021-03-22,30.94,31.48,30.19,30.51,30.51,350800
2021-03-23,28.94,29.45,26.97,27.78,27.78,661000
2021-03-24,27.80,27.80,25.55,25.62,25.62,1347800
