Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,3.38,3.23,3.23,1.50,3556
1980-03-18,0.00,3.38,3.23,3.23,1.50,1422
1980-03-19,0.00,3.48,3.34,3.34,1.55,39822
1980-03-20,0.00,3.45,3.30,3.30,1.53,2844
1980-03-21,0.00,3.41,3.27,3.27,1.51,7822
1980-03-24,0.00,3.34,3.20,3.20,1.48,29867
1980-03-25,0.00,3.34,3.20,3.20,1.48,1422
1980-03-26,0.00,3.34,3.20,3.20,1.48,35556
1980-03-27,0.00,3.23,3.09,3.09,1.43,18489
1980-03-28,0.00,3.23,3.09,3.09,1.43,6400
1980-03-31,0.00,3.23,3.09,3.09,1.43,1422
1980-04-01,0.00,3.23,3.09,3.09,1.43,17778
1980-04-02,0.00,3.23,3.09,3.09,1.43,2844
1980-04-03,0.00,3.23,3.09,3.09,1.43,14222
1980-04-07,0.00,3.23,3.09,3.09,1.43,711
1980-04-08,0.00,3.30,3.16,3.16,1.46,11378
1980-04-09,0.00,3.38,3.23,3.23,1.50,16356
1980-04-10,3.23,3.23,3.23,3.23,1.50,0
1980-04-11,0.00,3.38,3.23,3.23,1.50,21333
1980-04-14,0.00,3.38,3.23,3.23,1.50,711
1980-04-15,0.00,3.38,3.23,3.23,1.50,1422
1980-04-16,0.00,3.38,3.23,3.23,1.50,711
1980-04-17,0.00,3.38,3.23,3.23,1.50,31289
1980-04-18,0.00,3.38,3.23,3.23,1.50,12800
1980-04-21,0.00,3.34,3.20,3.20,1.48,4267
1980-04-22,0.00,3.38,3.23,3.23,1.50,4267
1980-04-23,0.00,3.38,3.23,3.23,1.50,18489
1980-04-24,0.00,3.38,3.23,3.23,1.50,21333
1980-04-25,0.00,3.38,3.23,3.23,1.50,16356
1980-04-28,0.00,3.38,3.23,3.23,1.50,4978
1980-04-29,0.00,3.38,3.23,3.23,1.50,7111
1980-04-30,3.23,3.23,3.23,3.23,1.50,0
1980-05-01,0.00,3.41,3.27,3.27,1.51,7111
1980-05-02,0.00,3.45,3.30,3.30,1.53,107378
1980-05-05,0.00,3.48,3.34,3.34,1.55,4267
1980-05-06,0.00,3.69,3.55,3.55,1.64,84622
1980-05-07,0.00,3.69,3.55,3.55,1.64,33422
1980-05-08,0.00,3.66,3.52,3.52,1.63,6400
1980-05-09,0.00,3.66,3.52,3.52,1.63,88889
1980-05-12,0.00,3.62,3.48,3.48,1.61,21333
1980-05-13,3.48,3.48,3.48,3.48,1.61,0
1980-05-14,3.48,3.48,3.48,3.48,1.61,0
1980-05-15,0.00,3.62,3.48,3.48,1.61,14222
1980-05-16,0.00,3.62,3.48,3.48,1.61,6400
1980-05-19,3.48,3.48,3.48,3.48,1.61,0
1980-05-20,3.48,3.48,3.48,3.48,1.61,0
1980-05-21,0.00,3.59,3.45,3.45,1.59,3556
1980-05-22,0.00,3.59,3.45,3.45,1.59,15644
1980-05-23,0.00,3.59,3.45,3.45,1.59,14222
1980-05-27,0.00,3.59,3.45,3.45,1.59,711
1980-05-28,0.00,3.59,3.45,3.45,1.59,711
1980-05-29,0.00,3.45,3.30,3.30,1.53,26311
1980-05-30,0.00,3.45,3.30,3.30,1.53,8533
1980-06-02,0.00,3.45,3.30,3.30,1.53,14222
1980-06-03,3.30,3.30,3.30,3.30,1.53,0
1980-06-04,3.30,3.30,3.30,3.30,1.53,0
1980-06-05,0.00,3.48,3.34,3.34,1.55,12800
1980-06-06,0.00,3.45,3.30,3.30,1.53,7822
1980-06-09,0.00,3.45,3.30,3.30,1.53,6400
1980-06-10,0.00,3.48,3.34,3.34,1.55,10667
1980-06-11,0.00,3.55,3.41,3.41,1.58,9956
1980-06-12,0.00,3.55,3.41,3.41,1.58,2844
1980-06-13,0.00,3.55,3.41,3.41,1.58,12089
1980-06-16,0.00,3.55,3.41,3.41,1.58,7822
1980-06-17,0.00,3.59,3.45,3.45,1.59,2133
1980-06-18,3.45,3.45,3.45,3.45,1.59,0
1980-06-19,0.00,3.59,3.45,3.45,1.59,2133
1980-06-20,0.00,3.59,3.45,3.45,1.59,18489
1980-06-23,0.00,3.59,3.45,3.45,1.59,103822
1980-06-24,0.00,3.59,3.45,3.45,1.59,3556
1980-06-25,0.00,3.62,3.48,3.48,1.61,84622
1980-06-26,0.00,3.66,3.52,3.52,1.63,2133
1980-06-27,3.52,3.52,3.52,3.52,1.63,0
1980-06-30,0.00,3.69,3.55,3.55,1.64,14933
1980-07-01,0.00,3.69,3.55,3.55,1.64,5689
1980-07-02,0.00,3.66,3.52,3.52,1.63,39822
1980-07-03,0.00,3.66,3.52,3.52,1.63,711
1980-07-07,0.00,3.66,3.59,3.59,1.66,1422
1980-07-08,0.00,3.73,3.62,3.62,1.68,27022
1980-07-09,3.62,3.62,3.62,3.62,1.68,0
1980-07-10,0.00,3.73,3.62,3.62,1.68,711
1980-07-11,3.62,3.62,3.62,3.62,1.68,0
1980-07-14,3.62,3.62,3.62,3.62,1.68,0
1980-07-15,0.00,3.73,3.62,3.62,1.68,125156
1980-07-16,0.00,3.73,3.62,3.62,1.68,2844
