Date,Open,High,Low,Close,Adj Close,Volume
2012-05-03,22.00,22.45,21.85,22.05,12.21,13298700
2012-05-04,22.05,22.09,22.00,22.05,12.21,6276200
2012-05-07,22.07,22.09,22.00,22.01,12.18,2800000
2012-05-08,22.01,22.05,22.00,22.00,12.18,6862700
2012-05-09,22.00,22.06,21.02,21.75,12.04,4307200
2012-05-10,21.50,21.75,21.50,21.72,12.02,464000
2012-05-11,21.72,21.83,21.15,21.35,11.82,267000
2012-05-14,21.15,21.44,20.98,21.03,11.64,357900
2012-05-15,21.22,21.39,21.00,21.12,11.69,521000
2012-05-16,21.09,21.60,21.01,21.57,11.94,313200
2012-05-17,21.30,21.51,21.00,21.10,11.68,329700
2012-05-18,21.00,21.40,21.00,21.11,11.69,343900
2012-05-21,22.00,22.00,21.00,21.05,11.65,130500
2012-05-22,21.06,21.27,20.24,21.00,11.63,334000
2012-05-23,20.83,20.94,20.00,20.14,11.15,510000
2012-05-24,20.18,20.62,20.00,20.39,11.29,204300
2012-05-25,20.27,21.60,20.27,21.51,11.91,306000
2012-05-29,21.73,21.73,20.97,21.06,11.66,97000
2012-05-30,20.82,21.40,20.32,21.21,11.74,157300
2012-05-31,21.09,21.20,20.71,21.12,11.69,366700
2012-06-01,20.66,21.40,20.66,21.02,11.64,347700
2012-06-04,21.17,21.17,20.50,20.96,11.60,116900
2012-06-05,20.32,21.09,20.32,20.94,11.59,231500
2012-06-06,21.10,21.38,20.31,21.38,11.84,165900
2012-06-07,21.50,21.67,21.23,21.60,11.96,162500
2012-06-08,21.67,21.88,21.36,21.75,12.04,1368100
2012-06-11,21.80,21.89,21.30,21.42,11.86,177200
2012-06-12,21.75,22.01,21.63,21.80,12.07,389800
2012-06-13,21.67,21.90,21.67,21.88,12.11,165500
2012-06-14,21.95,22.06,21.56,21.79,12.06,221600
2012-06-15,21.87,21.95,21.69,21.94,12.15,97200
2012-06-18,21.98,21.98,21.73,21.85,12.10,95200
2012-06-19,21.85,21.92,21.68,21.79,12.06,174200
2012-06-20,21.85,21.95,21.72,21.88,12.11,394900
2012-06-21,21.91,22.03,21.51,21.80,12.07,168200
2012-06-22,21.97,22.02,21.74,21.85,12.10,42500
2012-06-25,21.95,22.00,21.51,21.90,12.12,45800
2012-06-26,21.97,22.00,21.61,21.61,11.96,232700
2012-06-27,21.80,21.98,21.60,21.73,12.03,91600
2012-06-28,21.48,22.16,21.33,22.16,12.27,907700
2012-06-29,22.30,22.44,22.16,22.43,12.42,171500
2012-07-02,22.45,23.00,22.40,22.90,12.68,475000
2012-07-03,22.94,23.01,22.90,22.95,12.70,92700
2012-07-05,22.86,23.49,22.86,23.08,12.78,92000
2012-07-06,23.76,23.76,23.05,23.13,12.80,62800
2012-07-09,23.04,23.35,22.87,23.24,12.87,117200
2012-07-10,23.37,23.37,23.06,23.06,12.77,103300
2012-07-11,23.25,23.46,23.10,23.18,12.83,114900
2012-07-12,23.39,23.48,22.55,22.73,12.58,95400
2012-07-13,22.76,23.15,22.76,23.08,12.78,130900
2012-07-16,23.16,23.25,23.01,23.11,12.79,87700
2012-07-17,23.33,23.34,22.87,23.05,12.76,103600
2012-07-18,23.03,23.22,22.82,22.93,12.69,49600
2012-07-19,23.06,23.27,23.00,23.00,12.73,39800
2012-07-20,22.92,23.44,22.76,23.42,12.96,110600
2012-07-23,23.36,23.45,22.61,22.92,12.69,181400
2012-07-24,23.29,23.95,23.28,23.37,12.94,211900
2012-07-25,23.48,23.90,23.02,23.71,13.13,91300
2012-07-26,23.76,24.00,23.47,24.00,13.29,74100
2012-07-27,23.99,24.50,23.87,24.15,13.37,181200
2012-07-30,24.44,24.50,23.93,24.21,13.40,164400
2012-07-31,24.00,24.52,24.00,24.43,13.52,723400
2012-08-01,24.46,24.84,23.92,24.02,13.30,69800
2012-08-02,23.90,24.25,23.24,23.87,13.21,70400
2012-08-03,24.49,24.50,24.00,24.37,13.49,51600
2012-08-06,24.70,24.89,23.80,24.28,13.44,138300
2012-08-07,25.00,25.24,24.02,24.47,13.55,261600
2012-08-08,24.20,24.64,23.64,24.34,13.47,266800
2012-08-09,24.64,25.95,23.72,24.02,13.30,140700
2012-08-10,24.10,24.36,23.75,23.79,13.17,133100
2012-08-13,23.93,25.10,23.89,24.98,13.83,40000
2012-08-14,24.86,25.23,24.40,24.93,13.80,73900
2012-08-15,24.70,25.08,24.50,24.90,13.78,142400
2012-08-16,25.20,25.20,24.78,24.99,13.90,239000
2012-08-17,25.05,25.12,24.95,25.05,13.93,150200
2012-08-20,25.50,25.50,24.40,24.47,13.61,32300
