Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.19,0.17,0.17,0.11,113400
1980-03-18,0.00,0.19,0.17,0.17,0.11,81000
1980-03-19,0.17,0.17,0.17,0.17,0.11,0
1980-03-20,0.17,0.17,0.17,0.17,0.11,0
1980-03-21,0.00,0.19,0.17,0.17,0.11,32400
1980-03-24,0.00,0.19,0.17,0.17,0.11,48600
1980-03-25,0.17,0.17,0.17,0.17,0.11,0
1980-03-26,0.00,0.19,0.17,0.17,0.11,405000
1980-03-27,0.00,0.19,0.17,0.17,0.11,16200
1980-03-28,0.00,0.19,0.17,0.17,0.11,518400
1980-03-31,0.17,0.17,0.17,0.17,0.11,0
1980-04-01,0.17,0.17,0.17,0.17,0.11,0
1980-04-02,0.00,0.19,0.17,0.17,0.11,32400
1980-04-03,0.00,0.19,0.17,0.17,0.11,194400
1980-04-07,0.17,0.17,0.17,0.17,0.11,0
1980-04-08,0.17,0.17,0.17,0.17,0.11,0
1980-04-09,0.17,0.17,0.17,0.17,0.11,0
1980-04-10,0.00,0.19,0.17,0.17,0.11,16200
1980-04-11,0.00,0.19,0.17,0.17,0.11,113400
1980-04-14,0.17,0.17,0.17,0.17,0.11,0
1980-04-15,0.00,0.19,0.17,0.17,0.11,226800
1980-04-16,0.00,0.19,0.17,0.17,0.11,16200
1980-04-17,0.00,0.19,0.17,0.17,0.11,16200
1980-04-18,0.00,0.19,0.17,0.17,0.11,48600
1980-04-21,0.00,0.19,0.17,0.17,0.11,1004400
1980-04-22,0.00,0.19,0.17,0.17,0.11,32400
1980-04-23,0.00,0.19,0.17,0.17,0.11,48600
1980-04-24,0.00,0.19,0.17,0.17,0.11,113400
1980-04-25,0.17,0.17,0.17,0.17,0.11,0
1980-04-28,0.00,0.19,0.17,0.17,0.11,162000
1980-04-29,0.00,0.19,0.17,0.17,0.11,129600
1980-04-30,0.17,0.17,0.17,0.17,0.11,0
1980-05-01,0.00,0.19,0.17,0.17,0.11,16200
1980-05-02,0.00,0.20,0.18,0.18,0.12,275400
1980-05-05,0.00,0.20,0.18,0.18,0.12,97200
1980-05-06,0.00,0.20,0.18,0.18,0.12,48600
1980-05-07,0.00,0.20,0.18,0.18,0.12,534600
1980-05-08,0.00,0.20,0.18,0.18,0.12,1263600
1980-05-09,0.18,0.18,0.18,0.18,0.12,0
1980-05-12,0.00,0.20,0.19,0.19,0.12,210600
1980-05-13,0.19,0.19,0.19,0.19,0.12,0
1980-05-14,0.19,0.19,0.19,0.19,0.12,0
1980-05-15,0.00,0.20,0.19,0.19,0.12,324000
1980-05-16,0.00,0.21,0.19,0.19,0.12,32400
