Date,Open,High,Low,Close,Adj Close,Volume
1996-10-16,7.00,8.25,7.00,8.12,3.90,39000
1996-10-17,8.25,8.62,8.25,8.38,4.02,23600
1996-10-18,8.75,8.75,8.62,8.62,4.14,79000
1996-10-21,8.69,8.69,8.62,8.69,4.17,16800
1996-10-22,8.62,8.62,8.19,8.19,3.93,72400
1996-10-23,7.88,8.00,7.75,7.88,3.78,27200
1996-10-24,7.81,7.81,7.50,7.56,3.63,79400
1996-10-25,7.50,7.56,7.50,7.56,3.63,96400
1996-10-28,7.50,7.62,7.50,7.62,3.66,48400
1996-10-29,7.62,7.75,7.62,7.75,3.72,16000
1996-10-30,7.88,7.88,7.75,7.75,3.72,28200
1996-10-31,7.75,7.81,7.50,7.62,3.66,361600
1996-11-01,7.56,7.62,7.19,7.25,3.48,1305000
1996-11-04,7.25,7.38,7.25,7.31,3.51,1030400
1996-11-05,7.31,7.62,7.31,7.50,3.60,927400
1996-11-06,7.56,7.88,7.50,7.69,3.69,659800
1996-11-07,7.69,7.81,7.62,7.75,3.72,1180800
1996-11-08,7.81,7.81,7.69,7.69,3.69,990800
1996-11-11,7.62,8.00,7.62,7.94,3.81,1018800
1996-11-12,8.00,8.00,7.69,7.75,3.72,211200
1996-11-13,7.81,7.81,7.50,7.56,3.63,952200
1996-11-14,7.56,7.56,7.44,7.50,3.60,891000
1996-11-15,7.56,7.75,7.56,7.75,3.72,1254400
1996-11-18,7.88,7.94,7.62,7.62,3.66,547800
1996-11-19,7.75,7.88,7.75,7.81,3.75,669000
1996-11-20,7.81,7.94,7.81,7.81,3.75,477000
1996-11-21,7.88,7.94,7.50,7.56,3.63,279000
1996-11-22,7.56,7.75,7.38,7.44,3.57,709000
1996-11-25,7.56,7.56,7.12,7.19,3.45,1209000
1996-11-26,7.19,7.19,6.88,7.00,3.36,1263000
1996-11-27,7.06,7.62,7.00,7.56,3.63,2561000
1996-11-29,7.50,7.69,7.50,7.69,3.69,309000
1996-12-02,7.62,7.81,7.50,7.75,3.72,679000
1996-12-03,7.75,8.12,7.75,8.12,3.90,1158600
1996-12-04,8.12,8.12,7.88,8.06,3.87,474600
1996-12-05,8.12,8.19,8.06,8.19,3.93,547600
1996-12-06,7.94,8.06,7.88,8.06,3.87,340200
1996-12-09,8.06,8.19,8.00,8.12,3.90,548600
1996-12-10,8.06,8.19,8.00,8.00,3.84,861400
1996-12-11,7.94,8.00,7.81,8.00,3.84,722400
1996-12-12,8.00,8.06,8.00,8.00,3.84,192800
1996-12-13,7.94,8.00,7.81,7.81,3.75,783200
1996-12-16,7.88,7.88,7.69,7.75,3.72,652600
1996-12-17,7.75,8.00,7.75,8.00,3.84,343000
1996-12-18,8.00,8.19,7.94,8.19,3.93,479200
1996-12-19,8.19,8.25,8.12,8.12,3.90,416800
1996-12-20,8.25,8.25,7.94,8.19,3.93,556600
1996-12-23,8.25,8.31,8.06,8.19,3.93,314600
1996-12-24,8.12,8.19,8.06,8.19,3.93,203200
1996-12-26,8.19,8.25,8.00,8.25,3.96,386400
1996-12-27,8.19,8.44,8.19,8.31,3.99,307800
1996-12-30,8.38,8.62,8.31,8.62,4.14,391200
1996-12-31,8.69,8.81,8.62,8.81,4.23,284200
1997-01-02,8.75,8.75,8.31,8.38,4.02,550400
1997-01-03,8.44,8.56,8.38,8.44,4.05,479200
1997-01-06,8.50,8.50,8.38,8.44,4.05,294600
1997-01-07,8.50,8.56,8.38,8.44,4.05,472400
1997-01-08,8.44,8.56,8.38,8.38,4.02,359400
1997-01-09,8.44,8.44,8.31,8.44,4.05,248200
1997-01-10,8.38,8.44,8.25,8.31,3.99,268000
1997-01-13,8.31,8.44,8.25,8.31,3.99,341800
1997-01-14,8.31,8.38,8.19,8.25,3.96,469400
1997-01-15,8.19,8.25,8.00,8.06,3.87,429600
1997-01-16,8.12,8.12,7.81,7.94,3.81,273000
1997-01-17,7.94,8.00,7.88,8.00,3.84,310600
1997-01-20,8.00,8.19,7.94,8.12,3.90,126200
1997-01-21,8.19,8.25,8.06,8.19,3.93,404000
1997-01-22,8.19,8.31,8.19,8.25,3.96,287600
1997-01-23,8.31,8.44,8.19,8.25,3.96,228400
1997-01-24,8.25,8.25,8.06,8.06,3.87,381600
1997-01-27,8.00,8.00,7.69,7.69,3.69,204200
1997-01-28,7.88,7.94,7.62,7.69,3.69,252200
1997-01-29,7.75,7.94,7.69,7.94,3.81,319600
1997-01-30,7.81,7.94,7.75,7.94,3.81,181800
1997-01-31,7.88,8.00,7.88,8.00,3.84,339200
1997-02-03,8.00,8.06,7.81,8.00,3.84,330000
1997-02-04,7.94,7.94,7.81,7.94,3.81,162200
1997-02-05,8.00,8.06,7.75,7.75,3.72,295400
1997-02-06,7.88,7.88,7.75,7.75,3.72,155000
1997-02-07,7.88,8.00,7.88,7.94,3.81,87200
1997-02-10,7.94,7.94,7.81,7.88,3.78,187200
1997-02-11,7.81,7.88,7.75,7.81,3.75,206600
1997-02-12,7.75,7.75,7.50,7.62,3.66,319800
1997-02-13,7.56,7.75,7.56,7.69,3.69,238800
1997-02-14,7.69,7.75,7.50,7.50,3.60,324600
1997-02-18,7.56,7.69,7.50,7.69,3.69,228200
1997-02-19,7.69,7.81,7.62,7.75,3.72,195800
1997-02-20,7.69,7.75,7.50,7.62,3.66,1030400
1997-02-21,7.56,7.62,7.50,7.56,3.63,678000
1997-02-24,7.56,7.75,7.56,7.75,3.72,301200
1997-02-25,7.69,7.94,7.69,7.94,3.81,313000
1997-02-26,7.88,7.94,7.75,7.81,3.75,109600
1997-02-27,7.81,7.88,7.62,7.75,3.72,149200
1997-02-28,7.75,7.75,7.62,7.69,3.69,79200
1997-03-03,7.62,7.69,7.56,7.56,3.63,347400
1997-03-04,7.56,7.69,7.50,7.69,3.69,160800
1997-03-05,7.62,7.75,7.62,7.69,3.69,56800
1997-03-06,7.62,7.69,7.50,7.62,3.66,327600
1997-03-07,7.56,7.62,7.56,7.56,3.63,76200
1997-03-10,7.56,7.69,7.56,7.69,3.69,821400
1997-03-11,7.69,7.69,7.56,7.62,3.66,199800
1997-03-12,7.56,7.62,7.44,7.44,3.57,391000
1997-03-13,7.44,7.56,7.38,7.38,3.54,114200
1997-03-14,7.38,7.44,7.38,7.38,3.54,44800
1997-03-17,7.38,7.44,7.31,7.38,3.54,94600
1997-03-18,7.31,7.62,7.25,7.31,3.51,63800
1997-03-19,7.31,7.31,6.94,7.06,3.39,114200
1997-03-20,7.06,7.25,7.06,7.25,3.48,175800
1997-03-21,7.19,7.25,7.06,7.12,3.42,445400
1997-03-24,7.12,7.19,7.12,7.19,3.45,62000
1997-03-25,7.19,7.19,7.12,7.19,3.45,37400
1997-03-26,7.19,7.19,7.06,7.06,3.39,125800
1997-03-27,7.12,7.12,6.75,6.88,3.30,249600
1997-03-31,6.75,6.94,6.69,6.75,3.24,433800
1997-04-01,6.75,6.94,6.75,6.94,3.33,168000
1997-04-02,6.88,6.88,6.81,6.81,3.27,74000
1997-04-03,6.81,7.00,6.75,6.81,3.27,1677200
1997-04-04,6.62,6.94,6.62,6.94,3.33,3134000
1997-04-07,6.88,7.12,6.88,7.06,3.39,989200
1997-04-08,7.00,7.12,7.00,7.00,3.36,43200
1997-04-09,7.00,7.12,7.00,7.00,3.36,144400
1997-04-10,7.00,7.25,7.00,7.19,3.45,74600
1997-04-11,7.12,7.19,7.00,7.00,3.36,186600
1997-04-14,7.00,7.00,6.81,6.94,3.33,56400
1997-04-15,6.94,6.94,6.75,6.88,3.30,974400
1997-04-16,6.81,6.94,6.81,6.94,3.33,117200
1997-04-17,7.00,7.00,6.81,6.88,3.30,51600
1997-04-18,6.88,6.94,6.81,6.88,3.30,20400
1997-04-21,6.81,6.88,6.50,6.62,3.18,172200
1997-04-22,6.56,6.75,6.50,6.50,3.12,178000
1997-04-23,6.50,6.69,6.44,6.56,3.15,1146400
