Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,1.37,1.33,1.33,0.46,45946
1980-03-18,0.00,1.37,1.33,1.33,0.46,32819
1980-03-19,0.00,1.37,1.33,1.33,0.46,13127
1980-03-20,0.00,1.37,1.33,1.33,0.46,17503
1980-03-21,0.00,1.37,1.33,1.33,0.46,6564
1980-03-24,0.00,1.30,1.26,1.26,0.43,131275
1980-03-25,0.00,1.28,1.23,1.23,0.43,35007
1980-03-26,0.00,1.28,1.23,1.23,0.43,6564
1980-03-27,0.00,1.23,1.19,1.19,0.41,61262
1980-03-28,0.00,1.12,1.07,1.07,0.37,124711
1980-03-31,0.00,1.12,1.07,1.07,0.37,10940
1980-04-01,0.00,1.13,1.09,1.09,0.37,45946
1980-04-02,0.00,1.14,1.10,1.10,0.38,26255
1980-04-03,0.00,1.14,1.10,1.10,0.38,37194
1980-04-07,0.00,1.14,1.10,1.10,0.38,13127
1980-04-08,0.00,1.15,1.11,1.11,0.38,41570
1980-04-09,0.00,1.15,1.11,1.11,0.38,39382
1980-04-10,0.00,1.18,1.13,1.13,0.39,41570
1980-04-11,0.00,1.18,1.13,1.13,0.39,10940
1980-04-14,0.00,1.17,1.12,1.12,0.39,102832
1980-04-15,0.00,1.17,1.12,1.12,0.39,15315
1980-04-16,0.00,1.18,1.13,1.13,0.39,56886
1980-04-17,0.00,1.18,1.13,1.13,0.39,19691
1980-04-18,0.00,1.18,1.13,1.13,0.39,8752
1980-04-21,1.13,1.13,1.13,1.13,0.39,0
1980-04-22,0.00,1.18,1.13,1.13,0.39,28443
1980-04-23,0.00,1.18,1.13,1.13,0.39,37194
1980-04-24,0.00,1.18,1.13,1.13,0.39,37194
1980-04-25,0.00,1.18,1.13,1.13,0.39,15315
1980-04-28,0.00,1.19,1.14,1.14,0.39,26255
1980-04-29,0.00,1.18,1.13,1.13,0.39,65637
1980-04-30,0.00,1.20,1.15,1.15,0.40,78765
1980-05-01,0.00,1.21,1.17,1.17,0.40,59074
1980-05-02,0.00,1.21,1.17,1.17,0.40,8752
1980-05-05,0.00,1.25,1.20,1.20,0.41,65637
1980-05-06,0.00,1.30,1.26,1.26,0.43,74389
1980-05-07,0.00,1.30,1.26,1.26,0.43,13127
1980-05-08,0.00,1.29,1.25,1.25,0.43,45946
1980-05-09,0.00,1.28,1.23,1.23,0.43,21879
1980-05-12,0.00,1.28,1.23,1.23,0.43,135650
1980-05-13,0.00,1.26,1.21,1.21,0.42,26255
1980-05-14,0.00,1.27,1.22,1.22,0.42,24067
1980-05-15,0.00,1.28,1.23,1.23,0.43,85329
1980-05-16,0.00,1.29,1.25,1.25,0.43,212227
1980-05-19,0.00,1.28,1.23,1.23,0.43,13127
1980-05-20,0.00,1.28,1.23,1.23,0.43,26255
1980-05-21,0.00,1.28,1.23,1.23,0.43,135650
1980-05-22,0.00,1.28,1.23,1.23,0.43,17503
1980-05-23,0.00,1.28,1.23,1.23,0.43,30631
1980-05-27,0.00,1.30,1.26,1.26,0.43,54698
1980-05-28,0.00,1.30,1.26,1.26,0.43,87516
1980-05-29,0.00,1.29,1.25,1.25,0.43,45946
1980-05-30,1.25,1.25,1.25,1.25,0.43,0
