Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00,2.02,2.02,2.02,0.84,9600
1973-02-22,0.00,2.03,2.02,2.02,0.84,35200
1973-02-23,0.00,2.01,2.00,2.00,0.84,19200
1973-02-26,0.00,1.98,1.97,1.97,0.82,64000
1973-02-27,0.00,1.96,1.96,1.96,0.82,3200
1973-02-28,0.00,1.95,1.95,1.95,0.82,32000
1973-03-01,0.00,1.94,1.91,1.91,0.80,76800
1973-03-02,0.00,1.89,1.88,1.88,0.79,35200
1973-03-05,0.00,1.88,1.88,1.88,0.78,38400
1973-03-06,1.88,1.88,1.88,1.88,0.78,0
1973-03-07,0.00,1.89,1.88,1.88,0.79,496000
1973-03-08,0.00,1.88,1.88,1.88,0.79,163200
1973-03-09,0.00,1.88,1.88,1.88,0.78,3200
1973-03-12,0.00,1.88,1.86,1.86,0.78,22400
1973-03-13,0.00,1.88,1.88,1.88,0.78,16000
1973-03-14,0.00,1.86,1.82,1.82,0.76,41600
1973-03-15,0.00,1.87,1.81,1.87,0.78,64000
1973-03-16,0.00,1.88,1.85,1.85,0.77,86400
1973-03-19,0.00,1.84,1.82,1.82,0.76,41600
1973-03-20,0.00,1.83,1.82,1.82,0.76,6400
1973-03-21,0.00,1.84,1.82,1.82,0.76,28800
1973-03-22,0.00,1.82,1.80,1.82,0.76,28800
1973-03-23,0.00,1.81,1.79,1.79,0.75,22400
1973-03-26,0.00,1.78,1.78,1.78,0.74,3200
1973-03-27,0.00,1.79,1.78,1.79,0.75,166400
1973-03-28,0.00,1.78,1.77,1.77,0.74,35200
1973-03-29,0.00,1.79,1.78,1.79,0.75,19200
1973-03-30,0.00,1.81,1.80,1.81,0.76,22400
1973-04-02,0.00,1.84,1.83,1.84,0.77,25600
1973-04-03,0.00,1.86,1.84,1.86,0.78,28800
1973-04-04,0.00,1.84,1.84,1.84,0.77,6400
1973-04-05,0.00,1.84,1.84,1.84,0.77,6400
1973-04-06,0.00,1.86,1.86,1.86,0.78,9600
1973-04-09,1.86,1.86,1.86,1.86,0.78,0
1973-04-10,0.00,1.86,1.85,1.85,0.77,6400
1973-04-11,0.00,1.86,1.84,1.84,0.77,147200
1973-04-12,0.00,1.87,1.86,1.86,0.78,19200
1973-04-13,0.00,1.86,1.86,1.86,0.78,6400
1973-04-16,0.00,1.86,1.86,1.86,0.78,12800
1973-04-17,0.00,1.85,1.85,1.85,0.77,9600
