Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00,29.38,28.88,29.25,10.80,16000
1973-02-22,0.00,29.38,29.12,29.12,10.75,7100
1973-02-23,0.00,29.25,28.75,28.75,10.61,23000
1973-02-26,0.00,28.88,28.62,28.62,10.57,6500
1973-02-27,0.00,28.88,28.75,28.75,10.61,5800
1973-02-28,0.00,28.75,28.50,28.62,10.57,5100
1973-03-01,0.00,28.62,28.12,28.25,10.43,15400
1973-03-02,0.00,28.62,28.25,28.62,10.57,6400
1973-03-05,0.00,28.75,28.38,28.38,10.48,7200
1973-03-06,0.00,28.75,28.50,28.50,10.52,3800
1973-03-07,0.00,28.75,28.38,28.38,10.48,4300
1973-03-08,0.00,28.75,28.38,28.75,10.61,5000
1973-03-09,0.00,28.88,28.50,28.62,10.57,4800
1973-03-12,0.00,28.88,28.50,28.50,10.52,18700
1973-03-13,0.00,28.62,28.38,28.50,10.52,11800
1973-03-14,0.00,28.75,28.50,28.62,10.57,4000
1973-03-15,0.00,28.62,28.38,28.50,10.52,5700
1973-03-16,0.00,28.75,28.38,28.62,10.57,5300
1973-03-19,0.00,28.75,28.25,28.38,10.48,6300
1973-03-20,0.00,28.38,28.25,28.25,10.43,20100
1973-03-21,0.00,28.50,28.25,28.25,10.43,3500
1973-03-22,0.00,28.25,28.12,28.12,10.38,19100
1973-03-23,0.00,28.38,28.12,28.12,10.38,10800
1973-03-26,0.00,28.25,28.12,28.25,10.43,9100
1973-03-27,0.00,28.50,28.25,28.25,10.43,11400
1973-03-28,0.00,28.62,28.25,28.62,10.57,3500
1973-03-29,0.00,28.62,28.38,28.50,10.52,9700
1973-03-30,0.00,28.75,28.38,28.50,10.52,1300
1973-04-02,0.00,28.50,28.25,28.50,10.52,7800
1973-04-03,0.00,28.62,28.25,28.38,10.48,4300
1973-04-04,0.00,28.38,28.12,28.12,10.38,7800
1973-04-05,0.00,28.38,28.12,28.25,10.43,5500
1973-04-06,0.00,28.50,28.00,28.00,10.34,29300
1973-04-09,0.00,27.88,27.50,27.62,10.20,10300
1973-04-10,0.00,28.00,27.75,27.88,10.29,10100
1973-04-11,0.00,28.38,28.00,28.38,10.48,4300
1973-04-12,0.00,28.25,27.75,28.12,10.38,10700
1973-04-13,0.00,28.00,27.75,28.00,10.52,5800
1973-04-16,0.00,28.00,27.75,27.88,10.48,5400
1973-04-17,0.00,28.00,27.75,27.75,10.43,8500
1973-04-18,0.00,28.00,27.75,27.75,10.43,3200
1973-04-19,0.00,28.00,27.75,27.75,10.43,11000
1973-04-23,0.00,27.88,27.62,27.75,10.43,6300
1973-04-24,0.00,27.88,27.62,27.62,10.38,2700
1973-04-25,0.00,27.88,27.62,27.62,10.38,4500
1973-04-26,0.00,27.88,27.62,27.75,10.43,6300
1973-04-27,0.00,27.88,27.75,27.75,10.43,3400
1973-04-30,0.00,27.88,27.62,27.62,10.38,9800
1973-05-01,0.00,27.88,27.75,27.88,10.48,3600
1973-05-02,0.00,27.88,27.75,27.88,10.48,6500
1973-05-03,0.00,28.25,27.75,28.12,10.57,6100
1973-05-04,0.00,28.25,27.88,27.88,10.48,5100
1973-05-07,0.00,28.00,27.88,27.88,10.48,4600
1973-05-08,0.00,28.12,27.88,28.12,10.57,1700
1973-05-09,0.00,28.25,28.00,28.00,10.52,3200
1973-05-10,0.00,27.88,27.75,27.88,10.48,6600
1973-05-11,0.00,28.00,27.88,28.00,10.52,3300
1973-05-14,0.00,27.88,27.75,27.88,10.48,4100
1973-05-15,0.00,27.88,27.62,27.75,10.43,3900
1973-05-16,0.00,27.88,27.75,27.88,10.48,9200
1973-05-17,0.00,27.88,27.62,27.62,10.38,4200
1973-05-18,0.00,27.88,27.62,27.75,10.43,9900
1973-05-21,0.00,27.88,27.62,27.62,10.38,15100
1973-05-22,0.00,28.00,27.50,27.62,10.38,11500
1973-05-23,0.00,27.75,27.50,27.62,10.38,6700
1973-05-24,0.00,27.75,27.50,27.75,10.43,7500
1973-05-25,0.00,27.75,27.25,27.38,10.29,65600
1973-05-29,0.00,27.38,27.12,27.38,10.29,3600
1973-05-30,0.00,27.38,27.00,27.00,10.15,26900
1973-05-31,0.00,27.00,26.75,26.88,10.10,4700
1973-06-01,0.00,27.00,26.75,26.88,10.10,6900
1973-06-04,0.00,26.88,26.62,26.75,10.05,6700
1973-06-05,0.00,26.88,26.62,26.75,10.05,6800
1973-06-06,0.00,27.00,26.62,26.88,10.10,9200
1973-06-07,0.00,27.00,26.75,26.88,10.10,4600
1973-06-08,0.00,27.00,26.88,27.00,10.15,5000
1973-06-11,0.00,27.12,26.88,26.88,10.10,8300
1973-06-12,0.00,27.00,26.88,27.00,10.15,4200
1973-06-13,0.00,27.00,26.62,26.75,10.05,12400
1973-06-14,0.00,27.25,26.75,27.12,10.20,20200
1973-06-15,0.00,27.25,27.12,27.25,10.24,3800
1973-06-18,0.00,27.12,26.88,27.00,10.15,5700
