Date,Open,High,Low,Close,Adj Close,Volume
1994-11-16,5.33,5.38,5.33,5.33,4.01,8343900
1994-11-17,5.33,5.42,5.29,5.42,4.07,4872000
1994-11-18,5.46,5.54,5.42,5.50,4.13,1468800
1994-11-21,5.54,5.54,5.38,5.38,4.04,348600
1994-11-22,5.33,5.38,5.12,5.12,3.85,709800
1994-11-23,5.08,5.17,5.04,5.08,3.82,906600
1994-11-25,5.08,5.17,5.08,5.17,3.88,132600
1994-11-28,5.21,5.21,5.08,5.08,3.82,280500
1994-11-29,5.08,5.12,5.08,5.12,3.85,187500
1994-11-30,5.08,5.12,5.08,5.08,3.82,130800
1994-12-01,5.12,5.12,4.92,4.92,3.69,794400
1994-12-02,4.92,4.92,4.88,4.92,3.69,54600
1994-12-05,4.92,4.92,4.88,4.92,3.69,19800
1994-12-06,4.92,4.92,4.88,4.88,3.66,91200
1994-12-07,4.92,4.92,4.83,4.83,3.63,77700
1994-12-08,4.83,4.88,4.79,4.79,3.60,169200
1994-12-09,4.75,4.75,4.62,4.67,3.51,272100
1994-12-12,4.75,4.88,4.71,4.75,3.57,284400
1994-12-13,4.75,4.75,4.71,4.71,3.54,146100
1994-12-14,4.75,4.83,4.75,4.79,3.60,442200
1994-12-15,4.79,4.88,4.79,4.83,3.63,274200
1994-12-16,4.88,5.12,4.88,5.12,3.85,442500
1994-12-19,5.08,5.08,5.00,5.04,3.79,47400
1994-12-20,5.04,5.12,5.04,5.04,3.79,128400
1994-12-21,5.08,5.17,5.08,5.17,3.88,96600
1994-12-22,5.17,5.21,5.08,5.21,3.91,248400
1994-12-23,5.25,5.33,5.25,5.33,4.01,189600
1994-12-27,5.33,5.42,5.29,5.38,4.04,113700
1994-12-28,5.33,5.38,5.33,5.38,4.04,62100
1994-12-29,5.38,5.38,5.33,5.33,4.01,190800
1994-12-30,5.33,5.33,5.33,5.33,4.01,15900
1995-01-03,5.38,5.38,5.25,5.33,4.01,93300
1995-01-04,5.33,5.38,5.29,5.38,4.04,45300
1995-01-05,5.38,5.42,5.29,5.38,4.04,54300
1995-01-06,5.29,5.29,5.21,5.25,3.94,294000
1995-01-09,5.29,5.29,5.25,5.25,3.94,24000
1995-01-10,5.25,5.29,5.25,5.29,3.98,19200
1995-01-11,5.25,5.25,5.25,5.25,3.94,10800
1995-01-12,5.25,5.25,5.25,5.25,3.94,76200
1995-01-13,5.25,5.25,5.17,5.25,3.94,84600
1995-01-16,5.29,5.38,5.29,5.33,4.01,834300
1995-01-17,5.33,5.33,5.33,5.33,4.01,186300
1995-01-18,5.33,5.33,5.21,5.25,3.94,60900
1995-01-19,5.25,5.25,5.21,5.21,3.91,48600
1995-01-20,5.21,5.21,5.17,5.17,3.88,43500
1995-01-23,5.21,5.21,5.12,5.17,3.88,115200
1995-01-24,5.21,5.21,5.21,5.21,3.91,35100
1995-01-25,5.21,5.46,5.21,5.38,4.04,83100
1995-01-26,5.38,5.42,5.33,5.33,4.01,92100
1995-01-27,5.38,5.38,5.33,5.38,4.04,24300
1995-01-30,5.38,5.38,5.33,5.38,4.04,70800
1995-01-31,5.38,5.40,5.33,5.40,4.05,354000
1995-02-01,5.42,5.46,5.38,5.46,4.10,133200
1995-02-02,5.46,5.62,5.46,5.58,4.19,306600
1995-02-03,5.54,5.58,5.50,5.58,4.19,278700
1995-02-06,5.58,5.62,5.54,5.58,4.19,227100
1995-02-07,5.58,5.58,5.50,5.54,4.16,361500
1995-02-08,5.54,5.71,5.50,5.67,4.26,494400
1995-02-09,5.75,5.92,5.75,5.79,4.35,214200
1995-02-10,5.83,5.83,5.67,5.71,4.29,137400
1995-02-13,5.71,5.71,5.58,5.62,4.23,516300
1995-02-14,5.58,5.58,5.42,5.46,4.10,1084800
1995-02-15,5.46,5.71,5.46,5.71,4.29,870000
1995-02-16,5.71,5.71,5.62,5.67,4.26,347700
1995-02-17,5.67,5.67,5.62,5.67,4.26,154200
1995-02-21,5.67,5.71,5.62,5.71,4.29,644400
1995-02-22,5.71,5.83,5.71,5.79,4.35,874800
1995-02-23,5.83,5.88,5.79,5.79,4.35,1391700
1995-02-24,5.79,5.79,5.67,5.71,4.29,830700
1995-02-27,5.67,5.71,5.62,5.67,4.26,310500
1995-02-28,5.75,6.08,5.75,6.08,4.57,3169500
1995-03-01,6.12,6.50,6.08,6.46,4.85,3259200
1995-03-02,6.50,6.67,6.46,6.62,4.98,2352900
1995-03-03,6.62,6.62,6.46,6.46,4.85,1156800
1995-03-06,6.33,6.42,6.25,6.29,4.73,1407900
1995-03-07,6.25,6.33,6.25,6.33,4.76,1043100
1995-03-08,6.38,6.46,6.38,6.38,4.79,774300
1995-03-09,6.38,6.38,6.33,6.38,4.79,480000
1995-03-10,6.33,6.38,6.25,6.29,4.73,770400
1995-03-13,6.33,6.33,6.29,6.29,4.73,583200
1995-03-14,6.38,6.46,6.29,6.46,4.85,1176600
1995-03-15,6.46,6.54,6.42,6.46,4.85,1154700
1995-03-16,6.50,6.50,6.17,6.25,4.70,1067100
1995-03-17,6.17,6.33,6.17,6.21,4.66,1276500
1995-03-20,6.21,6.38,6.17,6.38,4.79,735000
1995-03-21,6.38,6.50,6.25,6.25,4.70,1121100
1995-03-22,6.29,6.33,6.21,6.33,4.76,452700
1995-03-23,6.29,6.29,6.21,6.25,4.70,672600
1995-03-24,6.21,6.38,6.21,6.25,4.70,1575600
1995-03-27,6.29,6.46,6.29,6.46,4.85,937500
1995-03-28,6.42,6.50,6.38,6.42,4.82,741300
1995-03-29,6.42,6.50,6.33,6.33,4.76,1026900
1995-03-30,6.38,6.38,6.29,6.38,4.79,700200
1995-03-31,6.46,6.46,6.29,6.38,4.79,720300
1995-04-03,6.38,6.38,6.29,6.38,4.79,462300
1995-04-04,6.38,6.42,6.29,6.29,4.73,529800
1995-04-05,6.21,6.38,6.21,6.21,4.66,1110900
1995-04-06,6.25,6.29,6.25,6.25,4.70,546000
1995-04-07,6.29,6.29,6.08,6.08,4.57,1371000
1995-04-10,6.12,6.38,6.12,6.38,4.79,1105500
1995-04-11,6.33,6.50,6.33,6.38,4.79,620700
1995-04-12,6.50,6.71,6.50,6.62,4.98,2507400
1995-04-13,6.62,6.83,6.62,6.79,5.10,1372200
1995-04-17,6.83,6.96,6.79,6.79,5.10,832800
1995-04-18,6.83,6.83,6.71,6.75,5.07,2180100
1995-04-19,6.75,6.88,6.46,6.58,4.95,2268000
1995-04-20,6.58,6.79,6.54,6.67,5.01,2178300
1995-04-21,6.67,6.67,6.58,6.58,4.95,675000
1995-04-24,6.58,6.62,6.50,6.62,4.98,459300
1995-04-25,6.58,6.67,6.58,6.58,4.95,781500
1995-04-26,6.62,6.71,6.54,6.67,5.01,1323300
1995-04-27,6.67,6.71,6.62,6.71,5.04,456000
1995-04-28,6.71,6.79,6.62,6.71,5.04,1125900
1995-05-01,6.71,6.71,6.42,6.50,4.88,719400
1995-05-02,6.54,6.71,6.54,6.71,5.04,987900
1995-05-03,6.71,6.92,6.71,6.88,5.16,1772700
1995-05-04,6.88,6.96,6.67,6.79,5.12,1530900
1995-05-05,6.75,6.92,6.75,6.88,5.18,762000
1995-05-08,6.83,6.96,6.83,6.96,5.25,460500
1995-05-09,7.00,7.17,7.00,7.17,5.40,986100
1995-05-10,7.29,7.29,7.04,7.21,5.44,856800
1995-05-11,7.25,7.25,7.08,7.17,5.40,659700
1995-05-12,7.17,7.25,7.17,7.17,5.40,769800
1995-05-15,7.17,7.21,6.96,7.08,5.34,266700
1995-05-16,7.12,7.33,7.12,7.33,5.53,1050900
1995-05-17,7.33,7.50,7.29,7.29,5.50,894900
1995-05-18,7.25,7.25,7.04,7.12,5.37,648000
1995-05-19,7.04,7.08,6.83,6.96,5.25,368100
1995-05-22,7.00,7.08,6.96,7.08,5.34,693900
1995-05-23,7.04,7.42,7.04,7.25,5.47,1245900
1995-05-24,7.25,7.29,7.17,7.25,5.47,943800
1995-05-25,7.25,7.25,7.08,7.12,5.37,497700
1995-05-26,7.17,7.17,7.12,7.17,5.40,390300
1995-05-30,7.17,7.21,6.96,7.00,5.28,384600
1995-05-31,6.96,7.00,6.83,7.00,5.28,1002600
1995-06-01,6.88,7.17,6.75,7.17,5.40,3034800
1995-06-02,7.08,7.38,7.00,7.33,5.53,2133900
1995-06-05,7.29,7.46,7.29,7.33,5.53,860100
1995-06-06,7.33,7.38,7.21,7.21,5.44,396000
1995-06-07,7.21,7.21,7.04,7.04,5.31,525000
1995-06-08,7.08,7.12,7.00,7.00,5.28,496800
1995-06-09,7.00,7.00,6.79,6.92,5.22,1050300
1995-06-12,6.88,6.96,6.88,6.88,5.18,498600
1995-06-13,6.96,7.17,6.92,7.08,5.34,620400
1995-06-14,7.17,7.17,7.04,7.04,5.31,522900
1995-06-15,7.17,7.25,7.04,7.12,5.37,807600
1995-06-16,7.12,7.25,7.04,7.25,5.47,1255500
1995-06-19,7.29,7.38,7.25,7.33,5.53,872100
1995-06-20,7.42,7.50,7.33,7.38,5.56,1350000
1995-06-21,7.42,7.46,7.29,7.33,5.53,1056900
1995-06-22,7.29,7.38,7.29,7.29,5.50,1039500
1995-06-23,7.33,7.38,7.25,7.33,5.53,268500
1995-06-26,7.25,7.29,7.04,7.17,5.40,534900
1995-06-27,7.25,7.25,6.71,6.75,5.09,1230300
1995-06-28,6.83,6.83,6.62,6.67,5.03,1972500
1995-06-29,6.67,6.88,6.62,6.75,5.09,1941300
1995-06-30,6.79,6.92,6.50,6.54,4.93,2285400
1995-07-03,6.50,6.62,6.50,6.58,4.96,416400
1995-07-05,6.54,6.71,6.50,6.71,5.06,1657200
1995-07-06,6.79,7.00,6.79,6.96,5.25,1308600
1995-07-07,7.04,7.12,6.96,7.08,5.34,766200
1995-07-10,7.17,7.46,7.12,7.46,5.62,1336200
1995-07-11,7.25,7.46,7.21,7.46,5.62,1636800
1995-07-12,7.58,7.83,7.54,7.58,5.72,1351200
1995-07-13,7.54,7.54,7.25,7.42,5.59,1132500
1995-07-14,7.38,7.38,7.04,7.12,5.37,963000
1995-07-17,7.12,7.29,7.08,7.21,5.44,633000
1995-07-18,7.17,7.42,7.17,7.21,5.44,1637400
1995-07-19,7.33,7.50,7.17,7.25,5.47,1749900
1995-07-20,7.33,7.58,7.33,7.50,5.66,1734000
1995-07-21,7.46,7.54,7.46,7.54,5.69,2566800
1995-07-24,7.58,7.62,7.50,7.58,5.72,581400
1995-07-25,7.58,7.75,7.54,7.75,5.84,1042800
1995-07-26,7.75,7.75,7.62,7.71,5.81,903900
1995-07-27,7.71,7.88,7.71,7.88,5.94,561600
1995-07-28,7.88,8.04,7.88,8.00,6.03,916800
1995-07-31,7.92,7.96,7.88,7.92,5.97,329700
1995-08-01,7.92,7.96,7.88,7.92,5.97,299100
