Date,Open,High,Low,Close,Adj Close,Volume
2018-01-19,17.50,18.00,17.05,17.77,16.01,18176900
2018-01-22,17.89,18.00,17.56,17.79,16.03,2261600
2018-01-23,17.95,17.95,17.41,17.64,15.89,2391200
2018-01-24,17.83,17.83,17.54,17.63,15.88,1419900
2018-01-25,17.60,18.05,17.31,17.75,15.99,3198700
2018-01-26,17.81,17.89,17.65,17.75,15.99,562100
2018-01-29,17.61,17.99,17.58,17.95,16.17,947300
2018-01-30,17.92,17.97,17.59,17.91,16.14,925600
2018-01-31,17.91,18.35,17.83,18.28,16.47,1161100
2018-02-01,18.27,18.41,18.12,18.27,16.46,974300
2018-02-02,18.23,18.29,17.85,18.18,16.38,1226100
2018-02-05,18.12,18.29,17.80,17.94,16.16,613400
2018-02-06,17.84,17.99,17.25,17.80,16.04,1929500
2018-02-07,17.74,18.10,17.65,18.02,16.23,510500
2018-02-08,17.94,18.02,17.66,17.68,15.93,484600
2018-02-09,17.71,17.95,16.13,17.79,16.03,1018700
2018-02-12,17.57,17.93,17.35,17.53,15.79,559500
2018-02-13,17.65,18.09,17.61,17.96,16.18,334500
2018-02-14,17.94,18.01,17.70,17.98,16.20,391900
2018-02-15,18.00,18.08,17.89,17.92,16.14,393900
2018-02-16,17.93,18.07,17.83,17.98,16.20,341800
2018-02-20,18.00,18.03,17.90,17.97,16.19,390900
2018-02-21,18.00,18.02,17.78,17.90,16.13,641400
2018-02-22,17.85,17.95,17.66,17.85,16.08,564400
2018-02-23,17.81,18.25,17.80,18.22,16.41,747700
2018-02-26,18.27,18.37,18.08,18.09,16.30,330900
2018-02-27,18.17,18.25,17.92,18.00,16.22,718600
2018-02-28,18.00,18.06,17.90,18.00,16.22,720200
2018-03-01,18.00,18.26,17.86,17.91,16.14,733100
2018-03-02,17.82,18.10,17.18,17.90,16.13,563600
2018-03-05,17.91,17.95,17.70,17.76,16.00,377400
2018-03-06,17.80,18.15,17.75,17.77,16.01,266700
2018-03-07,17.78,17.93,17.72,17.74,15.98,257700
2018-03-08,17.88,18.00,17.78,17.86,16.09,249600
2018-03-09,17.95,18.05,17.81,17.97,16.19,471500
2018-03-12,18.33,18.34,17.93,18.13,16.33,364900
2018-03-13,18.05,18.21,17.75,17.91,16.14,256100
2018-03-14,17.90,18.06,17.77,17.94,16.16,456300
2018-03-15,17.98,18.42,17.98,18.33,16.51,493300
2018-03-16,18.32,18.67,18.11,18.67,16.82,7694500
2018-03-19,18.67,18.79,18.48,18.70,16.85,740800
2018-03-20,18.78,18.78,18.46,18.72,16.86,451200
2018-03-21,18.60,19.13,18.55,18.88,17.01,970600
2018-03-22,18.76,18.95,18.73,18.85,16.98,368300
2018-03-23,18.83,18.95,18.57,18.66,16.81,563700
2018-03-26,18.84,18.90,18.52,18.65,16.80,885900
2018-03-27,18.75,18.80,18.45,18.47,16.64,259200
2018-03-28,18.38,18.70,18.30,18.63,16.91,759300
2018-03-29,18.55,19.28,18.55,19.08,17.32,726000
2018-04-02,19.00,19.22,18.57,18.58,16.87,529200
2018-04-03,18.79,18.79,18.53,18.65,16.93,569800
2018-04-04,18.50,18.97,18.44,18.82,17.08,552900
2018-04-05,18.80,18.88,18.65,18.84,17.10,555200
2018-04-06,18.76,18.94,18.69,18.83,17.09,195500
2018-04-09,18.97,19.26,18.71,19.06,17.30,651000
2018-04-10,19.19,19.21,19.01,19.10,17.34,529200
2018-04-11,19.06,19.56,19.00,19.46,17.67,716300
2018-04-12,19.54,19.63,19.29,19.29,17.51,578700
2018-04-13,19.40,19.40,19.02,19.02,17.27,301600
2018-04-16,19.06,19.37,18.91,19.36,17.57,252200
2018-04-17,19.37,19.66,19.36,19.48,17.68,298400
2018-04-18,19.53,19.83,19.24,19.72,17.90,266400
2018-04-19,19.61,19.77,19.50,19.72,17.90,441200
2018-04-20,19.73,20.07,19.72,19.85,18.02,469100
2018-04-23,19.86,20.11,19.85,19.98,18.14,566600
2018-04-24,20.05,20.11,19.94,20.08,18.23,575200
2018-04-25,20.17,20.26,19.97,20.20,18.34,191000
2018-04-26,20.35,20.50,20.23,20.33,18.46,256200
2018-04-27,20.34,21.05,20.34,20.82,18.90,350400
