Date,Open,High,Low,Close,Adj Close,Volume
2013-01-18,21.00,22.10,20.66,21.20,15.87,12735700
2013-01-22,21.00,22.15,20.53,22.12,16.56,1707500
2013-01-23,21.80,22.60,21.76,22.60,16.92,1122600
2013-01-24,22.90,22.99,21.63,22.01,16.48,470900
2013-01-25,22.04,22.50,21.75,21.86,16.36,344700
2013-01-28,22.16,22.16,21.27,21.50,16.09,538800
2013-01-29,21.30,21.69,21.05,21.40,16.02,577200
2013-01-30,21.61,21.99,20.89,21.08,15.78,224200
2013-01-31,20.74,21.83,20.60,21.17,15.85,524100
2013-02-01,21.12,21.85,21.12,21.69,16.24,490300
2013-02-04,21.55,21.87,21.15,21.82,16.33,217300
2013-02-05,21.79,22.59,21.54,22.24,16.65,333800
2013-02-06,22.05,22.50,22.05,22.50,16.84,276700
2013-02-07,22.52,22.52,22.04,22.19,16.61,182100
2013-02-08,22.30,22.74,22.30,22.60,16.92,175500
2013-02-11,22.75,23.00,22.55,22.67,16.97,118400
2013-02-12,22.58,22.60,21.50,21.71,16.25,344200
2013-02-13,21.85,22.12,21.35,21.58,16.15,450900
2013-02-14,21.78,22.49,21.50,22.11,16.55,308200
2013-02-15,21.97,22.77,21.88,22.39,16.76,1043300
2013-02-19,22.35,22.43,21.95,22.29,16.69,856600
2013-02-20,22.17,22.17,21.85,22.01,16.48,582600
2013-02-21,21.90,22.27,21.70,21.77,16.30,526300
2013-02-22,21.80,22.27,21.80,21.93,16.42,155800
2013-02-25,21.96,22.09,21.70,21.83,16.34,336700
2013-02-26,21.84,21.86,21.03,21.73,16.27,303600
2013-02-27,21.59,22.50,20.82,21.19,15.86,1042000
2013-02-28,21.08,21.58,21.03,21.31,15.95,493200
2013-03-01,21.22,22.02,21.05,21.56,16.14,497400
2013-03-04,21.56,22.19,21.43,22.11,16.55,172700
2013-03-05,22.04,23.71,22.04,23.03,17.24,336600
2013-03-06,23.00,23.24,22.85,23.00,17.22,306900
2013-03-07,23.00,23.03,22.17,22.78,17.05,220500
2013-03-08,22.89,23.01,22.48,22.62,16.93,137700
2013-03-11,22.52,22.55,21.86,22.30,16.69,136800
2013-03-12,22.23,22.31,22.00,22.15,16.58,82800
2013-03-13,22.35,22.44,21.87,21.94,16.42,351400
2013-03-14,22.00,22.19,21.76,21.85,16.36,191300
2013-03-15,21.75,21.78,21.45,21.49,16.09,295500
2013-03-18,21.45,21.79,21.31,21.74,16.27,289600
2013-03-19,21.74,21.97,21.53,21.84,16.35,144800
2013-03-20,21.90,22.40,21.73,22.07,16.52,517100
2013-03-21,21.90,22.43,21.87,22.12,16.56,345700
2013-03-22,22.40,23.21,22.13,22.96,17.19,345600
2013-03-25,22.96,23.09,22.71,22.88,17.13,181900
2013-03-26,22.75,23.05,22.47,22.87,17.24,203600
2013-03-27,22.64,23.00,22.43,22.50,16.96,216500
2013-03-28,22.59,22.92,22.30,22.84,17.22,2745200
2013-04-01,22.93,23.33,22.66,23.17,17.47,439800
2013-04-02,23.38,24.49,23.15,23.63,17.81,335300
2013-04-03,23.61,23.69,23.22,23.30,17.56,98300
2013-04-04,23.48,23.59,23.32,23.50,17.71,150400
2013-04-05,23.28,24.04,23.07,23.66,17.84,236100
2013-04-08,23.81,23.81,23.35,23.42,17.65,149800
2013-04-09,23.43,23.62,23.34,23.39,17.63,68800
2013-04-10,23.39,23.95,23.26,23.73,17.89,158700
2013-04-11,23.78,24.10,23.52,23.71,17.87,84400
2013-04-12,23.61,24.10,23.61,23.93,18.04,84800
2013-04-15,23.93,24.20,23.10,23.31,17.57,149200
2013-04-16,23.37,24.13,23.37,23.88,18.00,301900
2013-04-17,23.83,24.00,23.20,23.58,17.78,76600
2013-04-18,23.80,24.15,23.73,23.98,18.08,209300
2013-04-19,24.01,24.13,23.70,23.93,18.04,149300
2013-04-22,24.13,24.13,23.37,23.95,18.05,166400
2013-04-23,24.05,24.19,23.53,24.08,18.15,145100
2013-04-24,24.00,24.31,23.76,24.05,18.13,118000
2013-04-25,24.10,24.29,23.54,23.65,17.83,108000
2013-04-26,23.69,23.92,23.30,23.85,17.98,93400
2013-04-29,24.06,24.84,24.06,24.23,18.27,248200
2013-04-30,24.27,24.41,23.74,23.99,18.08,312200
2013-05-01,23.89,23.98,23.67,23.69,17.86,185600
2013-05-02,23.87,24.36,23.68,24.10,18.17,172000
2013-05-03,24.40,24.40,24.00,24.10,18.17,256100
2013-05-06,24.20,24.23,23.76,23.82,17.96,154100
2013-05-07,23.90,24.01,23.60,23.71,17.87,208200
2013-05-08,23.71,23.79,23.40,23.65,17.83,226200
2013-05-09,23.64,23.91,22.25,22.74,17.14,575200
2013-05-10,22.74,23.05,22.52,22.66,17.08,384900
2013-05-13,22.69,23.04,22.41,22.65,17.07,269300
2013-05-14,22.65,22.74,22.00,22.39,16.88,334900
2013-05-15,23.00,23.00,22.09,22.50,16.96,391600
2013-05-16,22.84,22.84,22.28,22.41,16.89,373200
2013-05-17,22.40,22.52,21.91,22.23,16.76,462400
2013-05-20,22.45,22.47,21.96,22.06,16.63,348100
2013-05-21,22.00,22.19,21.76,21.93,16.53,297500
2013-05-22,21.91,22.13,21.29,21.43,16.15,280900
2013-05-23,21.32,21.93,21.05,21.86,16.48,263700
2013-05-24,21.69,22.03,21.69,21.90,16.51,167900
2013-05-28,22.61,22.71,22.03,22.11,16.67,857300
2013-05-29,22.09,22.44,21.55,21.87,16.49,297200
2013-05-30,21.88,22.13,21.51,21.94,16.54,112800
2013-05-31,21.75,22.01,21.49,21.68,16.34,304700
2013-06-03,21.83,21.99,21.10,21.27,16.03,221000
2013-06-04,21.25,21.25,20.32,20.78,15.66,578900
2013-06-05,20.78,21.39,20.75,21.20,15.98,460500
2013-06-06,21.54,21.54,20.80,21.36,16.10,191900
2013-06-07,21.50,21.76,21.25,21.29,16.05,142400
2013-06-10,21.72,21.95,21.46,21.73,16.38,282100
2013-06-11,21.54,21.74,21.33,21.58,16.27,130100
2013-06-12,21.80,21.93,21.09,21.10,15.91,179500
2013-06-13,21.15,21.66,20.90,21.66,16.33,163400
2013-06-14,21.69,21.73,21.26,21.30,16.06,88700
2013-06-17,21.48,21.53,21.02,21.10,15.91,105700
2013-06-18,21.20,21.40,21.07,21.10,15.91,111900
2013-06-19,21.16,21.34,20.77,20.86,15.72,95200
2013-06-20,20.64,20.64,19.44,19.44,14.65,371300
2013-06-21,19.48,19.55,19.01,19.40,14.62,316000
2013-06-24,19.16,19.51,19.05,19.20,14.47,249000
2013-06-25,19.37,19.37,19.01,19.15,14.44,199100
2013-06-26,19.20,19.24,18.90,18.98,14.43,563800
2013-06-27,19.01,19.81,18.98,19.71,14.98,467900
2013-06-28,19.72,21.10,19.52,20.74,15.77,767700
2013-07-01,20.85,21.04,20.51,20.85,15.85,246200
2013-07-02,20.77,20.85,20.64,20.79,15.80,152600
2013-07-03,20.67,20.85,20.57,20.81,15.82,56500
2013-07-05,21.07,21.20,20.57,20.84,15.84,168200
2013-07-08,20.94,21.12,20.56,20.89,15.88,192300
2013-07-09,21.32,21.32,20.91,21.20,16.12,571900
2013-07-10,21.29,21.69,21.15,21.61,16.43,318700
2013-07-11,21.94,22.07,21.61,22.05,16.76,147600
2013-07-12,22.09,22.22,21.85,21.93,16.67,112900
2013-07-15,21.74,22.03,21.62,21.91,16.66,176900
2013-07-16,21.96,21.96,21.66,21.72,16.51,111300
2013-07-17,21.90,22.10,21.60,21.72,16.51,280600
2013-07-18,21.81,21.88,21.50,21.72,16.51,113200
2013-07-19,21.66,21.88,21.47,21.64,16.45,119000
2013-07-22,21.68,21.86,21.39,21.47,16.32,123100
2013-07-23,21.45,21.71,21.21,21.30,16.19,230800
2013-07-24,21.44,21.89,21.05,21.15,16.08,116900
2013-07-25,21.18,21.45,20.34,21.01,15.97,320400
2013-07-26,20.84,20.98,20.70,20.76,15.78,408100
2013-07-29,20.80,20.80,20.39,20.61,15.67,65200
2013-07-30,20.72,20.72,20.47,20.54,15.61,238200
2013-07-31,20.58,20.84,20.15,20.35,15.47,210600
2013-08-01,20.49,21.11,20.25,20.63,15.68,99200
2013-08-02,20.58,20.72,20.00,20.32,15.45,72000
2013-08-05,20.33,20.55,20.05,20.32,15.45,50300
2013-08-06,20.34,20.67,20.34,20.51,15.59,96100
2013-08-07,20.81,20.81,19.87,20.00,15.20,160700
2013-08-08,20.15,20.32,19.24,19.51,14.83,473400
2013-08-09,19.51,19.74,19.22,19.66,14.95,176800
2013-08-12,19.68,19.72,19.31,19.43,14.77,128500
2013-08-13,19.40,19.49,18.97,19.27,14.65,130500
2013-08-14,19.28,19.28,18.82,18.89,14.36,233600
2013-08-15,18.99,19.24,18.35,18.39,13.98,169500
2013-08-16,18.28,18.56,18.00,18.16,13.80,339100
2013-08-19,18.04,18.35,17.97,17.98,13.67,138200
2013-08-20,18.06,18.61,17.93,18.48,14.05,254100
2013-08-21,18.48,18.79,18.25,18.75,14.25,162000
2013-08-22,18.55,19.15,18.55,18.92,14.38,134900
2013-08-23,18.92,19.04,18.73,18.94,14.40,65800
2013-08-26,18.99,19.27,18.97,19.12,14.53,83400
2013-08-27,19.00,19.15,18.76,19.09,14.51,134000
2013-08-28,19.12,19.18,18.90,19.05,14.48,90900
2013-08-29,19.06,19.34,19.01,19.25,14.63,126100
2013-08-30,19.26,19.44,19.05,19.06,14.49,169700
2013-09-03,19.20,19.38,19.06,19.27,14.65,78500
2013-09-04,19.31,19.34,18.99,19.26,14.64,148500
2013-09-05,19.35,19.61,19.19,19.47,14.80,264700
2013-09-06,19.63,19.67,19.23,19.26,14.64,103200
2013-09-09,19.38,19.60,19.15,19.48,14.81,75300
2013-09-10,19.55,19.55,19.05,19.10,14.52,91100
2013-09-11,19.10,19.29,18.87,19.23,14.62,130600
2013-09-12,19.55,19.74,19.13,19.53,14.85,162500
2013-09-13,19.62,19.62,19.08,19.36,14.72,67800
2013-09-16,19.57,19.65,19.37,19.43,14.77,64400
2013-09-17,19.45,19.60,19.40,19.45,14.79,56000
2013-09-18,19.36,19.71,18.77,19.65,14.94,319700
2013-09-19,19.64,19.96,19.64,19.77,15.03,69800
2013-09-20,19.77,19.89,19.48,19.50,14.82,349000
2013-09-23,19.54,19.73,18.84,19.48,14.81,70700
2013-09-24,19.50,19.59,19.25,19.44,14.78,133700
2013-09-25,19.24,19.47,19.22,19.28,14.78,88300
2013-09-26,19.40,19.41,18.90,19.04,14.59,223000
2013-09-27,18.96,19.05,18.64,18.89,14.48,106500
2013-09-30,19.00,19.03,18.36,19.00,14.56,107400
2013-10-01,19.00,19.10,18.56,18.87,14.46,256800
2013-10-02,18.80,19.06,18.63,18.93,14.51,48800
2013-10-03,18.83,19.06,18.49,18.55,14.22,353300
2013-10-04,18.51,18.95,18.44,18.52,14.20,142700
2013-10-07,18.43,18.77,18.37,18.38,14.09,77200
2013-10-08,18.64,18.96,18.06,18.06,13.84,130500
2013-10-09,18.10,18.40,17.41,18.14,13.90,365300
2013-10-10,18.29,18.73,18.27,18.48,14.16,152900
2013-10-11,18.50,19.00,18.49,18.74,14.36,169400
2013-10-14,18.63,18.89,18.55,18.62,14.27,140100
2013-10-15,18.63,18.85,18.56,18.59,14.25,123800
2013-10-16,19.47,19.98,18.50,18.56,14.23,594300
2013-10-17,18.56,19.87,18.20,19.78,15.16,449700
2013-10-18,19.96,20.20,19.55,20.15,15.44,360600
2013-10-21,20.21,21.00,19.96,20.73,15.89,321100
2013-10-22,20.78,21.01,20.73,21.01,16.10,275600
2013-10-23,20.99,21.41,20.73,20.98,16.08,232600
2013-10-24,21.67,21.67,20.35,20.50,15.71,230200
2013-10-25,20.56,20.86,20.44,20.67,15.84,108000
2013-10-28,20.65,20.68,20.43,20.67,15.84,77400
2013-10-29,20.69,21.01,20.51,20.58,15.77,175000
2013-10-30,20.55,20.64,19.61,19.99,15.32,236400
2013-10-31,20.06,20.15,19.48,19.49,14.94,248500
2013-11-01,19.45,20.12,19.31,19.77,15.15,209800
2013-11-04,19.88,19.96,18.90,19.27,14.77,267200
2013-11-05,19.12,19.57,18.86,19.02,14.58,380700
2013-11-06,19.18,19.18,18.03,18.15,13.91,357500
2013-11-07,18.67,20.06,18.60,19.46,14.92,828800
2013-11-08,19.56,20.53,19.35,19.65,15.06,398100
2013-11-11,19.68,19.92,19.35,19.54,14.98,277300
2013-11-12,19.56,19.99,19.31,19.45,14.91,274700
2013-11-13,19.39,20.51,19.39,20.38,15.62,206300
2013-11-14,20.32,21.32,20.01,21.15,16.21,181900
2013-11-15,21.11,21.52,20.40,20.92,16.03,165700
2013-11-18,20.87,21.65,20.82,21.43,16.43,173500
2013-11-19,21.40,21.68,20.70,21.20,16.25,227300
2013-11-20,21.29,21.81,20.58,21.36,16.37,138300
2013-11-21,21.39,21.61,21.04,21.38,16.39,136400
2013-11-22,21.40,21.55,20.82,20.91,16.03,134000
2013-11-25,20.91,21.49,20.42,20.70,15.87,204400
2013-11-26,20.67,21.00,19.98,20.11,15.41,1905300
2013-11-27,20.09,20.64,19.81,20.40,15.64,240400
2013-11-29,20.50,20.67,20.10,20.43,15.66,68200
2013-12-02,20.44,20.83,20.30,20.68,15.85,235300
2013-12-03,20.60,20.75,20.49,20.58,15.77,120800
2013-12-04,20.48,20.56,20.20,20.42,15.65,137700
2013-12-05,20.49,20.90,20.29,20.74,15.90,102300
2013-12-06,20.96,21.18,20.69,20.84,15.97,86600
2013-12-09,20.96,21.17,19.66,20.76,15.91,106200
2013-12-10,20.81,21.10,20.59,20.76,15.91,183700
2013-12-11,20.73,21.24,20.45,20.67,15.84,255600
2013-12-12,20.62,20.76,20.51,20.62,15.80,464200
2013-12-13,20.66,21.08,20.35,21.00,16.10,164900
2013-12-16,21.01,21.39,20.97,21.33,16.35,242600
2013-12-17,21.29,22.09,21.17,21.89,16.78,178600
2013-12-18,21.82,21.89,21.45,21.83,16.73,203500
2013-12-19,21.76,21.91,21.55,21.65,16.59,104900
2013-12-20,21.65,22.29,21.47,22.22,17.03,248800
2013-12-23,22.24,22.77,22.13,22.26,17.06,119800
2013-12-24,22.14,22.33,22.09,22.26,17.19,55400
2013-12-26,22.25,22.94,22.21,22.41,17.30,142700
2013-12-27,22.37,22.50,21.78,22.25,17.18,134100
2013-12-30,22.19,22.38,21.82,22.30,17.22,105600
2013-12-31,22.20,22.47,21.90,22.33,17.24,129500
2014-01-02,22.49,22.49,21.42,21.85,16.87,303400
2014-01-03,21.85,22.06,21.57,21.89,16.90,143900
2014-01-06,22.00,22.38,21.67,21.85,16.87,197100
2014-01-07,21.85,22.15,21.64,22.00,16.98,238200
2014-01-08,22.05,22.20,21.76,21.95,16.95,200900
2014-01-09,22.04,22.04,21.47,21.70,16.75,147200
2014-01-10,21.76,21.98,21.35,21.67,16.73,85600
2014-01-13,21.67,21.67,21.19,21.47,16.58,204400
2014-01-14,21.58,21.70,21.47,21.60,16.68,131400
2014-01-15,21.67,21.89,21.47,21.80,16.83,247400
2014-01-16,21.84,22.14,21.68,21.91,16.92,172200
2014-01-17,21.95,21.96,21.56,21.80,16.83,285600
2014-01-21,21.93,22.17,21.86,22.00,16.98,149600
2014-01-22,22.09,22.16,21.80,22.08,17.05,151900
2014-01-23,22.01,22.35,21.95,22.16,17.11,122400
2014-01-24,22.05,22.25,21.94,21.97,16.96,162500
2014-01-27,22.12,22.47,21.83,21.86,16.88,174900
2014-01-28,21.93,22.12,21.61,21.96,16.95,119500
2014-01-29,21.93,21.99,21.21,21.48,16.58,340900
2014-01-30,21.72,21.98,21.27,21.50,16.60,103300
2014-01-31,21.28,21.72,20.97,21.61,16.68,139300
2014-02-03,21.66,21.81,20.88,21.10,16.29,160200
2014-02-04,21.23,21.45,20.84,21.07,16.27,186000
2014-02-05,21.07,21.12,20.57,20.87,16.11,151400
2014-02-06,20.99,21.01,20.21,20.44,15.78,179000
2014-02-07,20.68,21.05,20.33,20.65,15.94,169000
2014-02-10,20.71,20.90,20.25,20.83,16.08,115900
2014-02-11,20.94,21.35,20.87,21.15,16.33,172600
2014-02-12,21.21,21.33,20.63,20.96,16.18,108800
2014-02-13,20.93,21.35,20.82,21.28,16.43,81200
2014-02-14,21.34,21.34,20.86,21.08,16.27,58100
2014-02-18,21.18,21.35,21.18,21.28,16.43,76100
2014-02-19,21.32,21.90,21.10,21.85,16.87,190900
2014-02-20,22.10,23.00,21.78,22.02,17.00,240900
2014-02-21,22.17,22.80,21.86,21.88,16.89,245100
2014-02-24,22.20,22.67,21.35,21.73,16.78,412000
2014-02-25,21.82,22.37,21.56,21.80,16.83,208700
2014-02-26,21.75,22.12,21.55,21.58,16.66,179800
2014-02-27,21.60,21.63,21.33,21.43,16.54,180200
2014-02-28,21.53,22.35,21.53,22.22,17.15,497400
2014-03-03,21.90,22.48,21.69,22.42,17.31,155900
2014-03-04,22.60,22.98,22.58,22.67,17.50,233300
2014-03-05,22.58,23.14,22.58,22.99,17.75,220100
2014-03-06,23.08,23.35,22.87,23.08,17.82,158300
2014-03-07,23.26,23.44,22.60,22.70,17.53,130600
2014-03-10,22.73,22.94,22.45,22.67,17.50,195200
2014-03-11,22.69,22.82,22.51,22.61,17.46,118200
2014-03-12,22.58,22.80,22.44,22.70,17.53,121200
2014-03-13,22.78,22.95,22.53,22.63,17.47,216000
2014-03-14,22.67,23.14,22.06,22.20,17.14,122300
2014-03-17,22.28,22.55,22.27,22.45,17.33,212300
2014-03-18,22.52,22.52,22.29,22.37,17.27,136300
2014-03-19,22.41,22.42,21.84,21.92,16.92,101900
2014-03-20,21.97,21.99,21.65,21.86,16.88,111200
2014-03-21,22.02,22.15,21.60,21.76,16.80,295600
2014-03-24,21.80,21.80,21.51,21.68,16.74,108800
2014-03-25,21.69,22.06,21.46,21.70,16.75,122000
2014-03-26,21.63,21.75,21.24,21.32,16.62,140000
2014-03-27,21.40,21.51,20.70,21.03,16.39,257600
2014-03-28,21.10,21.29,20.48,20.65,16.10,199500
2014-03-31,20.80,21.04,20.38,20.83,16.24,279800
2014-04-01,20.91,21.90,20.85,21.85,17.03,319200
2014-04-02,21.77,22.09,21.66,21.83,17.02,140400
2014-04-03,21.94,22.32,21.60,22.20,17.31,575000
2014-04-04,22.65,22.67,22.18,22.25,17.35,356900
2014-04-07,22.23,22.44,21.53,21.56,16.81,193000
2014-04-08,21.63,21.79,21.10,21.57,16.82,174000
2014-04-09,21.67,21.88,21.44,21.77,16.97,96300
2014-04-10,21.83,21.99,20.95,20.98,16.36,146000
2014-04-11,20.81,20.85,20.41,20.51,15.99,161300
2014-04-14,20.64,20.64,20.07,20.20,15.75,224100
2014-04-15,20.21,20.21,19.61,19.84,15.47,174800
2014-04-16,19.95,20.15,19.70,20.00,15.59,262800
2014-04-17,19.90,20.14,19.52,20.04,15.62,324100
2014-04-21,20.09,20.65,19.82,20.37,15.88,423400
2014-04-22,20.43,20.60,20.06,20.52,16.00,360000
2014-04-23,20.44,20.58,20.11,20.22,15.76,168600
2014-04-24,20.38,20.38,19.93,20.07,15.65,234900
2014-04-25,19.94,20.21,19.59,19.90,15.51,235400
2014-04-28,20.04,20.45,19.88,20.00,15.59,140100
2014-04-29,20.12,20.38,19.79,19.97,15.57,183200
2014-04-30,19.99,20.05,19.82,20.00,15.59,160900
2014-05-01,20.03,20.03,19.55,20.00,15.59,146700
2014-05-02,20.12,20.19,19.94,20.10,15.67,116200
2014-05-05,20.02,20.27,19.78,20.06,15.64,92000
2014-05-06,20.03,20.25,19.83,19.90,15.51,146300
2014-05-07,20.02,20.14,19.74,20.06,15.64,173600
2014-05-08,20.90,21.79,20.31,21.00,16.37,277700
2014-05-09,21.06,21.60,20.84,21.58,16.82,113800
2014-05-12,21.72,22.10,21.58,21.83,17.02,130100
2014-05-13,21.85,22.15,21.74,21.93,17.10,157300
2014-05-14,21.84,22.11,21.65,21.89,17.06,104200
2014-05-15,21.80,22.14,21.41,21.86,17.04,167300
2014-05-16,21.81,22.22,21.53,22.08,17.21,239700
2014-05-19,22.01,22.38,21.86,21.95,17.11,106100
2014-05-20,22.23,22.50,21.64,21.76,16.96,126700
2014-05-21,21.80,22.10,21.61,21.95,17.11,133000
2014-05-22,21.94,22.23,21.82,21.85,17.03,177500
2014-05-23,21.94,22.68,21.70,21.90,17.07,188000
2014-05-27,22.01,22.89,21.86,22.70,17.70,320500
2014-05-28,22.60,22.97,22.43,22.77,17.75,244600
2014-05-29,22.74,22.87,22.38,22.80,17.77,200500
2014-05-30,22.69,23.00,22.55,22.88,17.84,171500
2014-06-02,22.90,23.01,22.67,22.95,17.89,206000
2014-06-03,22.81,23.00,22.59,22.73,17.72,92000
2014-06-04,22.67,22.89,22.48,22.65,17.66,54700
2014-06-05,22.69,23.14,22.48,23.02,17.95,117700
2014-06-06,23.17,23.18,22.79,22.95,17.89,137800
2014-06-09,22.98,23.04,22.55,22.77,17.75,84900
2014-06-10,22.74,22.90,22.56,22.75,17.74,69500
2014-06-11,22.91,22.96,22.63,22.73,17.72,128800
2014-06-12,22.70,22.86,22.56,22.69,17.69,143900
2014-06-13,22.80,22.91,22.41,22.51,17.55,83600
2014-06-16,22.79,23.03,22.79,22.87,17.83,244800
2014-06-17,22.88,23.22,22.36,23.07,17.98,249800
2014-06-18,22.82,23.77,21.98,23.44,18.27,869400
2014-06-19,23.39,23.98,23.17,23.50,18.32,423100
2014-06-20,23.83,24.35,23.75,24.10,18.79,6369000
2014-06-23,24.18,24.88,23.86,24.65,19.22,842700
2014-06-24,24.50,24.96,24.10,24.66,19.22,927000
2014-06-25,24.20,24.69,24.07,24.54,19.30,696100
2014-06-26,24.43,24.89,24.08,24.82,19.52,429900
2014-06-27,24.79,24.90,24.48,24.75,19.46,778000
2014-06-30,24.63,25.00,24.35,24.90,19.58,459900
2014-07-01,24.90,25.47,24.72,25.27,19.87,945900
2014-07-02,25.14,25.24,24.74,24.92,19.59,436000
2014-07-03,24.89,25.10,24.67,24.91,19.59,210300
2014-07-07,24.90,25.11,24.40,24.48,19.25,271200
2014-07-08,24.56,24.82,24.24,24.53,19.29,480000
2014-07-09,24.53,24.59,24.11,24.43,19.21,495400
2014-07-10,24.14,24.96,24.00,24.78,19.48,838100
2014-07-11,24.88,24.93,24.31,24.79,19.49,287200
2014-07-14,24.90,25.13,24.88,25.02,19.67,393800
2014-07-15,25.00,25.44,24.52,25.39,19.96,536900
2014-07-16,25.44,25.66,25.18,25.54,20.08,477100
2014-07-17,25.37,25.87,25.27,25.35,19.93,406600
2014-07-18,25.35,25.83,25.16,25.73,20.23,309700
2014-07-21,25.62,25.89,25.42,25.80,20.29,387400
2014-07-22,26.00,26.33,25.63,26.19,20.59,553600
2014-07-23,26.20,26.52,26.19,26.47,20.81,531600
2014-07-24,26.36,26.58,26.22,26.37,20.73,319000
2014-07-25,26.18,26.46,25.98,26.16,20.57,511300
2014-07-28,26.15,26.17,25.87,26.02,20.46,288800
2014-07-29,26.12,26.34,25.71,25.83,20.31,453400
2014-07-30,26.00,26.07,25.44,25.77,20.26,505700
2014-07-31,25.62,25.74,24.77,24.85,19.54,2246000
2014-08-01,24.87,25.45,24.50,24.72,19.44,675100
2014-08-04,24.75,24.92,24.50,24.78,19.48,317700
2014-08-05,24.79,25.37,24.48,25.29,19.88,475000
2014-08-06,24.00,25.86,23.64,25.67,20.18,683300
2014-08-07,25.68,25.70,24.53,25.03,19.68,617600
2014-08-08,25.01,25.54,24.76,25.19,19.81,204700
2014-08-11,25.27,25.57,25.16,25.31,19.90,191100
2014-08-12,25.26,25.54,25.07,25.33,19.92,235500
2014-08-13,25.37,25.60,25.18,25.47,20.03,270500
2014-08-14,25.58,26.00,25.55,25.97,20.42,200300
2014-08-15,26.25,26.36,25.72,25.92,20.38,494600
2014-08-18,26.15,26.34,25.86,26.12,20.54,267100
2014-08-19,26.17,26.45,25.90,26.37,20.73,142200
2014-08-20,26.26,26.40,25.90,26.31,20.69,179200
2014-08-21,26.30,26.69,26.19,26.44,20.79,236800
2014-08-22,26.42,26.69,25.90,26.35,20.72,305100
2014-08-25,26.48,26.54,25.96,26.25,20.64,235000
2014-08-26,26.25,26.33,25.95,26.03,20.47,177200
2014-08-27,25.93,26.09,25.13,25.59,20.12,541000
2014-08-28,25.56,25.69,25.26,25.53,20.07,174000
2014-08-29,25.66,26.10,25.27,26.04,20.47,426900
2014-09-02,26.07,26.33,25.74,25.79,20.28,347100
2014-09-03,25.89,26.61,25.23,26.10,20.52,338900
2014-09-04,26.18,26.48,25.41,26.06,20.49,119200
2014-09-05,26.00,26.41,25.90,26.25,20.64,153600
2014-09-08,26.12,26.80,26.12,26.74,21.02,221200
2014-09-09,26.67,26.70,26.31,26.45,20.80,247800
2014-09-10,26.32,26.88,25.66,26.07,20.50,326200
2014-09-11,26.00,26.38,25.70,26.15,20.56,186000
2014-09-12,26.10,26.11,25.40,25.44,20.00,309700
2014-09-15,25.33,25.53,24.45,24.66,19.39,603300
2014-09-16,24.59,24.95,24.53,24.75,19.46,142700
2014-09-17,24.76,25.63,24.52,24.90,19.58,258700
2014-09-18,25.20,25.87,24.95,25.00,19.66,355600
2014-09-19,24.99,25.18,24.36,24.90,19.58,610200
2014-09-22,24.75,24.90,24.33,24.62,19.36,262000
2014-09-23,24.54,24.55,24.06,24.09,18.94,260000
2014-09-24,23.90,24.37,23.79,24.37,19.33,218500
2014-09-25,24.26,24.33,23.84,24.21,19.20,249700
2014-09-26,24.23,24.56,24.18,24.42,19.37,245500
2014-09-29,24.56,24.83,24.22,24.37,19.33,305200
2014-09-30,24.44,24.50,23.98,24.04,19.07,381500
2014-10-01,24.04,24.39,23.59,24.22,19.21,511000
2014-10-02,24.14,24.44,23.77,23.99,19.03,202700
2014-10-03,24.25,24.37,23.80,24.16,19.16,332800
2014-10-06,24.17,24.40,24.04,24.07,19.09,208000
2014-10-07,23.96,24.10,23.83,23.94,18.99,313600
2014-10-08,23.90,24.75,23.85,24.55,19.47,250300
2014-10-09,24.45,24.64,24.15,24.50,19.43,338800
2014-10-10,23.97,24.74,23.96,24.25,19.23,407800
2014-10-13,24.35,24.61,24.08,24.13,19.14,246300
2014-10-14,24.45,24.76,24.28,24.42,19.37,373100
2014-10-15,24.33,24.78,24.10,24.68,19.58,287900
2014-10-16,24.39,25.02,24.39,24.70,19.59,181300
2014-10-17,25.01,25.11,24.60,24.77,19.65,203200
2014-10-20,24.71,25.16,24.71,25.11,19.92,201300
2014-10-21,25.23,25.69,24.95,25.17,19.96,167500
2014-10-22,25.16,25.46,25.03,25.04,19.86,150200
2014-10-23,25.20,25.52,25.00,25.39,20.14,112800
2014-10-24,25.50,25.93,25.09,25.80,20.46,172300
2014-10-27,25.70,26.26,25.51,26.11,20.71,181800
2014-10-28,26.13,26.69,26.08,26.67,21.15,190800
2014-10-29,26.65,26.65,25.72,26.13,20.73,210300
2014-10-30,26.19,26.93,25.93,26.80,21.26,289900
2014-10-31,27.21,27.32,26.70,27.31,21.66,311900
2014-11-03,27.41,27.63,26.69,26.85,21.30,505900
2014-11-04,26.14,28.12,26.14,26.45,20.98,249000
2014-11-05,26.80,26.80,26.11,26.27,20.84,135000
2014-11-06,26.35,26.54,26.12,26.41,20.95,157600
2014-11-07,26.54,27.19,26.47,26.98,21.40,293300
2014-11-10,26.93,27.26,26.55,27.23,21.60,225700
2014-11-11,27.14,27.14,26.80,27.01,21.42,161800
2014-11-12,26.95,27.06,26.73,26.87,21.31,116300
2014-11-13,26.99,27.22,26.73,26.89,21.33,90800
2014-11-14,26.79,27.04,26.50,26.63,21.12,228100
2014-11-17,27.20,27.50,26.41,26.52,21.04,258900
