Date,Open,High,Low,Close,Adj Close,Volume
1983-01-21,0.00,32.25,31.50,31.50,28.62,140600
1983-01-24,0.00,33.75,33.56,33.56,30.49,596933
1983-01-25,0.00,35.62,35.44,35.44,32.20,308600
1983-01-26,0.00,35.62,35.44,35.44,32.20,156533
1983-01-27,0.00,37.50,37.31,37.31,33.90,148333
1983-01-28,0.00,36.94,36.75,36.75,33.39,148867
1983-01-31,0.00,36.56,36.19,36.19,32.88,126667
1983-02-01,0.00,35.25,35.06,35.06,31.86,79333
1983-02-02,0.00,35.06,34.88,34.88,31.69,86733
1983-02-03,0.00,35.44,35.25,35.25,32.03,50600
1983-02-04,0.00,35.62,35.44,35.44,32.20,34867
1983-02-07,0.00,36.00,35.62,35.62,32.37,78867
1983-02-08,0.00,35.81,35.62,35.62,32.37,54000
1983-02-09,0.00,35.62,35.44,35.44,32.20,37867
1983-02-10,0.00,35.81,35.62,35.62,32.37,27200
1983-02-11,0.00,35.81,35.62,35.62,32.37,39933
1983-02-14,0.00,35.81,35.62,35.62,32.37,65133
1983-02-15,0.00,35.06,34.88,34.88,31.69,41000
1983-02-16,0.00,35.25,35.06,35.06,31.86,32867
1983-02-17,0.00,34.69,34.31,34.31,31.18,38067
1983-02-18,0.00,34.88,34.69,34.69,31.52,28200
1983-02-22,0.00,35.06,34.69,34.69,31.52,25200
1983-02-23,0.00,34.88,34.50,34.50,31.35,31867
1983-02-24,0.00,34.88,34.69,34.69,31.52,42267
1983-02-25,0.00,35.06,34.88,34.88,31.69,62533
1983-02-28,0.00,34.69,34.50,34.50,31.35,26133
1983-03-01,0.00,33.19,33.00,33.00,29.98,40133
1983-03-02,0.00,33.00,32.62,32.62,29.64,42333
1983-03-03,0.00,32.44,32.25,32.25,29.30,20000
1983-03-04,0.00,32.44,32.06,32.06,29.13,28667
1983-03-07,0.00,33.00,32.62,32.62,29.64,23133
1983-03-08,0.00,34.69,34.12,34.12,31.01,54333
1983-03-09,0.00,35.25,35.06,35.06,31.86,28200
1983-03-10,0.00,35.25,34.50,34.50,31.35,28067
1983-03-11,0.00,34.88,34.50,34.50,31.35,8800
1983-03-14,0.00,34.12,33.94,33.94,30.84,34600
1983-03-15,0.00,33.75,33.56,33.56,30.49,13000
1983-03-16,0.00,33.75,33.38,33.38,30.32,11333
1983-03-17,0.00,32.44,32.25,32.25,29.30,11133
1983-03-18,0.00,32.44,31.88,31.88,28.96,26333
1983-03-21,0.00,32.25,31.88,31.88,28.96,17733
1983-03-22,0.00,31.88,31.50,31.50,28.62,39667
1983-03-23,0.00,32.25,31.88,31.88,28.96,12333
1983-03-24,0.00,33.00,32.62,32.62,29.64,20000
1983-03-25,0.00,34.69,34.12,34.12,31.01,21800
1983-03-28,0.00,34.50,34.12,34.12,31.01,9467
1983-03-29,0.00,34.12,33.94,33.94,30.84,10000
1983-03-30,0.00,34.12,33.94,33.94,30.84,15267
1983-03-31,0.00,33.94,33.56,33.56,30.49,7000
1983-04-04,0.00,33.38,33.00,33.00,29.98,4933
1983-04-05,0.00,32.44,32.25,32.25,29.30,12200
1983-04-06,0.00,32.44,32.25,32.25,29.30,8533
1983-04-07,0.00,32.62,32.25,32.25,29.30,17000
1983-04-08,0.00,32.62,32.44,32.44,29.47,11267
1983-04-11,0.00,33.00,32.62,32.62,29.64,12533
1983-04-12,0.00,33.19,32.81,32.81,29.81,6600
1983-04-13,0.00,33.56,33.19,33.19,30.15,16400
1983-04-14,0.00,33.38,33.00,33.00,29.98,12400
1983-04-15,0.00,33.38,33.00,33.00,29.98,17133
1983-04-18,0.00,33.38,33.00,33.00,29.98,9867
1983-04-19,0.00,33.38,33.00,33.00,29.98,13800
1983-04-20,0.00,33.38,33.00,33.00,29.98,49267
1983-04-21,0.00,33.56,33.00,33.00,29.98,34867
1983-04-22,0.00,33.75,33.19,33.19,30.15,19867
1983-04-25,0.00,34.12,33.75,33.75,30.66,19000
1983-04-26,0.00,33.75,33.56,33.56,30.49,14200
1983-04-27,0.00,33.56,33.19,33.19,30.15,21000
1983-04-28,0.00,33.38,33.00,33.00,29.98,11133
1983-04-29,0.00,33.19,32.81,32.81,29.81,12400
1983-05-02,0.00,32.81,32.62,32.62,29.64,19267
1983-05-03,0.00,34.12,33.56,33.56,30.49,45800
1983-05-04,0.00,36.19,35.81,35.81,32.54,27200
1983-05-05,0.00,36.94,36.56,36.56,33.22,25933
1983-05-06,0.00,36.38,36.00,36.00,32.71,24533
1983-05-09,0.00,34.50,34.12,34.12,31.01,32867
1983-05-10,0.00,34.50,33.75,33.94,30.84,23267
1983-05-11,0.00,34.50,32.62,33.19,30.15,29867
1983-05-12,0.00,33.00,32.06,32.44,29.47,25400
1983-05-13,0.00,33.00,32.62,33.00,29.98,11467
1983-05-16,0.00,33.00,31.88,32.81,29.81,13267
1983-05-17,0.00,32.81,32.25,32.81,29.81,20733
1983-05-18,0.00,33.38,32.62,33.00,29.98,83733
1983-05-19,0.00,33.56,32.81,33.38,30.32,31600
1983-05-20,0.00,33.38,33.00,33.00,29.98,14467
1983-05-23,0.00,33.38,32.25,33.00,29.98,49867
1983-05-24,0.00,33.94,33.19,33.56,30.49,23200
1983-05-25,0.00,35.81,33.38,35.81,32.54,23867
1983-05-26,0.00,38.25,35.81,38.25,34.75,51333
1983-05-27,0.00,39.75,37.69,38.62,35.09,27933
1983-05-31,0.00,39.00,37.50,37.88,34.41,18933
1983-06-01,0.00,37.69,37.12,37.69,34.24,28400
1983-06-02,0.00,39.00,37.12,38.62,35.09,18267
1983-06-03,0.00,39.00,38.25,38.62,35.09,23333
1983-06-06,0.00,39.56,38.62,39.38,35.78,24933
1983-06-07,0.00,39.75,38.81,39.19,35.61,42333
1983-06-08,0.00,39.00,38.06,38.44,34.92,11533
1983-06-09,0.00,38.62,38.25,38.25,34.75,18133
1983-06-10,0.00,38.44,37.88,38.44,34.92,29867
1983-06-13,0.00,38.62,38.06,38.25,34.75,14667
1983-06-14,0.00,38.62,38.25,38.62,35.09,19800
1983-06-15,0.00,38.81,38.25,38.44,34.92,16400
1983-06-16,0.00,42.56,39.94,42.38,38.50,127800
1983-06-17,0.00,42.19,41.06,42.19,38.33,30800
1983-06-20,0.00,42.75,41.81,42.38,38.50,25933
1983-06-21,0.00,42.38,42.00,42.38,38.50,35133
1983-06-22,0.00,42.56,42.00,42.56,38.67,27800
1983-06-23,0.00,42.56,42.00,42.19,38.33,12667
1983-06-24,0.00,43.69,42.19,43.50,39.52,37267
1983-06-27,0.00,44.62,43.31,44.25,40.21,30733
1983-06-28,0.00,46.12,43.50,44.62,40.55,37533
1983-06-29,0.00,44.81,43.50,43.88,39.86,19067
1983-06-30,0.00,44.06,42.56,42.75,38.84,14533
1983-07-01,0.00,43.12,42.38,42.38,38.50,12800
1983-07-05,0.00,42.75,41.62,42.00,38.16,48533
1983-07-06,0.00,42.56,41.81,42.38,38.50,9667
1983-07-07,0.00,42.56,42.00,42.00,38.16,57933
1983-07-08,0.00,42.38,41.62,42.00,38.16,21600
1983-07-11,0.00,42.38,41.25,41.44,37.65,6933
1983-07-12,0.00,41.44,39.00,39.00,35.44,20067
1983-07-13,0.00,39.38,36.38,37.31,33.90,30133
1983-07-14,0.00,38.44,37.31,38.06,34.58,20000
1983-07-15,0.00,38.25,36.94,37.12,33.73,13733
1983-07-18,0.00,37.50,36.19,36.38,33.05,10467
1983-07-19,0.00,36.38,35.81,35.81,32.54,9867
1983-07-20,0.00,36.00,35.44,36.00,32.71,15467
1983-07-21,0.00,36.75,36.19,36.75,33.39,36667
1983-07-22,0.00,36.94,36.38,36.56,33.22,8667
1983-07-25,0.00,36.94,35.62,36.75,33.39,18200
1983-07-26,0.00,36.75,36.19,36.38,33.05,16133
1983-07-27,0.00,37.12,36.00,36.00,32.71,26533
