Date,Open,High,Low,Close,Adj Close,Volume
1990-02-16,0.00,0.08,0.07,0.08,0.06,940636800
1990-02-20,0.00,0.08,0.07,0.08,0.06,151862400
1990-02-21,0.00,0.08,0.08,0.08,0.06,70531200
1990-02-22,0.00,0.08,0.08,0.08,0.06,45216000
1990-02-23,0.00,0.08,0.08,0.08,0.06,44697600
1990-02-26,0.00,0.08,0.08,0.08,0.06,26928000
1990-02-27,0.00,0.08,0.08,0.08,0.06,25574400
1990-02-28,0.00,0.08,0.08,0.08,0.06,67968000
1990-03-01,0.00,0.08,0.08,0.08,0.06,28425600
1990-03-02,0.00,0.08,0.08,0.08,0.06,8438400
1990-03-05,0.00,0.08,0.08,0.08,0.06,2419200
1990-03-06,0.00,0.08,0.08,0.08,0.06,23904000
1990-03-07,0.00,0.08,0.08,0.08,0.06,18172800
1990-03-08,0.00,0.08,0.08,0.08,0.06,33523200
1990-03-09,0.00,0.08,0.08,0.08,0.06,11145600
1990-03-12,0.00,0.08,0.08,0.08,0.06,20304000
1990-03-13,0.00,0.08,0.08,0.08,0.06,53020800
1990-03-14,0.00,0.09,0.08,0.09,0.07,87350400
1990-03-15,0.00,0.09,0.09,0.09,0.06,38620800
1990-03-16,0.00,0.09,0.09,0.09,0.06,19929600
1990-03-19,0.00,0.09,0.09,0.09,0.07,43027200
1990-03-20,0.00,0.09,0.08,0.08,0.06,43228800
1990-03-21,0.00,0.09,0.08,0.08,0.06,19900800
1990-03-22,0.00,0.09,0.08,0.08,0.06,43776000
1990-03-23,0.00,0.08,0.08,0.08,0.06,16905600
1990-03-26,0.08,0.08,0.08,0.08,0.06,41702400
1990-03-27,0.08,0.09,0.08,0.09,0.06,15926400
1990-03-28,0.09,0.09,0.09,0.09,0.06,9792000
1990-03-29,0.09,0.09,0.08,0.09,0.06,16272000
1990-03-30,0.08,0.08,0.08,0.08,0.06,28742400
1990-04-02,0.08,0.08,0.08,0.08,0.06,15868800
1990-04-03,0.08,0.08,0.08,0.08,0.06,8352000
1990-04-04,0.08,0.08,0.08,0.08,0.06,14284800
1990-04-05,0.08,0.08,0.08,0.08,0.06,8323200
1990-04-06,0.08,0.08,0.08,0.08,0.06,10771200
1990-04-09,0.08,0.08,0.08,0.08,0.06,6681600
1990-04-10,0.08,0.08,0.07,0.08,0.06,34790400
1990-04-11,0.08,0.08,0.08,0.08,0.06,24796800
1990-04-12,0.08,0.08,0.08,0.08,0.06,13161600
1990-04-16,0.08,0.08,0.08,0.08,0.06,5616000
1990-04-17,0.08,0.08,0.08,0.08,0.06,6566400
1990-04-18,0.08,0.08,0.08,0.08,0.06,24480000
1990-04-19,0.08,0.08,0.08,0.08,0.06,25142400
1990-04-20,0.08,0.08,0.08,0.08,0.06,8755200
1990-04-23,0.08,0.08,0.08,0.08,0.06,5356800
1990-04-24,0.08,0.08,0.08,0.08,0.06,10281600
1990-04-25,0.08,0.08,0.08,0.08,0.06,6768000
1990-04-26,0.08,0.08,0.08,0.08,0.06,10713600
1990-04-27,0.08,0.08,0.08,0.08,0.06,4204800
1990-04-30,0.08,0.08,0.08,0.08,0.06,34329600
1990-05-01,0.08,0.08,0.08,0.08,0.06,28771200
1990-05-02,0.08,0.08,0.08,0.08,0.06,3139200
1990-05-03,0.08,0.09,0.08,0.09,0.06,7228800
1990-05-04,0.08,0.09,0.08,0.09,0.06,5702400
1990-05-07,0.09,0.09,0.09,0.09,0.06,13536000
1990-05-08,0.09,0.09,0.09,0.09,0.06,14486400
1990-05-09,0.09,0.09,0.09,0.09,0.06,9676800
1990-05-10,0.09,0.09,0.09,0.09,0.06,2793600
1990-05-11,0.09,0.09,0.09,0.09,0.06,29923200
1990-05-14,0.09,0.09,0.09,0.09,0.06,15235200
1990-05-15,0.09,0.09,0.09,0.09,0.06,24134400
1990-05-16,0.09,0.09,0.09,0.09,0.06,18720000
1990-05-17,0.09,0.09,0.09,0.09,0.06,6595200
1990-05-18,0.09,0.09,0.08,0.09,0.06,45417600
1990-05-21,0.08,0.09,0.08,0.09,0.06,4032000
1990-05-22,0.09,0.09,0.09,0.09,0.06,22982400
1990-05-23,0.09,0.09,0.08,0.08,0.06,39715200
1990-05-24,0.09,0.09,0.08,0.09,0.06,8121600
1990-05-25,0.08,0.09,0.08,0.08,0.06,4003200
1990-05-29,0.08,0.09,0.08,0.08,0.06,20707200
1990-05-30,0.08,0.08,0.08,0.08,0.06,96278400
1990-05-31,0.08,0.09,0.08,0.09,0.06,102988800
1990-06-01,0.09,0.09,0.09,0.09,0.06,103132800
1990-06-04,0.09,0.09,0.09,0.09,0.07,48499200
1990-06-05,0.09,0.09,0.09,0.09,0.07,56131200
1990-06-06,0.09,0.09,0.09,0.09,0.07,23241600
1990-06-07,0.09,0.09,0.09,0.09,0.07,18144000
1990-06-08,0.09,0.09,0.09,0.09,0.06,6566400
1990-06-11,0.09,0.09,0.09,0.09,0.06,3686400
1990-06-12,0.09,0.10,0.09,0.10,0.07,133401600
1990-06-13,0.10,0.10,0.10,0.10,0.07,52099200
1990-06-14,0.10,0.10,0.10,0.10,0.07,54374400
1990-06-15,0.10,0.10,0.10,0.10,0.07,6537600
1990-06-18,0.10,0.10,0.09,0.09,0.07,11923200
1990-06-19,0.09,0.09,0.09,0.09,0.07,20851200
1990-06-20,0.09,0.09,0.09,0.09,0.07,30124800
1990-06-21,0.09,0.09,0.09,0.09,0.07,9936000
1990-06-22,0.09,0.09,0.09,0.09,0.07,806400
1990-06-25,0.09,0.09,0.09,0.09,0.07,3600000
1990-06-26,0.09,0.09,0.09,0.09,0.07,4665600
1990-06-27,0.09,0.09,0.09,0.09,0.07,3801600
1990-06-28,0.09,0.09,0.09,0.09,0.07,153648000
1990-06-29,0.09,0.09,0.09,0.09,0.07,48268800
1990-07-02,0.09,0.09,0.09,0.09,0.07,38131200
1990-07-03,0.09,0.09,0.09,0.09,0.07,2851200
1990-07-05,0.09,0.09,0.09,0.09,0.07,6508800
1990-07-06,0.09,0.09,0.09,0.09,0.07,2476800
1990-07-09,0.09,0.09,0.09,0.09,0.07,14630400
1990-07-10,0.09,0.09,0.09,0.09,0.07,41529600
1990-07-11,0.09,0.10,0.09,0.10,0.07,32515200
1990-07-12,0.10,0.10,0.10,0.10,0.07,16617600
1990-07-13,0.10,0.11,0.10,0.11,0.08,46627200
1990-07-16,0.10,0.11,0.10,0.10,0.07,79977600
1990-07-17,0.10,0.10,0.09,0.10,0.07,42019200
1990-07-18,0.09,0.10,0.09,0.10,0.07,23529600
1990-07-19,0.10,0.10,0.10,0.10,0.07,25804800
1990-07-20,0.10,0.10,0.10,0.10,0.07,60192000
1990-07-23,0.10,0.10,0.09,0.09,0.07,35913600
1990-07-24,0.09,0.09,0.08,0.09,0.06,51264000
1990-07-25,0.08,0.09,0.08,0.09,0.06,43718400
1990-07-26,0.09,0.09,0.09,0.09,0.07,17740800
1990-07-27,0.09,0.09,0.09,0.09,0.07,8841600
1990-07-30,0.09,0.09,0.09,0.09,0.07,17856000
1990-07-31,0.09,0.09,0.09,0.09,0.06,9331200
1990-08-01,0.09,0.09,0.09,0.09,0.06,8409600
1990-08-02,0.09,0.09,0.08,0.09,0.06,6163200
1990-08-03,0.09,0.09,0.08,0.08,0.06,54460800
1990-08-06,0.08,0.09,0.08,0.08,0.06,62150400
1990-08-07,0.09,0.09,0.08,0.08,0.06,36115200
1990-08-08,0.09,0.09,0.08,0.08,0.06,21916800
1990-08-09,0.08,0.09,0.08,0.09,0.06,50803200
1990-08-10,0.09,0.09,0.08,0.08,0.06,35193600
1990-08-13,0.08,0.08,0.08,0.08,0.06,12931200
1990-08-14,0.08,0.08,0.08,0.08,0.06,21945600
1990-08-15,0.08,0.08,0.08,0.08,0.06,35856000
1990-08-16,0.08,0.08,0.08,0.08,0.06,21744000
1990-08-17,0.08,0.09,0.08,0.09,0.06,88185600
1990-08-20,0.09,0.09,0.09,0.09,0.06,45417600
1990-08-21,0.08,0.09,0.08,0.08,0.06,36720000
1990-08-22,0.08,0.09,0.08,0.08,0.06,26409600
1990-08-23,0.08,0.08,0.08,0.08,0.06,56678400
1990-08-24,0.08,0.08,0.08,0.08,0.06,59011200
1990-08-27,0.09,0.09,0.09,0.09,0.06,36720000
1990-08-28,0.09,0.09,0.09,0.09,0.06,19843200
