Date,Open,High,Low,Close,Adj Close,Volume
1998-07-01,0.90,0.95,0.90,0.92,0.92,7524000
1998-07-02,0.93,0.98,0.92,0.98,0.98,369000
1998-07-06,0.98,1.06,0.98,1.01,1.01,1881000
1998-07-07,1.04,1.05,1.02,1.02,1.02,201000
1998-07-08,1.01,1.05,1.00,1.01,1.01,864000
1998-07-09,1.02,1.05,1.01,1.05,1.05,158000
1998-07-10,1.07,1.07,0.98,0.98,0.98,962000
1998-07-13,1.02,1.02,0.99,1.00,1.00,935000
1998-07-14,0.99,1.00,0.96,0.98,0.98,605000
1998-07-15,0.96,0.99,0.95,0.98,0.98,619000
1998-07-16,0.96,0.98,0.96,0.96,0.96,137000
1998-07-17,0.98,0.98,0.98,0.98,0.98,42000
1998-07-20,0.99,1.02,0.99,1.01,1.01,388000
1998-07-21,1.01,1.02,1.00,1.00,1.00,304000
1998-07-22,0.96,1.02,0.96,1.02,1.02,223000
1998-07-23,1.01,1.06,1.00,1.01,1.01,475000
1998-07-24,1.04,1.04,1.00,1.02,1.02,227000
1998-07-27,1.02,1.02,0.96,0.98,0.98,93000
1998-07-28,1.01,1.01,0.94,0.95,0.95,259000
1998-07-29,0.99,0.99,0.95,0.98,0.98,1119000
1998-07-30,0.99,1.09,0.99,1.09,1.09,273000
1998-07-31,1.09,1.09,1.08,1.08,1.08,46000
1998-08-03,1.05,1.05,1.04,1.04,1.04,62000
1998-08-04,1.02,1.02,0.99,0.99,0.99,257000
1998-08-05,1.00,1.00,0.98,0.98,0.98,187000
1998-08-06,0.98,1.01,0.95,0.95,0.95,1599000
1998-08-07,0.96,0.96,0.95,0.96,0.96,972000
1998-08-10,0.98,0.98,0.96,0.96,0.96,818000
1998-08-11,0.94,0.94,0.90,0.90,0.90,447000
1998-08-12,0.90,0.92,0.90,0.92,0.92,110000
1998-08-13,0.92,0.92,0.90,0.90,0.90,61000
1998-08-14,0.92,0.92,0.90,0.90,0.90,225000
1998-08-17,0.89,0.90,0.88,0.90,0.90,345000
1998-08-18,0.88,0.89,0.86,0.86,0.86,207000
1998-08-19,0.86,0.88,0.86,0.88,0.88,35000
1998-08-20,0.86,0.86,0.84,0.84,0.84,127000
1998-08-21,0.84,0.84,0.80,0.80,0.80,295000
1998-08-24,0.80,0.81,0.80,0.81,0.81,22000
1998-08-25,0.81,0.84,0.81,0.84,0.84,184000
1998-08-26,0.80,0.82,0.80,0.80,0.80,95000
1998-08-27,0.77,0.77,0.70,0.73,0.73,373000
1998-08-28,0.73,0.73,0.70,0.70,0.70,25000
1998-08-31,0.70,0.70,0.66,0.66,0.66,63000
1998-09-01,0.66,0.68,0.64,0.66,0.66,504000
1998-09-02,0.62,0.65,0.62,0.62,0.62,182000
1998-09-03,0.62,0.62,0.61,0.61,0.61,68000
1998-09-04,0.62,0.62,0.61,0.61,0.61,213000
1998-09-08,0.62,0.63,0.61,0.62,0.62,226000
1998-09-09,0.63,0.63,0.62,0.62,0.62,851000
1998-09-10,0.60,0.61,0.55,0.60,0.60,414000
1998-09-11,0.56,0.57,0.55,0.55,0.55,148000
1998-09-14,0.57,0.57,0.56,0.56,0.56,193000
1998-09-15,0.60,0.61,0.56,0.61,0.61,115000
1998-09-16,0.57,0.66,0.57,0.66,0.66,159000
1998-09-17,0.61,0.65,0.61,0.65,0.65,36000
1998-09-18,0.68,0.73,0.65,0.73,0.73,531000
1998-09-21,0.73,0.73,0.73,0.73,0.73,0
1998-09-22,0.70,0.75,0.70,0.73,0.73,173000
1998-09-23,0.75,0.82,0.75,0.81,0.81,520000
1998-09-24,0.83,0.83,0.77,0.81,0.81,203000
1998-09-25,0.80,0.80,0.74,0.75,0.75,72000
1998-09-28,0.79,0.79,0.75,0.75,0.75,6000
1998-09-29,0.80,0.80,0.80,0.80,0.80,25000
1998-09-30,0.77,0.77,0.77,0.77,0.77,20000
1998-10-01,0.77,0.77,0.77,0.77,0.77,0
1998-10-02,0.74,0.76,0.74,0.76,0.76,69000
1998-10-05,0.74,0.74,0.74,0.74,0.74,5000
1998-10-06,0.73,0.75,0.73,0.74,0.74,61000
1998-10-07,0.75,0.75,0.69,0.69,0.69,63000
1998-10-08,0.65,0.66,0.60,0.60,0.60,179000
1998-10-09,0.62,0.62,0.62,0.62,0.62,63000
1998-10-12,0.62,0.62,0.62,0.62,0.62,3000
1998-10-13,0.62,0.62,0.62,0.62,0.62,16000
1998-10-14,0.60,0.62,0.60,0.60,0.60,34000
1998-10-15,0.60,0.60,0.60,0.60,0.60,10000
1998-10-16,0.64,0.70,0.64,0.68,0.68,150000
1998-10-19,0.68,0.68,0.68,0.68,0.68,0
1998-10-20,0.68,0.73,0.68,0.73,0.73,53000
1998-10-21,0.73,0.73,0.73,0.73,0.73,0
1998-10-22,0.73,0.73,0.69,0.69,0.69,68000
1998-10-23,0.70,0.77,0.69,0.76,0.76,940000
1998-10-26,0.73,0.81,0.73,0.81,0.81,176000
1998-10-27,0.81,0.85,0.80,0.80,0.80,149000
1998-10-28,0.80,0.82,0.80,0.82,0.82,84000
1998-10-29,0.81,0.82,0.80,0.80,0.80,114000
1998-10-30,0.81,0.84,0.81,0.84,0.84,100000
1998-11-02,0.84,0.85,0.84,0.85,0.85,83000
1998-11-03,0.86,0.90,0.86,0.90,0.90,69000
