Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00,0.72,0.71,0.71,0.36,64000
1973-02-22,0.00,0.73,0.71,0.73,0.37,22400
1973-02-23,0.00,0.73,0.72,0.72,0.37,22400
1973-02-26,0.00,0.71,0.71,0.71,0.36,51200
1973-02-27,0.00,0.71,0.70,0.70,0.36,25600
1973-02-28,0.00,0.70,0.69,0.69,0.35,70400
1973-03-01,0.00,0.68,0.68,0.68,0.35,57600
1973-03-02,0.00,0.68,0.68,0.68,0.35,12800
1973-03-05,0.00,0.69,0.68,0.68,0.35,16000
1973-03-06,0.00,0.71,0.69,0.71,0.36,70400
1973-03-07,0.00,0.71,0.70,0.70,0.36,19200
1973-03-08,0.00,0.71,0.70,0.71,0.36,16000
1973-03-09,0.00,0.70,0.69,0.69,0.35,28800
1973-03-12,0.00,0.70,0.69,0.69,0.35,38400
1973-03-13,0.00,0.68,0.68,0.68,0.35,19200
1973-03-14,0.68,0.68,0.68,0.68,0.35,0
1973-03-15,0.00,0.69,0.68,0.68,0.35,16000
1973-03-16,0.00,0.68,0.68,0.68,0.35,9600
1973-03-19,0.00,0.69,0.68,0.69,0.35,16000
1973-03-20,0.00,0.69,0.68,0.68,0.34,16000
1973-03-21,0.00,0.67,0.66,0.66,0.34,35200
1973-03-22,0.00,0.66,0.65,0.65,0.33,16000
1973-03-23,0.00,0.65,0.64,0.65,0.33,41600
1973-03-26,0.00,0.66,0.65,0.65,0.33,41600
1973-03-27,0.00,0.66,0.66,0.66,0.33,3200
1973-03-28,0.00,0.66,0.66,0.66,0.34,32000
1973-03-29,0.00,0.66,0.66,0.66,0.33,41600
1973-03-30,0.00,0.66,0.64,0.65,0.33,41600
1973-04-02,0.00,0.65,0.65,0.65,0.33,19200
1973-04-03,0.00,0.65,0.63,0.63,0.32,41600
1973-04-04,0.00,0.64,0.62,0.62,0.32,41600
1973-04-05,0.00,0.62,0.62,0.62,0.31,28800
1973-04-06,0.00,0.63,0.62,0.63,0.32,22400
1973-04-09,0.00,0.63,0.63,0.63,0.32,9600
1973-04-10,0.00,0.65,0.63,0.65,0.33,35200
1973-04-11,0.00,0.66,0.65,0.66,0.33,57600
1973-04-12,0.00,0.67,0.66,0.67,0.34,38400
1973-04-13,0.00,0.70,0.67,0.70,0.35,73600
1973-04-16,0.00,0.71,0.71,0.71,0.36,25600
1973-04-17,0.00,0.70,0.70,0.70,0.36,12800
1973-04-18,0.00,0.70,0.69,0.69,0.35,16000
1973-04-19,0.00,0.69,0.69,0.69,0.35,9600
1973-04-23,0.00,0.69,0.68,0.68,0.35,38400
1973-04-24,0.00,0.70,0.68,0.68,0.34,60800
1973-04-25,0.00,0.68,0.68,0.68,0.34,44800
1973-04-26,0.00,0.67,0.67,0.67,0.34,3200
1973-04-27,0.00,0.66,0.66,0.66,0.33,9600
1973-04-30,0.00,0.66,0.65,0.65,0.33,44800
1973-05-01,0.00,0.65,0.65,0.65,0.33,12800
1973-05-02,0.65,0.65,0.65,0.65,0.33,0
1973-05-03,0.00,0.65,0.64,0.64,0.33,16000
1973-05-04,0.00,0.67,0.64,0.67,0.34,41600
1973-05-07,0.00,0.68,0.68,0.68,0.34,35200
1973-05-08,0.00,0.69,0.68,0.68,0.34,16000
1973-05-09,0.00,0.67,0.66,0.66,0.34,6400
1973-05-10,0.00,0.66,0.66,0.66,0.33,22400
1973-05-11,0.00,0.65,0.65,0.65,0.33,12800
1973-05-14,0.00,0.64,0.62,0.62,0.32,51200
1973-05-15,0.00,0.62,0.62,0.62,0.32,6400
1973-05-16,0.00,0.62,0.61,0.62,0.31,80000
1973-05-17,0.00,0.61,0.61,0.61,0.31,48000
1973-05-18,0.00,0.59,0.58,0.58,0.29,54400
1973-05-21,0.00,0.57,0.55,0.55,0.28,80000
1973-05-22,0.00,0.56,0.55,0.55,0.28,32000
1973-05-23,0.00,0.55,0.55,0.55,0.28,28800
1973-05-24,0.00,0.55,0.53,0.54,0.27,57600
1973-05-25,0.00,0.56,0.54,0.56,0.28,22400
1973-05-29,0.00,0.57,0.56,0.56,0.28,16000
1973-05-30,0.00,0.55,0.55,0.55,0.28,6400
1973-05-31,0.00,0.56,0.55,0.55,0.28,12800
1973-06-01,0.55,0.55,0.55,0.55,0.28,0
1973-06-04,0.00,0.54,0.52,0.52,0.26,60800
1973-06-05,0.00,0.52,0.51,0.52,0.26,22400
1973-06-06,0.00,0.53,0.53,0.53,0.27,6400
1973-06-07,0.00,0.54,0.53,0.53,0.27,19200
1973-06-08,0.00,0.54,0.53,0.54,0.27,6400
1973-06-11,0.00,0.55,0.55,0.55,0.28,12800
1973-06-12,0.00,0.55,0.54,0.55,0.28,16000
1973-06-13,0.55,0.55,0.55,0.55,0.28,0
1973-06-14,0.00,0.55,0.55,0.55,0.28,9600
1973-06-15,0.00,0.55,0.55,0.55,0.28,12800
1973-06-18,0.00,0.54,0.52,0.52,0.26,41600
1973-06-19,0.00,0.53,0.52,0.52,0.26,201600
1973-06-20,0.00,0.53,0.52,0.52,0.26,9600
1973-06-21,0.00,0.54,0.52,0.52,0.26,28800
1973-06-22,0.00,0.54,0.53,0.53,0.27,22400
1973-06-25,0.00,0.53,0.53,0.53,0.27,16000
1973-06-26,0.00,0.53,0.52,0.53,0.27,32000
1973-06-27,0.00,0.53,0.53,0.53,0.27,6400
1973-06-28,0.53,0.53,0.53,0.53,0.27,0
1973-06-29,0.00,0.52,0.52,0.52,0.26,22400
1973-07-02,0.00,0.51,0.50,0.50,0.25,12800
1973-07-03,0.00,0.50,0.48,0.48,0.24,41600
1973-07-05,0.00,0.50,0.49,0.50,0.25,12800
1973-07-06,0.00,0.51,0.51,0.51,0.26,32000
1973-07-09,0.00,0.51,0.50,0.50,0.25,12800
1973-07-10,0.00,0.52,0.50,0.52,0.26,35200
1973-07-11,0.00,0.52,0.52,0.52,0.26,19200
1973-07-12,0.00,0.54,0.53,0.54,0.27,28800
1973-07-13,0.00,0.54,0.54,0.54,0.27,12800
1973-07-16,0.00,0.54,0.54,0.54,0.27,28800
1973-07-17,0.00,0.54,0.54,0.54,0.27,9600
1973-07-18,0.00,0.55,0.55,0.55,0.28,9600
1973-07-19,0.00,0.57,0.56,0.57,0.29,25600
1973-07-20,0.00,0.59,0.57,0.59,0.30,16000
1973-07-23,0.00,0.60,0.58,0.60,0.30,22400
1973-07-24,0.00,0.61,0.61,0.61,0.31,12800
1973-07-25,0.61,0.61,0.61,0.61,0.31,0
1973-07-26,0.00,0.60,0.60,0.60,0.30,3200
1973-07-27,0.00,0.61,0.61,0.61,0.31,19200
1973-07-30,0.00,0.61,0.61,0.61,0.31,3200
1973-07-31,0.00,0.61,0.61,0.61,0.31,3200
1973-08-01,0.61,0.61,0.61,0.61,0.31,0
1973-08-02,0.61,0.61,0.61,0.61,0.31,0
1973-08-03,0.00,0.61,0.61,0.61,0.31,25600
1973-08-06,0.00,0.61,0.60,0.61,0.31,19200
1973-08-07,0.00,0.60,0.59,0.59,0.30,6400
1973-08-08,0.00,0.59,0.59,0.59,0.30,3200
1973-08-09,0.00,0.59,0.58,0.58,0.29,19200
1973-08-10,0.58,0.58,0.58,0.58,0.29,0
