Date,Open,High,Low,Close,Adj Close,Volume
1983-08-19,0.00,0.97,0.95,0.95,0.68,1996200
1983-08-22,0.00,0.97,0.96,0.96,0.69,1621800
1983-08-23,0.00,0.97,0.96,0.96,0.69,1972800
1983-08-24,0.00,0.99,0.97,0.97,0.69,819000
1983-08-25,0.00,1.00,0.98,0.98,0.70,347400
1983-08-26,0.00,1.02,0.99,0.99,0.71,549000
1983-08-29,0.00,1.04,1.01,1.01,0.73,552600
1983-08-30,0.00,1.08,1.06,1.06,0.76,777600
1983-08-31,0.00,1.08,1.06,1.06,0.76,1432800
1983-09-01,0.00,1.07,1.06,1.06,0.76,271800
1983-09-02,0.00,1.08,1.06,1.06,0.76,120600
1983-09-06,0.00,1.08,1.06,1.06,0.76,165600
1983-09-07,0.00,1.06,1.05,1.05,0.75,1135800
1983-09-08,0.00,1.06,1.05,1.05,0.75,124200
1983-09-09,0.00,1.06,1.06,1.06,0.76,82800
1983-09-12,0.00,1.07,1.06,1.06,0.76,703800
1983-09-13,0.00,1.06,1.06,1.06,0.76,79200
1983-09-14,0.00,1.06,1.06,1.06,0.76,77400
1983-09-15,0.00,1.06,1.04,1.04,0.75,212400
1983-09-16,0.00,1.06,1.04,1.04,0.75,82800
1983-09-19,0.00,1.06,1.04,1.04,0.75,39600
1983-09-20,0.00,1.06,1.04,1.04,0.75,59400
1983-09-21,0.00,1.07,1.06,1.06,0.76,25200
1983-09-22,0.00,1.07,1.06,1.06,0.76,90000
1983-09-23,0.00,1.07,1.06,1.06,0.76,37800
1983-09-26,0.00,1.07,1.06,1.06,0.76,304200
1983-09-27,0.00,1.07,1.06,1.06,0.76,46800
1983-09-28,0.00,1.06,1.06,1.06,0.76,27000
1983-09-29,0.00,1.10,1.08,1.08,0.78,275400
1983-09-30,0.00,1.10,1.10,1.10,0.79,325800
1983-10-03,0.00,1.12,1.11,1.11,0.80,275400
1983-10-04,0.00,1.12,1.11,1.11,0.80,43200
1983-10-05,0.00,1.14,1.12,1.12,0.80,351000
1983-10-06,0.00,1.12,1.12,1.12,0.80,259200
1983-10-07,0.00,1.12,1.12,1.12,0.80,999000
1983-10-10,0.00,1.12,1.12,1.12,0.80,34200
1983-10-11,0.00,1.12,1.12,1.12,0.80,100800
1983-10-12,0.00,1.12,1.11,1.11,0.80,14400
