Date,Open,High,Low,Close,Adj Close,Volume
1995-12-08,1.73,2.02,1.69,1.99,1.92,55885612
1995-12-11,2.07,2.32,2.06,2.19,2.12,11160546
1995-12-12,2.17,2.31,2.12,2.12,2.05,5352722
1995-12-13,2.09,2.14,2.07,2.08,2.01,2581422
1995-12-14,2.06,2.11,1.78,1.94,1.88,4365663
1995-12-15,1.91,1.94,1.87,1.87,1.81,1190498
1995-12-18,1.86,1.87,1.64,1.68,1.62,2548269
1995-12-19,1.66,1.82,1.66,1.81,1.75,2718556
1995-12-20,1.82,1.82,1.78,1.79,1.73,1380375
1995-12-21,1.78,1.82,1.78,1.82,1.76,831842
1995-12-22,1.82,1.82,1.78,1.81,1.75,797182
1995-12-26,1.82,1.82,1.78,1.78,1.72,325503
1995-12-27,1.78,2.04,1.78,2.04,1.97,1650121
1995-12-28,1.99,2.06,1.91,2.01,1.94,776084
1995-12-29,2.01,2.19,2.01,2.16,2.08,1074462
1996-01-02,2.17,2.19,2.12,2.12,2.05,565110
1996-01-03,2.12,2.16,1.94,1.94,1.88,869516
1996-01-04,1.87,1.91,1.79,1.84,1.78,2106730
1996-01-05,1.79,1.79,1.68,1.71,1.65,2712528
1996-01-08,1.76,1.76,1.69,1.76,1.70,599770
1996-01-09,1.69,1.76,1.66,1.66,1.60,1232693
1996-01-10,1.71,1.71,1.56,1.61,1.56,1318590
1996-01-11,1.68,1.89,1.66,1.78,1.72,1389417
1996-01-12,1.78,1.81,1.66,1.81,1.75,1106109
1996-01-15,1.81,1.94,1.81,1.86,1.80,1265846
1996-01-16,1.87,1.87,1.64,1.74,1.68,590728
1996-01-17,1.73,1.84,1.73,1.81,1.75,437018
1996-01-18,1.81,1.84,1.79,1.79,1.73,482227
1996-01-19,1.81,1.86,1.81,1.86,1.80,409893
1996-01-22,1.82,1.86,1.82,1.84,1.78,452088
1996-01-23,2.16,2.17,2.02,2.07,2.00,3776442
1996-01-24,2.04,2.09,2.03,2.03,1.96,767043
1996-01-25,2.04,2.11,2.04,2.04,1.97,628402
1996-01-26,2.11,2.11,2.04,2.11,2.04,195905
1996-01-29,2.11,2.11,2.04,2.11,2.04,275774
1996-01-30,2.09,2.19,2.09,2.11,2.04,545520
1996-01-31,2.14,2.14,2.07,2.11,2.04,654021
1996-02-01,2.07,2.11,2.06,2.06,1.99,78362
1996-02-02,2.11,2.31,2.07,2.31,2.23,941850
1996-02-05,2.29,2.42,2.29,2.39,2.31,664569
1996-02-06,2.39,2.52,2.39,2.49,2.41,848418
1996-02-07,2.49,2.52,2.42,2.44,2.36,1057886
1996-02-08,2.44,2.47,2.44,2.44,2.36,227551
1996-02-09,2.44,2.47,2.44,2.47,2.39,308927
1996-02-12,2.44,2.70,2.44,2.60,2.52,2075084
1996-02-13,2.59,2.67,2.55,2.64,2.55,1761636
1996-02-14,2.69,2.79,2.64,2.74,2.65,908697
1996-02-15,2.74,3.02,2.74,2.80,2.71,1683274
1996-02-16,2.85,2.94,2.82,2.92,2.82,675118
1996-02-20,2.87,2.94,2.87,2.88,2.78,363177
1996-02-21,2.92,2.94,2.87,2.92,2.82,462637
1996-02-22,2.94,3.28,2.92,3.28,3.17,916232
1996-02-23,3.32,3.47,3.32,3.41,3.30,1428598
1996-02-26,3.40,3.47,3.32,3.47,3.35,1282423
1996-02-27,3.48,3.70,3.45,3.63,3.51,1668205
1996-02-28,3.60,3.62,3.09,3.14,3.03,1538606
1996-02-29,3.10,3.14,2.69,2.89,2.79,7919075
1996-03-01,2.85,2.90,2.62,2.82,2.73,2647729
1996-03-04,2.87,3.05,2.84,3.04,2.93,1496411
1996-03-05,3.12,3.22,3.04,3.14,3.03,720327
1996-03-06,3.14,3.14,2.95,3.00,2.90,384275
1996-03-07,2.94,2.94,2.60,2.65,2.57,2316198
1996-03-08,2.59,2.60,2.32,2.42,2.34,3916589
1996-03-11,2.49,2.57,2.42,2.52,2.44,4344566
1996-03-12,2.54,3.07,2.49,3.06,2.96,5602877
1996-03-13,3.25,3.41,2.97,3.10,2.99,4641437
1996-03-14,2.85,2.90,2.76,2.84,2.74,17507861
1996-03-15,2.90,3.02,2.89,2.94,2.84,5925367
1996-03-18,3.00,3.02,2.96,2.97,2.87,1740539
1996-03-19,3.02,3.02,2.92,2.92,2.82,2418671
1996-03-20,2.94,2.94,2.77,2.85,2.76,2043438
1996-03-21,2.90,2.90,2.80,2.80,2.71,949385
1996-03-22,2.77,2.89,2.77,2.89,2.79,1940964
1996-03-25,2.85,2.89,2.85,2.85,2.76,396330
1996-03-26,2.85,2.89,2.82,2.85,2.76,723341
1996-03-27,2.82,2.89,2.82,2.85,2.76,1023226
1996-03-28,2.85,2.89,2.84,2.89,2.79,880065
1996-03-29,2.89,2.99,2.85,2.94,2.84,2373462
1996-04-01,2.90,3.09,2.90,3.04,2.93,1496411
1996-04-02,3.09,3.15,3.05,3.12,3.01,1134741
1996-04-03,3.15,3.23,3.12,3.20,3.09,1320097
1996-04-04,3.20,3.28,3.20,3.27,3.16,2451824
1996-04-08,3.22,3.25,3.12,3.19,3.08,720327
1996-04-09,3.25,3.38,3.22,3.38,3.27,3839734
1996-04-10,3.38,3.38,3.27,3.33,3.22,1610940
1996-04-11,3.30,3.37,3.27,3.30,3.19,629909
1996-04-12,3.27,3.38,3.27,3.37,3.26,2061521
1996-04-15,3.38,3.63,3.33,3.60,3.48,1027747
1996-04-16,3.67,3.70,3.63,3.63,3.51,1541620
1996-04-17,3.63,3.68,3.53,3.58,3.46,681146
1996-04-18,3.55,3.70,3.55,3.70,3.58,557575
