Date,Open,High,Low,Close,Adj Close,Volume
2020-08-14,44.49,56.00,36.15,55.90,55.90,23677700
2020-08-17,84.40,85.00,67.12,77.20,77.20,14222900
2020-08-18,72.42,73.05,65.09,65.70,65.70,4106000
2020-08-19,67.71,67.99,55.05,56.90,56.90,5240500
2020-08-20,63.00,66.89,60.70,66.00,66.00,7037600
2020-08-21,66.91,69.74,63.36,67.20,67.20,2625400
2020-08-24,68.97,69.00,59.10,62.65,62.65,1985400
2020-08-25,60.66,63.41,59.22,63.25,63.25,819700
2020-08-26,61.35,62.30,58.75,59.50,59.50,1005200
2020-08-27,59.50,59.90,56.00,57.71,57.71,982900
2020-08-28,58.00,60.44,56.85,59.15,59.15,990000
2020-08-31,60.62,60.75,55.08,55.08,55.08,1227600
2020-09-01,56.81,57.44,54.14,56.85,56.85,1120200
2020-09-02,59.60,59.76,55.12,58.46,58.46,1656300
2020-09-03,58.99,59.00,56.10,56.92,56.92,904500
2020-09-04,60.25,64.18,57.05,63.45,63.45,1862200
2020-09-08,60.50,60.50,56.52,56.91,56.91,1412000
2020-09-09,58.20,58.50,55.10,55.21,55.21,916400
2020-09-10,55.58,56.55,54.02,54.74,54.74,851600
2020-09-11,54.96,55.38,51.25,52.68,52.68,726100
2020-09-14,53.33,54.82,52.69,53.13,53.13,630200
2020-09-15,54.35,54.40,52.68,53.86,53.86,415200
2020-09-16,53.94,54.60,53.20,53.98,53.98,421000
2020-09-17,52.75,53.13,51.62,52.90,52.90,333100
2020-09-18,52.13,53.28,51.66,52.09,52.09,470700
2020-09-21,50.00,50.14,48.01,50.08,50.08,332100
2020-09-22,50.25,50.56,49.79,50.00,50.00,223800
2020-09-23,49.81,50.42,47.21,47.63,47.63,385000
2020-09-24,45.14,45.80,43.00,43.80,43.80,619500
2020-09-25,44.20,45.80,43.30,44.05,44.05,484500
2020-09-28,44.45,48.00,44.45,45.76,45.76,454900
2020-09-29,46.26,46.90,45.01,45.68,45.68,320600
2020-09-30,49.00,49.83,46.40,46.55,46.55,823200
2020-10-01,48.48,48.70,46.76,47.09,47.09,550100
2020-10-02,47.01,47.88,46.42,47.49,47.49,431900
2020-10-05,48.70,50.60,48.46,50.50,50.50,554500
2020-10-06,52.55,55.10,52.10,53.96,53.96,810900
2020-10-07,53.76,56.54,52.52,56.46,56.46,576500
2020-10-08,56.57,56.70,55.05,55.42,55.42,326500
2020-10-09,55.71,56.29,52.92,54.20,54.20,385700
2020-10-12,54.77,55.72,53.60,54.44,54.44,350000
2020-10-13,53.51,55.35,53.50,54.39,54.39,279100
2020-10-14,54.23,55.40,53.50,53.92,53.92,213500
2020-10-15,51.50,53.19,51.31,52.00,52.00,246700
2020-10-16,53.25,53.65,51.10,52.44,52.44,220000
2020-10-19,53.80,54.80,52.25,53.50,53.50,304300
2020-10-20,52.90,53.59,52.20,52.87,52.87,211400
2020-10-21,52.34,53.13,48.11,49.13,49.13,456600
2020-10-22,49.56,50.50,47.88,49.07,49.07,365300
2020-10-23,51.88,52.89,49.50,50.03,50.03,688400
2020-10-26,50.80,51.30,47.00,48.66,48.66,529200
2020-10-27,49.11,50.40,48.92,49.89,49.89,243300
2020-10-28,47.47,48.46,46.12,46.76,46.76,272900
2020-10-29,48.99,50.59,48.33,49.60,49.60,300900
2020-10-30,50.05,50.35,47.79,48.78,48.78,269200
2020-11-02,50.00,51.00,46.50,47.08,47.08,621100
2020-11-03,48.41,49.00,47.50,48.58,48.58,427000
2020-11-04,48.13,49.50,48.05,48.88,48.88,207200
2020-11-05,50.30,50.97,48.58,50.15,50.15,435400
2020-11-06,51.13,51.40,50.21,50.48,50.48,198800
