Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,1.62,1.62,1.62,1.62,0.70,420800
1973-02-22,1.66,1.66,1.66,1.66,0.71,92800
1973-02-23,1.70,1.70,1.70,1.70,0.73,400000
1973-02-26,1.67,1.67,1.67,1.67,0.72,187200
1973-02-27,1.55,1.55,1.55,1.55,0.66,657600
1973-02-28,1.66,1.66,1.66,1.66,0.71,235200
1973-03-01,1.68,1.68,1.68,1.68,0.72,235200
1973-03-02,1.70,1.70,1.70,1.70,0.73,128000
1973-03-05,1.66,1.66,1.66,1.66,0.71,244800
1973-03-06,1.66,1.66,1.66,1.66,0.71,235200
1973-03-07,1.70,1.70,1.70,1.70,0.73,478400
1973-03-08,1.75,1.75,1.75,1.75,0.75,299200
1973-03-09,1.72,1.72,1.72,1.72,0.74,726400
1973-03-12,1.77,1.77,1.77,1.77,0.76,166400
1973-03-13,1.77,1.77,1.77,1.77,0.76,115200
1973-03-14,1.75,1.75,1.75,1.75,0.75,36800
1973-03-15,1.77,1.77,1.77,1.77,0.76,80000
1973-03-16,1.79,1.79,1.79,1.79,0.77,86400
1973-03-19,1.77,1.77,1.77,1.77,0.76,67200
1973-03-20,1.80,1.80,1.80,1.80,0.77,72000
1973-03-21,1.76,1.76,1.76,1.76,0.75,62400
1973-03-22,1.69,1.69,1.69,1.69,0.72,516800
1973-03-23,1.69,1.69,1.69,1.69,0.72,89600
1973-03-26,1.68,1.68,1.68,1.68,0.72,75200
1973-03-27,1.71,1.71,1.71,1.71,0.73,168000
1973-03-28,1.73,1.73,1.73,1.73,0.74,148800
1973-03-29,1.75,1.75,1.75,1.75,0.75,217600
1973-03-30,1.77,1.77,1.77,1.77,0.76,222400
1973-04-02,1.74,1.74,1.74,1.74,0.75,193600
1973-04-03,1.69,1.69,1.69,1.69,0.72,307200
1973-04-04,1.70,1.70,1.70,1.70,0.73,112000
1973-04-05,1.63,1.63,1.63,1.63,0.70,507200
1973-04-06,1.72,1.72,1.72,1.72,0.74,336000
1973-04-09,1.72,1.72,1.72,1.72,0.74,121600
1973-04-10,1.75,1.75,1.75,1.75,0.75,145600
1973-04-11,1.79,1.79,1.79,1.79,0.77,94400
1973-04-12,1.78,1.78,1.78,1.78,0.76,91200
1973-04-13,1.80,1.80,1.80,1.80,0.77,49600
1973-04-16,1.80,1.80,1.80,1.80,0.77,137600
1973-04-17,1.79,1.79,1.79,1.79,0.77,220800
1973-04-18,1.74,1.74,1.74,1.74,0.75,691200
1973-04-19,1.68,1.68,1.68,1.68,0.72,360000
1973-04-23,1.61,1.61,1.61,1.61,0.69,176000
1973-04-24,1.53,1.53,1.53,1.53,0.66,2009600
1973-04-25,1.52,1.52,1.52,1.52,0.65,208000
1973-04-26,1.56,1.56,1.56,1.56,0.67,220800
1973-04-27,1.59,1.59,1.59,1.59,0.68,403200
1973-04-30,1.59,1.59,1.59,1.59,0.68,84800
1973-05-01,1.66,1.66,1.66,1.66,0.71,155200
1973-05-02,1.66,1.66,1.66,1.66,0.71,166400
1973-05-03,0.00,1.71,1.63,1.71,0.73,476800
1973-05-04,0.00,1.71,1.67,1.71,0.73,108800
1973-05-07,0.00,1.75,1.70,1.75,0.75,406400
