Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.00,3.30,3.24,3.30,0.37,105840
1962-01-03,0.00,3.30,3.27,3.29,0.36,127680
1962-01-04,0.00,3.29,3.26,3.26,0.36,75600
1962-01-05,0.00,3.27,3.18,3.18,0.35,201600
1962-01-08,0.00,3.19,3.14,3.16,0.35,126000
1962-01-09,0.00,3.21,3.12,3.21,0.36,183120
1962-01-10,0.00,3.21,3.16,3.21,0.36,72240
1962-01-11,0.00,3.30,3.19,3.29,0.36,112560
1962-01-12,0.00,3.30,3.25,3.28,0.36,124320
1962-01-15,0.00,3.29,3.23,3.23,0.36,92400
1962-01-16,0.00,3.25,3.20,3.24,0.36,99120
1962-01-17,0.00,3.27,3.21,3.21,0.36,151200
1962-01-18,0.00,3.26,3.19,3.26,0.36,147840
1962-01-19,0.00,3.27,3.22,3.24,0.36,124320
1962-01-22,0.00,3.26,3.23,3.26,0.36,102480
1962-01-23,0.00,3.26,3.23,3.24,0.36,122640
1962-01-24,0.00,3.24,3.22,3.22,0.36,102480
1962-01-25,0.00,3.27,3.23,3.23,0.36,136080
1962-01-26,0.00,3.27,3.23,3.25,0.36,114240
1962-01-29,0.00,3.27,3.21,3.23,0.36,194880
1962-01-30,0.00,3.27,3.23,3.24,0.36,156240
1962-01-31,0.00,3.27,3.19,3.22,0.36,226800
1962-02-01,0.00,3.30,3.24,3.30,0.37,327600
1962-02-02,0.00,3.45,3.28,3.45,0.39,509040
1962-02-05,0.00,3.44,3.38,3.39,0.38,208320
1962-02-06,0.00,3.39,3.33,3.36,0.38,146160
1962-02-07,0.00,3.47,3.36,3.43,0.38,294000
1962-02-08,0.00,3.46,3.44,3.44,0.39,87360
1962-02-09,0.00,3.48,3.44,3.47,0.39,159600
1962-02-12,0.00,3.53,3.48,3.51,0.39,127680
1962-02-13,0.00,3.50,3.47,3.50,0.39,240240
1962-02-14,0.00,3.50,3.46,3.50,0.39,117600
1962-02-15,0.00,3.53,3.49,3.51,0.39,142800
1962-02-16,0.00,3.55,3.50,3.54,0.40,156240
1962-02-19,0.00,3.58,3.54,3.55,0.40,273840
1962-02-20,0.00,3.56,3.53,3.55,0.40,188160
1962-02-21,0.00,3.53,3.51,3.52,0.39,215040
1962-02-23,0.00,3.52,3.50,3.50,0.39,173040
1962-02-26,0.00,3.52,3.48,3.48,0.39,159600
1962-02-27,0.00,3.51,3.46,3.51,0.39,295680
1962-02-28,0.00,3.52,3.48,3.48,0.39,176400
1962-03-01,0.00,3.50,3.42,3.50,0.39,162960
1962-03-02,0.00,3.50,3.49,3.50,0.39,110880
1962-03-05,0.00,3.50,3.45,3.50,0.39,107520
1962-03-06,0.00,3.49,3.46,3.47,0.39,97440
1962-03-07,0.00,3.51,3.46,3.46,0.39,204960
1962-03-08,0.00,3.48,3.45,3.45,0.39,105840
1962-03-09,0.00,3.49,3.44,3.45,0.39,132720
1962-03-12,0.00,3.48,3.45,3.48,0.39,89040
1962-03-13,0.00,3.50,3.47,3.47,0.39,105840
1962-03-14,0.00,3.50,3.47,3.47,0.39,146160
1962-03-15,0.00,3.51,3.47,3.50,0.39,144480
1962-03-16,0.00,3.52,3.49,3.52,0.39,95760
1962-03-19,0.00,3.53,3.50,3.53,0.40,99120
1962-03-20,0.00,3.55,3.52,3.54,0.40,141120
1962-03-21,0.00,3.53,3.51,3.53,0.39,92400
1962-03-22,0.00,3.53,3.46,3.50,0.39,179760
1962-03-23,0.00,3.56,3.50,3.53,0.39,137760
1962-03-26,0.00,3.52,3.46,3.46,0.39,102480
1962-03-27,0.00,3.47,3.42,3.47,0.39,82320
1962-03-28,0.00,3.50,3.47,3.50,0.39,60480
1962-03-29,0.00,3.51,3.49,3.49,0.39,55440
1962-03-30,0.00,3.52,3.49,3.50,0.39,77280
1962-04-02,0.00,3.52,3.47,3.47,0.39,84000
1962-04-03,0.00,3.50,3.44,3.45,0.39,68880
1962-04-04,0.00,3.47,3.42,3.45,0.39,90720
1962-04-05,0.00,3.45,3.41,3.45,0.39,55440
1962-04-06,0.00,3.50,3.47,3.50,0.39,84000
1962-04-09,0.00,3.50,3.44,3.49,0.39,94080
1962-04-10,0.00,3.51,3.46,3.50,0.39,60480
1962-04-11,0.00,3.53,3.48,3.48,0.39,119280
1962-04-12,0.00,3.49,3.46,3.47,0.39,70560
1962-04-13,0.00,3.47,3.44,3.47,0.39,112560
1962-04-16,0.00,3.47,3.44,3.45,0.39,89040
1962-04-17,0.00,3.54,3.44,3.54,0.40,169680
1962-04-18,0.00,3.57,3.53,3.54,0.40,218400
1962-04-19,0.00,3.56,3.53,3.56,0.40,112560
1962-04-23,0.00,3.58,3.55,3.56,0.40,119280
1962-04-24,0.00,3.58,3.55,3.58,0.40,132720
1962-04-25,0.00,3.58,3.55,3.58,0.40,162960
1962-04-26,0.00,3.58,3.52,3.52,0.39,141120
1962-04-27,0.00,3.53,3.48,3.51,0.39,154560
1962-04-30,0.00,3.53,3.47,3.47,0.39,226800
1962-05-01,0.00,3.52,3.47,3.50,0.39,196560
1962-05-02,0.00,3.56,3.51,3.53,0.39,161280
1962-05-03,0.00,3.59,3.53,3.58,0.40,225120
1962-05-04,0.00,3.59,3.56,3.59,0.40,147840
1962-05-07,0.00,3.59,3.56,3.57,0.40,129360
1962-05-08,0.00,3.58,3.54,3.55,0.40,129360
1962-05-09,0.00,3.56,3.53,3.55,0.40,178080
1962-05-10,0.00,3.53,3.39,3.47,0.39,391440
1962-05-11,0.00,3.50,3.43,3.44,0.39,243600
1962-05-14,0.00,3.47,3.36,3.46,0.39,241920
1962-05-15,0.00,3.53,3.47,3.47,0.39,233520
1962-05-16,0.00,3.52,3.47,3.48,0.39,157920
1962-05-17,0.00,3.52,3.45,3.49,0.39,132720
1962-05-18,0.00,3.51,3.47,3.49,0.39,99120
1962-05-21,0.00,3.51,3.49,3.51,0.40,70560
1962-05-22,0.00,3.51,3.44,3.45,0.39,92400
1962-05-23,0.00,3.45,3.39,3.42,0.39,193200
1962-05-24,0.00,3.42,3.39,3.39,0.38,280560
1962-05-25,0.00,3.42,3.27,3.27,0.37,362880
1962-05-28,0.00,3.27,3.01,3.07,0.35,540960
1962-05-29,0.00,3.27,2.98,3.27,0.37,750960
1962-05-31,0.00,3.38,3.21,3.24,0.37,362880
1962-06-01,0.00,3.29,3.22,3.29,0.37,173040
1962-06-04,0.00,3.30,3.20,3.20,0.36,134400
1962-06-05,0.00,3.27,3.18,3.21,0.36,164640
1962-06-06,0.00,3.32,3.20,3.24,0.37,159600
1962-06-07,0.00,3.25,3.22,3.24,0.37,85680
1962-06-08,0.00,3.24,3.17,3.20,0.36,126000
1962-06-11,0.00,3.21,3.17,3.18,0.36,136080
1962-06-12,0.00,3.21,3.14,3.14,0.35,238560
1962-06-13,0.00,3.12,3.08,3.08,0.35,294000
1962-06-14,0.00,3.09,3.04,3.06,0.35,329280
1962-06-15,0.00,3.15,3.02,3.12,0.35,290640
1962-06-18,0.00,3.22,3.07,3.22,0.36,204960
1962-06-19,0.00,3.20,3.16,3.18,0.36,68880
1962-06-20,0.00,3.19,3.14,3.18,0.36,147840
1962-06-21,0.00,3.19,3.12,3.12,0.35,152880
1962-06-22,0.00,3.14,3.07,3.07,0.35,231840
1962-06-25,0.00,3.10,3.04,3.10,0.35,312480
1962-06-26,0.00,3.12,3.08,3.11,0.35,208320
1962-06-27,0.00,3.12,3.08,3.11,0.35,141120
1962-06-28,0.00,3.17,3.12,3.17,0.36,136080
1962-06-29,0.00,3.21,3.15,3.18,0.36,117600
1962-07-02,0.00,3.27,3.18,3.27,0.37,178080
1962-07-03,0.00,3.27,3.25,3.27,0.37,174720
