Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,2.80,2.62,2.62,0.86,190400
1980-03-18,0.00,2.61,2.45,2.53,0.83,196800
1980-03-19,0.00,2.62,2.55,2.56,0.84,157600
1980-03-20,0.00,2.58,2.53,2.56,0.84,100800
1980-03-21,0.00,2.55,2.50,2.50,0.82,54400
1980-03-24,0.00,2.48,2.34,2.38,0.78,131200
1980-03-25,0.00,2.33,2.19,2.22,0.73,236800
1980-03-26,0.00,2.38,2.27,2.28,0.75,190400
1980-03-27,0.00,2.16,2.03,2.09,0.69,208000
1980-03-28,0.00,2.25,2.14,2.25,0.74,308000
1980-03-31,0.00,2.34,2.27,2.31,0.76,135200
1980-04-01,0.00,2.31,2.25,2.27,0.75,98400
1980-04-02,0.00,2.38,2.31,2.31,0.76,93600
1980-04-03,0.00,2.33,2.27,2.27,0.75,90400
1980-04-07,0.00,2.30,2.25,2.25,0.74,47200
1980-04-08,0.00,2.30,2.22,2.27,0.75,64000
1980-04-09,0.00,2.36,2.25,2.33,0.77,113600
1980-04-10,0.00,2.44,2.34,2.41,0.79,52000
1980-04-11,0.00,2.56,2.47,2.48,0.82,148000
1980-04-14,0.00,2.50,2.45,2.50,0.82,96000
1980-04-15,0.00,2.58,2.50,2.50,0.82,104800
1980-04-16,0.00,2.58,2.44,2.44,0.80,147200
1980-04-17,0.00,2.47,2.38,2.39,0.79,82400
1980-04-18,0.00,2.41,2.34,2.36,0.78,30400
1980-04-21,0.00,2.41,2.34,2.36,0.78,69600
1980-04-22,0.00,2.44,2.36,2.38,0.78,223200
1980-04-23,0.00,2.47,2.41,2.41,0.79,104800
1980-04-24,0.00,2.56,2.44,2.50,0.82,167200
1980-04-25,0.00,2.62,2.53,2.62,0.86,104000
1980-04-28,0.00,2.69,2.59,2.61,0.86,138400
1980-04-29,0.00,2.59,2.53,2.53,0.83,71200
1980-04-30,0.00,2.58,2.55,2.56,0.84,36800
1980-05-01,0.00,2.58,2.52,2.52,0.83,57600
1980-05-02,0.00,2.55,2.50,2.50,0.82,28800
1980-05-05,0.00,2.56,2.50,2.53,0.83,76000
1980-05-06,0.00,2.53,2.42,2.42,0.80,55200
1980-05-07,0.00,2.45,2.39,2.42,0.80,81600
1980-05-08,0.00,2.52,2.42,2.50,0.82,132800
1980-05-09,0.00,2.50,2.39,2.39,0.79,48000
1980-05-12,0.00,2.50,2.39,2.50,0.82,73600
1980-05-13,0.00,2.64,2.55,2.62,0.86,126400
1980-05-14,0.00,2.73,2.64,2.69,0.88,90400
1980-05-15,0.00,2.73,2.69,2.69,0.88,32800
1980-05-16,0.00,2.66,2.61,2.61,0.86,52000
1980-05-19,0.00,2.59,2.53,2.53,0.83,108000
1980-05-20,0.00,2.62,2.56,2.62,0.86,84000
1980-05-21,0.00,2.73,2.67,2.69,0.88,95200
1980-05-22,0.00,2.84,2.72,2.78,0.92,164000
1980-05-23,0.00,2.83,2.77,2.81,0.93,118400
1980-05-27,0.00,2.98,2.86,2.89,0.95,142400
1980-05-28,0.00,2.95,2.84,2.95,0.97,116000
1980-05-29,0.00,2.98,2.83,2.84,0.94,113600
1980-05-30,0.00,2.86,2.80,2.83,0.93,159200
1980-06-02,0.00,2.94,2.88,2.88,0.95,106400
1980-06-03,0.00,2.91,2.86,2.86,0.94,76000
1980-06-04,0.00,2.91,2.84,2.88,0.95,68800
1980-06-05,0.00,2.91,2.80,2.83,0.93,75200
1980-06-06,0.00,2.83,2.80,2.80,0.92,65600
1980-06-09,0.00,2.91,2.80,2.89,0.95,120000
1980-06-10,0.00,3.05,2.88,2.97,0.98,167200
1980-06-11,0.00,3.00,2.94,2.97,0.98,72800
1980-06-12,0.00,2.98,2.88,2.88,0.95,87200
1980-06-13,0.00,2.88,2.81,2.86,0.94,36800
1980-06-16,0.00,2.91,2.83,2.83,0.93,54400
1980-06-17,0.00,2.83,2.78,2.78,0.92,39200
1980-06-18,0.00,2.83,2.78,2.80,0.92,57600
1980-06-19,0.00,2.83,2.80,2.80,0.92,40800
1980-06-20,0.00,2.77,2.69,2.70,0.89,85600
1980-06-23,0.00,2.70,2.67,2.69,0.88,41600
1980-06-24,0.00,2.73,2.69,2.73,0.90,47200
1980-06-25,0.00,2.80,2.72,2.72,0.89,56800
