Date,Open,High,Low,Close,Adj Close,Volume
2007-05-03,21.75,21.95,20.55,20.72,18.40,8052800
2007-05-04,21.25,21.35,20.70,20.98,18.64,5437300
2007-05-07,21.20,21.29,20.20,20.36,18.08,2646300
2007-05-08,20.00,20.00,19.30,19.63,17.44,4166100
2007-05-09,19.75,20.20,19.63,19.79,17.58,7541100
2007-05-10,19.79,19.99,19.55,19.70,17.50,3170600
2007-05-11,19.71,19.80,19.11,19.30,17.14,3539400
2007-05-14,19.15,19.39,18.75,18.89,16.78,1924800
2007-05-15,18.65,18.85,18.15,18.20,16.17,3438700
2007-05-16,18.06,18.48,18.02,18.34,16.29,2607600
2007-05-17,18.80,19.75,18.67,19.02,16.89,8979000
2007-05-18,19.47,19.49,18.54,19.31,17.15,6562200
2007-05-21,19.20,19.34,19.00,19.00,16.88,2077700
2007-05-22,19.10,19.53,19.00,19.48,17.30,4014700
2007-05-23,19.50,19.70,19.10,19.21,17.06,2387100
2007-05-24,19.21,19.33,18.85,19.02,16.89,2362000
2007-05-25,19.02,19.05,18.69,18.76,16.66,895000
2007-05-29,18.91,19.20,18.85,19.09,16.96,2918800
2007-05-30,19.05,19.15,18.81,18.98,16.86,2829300
2007-05-31,19.15,19.28,19.03,19.05,16.92,3435200
2007-06-01,19.10,19.80,19.05,19.55,17.37,2299400
2007-06-04,18.70,19.05,18.69,18.84,16.73,5692700
2007-06-05,18.85,19.04,18.73,18.95,16.83,4510000
2007-06-06,18.70,18.93,18.65,18.93,16.81,2595300
2007-06-07,18.77,18.85,18.15,18.48,16.41,3062100
2007-06-08,18.20,18.83,18.20,18.83,16.73,2124100
2007-06-11,18.55,18.82,18.22,18.38,16.33,1870000
2007-06-12,18.15,18.71,18.02,18.40,16.34,8636200
2007-06-13,18.48,18.70,18.36,18.64,16.56,3110200
2007-06-14,18.50,19.01,18.43,18.90,16.79,8069700
2007-06-15,18.89,19.14,18.45,18.88,16.77,3418900
