Date,Open,High,Low,Close,Adj Close,Volume
2006-10-25,23.57,23.90,23.50,23.83,15.09,4310700
2006-10-26,23.73,24.00,23.53,24.00,15.20,2403900
2006-10-27,24.00,24.00,23.69,23.93,15.16,1675700
2006-10-30,24.00,24.20,23.75,23.89,15.13,1101800
2006-10-31,23.85,24.00,23.75,23.85,15.11,2199500
2006-11-01,23.78,23.92,23.77,23.90,15.14,1585200
2006-11-02,23.90,23.95,23.55,23.64,14.97,2192900
2006-11-03,23.58,23.60,23.00,23.20,14.70,2997700
2006-11-06,23.05,23.26,22.99,23.03,14.59,2595700
2006-11-07,23.02,23.50,23.02,23.30,14.76,1179700
2006-11-08,23.25,23.54,23.17,23.38,14.81,1369400
2006-11-09,23.35,23.68,23.32,23.60,14.95,887100
2006-11-10,23.65,24.15,23.60,24.10,15.27,1051500
2006-11-13,24.20,24.60,24.13,24.31,15.40,1472100
2006-11-14,24.31,24.66,24.26,24.54,15.54,1088000
2006-11-15,24.50,24.65,24.33,24.44,15.48,778300
2006-11-16,24.35,24.50,24.32,24.47,15.50,1089500
2006-11-17,24.45,24.50,24.08,24.44,15.48,490700
2006-11-20,25.75,25.87,25.03,25.30,16.03,2497100
2006-11-21,25.18,25.95,25.10,25.88,16.39,850600
2006-11-22,25.90,26.80,25.88,25.99,16.46,575000
2006-11-24,26.00,26.54,26.00,26.36,16.70,206400
2006-11-27,26.41,26.60,25.70,25.87,16.39,547200
2006-11-28,25.75,25.76,24.88,25.35,16.06,937300
2006-11-29,25.36,26.10,25.36,25.87,16.39,413700
2006-11-30,25.75,26.60,25.57,26.30,16.66,252800
2006-12-01,26.35,26.52,25.94,26.02,16.48,373000
2006-12-04,26.13,26.70,26.03,26.49,16.78,702400
2006-12-05,26.39,26.70,26.30,26.60,16.85,555900
2006-12-06,26.45,26.49,25.32,26.15,16.56,402600
2006-12-07,26.15,26.22,25.96,26.09,16.53,239100
2006-12-08,26.10,26.10,25.32,25.58,16.20,368300
2006-12-11,25.73,26.40,25.73,26.00,16.47,437300
2006-12-12,26.00,26.40,25.87,26.12,16.54,514200
2006-12-13,25.90,26.14,25.81,26.07,16.51,231100
2006-12-14,26.14,26.69,26.14,26.25,16.63,1878900
2006-12-15,26.35,27.07,26.35,26.50,16.79,4067100
2006-12-18,26.73,26.76,26.39,26.57,16.83,456200
2006-12-19,26.47,26.47,25.99,26.29,16.65,732200
2006-12-20,26.17,26.45,26.00,26.19,16.59,265000
2006-12-21,26.05,26.37,26.02,26.23,16.61,509600
2006-12-22,26.20,26.24,25.50,25.70,16.28,337100
2006-12-26,25.80,26.02,25.61,25.66,16.25,166800
2006-12-27,25.50,26.27,25.39,26.18,16.66,792000
2006-12-28,26.13,26.29,25.81,26.26,16.71,941100
2006-12-29,26.29,26.77,26.01,26.59,16.92,526900
2007-01-03,26.59,26.97,26.41,26.68,16.98,558900
2007-01-04,26.40,26.41,25.79,26.22,16.69,851200
2007-01-05,26.13,26.29,25.64,25.70,16.36,439000
2007-01-08,25.90,25.90,25.30,25.46,16.20,608500
2007-01-09,25.05,25.50,25.05,25.24,16.06,598700
2007-01-10,25.23,25.77,25.19,25.64,16.32,286600
2007-01-11,25.75,26.64,25.75,26.32,16.75,775100
2007-01-12,26.30,26.54,26.06,26.10,16.61,382700
2007-01-16,26.55,26.68,26.20,26.54,16.89,438500
2007-01-17,26.50,27.15,26.47,27.14,17.27,516600
2007-01-18,27.21,27.72,27.21,27.45,17.47,322500
2007-01-19,27.41,27.86,27.29,27.65,17.60,189400
2007-01-22,27.88,27.93,26.86,27.24,17.34,917400
2007-01-23,27.14,27.18,26.65,26.88,17.11,606700
2007-01-24,26.97,27.22,26.76,26.95,17.15,837300
2007-01-25,27.02,27.62,26.97,27.39,17.43,1506500
2007-01-26,27.28,27.42,26.96,27.15,17.28,804400
2007-01-29,27.25,27.35,27.09,27.30,17.37,506200
2007-01-30,27.45,27.50,26.97,27.23,17.33,914400
2007-01-31,27.17,27.57,27.05,27.36,17.41,1439500
2007-02-01,27.37,27.73,27.35,27.73,17.65,616200
2007-02-02,28.08,28.97,28.03,28.80,18.33,1087500
2007-02-05,28.80,28.80,28.45,28.70,18.26,534800
2007-02-06,28.62,28.81,28.51,28.79,18.32,992800
2007-02-07,28.66,29.16,28.66,28.76,18.30,324600
2007-02-08,28.72,29.02,28.64,29.01,18.46,298900
2007-02-09,29.00,29.00,28.17,28.50,18.14,291700
2007-02-12,28.46,28.46,27.00,27.85,17.72,679000
2007-02-13,27.90,28.14,27.52,28.03,17.84,691500
2007-02-14,28.10,28.10,27.66,27.76,17.67,371700
2007-02-15,27.81,28.54,27.61,28.25,17.98,1059200
2007-02-16,28.20,28.36,28.04,28.31,18.02,248100
2007-02-20,28.06,29.20,28.06,28.97,18.44,411800
2007-02-21,29.27,29.28,28.66,28.75,18.30,867600
2007-02-22,28.85,28.87,28.30,28.42,18.09,226500
2007-02-23,28.43,28.48,27.97,28.17,17.93,696800
2007-02-26,28.25,28.30,27.89,28.15,17.91,395900
2007-02-27,28.00,28.00,27.05,27.61,17.57,900500
2007-02-28,27.57,27.75,27.30,27.70,17.63,579400
2007-03-01,27.36,28.10,22.16,27.71,17.63,1014100
2007-03-02,27.82,27.84,27.38,27.52,17.51,889100
2007-03-05,27.40,27.42,26.37,26.51,16.87,552200
2007-03-06,26.52,27.16,26.52,26.78,17.04,846100
2007-03-07,26.86,26.90,26.39,26.42,16.81,344200
2007-03-08,26.59,27.12,26.59,26.82,17.07,827600
2007-03-09,26.75,27.50,26.75,27.37,17.42,885500
2007-03-12,27.37,27.44,27.25,27.37,17.42,195800
2007-03-13,27.24,27.50,26.87,27.00,17.18,571600
2007-03-14,26.75,27.10,26.64,26.90,17.12,987400
