Date,Open,High,Low,Close,Adj Close,Volume
1978-12-29,0.00,0.09,0.08,0.09,0.08,654224
1979-01-02,0.09,0.09,0.09,0.09,0.08,0
1979-01-03,0.00,0.09,0.09,0.09,0.08,168832
1979-01-04,0.00,0.09,0.09,0.09,0.08,177274
1979-01-05,0.00,0.10,0.09,0.10,0.09,333443
1979-01-08,0.00,0.10,0.09,0.10,0.09,299677
1979-01-09,0.00,0.10,0.09,0.09,0.09,818835
1979-01-10,0.00,0.10,0.09,0.09,0.09,502275
1979-01-11,0.00,0.09,0.09,0.09,0.08,143507
1979-01-12,0.00,0.09,0.09,0.09,0.09,582470
1979-01-15,0.00,0.09,0.09,0.09,0.08,194157
1979-01-16,0.00,0.09,0.09,0.09,0.08,447405
1979-01-17,0.00,0.09,0.09,0.09,0.08,177274
1979-01-18,0.00,0.09,0.09,0.09,0.09,88637
1979-01-19,0.00,0.09,0.09,0.09,0.09,624678
1979-01-22,0.00,0.10,0.09,0.10,0.09,590912
1979-01-23,0.00,0.10,0.09,0.09,0.09,54870
1979-01-24,0.00,0.09,0.09,0.09,0.08,388314
1979-01-25,0.00,0.09,0.09,0.09,0.08,173053
1979-01-26,0.00,0.09,0.09,0.09,0.08,160390
1979-01-29,0.00,0.09,0.09,0.09,0.08,189936
1979-01-30,0.00,0.09,0.09,0.09,0.08,156170
1979-01-31,0.00,0.09,0.09,0.09,0.08,240586
1979-02-01,0.00,0.09,0.09,0.09,0.08,362989
1979-02-02,0.00,0.09,0.09,0.09,0.08,122403
1979-02-05,0.00,0.09,0.09,0.09,0.08,173053
1979-02-06,0.00,0.09,0.09,0.09,0.08,88637
1979-02-07,0.00,0.08,0.08,0.08,0.08,143507
1979-02-08,0.00,0.09,0.08,0.08,0.08,181494
1979-02-09,0.00,0.08,0.08,0.08,0.08,215261
1979-02-12,0.00,0.09,0.08,0.09,0.08,650003
1979-02-13,0.00,0.09,0.09,0.09,0.08,430522
1979-02-14,0.00,0.09,0.09,0.09,0.08,156170
1979-02-15,0.00,0.09,0.09,0.09,0.08,101299
1979-02-16,0.00,0.09,0.09,0.09,0.08,312339
1979-02-20,0.00,0.09,0.09,0.09,0.08,181494
1979-02-21,0.00,0.09,0.09,0.09,0.08,384093
1979-02-22,0.00,0.10,0.09,0.09,0.09,928576
1979-02-23,0.00,0.10,0.10,0.10,0.09,1000330
1979-02-26,0.00,0.10,0.09,0.09,0.09,253248
1979-02-27,0.00,0.10,0.09,0.09,0.09,498054
1979-02-28,0.00,0.10,0.09,0.10,0.09,991888
1979-03-01,0.00,0.10,0.10,0.10,0.10,249027
1979-03-02,0.00,0.10,0.10,0.10,0.09,274352
1979-03-05,0.00,0.10,0.10,0.10,0.09,223702
1979-03-06,0.00,0.10,0.10,0.10,0.09,156170
1979-03-07,0.00,0.10,0.10,0.10,0.10,282794
1979-03-08,0.00,0.11,0.10,0.11,0.10,1836048
1979-03-09,0.00,0.11,0.11,0.11,0.10,886368
1979-03-12,0.00,0.12,0.11,0.12,0.11,1599683
1979-03-13,0.00,0.12,0.11,0.11,0.10,552925
1979-03-14,0.00,0.11,0.11,0.11,0.10,485392
1979-03-15,0.00,0.11,0.11,0.11,0.10,177274
1979-03-16,0.00,0.12,0.11,0.12,0.11,1059421
1979-03-19,0.00,0.12,0.11,0.12,0.11,1034096
1979-03-20,0.00,0.12,0.12,0.12,0.11,519158
1979-03-21,0.00,0.12,0.12,0.12,0.11,1253578
1979-03-22,0.00,0.13,0.12,0.12,0.11,1063642
1979-03-23,0.00,0.12,0.12,0.12,0.11,460067
1979-03-26,0.00,0.12,0.12,0.12,0.11,434742
1979-03-27,0.00,0.12,0.12,0.12,0.11,569808
1979-03-28,0.00,0.12,0.12,0.12,0.11,303898
1979-03-29,0.00,0.12,0.12,0.12,0.11,173053
1979-03-30,0.00,0.12,0.12,0.12,0.11,346106
1979-04-02,0.00,0.12,0.12,0.12,0.11,371430
1979-04-03,0.00,0.13,0.12,0.13,0.12,2296115
1979-04-04,0.00,0.14,0.13,0.14,0.13,2275011
1979-04-05,0.00,0.15,0.13,0.14,0.13,4642880
1979-04-06,0.00,0.14,0.13,0.13,0.12,1549034
1979-04-09,0.00,0.14,0.13,0.13,0.12,1439293
1979-04-10,0.00,0.14,0.13,0.13,0.12,1046758
1979-04-11,0.00,0.14,0.13,0.13,0.12,540262
1979-04-12,0.00,0.13,0.12,0.13,0.12,945459
1979-04-16,0.00,0.12,0.12,0.12,0.11,738640
1979-04-17,0.00,0.13,0.12,0.13,0.12,1173382
1979-04-18,0.00,0.13,0.12,0.12,0.11,299677
1979-04-19,0.00,0.12,0.12,0.12,0.11,434742
1979-04-20,0.00,0.12,0.12,0.12,0.11,211040
1979-04-23,0.00,0.12,0.12,0.12,0.11,185715
1979-04-24,0.00,0.12,0.12,0.12,0.11,194157
1979-04-25,0.00,0.12,0.12,0.12,0.11,12662
1979-04-26,0.00,0.12,0.11,0.12,0.11,122403
1979-04-27,0.00,0.12,0.11,0.12,0.11,447405
1979-04-30,0.00,0.12,0.11,0.12,0.11,413638
1979-05-01,0.00,0.11,0.11,0.11,0.10,198378
1979-05-02,0.00,0.11,0.11,0.11,0.10,574029
1979-05-03,0.00,0.11,0.11,0.11,0.10,194157
1979-05-04,0.00,0.11,0.10,0.11,0.10,278573
1979-05-07,0.00,0.11,0.10,0.10,0.10,350326
1979-05-08,0.00,0.10,0.10,0.10,0.09,654224
1979-05-09,0.00,0.10,0.10,0.10,0.10,848381
1979-05-10,0.00,0.11,0.10,0.10,0.09,371430
