Date,Open,High,Low,Close,Adj Close,Volume
1995-05-09,5.44,5.96,5.44,5.81,3.46,2629321
1995-05-10,5.96,6.33,5.96,6.18,3.68,4705896
1995-05-11,6.18,6.41,6.18,6.33,3.77,3039098
1995-05-12,6.33,6.41,6.26,6.26,3.73,1584909
1995-05-15,6.26,6.33,6.26,6.26,3.73,1119421
1995-05-16,6.26,6.33,6.18,6.26,3.73,1203826
1995-05-17,6.26,6.26,6.03,6.11,3.64,1458888
1995-05-18,6.11,6.26,6.11,6.18,3.68,420349
1995-05-19,6.26,6.26,6.11,6.18,3.68,414476
1995-05-22,6.48,6.78,6.41,6.63,3.95,1283868
1995-05-23,6.56,6.78,6.48,6.70,3.99,1303502
1995-05-24,6.70,6.70,6.56,6.56,3.90,989708
1995-05-25,6.56,6.56,6.33,6.41,3.81,510628
1995-05-26,6.48,6.48,6.41,6.48,3.86,613659
1995-05-30,6.41,6.78,6.26,6.63,3.95,1501510
1995-05-31,6.48,6.70,6.41,6.56,3.90,2194037
1995-06-01,6.48,6.56,6.33,6.48,3.86,1504531
1995-06-02,6.41,6.48,6.33,6.41,3.81,834657
1995-06-05,6.41,6.63,6.33,6.56,3.90,3204050
1995-06-06,6.48,6.63,6.48,6.56,3.90,2015158
1995-06-07,6.56,6.70,6.48,6.56,3.90,1190066
1995-06-08,6.56,6.78,6.56,6.63,3.95,1448149
1995-06-09,6.56,6.70,6.56,6.56,3.90,1782918
1995-06-12,6.63,6.63,6.56,6.56,3.90,2554648
1995-06-13,6.48,6.63,6.48,6.63,3.95,1734422
1995-06-14,6.56,6.70,6.56,6.63,3.95,1136201
1995-06-15,6.63,6.85,6.63,6.70,3.99,1744826
1995-06-16,6.70,6.78,6.63,6.63,3.95,1245609
1995-06-19,6.63,6.78,6.56,6.78,4.04,1539098
1995-06-20,6.70,6.85,6.63,6.70,3.99,2288343
1995-06-21,6.70,6.70,6.48,6.48,3.86,1784260
1995-06-22,6.48,6.56,6.33,6.41,3.81,2418056
1995-06-23,6.48,6.70,6.48,6.48,3.86,1266417
1995-06-26,6.48,6.63,6.41,6.41,3.81,1429858
1995-06-27,6.41,6.70,6.41,6.63,3.95,1263900
1995-06-28,6.48,6.70,6.48,6.70,3.99,1961125
1995-06-29,6.56,6.78,6.56,6.63,3.95,1098109
1995-06-30,6.70,6.70,6.48,6.48,3.86,1102137
1995-07-03,6.41,6.56,6.41,6.56,3.90,299866
1995-07-05,6.48,6.70,6.48,6.63,3.95,938528
1995-07-06,6.63,6.70,6.48,6.48,3.86,1517116
1995-07-07,6.48,6.70,6.33,6.63,3.95,1615785
1995-07-10,6.56,6.63,6.41,6.41,3.81,627251
1995-07-11,6.33,6.56,6.33,6.41,3.81,1358877
1995-07-12,6.41,6.41,6.26,6.26,3.73,1030317
1995-07-13,6.18,6.26,6.03,6.26,3.73,2453798
1995-07-14,6.11,6.26,6.03,6.26,3.73,1149961
1995-07-17,6.26,6.33,6.18,6.18,3.68,947421
1995-07-18,6.18,6.33,6.18,6.26,3.73,4018067
1995-07-19,6.26,6.26,6.11,6.18,3.68,1287728
1995-07-20,6.18,6.26,6.11,6.18,3.68,1097103
1995-07-21,6.18,6.26,6.11,6.18,3.68,960007
1995-07-24,6.11,6.41,6.11,6.33,3.77,1604374
1995-07-25,6.26,6.48,6.26,6.33,3.77,898087
1995-07-26,6.33,6.41,6.26,6.41,3.81,1296286
1995-07-27,6.33,6.56,6.33,6.48,3.86,1643976
1995-07-28,6.41,6.48,6.33,6.33,3.77,651751
1995-07-31,6.33,6.48,6.33,6.48,3.86,731793
1995-08-01,6.41,6.41,6.26,6.26,3.73,1008502
1995-08-02,6.26,6.41,6.26,6.26,3.73,1249469
1995-08-03,6.26,6.33,6.26,6.26,3.73,979975
1995-08-04,6.26,6.33,6.11,6.11,3.64,1071093
1995-08-07,6.11,6.26,6.11,6.26,3.73,1070086
1995-08-08,6.26,6.41,6.18,6.26,3.73,1603535
1995-08-09,6.26,6.33,6.11,6.11,3.64,1522486
1995-08-10,6.11,6.18,5.88,5.96,3.55,1727207
1995-08-11,5.96,6.11,5.81,5.88,3.50,1148618
1995-08-14,5.88,5.96,5.81,5.88,3.50,991218
1995-08-15,5.88,5.96,5.81,5.88,3.50,1258194
1995-08-16,5.88,6.03,5.81,5.96,3.55,1688108
1995-08-17,5.96,6.11,5.96,6.11,3.64,1783253
1995-08-18,6.18,6.41,6.18,6.33,3.77,1335216
1995-08-21,6.33,6.48,6.11,6.11,3.64,1349815
1995-08-22,6.33,6.70,6.33,6.56,3.90,2717250
1995-08-23,6.48,6.63,6.33,6.33,3.77,1014040
1995-08-24,6.33,6.41,6.26,6.26,3.73,822743
1995-08-25,6.26,6.33,6.18,6.18,3.68,1359716
1995-08-28,6.26,6.26,6.03,6.18,3.68,474382
1995-08-29,6.11,6.18,6.03,6.11,3.64,598221
1995-08-30,6.03,6.18,5.96,6.03,3.59,1036861
1995-08-31,6.03,6.18,6.03,6.11,3.64,1533393
1995-09-01,6.03,6.11,5.96,5.96,3.55,612485
1995-09-05,6.03,6.11,5.96,6.03,3.59,731290
1995-09-06,6.18,6.63,6.18,6.48,3.86,2635194
1995-09-07,6.41,6.63,6.41,6.48,3.86,883656
1995-09-08,6.48,6.70,6.48,6.70,3.99,906309
1995-09-11,6.70,7.00,6.70,6.93,4.12,1534400
1995-09-12,7.00,7.00,6.70,6.93,4.12,877615
1995-09-13,6.78,6.93,6.70,6.85,4.08,1074617
1995-09-14,6.70,6.85,6.70,6.85,4.08,531435
1995-09-15,6.93,6.93,6.48,6.56,3.90,929466
1995-09-18,6.56,6.70,6.48,6.63,3.95,882649
1995-09-19,6.63,6.85,6.63,6.78,4.04,863352
1995-09-20,6.78,6.93,6.56,6.56,3.90,1477179
1995-09-21,6.56,6.56,6.41,6.56,3.90,1510739
1995-09-22,6.41,6.63,6.33,6.56,3.90,829791
1995-09-25,6.56,6.78,6.48,6.78,4.04,555935
1995-09-26,6.70,6.85,6.70,6.85,4.08,887515
1995-09-27,6.70,6.85,6.70,6.85,4.08,829455
1995-09-28,6.78,6.93,6.70,6.93,4.12,755957
1995-09-29,6.85,6.93,6.78,6.85,4.08,628594
1995-10-02,6.78,6.93,6.70,6.85,4.08,1453350
1995-10-03,6.78,6.85,6.70,6.85,4.08,763508
1995-10-04,6.78,6.85,6.63,6.63,3.95,822072
1995-10-05,6.63,6.78,6.56,6.78,4.05,437968
1995-10-06,6.70,6.78,6.63,6.78,4.05,453910
1995-10-09,6.70,6.85,6.70,6.85,4.09,424880
1995-10-10,6.70,6.93,6.70,6.93,4.14,737163
1995-10-11,6.85,6.93,6.85,6.93,4.14,457769
1995-10-12,6.93,7.08,6.85,7.00,4.18,361450
1995-10-13,7.00,7.08,6.93,6.93,4.14,452903
1995-10-16,6.85,6.93,6.78,6.93,4.14,697897
1995-10-17,6.85,6.93,6.78,6.85,4.09,446359
1995-10-18,6.85,6.93,6.85,6.85,4.09,274527
1995-10-19,6.85,7.00,6.85,7.00,4.18,496029
1995-10-20,6.93,7.00,6.93,7.00,4.18,402226
1995-10-23,6.93,7.15,6.85,7.08,4.23,868218
1995-10-24,7.08,7.11,6.93,7.00,4.18,382090
1995-10-25,6.93,7.00,6.85,6.93,4.14,544692
1995-10-26,6.85,7.00,6.78,6.78,4.05,455923
1995-10-27,6.78,6.85,6.70,6.70,4.01,1034679
1995-10-30,6.70,6.85,6.70,6.78,4.05,791196
1995-10-31,6.78,6.93,6.70,6.78,4.05,908155
1995-11-01,6.70,6.85,6.70,6.78,4.05,541839
1995-11-02,6.78,7.00,6.78,7.00,4.18,444177
1995-11-03,6.93,7.00,6.93,7.00,4.18,485793
1995-11-06,7.00,7.08,6.93,7.00,4.18,538315
1995-11-07,7.00,7.08,7.00,7.00,4.18,494518
1995-11-08,7.00,7.08,7.00,7.08,4.23,199687
1995-11-09,7.08,7.15,7.00,7.08,4.23,509621
1995-11-10,7.00,7.00,6.93,6.93,4.14,166965
1995-11-13,7.00,7.00,6.93,6.93,4.14,217474
1995-11-14,6.93,7.00,6.70,6.78,4.05,709140
1995-11-15,6.78,7.00,6.70,7.00,4.18,1196275
1995-11-16,6.93,7.00,6.85,6.85,4.09,707629
1995-11-17,6.93,6.93,6.78,6.85,4.09,1170265
1995-11-20,6.85,6.93,6.85,6.93,4.14,315472
1995-11-21,6.85,7.00,6.85,6.85,4.09,534456
1995-11-22,6.85,6.85,6.63,6.70,4.01,807473
1995-11-24,6.70,6.78,6.63,6.70,4.01,242812
1995-11-27,6.70,6.93,6.70,6.85,4.09,1158854
1995-11-28,6.85,7.00,6.85,7.00,4.18,747399
1995-11-29,6.93,7.00,6.85,7.00,4.18,294496
1995-11-30,6.85,6.93,6.78,6.85,4.09,538147
1995-12-01,6.85,7.00,6.85,7.00,4.18,424041
1995-12-04,6.93,7.00,6.85,7.00,4.18,254726
1995-12-05,6.93,7.00,6.85,7.00,4.18,603423
1995-12-06,7.15,7.23,6.93,7.00,4.18,2025394
1995-12-07,6.93,6.93,6.85,6.93,4.14,515326
1995-12-08,6.85,6.93,6.70,6.85,4.09,1208357
1995-12-11,6.85,6.93,6.78,6.93,4.14,516165
1995-12-12,6.85,6.93,6.85,6.93,4.14,482604
1995-12-13,6.85,6.93,6.78,6.93,4.14,857814
1995-12-14,6.93,7.23,6.78,7.23,4.32,802607
1995-12-15,7.15,7.15,6.93,7.00,4.18,1971865
1995-12-18,7.00,7.08,7.00,7.08,4.23,465153
1995-12-19,7.08,7.15,7.00,7.15,4.27,589495
1995-12-20,7.08,7.15,6.93,7.00,4.18,931480
1995-12-21,7.00,7.08,7.00,7.00,4.18,406253
1995-12-22,7.00,7.00,6.85,6.85,4.09,717194
1995-12-26,6.85,6.93,6.85,6.93,4.14,157568
1995-12-27,6.93,7.00,6.93,6.93,4.14,243651
1995-12-28,6.93,7.00,6.85,6.93,4.14,274024
1995-12-29,6.93,7.08,6.85,7.08,4.23,553250
1996-01-02,6.93,7.08,6.85,7.00,4.18,547041
1996-01-03,6.93,7.00,6.85,6.93,4.14,535798
1996-01-04,7.00,7.00,6.70,6.85,4.09,1321457
1996-01-05,6.70,6.78,6.70,6.70,4.01,1090558
1996-01-08,6.70,6.78,6.63,6.78,4.05,132733
1996-01-09,6.70,6.78,6.48,6.63,3.96,483276
1996-01-10,6.56,6.56,6.33,6.48,3.87,667524
1996-01-11,6.41,6.70,6.41,6.63,3.96,763173
1996-01-12,6.63,7.00,6.63,7.00,4.18,760488
1996-01-15,7.00,7.00,6.93,6.93,4.14,322184
1996-01-16,7.00,7.00,6.93,7.00,4.18,377895
1996-01-17,6.93,7.00,6.93,6.93,4.14,602081
1996-01-18,6.93,7.00,6.85,6.85,4.09,551740
1996-01-19,6.78,6.93,6.78,6.93,4.14,477235
1996-01-22,6.93,7.00,6.93,7.00,4.18,367826
1996-01-23,6.93,7.00,6.85,6.93,4.14,445352
1996-01-24,6.93,7.08,6.93,7.08,4.23,323862
1996-01-25,7.00,7.00,6.93,7.00,4.18,524388
1996-01-26,6.93,7.00,6.85,6.93,4.14,467670
