Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,15.00,15.00,15.00,15.00,15.00,100
2021-03-25,13.50,14.98,13.50,14.98,14.98,16136600
2021-03-26,14.50,15.09,13.76,15.08,15.08,4730500
2021-03-29,15.00,15.15,14.31,14.94,14.94,1313500
2021-03-30,14.87,14.95,14.16,14.64,14.64,763100
2021-03-31,14.52,14.85,13.88,14.71,14.71,1189400
2021-04-01,14.39,14.95,13.90,14.77,14.77,1862100
2021-04-05,14.73,14.83,13.96,14.56,14.56,536000
2021-04-06,14.39,15.09,13.99,14.90,14.90,1022500
2021-04-07,14.80,15.04,14.69,14.75,14.75,1939600
2021-04-08,14.75,14.93,14.45,14.92,14.92,413400
2021-04-09,14.82,15.07,14.28,14.80,14.80,286000
2021-04-12,14.74,14.86,14.26,14.72,14.72,392200
2021-04-13,14.83,14.95,14.03,14.53,14.53,434800
2021-04-14,14.50,15.00,14.07,14.81,14.81,337700
2021-04-15,14.85,14.89,14.05,14.36,14.36,1414500
2021-04-16,14.34,14.65,14.11,14.34,14.34,652900
2021-04-19,14.66,14.84,13.80,14.04,14.04,592900
2021-04-20,14.65,14.65,14.08,14.31,14.31,916400
2021-04-21,14.41,15.15,14.27,15.00,15.00,1485800
2021-04-22,15.15,15.49,14.94,15.27,15.27,1688400
2021-04-23,15.27,16.58,15.25,16.31,16.31,1138800
2021-04-26,16.19,17.43,16.17,17.11,17.11,1634200
2021-04-27,17.30,17.65,17.00,17.49,17.49,2187400
2021-04-28,17.50,18.12,17.26,17.84,17.84,3099900
2021-04-29,17.87,18.24,17.29,17.99,17.99,1398800
2021-04-30,17.92,18.15,17.75,18.00,18.00,984200
2021-05-03,18.10,18.33,17.82,17.96,17.96,1509000
2021-05-04,17.85,18.06,17.01,17.38,17.38,1142000
2021-05-05,17.19,17.80,16.47,17.21,17.21,581600
2021-05-06,17.25,17.77,17.03,17.31,17.31,630800
2021-05-07,17.12,17.79,17.04,17.71,17.71,323600
2021-05-10,17.72,17.99,17.41,17.74,17.74,578500
2021-05-11,17.47,17.47,16.62,16.83,16.83,1178600
2021-05-12,16.82,16.84,16.08,16.37,16.37,1016200
2021-05-13,16.38,16.91,16.38,16.63,16.63,895100
2021-05-14,16.50,17.69,15.94,17.02,17.02,1716500
2021-05-17,17.11,17.11,16.09,16.30,16.30,619900
2021-05-18,16.33,16.54,15.69,15.75,15.75,305200
2021-05-19,14.30,16.26,14.02,15.90,15.90,791400
2021-05-20,15.87,16.48,15.87,16.32,16.32,383100
2021-05-21,16.56,16.88,16.26,16.88,16.88,190300
2021-05-24,17.00,17.10,16.56,16.93,16.93,363900
2021-05-25,16.95,17.23,16.68,17.22,17.22,398300
2021-05-26,17.12,17.69,17.06,17.52,17.52,436300
2021-05-27,17.58,17.66,16.98,17.34,17.34,219800
2021-05-28,17.47,17.47,16.74,16.88,16.88,209900
2021-06-01,17.00,17.07,16.69,16.90,16.90,269500
2021-06-02,16.99,17.03,16.53,16.97,16.97,314200
2021-06-03,16.90,17.02,16.42,17.01,17.01,315100
2021-06-04,17.12,17.24,16.84,17.14,17.14,487200
2021-06-07,17.00,17.00,16.53,16.94,16.94,681900
2021-06-08,17.05,17.45,16.64,17.41,17.41,344900
2021-06-09,17.89,17.96,17.27,17.43,17.43,319700
2021-06-10,17.40,17.57,17.05,17.11,17.11,186900
2021-06-11,17.00,17.64,16.93,17.37,17.37,167200
2021-06-14,17.55,18.27,17.49,18.07,18.07,516100
2021-06-15,18.06,18.25,17.57,17.96,17.96,466300
2021-06-16,18.05,18.61,17.72,18.46,18.46,753000
2021-06-17,18.45,18.60,17.52,17.82,17.82,983300
2021-06-18,17.91,18.39,17.51,17.75,17.75,3811000
2021-06-21,17.99,18.37,16.77,17.39,17.39,817200
2021-06-22,17.34,17.51,16.72,17.47,17.47,608600
2021-06-23,17.44,17.67,16.86,17.11,17.11,465100
2021-06-24,17.12,17.60,16.92,17.20,17.20,483700
2021-06-25,17.19,17.80,17.08,17.40,17.40,3832800
2021-06-28,17.44,17.77,17.12,17.49,17.49,587300
2021-06-29,17.55,17.72,17.22,17.64,17.64,757300
2021-06-30,17.64,17.96,17.44,17.91,17.91,726800
2021-07-01,17.91,18.11,17.51,17.84,17.84,455300
2021-07-02,17.90,17.91,17.33,17.66,17.66,338500
2021-07-06,17.66,17.91,17.47,17.86,17.86,549400
2021-07-07,17.82,17.82,17.08,17.35,17.35,1272700
2021-07-08,17.16,17.82,16.75,17.75,17.75,1101300
2021-07-09,17.80,17.88,17.29,17.66,17.66,432800
2021-07-12,17.82,18.22,17.63,18.15,18.15,845300
2021-07-13,18.08,18.15,17.17,17.20,17.20,608500
2021-07-14,17.22,17.79,17.17,17.23,17.23,424600
2021-07-15,17.16,17.37,16.40,16.47,16.47,199500
2021-07-16,16.57,16.84,16.24,16.39,16.39,196500
2021-07-19,15.92,16.22,15.70,15.93,15.93,359000
2021-07-20,15.96,16.38,15.78,16.27,16.27,585500
2021-07-21,16.26,16.57,16.11,16.22,16.22,244300
2021-07-22,16.26,16.92,16.00,16.08,16.08,307500
2021-07-23,16.07,16.14,15.86,16.10,16.10,228300
2021-07-26,16.05,16.42,16.04,16.38,16.38,192000
2021-07-27,16.36,16.48,16.08,16.43,16.43,220500
2021-07-28,16.54,16.81,16.28,16.71,16.71,169600
2021-07-29,16.86,17.03,16.55,16.57,16.57,292300
2021-07-30,16.53,16.84,16.53,16.68,16.68,178000
2021-08-02,16.70,17.03,16.64,16.85,16.85,284400
2021-08-03,16.88,17.48,16.59,17.22,17.22,518800
2021-08-04,17.13,17.29,16.60,17.18,17.18,443100
2021-08-05,16.83,17.07,16.50,16.63,16.63,202600
2021-08-06,16.63,16.79,16.54,16.63,16.63,155200
2021-08-09,16.64,16.64,16.17,16.21,16.21,335600
2021-08-10,16.25,16.28,15.98,16.17,16.17,152200
2021-08-11,16.21,16.33,15.97,16.00,16.00,201400
2021-08-12,16.08,16.29,15.85,16.17,16.17,871500
2021-08-13,15.90,16.83,15.77,16.80,16.80,785700
2021-08-16,16.77,16.77,15.39,15.70,15.70,427900
2021-08-17,15.53,15.72,15.38,15.48,15.48,373100
2021-08-18,15.46,15.51,15.20,15.25,15.25,284200
2021-08-19,15.02,15.51,14.92,15.29,15.29,456500
2021-08-20,15.20,15.85,15.04,15.65,15.65,918300
2021-08-23,15.72,16.25,15.66,16.11,16.11,301600
2021-08-24,16.15,16.37,15.86,16.29,16.29,295300
2021-08-25,16.29,16.94,16.01,16.93,16.93,184400
2021-08-26,16.84,17.25,16.62,16.98,16.98,354600
2021-08-27,17.01,17.67,16.94,17.47,17.47,342700
2021-08-30,17.56,17.84,17.30,17.47,17.47,849800
2021-08-31,17.41,17.62,17.10,17.47,17.47,257800
2021-09-01,17.57,17.94,17.39,17.91,17.91,676300
2021-09-02,17.94,18.17,17.60,17.69,17.69,272100
2021-09-03,17.62,17.62,17.17,17.25,17.25,233800
2021-09-07,17.16,17.45,16.93,16.97,16.97,758700
