Date,Open,High,Low,Close,Adj Close,Volume
1998-09-24,0.94,0.95,0.78,0.83,0.80,518656090
1998-09-25,0.80,0.81,0.72,0.79,0.76,121255834
1998-09-28,0.83,0.89,0.81,0.85,0.81,89772883
1998-09-29,0.87,0.88,0.84,0.86,0.82,39289536
1998-09-30,0.83,0.84,0.76,0.79,0.76,44113766
1998-10-01,0.75,0.76,0.70,0.70,0.67,44433101
1998-10-02,0.71,0.73,0.61,0.70,0.67,46816704
1998-10-05,0.69,0.69,0.61,0.63,0.60,33832339
1998-10-06,0.67,0.67,0.56,0.64,0.61,40270349
1998-10-07,0.61,0.62,0.54,0.54,0.52,35058355
1998-10-08,0.49,0.51,0.44,0.51,0.49,57172262
1998-10-09,0.54,0.57,0.52,0.54,0.52,38519712
1998-10-12,0.56,0.56,0.55,0.55,0.53,28198368
1998-10-13,0.55,0.56,0.51,0.52,0.49,15430694
1998-10-14,0.51,0.56,0.51,0.53,0.51,30935520
1998-10-15,0.53,0.57,0.53,0.57,0.55,29144966
1998-10-16,0.59,0.64,0.58,0.63,0.61,43343942
1998-10-19,0.65,0.81,0.65,0.80,0.76,78151392
1998-10-20,0.86,0.91,0.79,0.82,0.78,109292198
1998-10-21,0.86,0.90,0.83,0.89,0.85,65703053
1998-10-22,0.91,0.94,0.86,0.90,0.87,53323142
1998-10-23,0.91,0.92,0.87,0.88,0.84,32309798
1998-10-26,1.05,1.29,1.03,1.29,1.24,389981434
1998-10-27,1.43,1.59,1.41,1.45,1.39,571032634
1998-10-28,1.37,1.49,1.34,1.40,1.35,254555136
1998-10-29,1.42,1.45,1.40,1.40,1.35,81150854
1998-10-30,1.42,1.48,1.40,1.46,1.40,94944960
1998-11-02,1.52,1.54,1.47,1.47,1.41,123707866
1998-11-03,1.49,1.50,1.46,1.47,1.41,45978451
1998-11-04,1.50,1.50,1.43,1.45,1.39,44632685
1998-11-05,1.42,1.47,1.38,1.42,1.37,66085114
1998-11-06,1.41,1.48,1.41,1.47,1.41,48966509
1998-11-09,1.48,1.81,1.48,1.81,1.73,202355366
1998-11-10,1.98,2.46,1.95,2.30,2.20,577698739
1998-11-11,2.23,2.37,2.00,2.03,1.95,306874656
1998-11-12,2.00,2.33,1.97,2.21,2.12,223699450
1998-11-13,2.28,2.33,2.10,2.17,2.09,135688608
1998-11-16,2.27,2.28,2.14,2.24,2.15,82411085
1998-11-17,2.24,2.33,2.17,2.26,2.17,81555725
1998-11-18,2.29,2.60,2.20,2.59,2.48,201192077
1998-11-19,2.65,2.72,2.49,2.52,2.42,135973728
1998-11-20,2.63,2.63,2.46,2.58,2.48,67214189
1998-11-23,2.68,3.43,2.66,3.38,3.25,162518400
1998-11-24,3.31,4.11,3.12,3.45,3.31,342451930
1998-11-25,3.52,3.76,3.43,3.59,3.44,195546701
1998-11-27,3.70,3.86,3.63,3.82,3.67,66632544
1998-11-30,3.94,3.95,3.30,3.47,3.33,135768442
1998-12-01,3.28,3.67,3.19,3.63,3.49,147874637
1998-12-02,3.61,3.75,3.47,3.56,3.42,72072634
1998-12-03,3.48,3.65,3.24,3.28,3.15,76469184
1998-12-04,3.42,3.47,2.81,3.20,3.07,138288902
1998-12-07,3.21,3.21,2.93,3.06,2.93,115382362
1998-12-08,2.95,3.19,2.92,3.10,2.98,120868070
1998-12-09,3.11,3.41,3.03,3.15,3.02,119431066
1998-12-10,3.23,3.34,3.16,3.26,3.13,114025190
1998-12-11,3.20,3.39,3.19,3.37,3.23,60257261
1998-12-14,3.26,3.38,3.25,3.31,3.17,46685549
1998-12-15,3.38,3.41,3.32,3.40,3.27,40424314
1998-12-16,3.51,3.96,3.51,3.92,3.76,123251674
1998-12-17,3.82,4.27,3.78,4.18,4.01,106326950
1998-12-18,4.38,4.60,4.30,4.42,4.25,83830982
1998-12-21,4.53,5.27,4.51,5.20,4.99,132164525
1998-12-22,5.37,5.45,4.95,5.28,5.07,105979104
1998-12-23,5.40,5.46,5.15,5.23,5.02,42699571
1998-12-24,5.09,5.21,4.95,5.02,4.82,26213933
1998-12-28,5.04,5.30,4.84,5.01,4.81,60770477
1998-12-29,5.10,5.10,4.73,4.80,4.61,33729696
1998-12-30,4.72,4.73,4.02,4.43,4.26,99484070
1998-12-31,4.27,4.53,4.23,4.23,4.06,37441958
1999-01-04,4.15,4.40,4.07,4.21,4.04,44689709
1999-01-05,4.00,4.08,3.85,3.93,3.77,75265978
1999-01-06,4.10,5.00,4.09,4.96,4.77,108921542
1999-01-07,4.77,5.52,4.74,5.23,5.02,118450253
1999-01-08,5.52,5.63,5.03,5.13,4.92,89453549
1999-01-11,5.33,5.35,4.88,5.11,4.91,43982611
1999-01-12,4.91,5.13,4.21,4.22,4.05,63262426
1999-01-13,3.81,4.14,3.72,3.78,3.63,77586854
